"Index","symbol","group","date","hour","exchange"
1,"RCN","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-01-07,21:00,"Binance"
2,"EVX","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-01-09,21:00,"Binance"
3,"ONG","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-01-11,16:00,"Binance"
4,"NAS","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-01-14,21:00,"Binance"
5,"STEEM","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-01-18,17:00,"Binance"
6,"SNM","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-01-20,17:00,"Binance"
7,"GVT","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-01-23,21:00,"Binance"
8,"DLT","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-01-27,19:00,"Binance"
9,"PNT","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-01-31,21:00,"Binance"
10,"SKY","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-02-03,21:00,"Binance"
11,"VIB","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-02-05,21:00,"Binance"
12,"MDA","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-02-10,21:00,"Binance"
13,"SKY","Mega Signals Group https://t.me/mega_pump_group",2021-02-13,17:00,"Binance"
14,"NEBL","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-02-13,21:00,"Binance"
15,"NXS","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-02-21,17:00,"Binance"
16,"PIVX","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-03-28,17:00,"Binance"
17,"VIA","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-04-11,17:00,"Binance"
18,"WPR","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-05-09,17:00,"Binance"
19,"DLT","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-05-16,17:00,"Binance"
20,"NXS","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-05-26,17:00,"Binance"
21,"OAX","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-05-30,17:00,"Binance"
22,"MTH","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-06-06,17:00,"Binance"
23,"FIO","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-06-13,17:00,"Binance"
24,"WABI","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-06-20,17:00,"Binance"
25,"MTH","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-06-27,17:00,"Binance"
26,"POA","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-07-11,17:00,"Binance"
27,"DREP","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-07-25,17:00,"Binance"
28,"NXS","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-08-01,17:00,"Binance"
29,"EZ","Mega Signals Group https://t.me/mega_pump_group",2021-08-08,17:00,"Binance"
30,"NAS","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-08-22,17:00,"Binance"
31,"BRD","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-08-29,17:00,"Binance"
32,"VIB","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-09-05,17:00,"Binance"
33,"FXS","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-09-19,17:00,"Binance"
34,"EZ","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-10-03,17:00,"Binance"
35,"WNXM","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-10-10,17:00,"Binance"
36,"EVX","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-10-24,17:00,"Binance"
37,"EZ","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-10-31,17:00,"Binance"
