symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
APPC/BTC,1638835255526,2021-12-07T00:00:55.526000Z,sell,1.33e-06,86.0,0.00011438,9236321,true,true
APPC/BTC,1638835431346,2021-12-07T00:03:51.346000Z,sell,1.33e-06,8.0,1.064e-05,9236322,true,true
APPC/BTC,1638835431346,2021-12-07T00:03:51.346000Z,sell,1.33e-06,273.0,0.00036309,9236323,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,211.0,0.00028063,9236324,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236325,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,1452.0,0.00193116,9236326,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236327,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236328,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236329,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,1452.0,0.00193116,9236330,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236331,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236332,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236333,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,1452.0,0.00193116,9236334,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236335,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236336,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236337,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,1452.0,0.00193116,9236338,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236339,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,484.0,0.00064372,9236340,true,true
APPC/BTC,1638835493845,2021-12-07T00:04:53.845000Z,sell,1.33e-06,173.0,0.00023009,9236341,true,true
APPC/BTC,1638835499073,2021-12-07T00:04:59.073000Z,buy,1.34e-06,693.0,0.00092862,9236342,false,true
APPC/BTC,1638835599979,2021-12-07T00:06:39.979000Z,buy,1.34e-06,224.0,0.00030016,9236343,false,true
APPC/BTC,1638836469991,2021-12-07T00:21:09.991000Z,sell,1.33e-06,77.0,0.00010241,9236344,true,true
APPC/BTC,1638836506069,2021-12-07T00:21:46.069000Z,buy,1.34e-06,2988.0,0.00400392,9236345,false,true
APPC/BTC,1638836506069,2021-12-07T00:21:46.069000Z,buy,1.34e-06,2012.0,0.00269608,9236346,false,true
APPC/BTC,1638836647523,2021-12-07T00:24:07.523000Z,sell,1.33e-06,234.0,0.00031122,9236347,true,true
APPC/BTC,1638836647523,2021-12-07T00:24:07.523000Z,sell,1.33e-06,10.0,1.33e-05,9236348,true,true
APPC/BTC,1638837434584,2021-12-07T00:37:14.584000Z,sell,1.33e-06,1155.0,0.00153615,9236349,true,true
APPC/BTC,1638837830452,2021-12-07T00:43:50.452000Z,buy,1.34e-06,1000.0,0.00134,9236350,false,true
