symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
GVT/BTC,1610323317944,2021-01-11T00:01:57.944000Z,buy,6.36e-05,47.99,0.00305216,9328118,false,true
GVT/BTC,1610323415042,2021-01-11T00:03:35.042000Z,buy,6.35e-05,82.87,0.00526224,9328119,false,true
GVT/BTC,1610323439400,2021-01-11T00:03:59.400000Z,sell,6.3e-05,5.39,0.00033957,9328120,true,true
GVT/BTC,1610323439400,2021-01-11T00:03:59.400000Z,sell,6.3e-05,966.9,0.0609147,9328121,true,true
GVT/BTC,1610323440225,2021-01-11T00:04:00.225000Z,sell,6.28e-05,91.96,0.00577508,9328122,true,true
GVT/BTC,1610323440225,2021-01-11T00:04:00.225000Z,sell,6.28e-05,129.38,0.00812506,9328123,true,true
GVT/BTC,1610323440225,2021-01-11T00:04:00.225000Z,sell,6.28e-05,80.83,0.00507612,9328124,true,true
GVT/BTC,1610323440225,2021-01-11T00:04:00.225000Z,sell,6.28e-05,100.11,0.0062869,9328125,true,true
GVT/BTC,1610323440225,2021-01-11T00:04:00.225000Z,sell,6.28e-05,101.16,0.00635284,9328126,true,true
GVT/BTC,1610323440225,2021-01-11T00:04:00.225000Z,sell,6.28e-05,39.3,0.00246804,9328127,true,true
GVT/BTC,1610323475678,2021-01-11T00:04:35.678000Z,sell,6.29e-05,17.78,0.00111836,9328128,true,true
GVT/BTC,1610323719684,2021-01-11T00:08:39.684000Z,sell,6.29e-05,27.21,0.0017115,9328129,true,true
GVT/BTC,1610323987375,2021-01-11T00:13:07.375000Z,sell,6.29e-05,79.89,0.00502508,9328130,true,true
GVT/BTC,1610323993379,2021-01-11T00:13:13.379000Z,sell,6.27e-05,260.1,0.01630827,9328131,true,true
GVT/BTC,1610323993379,2021-01-11T00:13:13.379000Z,sell,6.27e-05,10.22,0.00064079,9328132,true,true
GVT/BTC,1610324006655,2021-01-11T00:13:26.655000Z,sell,6.26e-05,47.93,0.00300041,9328133,true,true
GVT/BTC,1610324006655,2021-01-11T00:13:26.655000Z,sell,6.26e-05,77.07,0.00482458,9328134,true,true
GVT/BTC,1610324048183,2021-01-11T00:14:08.183000Z,sell,6.27e-05,1.6,0.00010032,9328135,true,true
GVT/BTC,1610324048326,2021-01-11T00:14:08.326000Z,sell,6.26e-05,6.72,0.00042067,9328136,true,true
GVT/BTC,1610324056225,2021-01-11T00:14:16.225000Z,buy,6.29e-05,3.83,0.0002409,9328137,false,true
GVT/BTC,1610324190309,2021-01-11T00:16:30.309000Z,sell,6.25e-05,23.23,0.00145187,9328138,true,true
GVT/BTC,1610324230372,2021-01-11T00:17:10.372000Z,sell,6.25e-05,1.77,0.00011062,9328139,true,true
GVT/BTC,1610324295122,2021-01-11T00:18:15.122000Z,sell,6.24e-05,115.29,0.00719409,9328140,true,true
GVT/BTC,1610324301070,2021-01-11T00:18:21.070000Z,buy,6.27e-05,100.0,0.00627,9328141,false,true
GVT/BTC,1610324399653,2021-01-11T00:19:59.653000Z,sell,6.24e-05,111.15,0.00693576,9328142,true,true
GVT/BTC,1610324401982,2021-01-11T00:20:01.982000Z,buy,6.24e-05,25.0,0.00156,9328143,false,true
GVT/BTC,1610324406455,2021-01-11T00:20:06.455000Z,buy,6.24e-05,49.98,0.00311875,9328144,false,true
GVT/BTC,1610324418406,2021-01-11T00:20:18.406000Z,buy,6.27e-05,2.87,0.00017994,9328145,false,true
GVT/BTC,1610324418406,2021-01-11T00:20:18.406000Z,buy,6.29e-05,5.03,0.00031638,9328146,false,true
GVT/BTC,1610324418406,2021-01-11T00:20:18.406000Z,buy,6.29e-05,10.18,0.00064032,9328147,false,true
GVT/BTC,1610324418406,2021-01-11T00:20:18.406000Z,buy,6.29e-05,51.72,0.00325318,9328148,false,true
GVT/BTC,1610324425478,2021-01-11T00:20:25.478000Z,sell,6.24e-05,132.77,0.00828484,9328149,true,true
GVT/BTC,1610324425553,2021-01-11T00:20:25.553000Z,buy,6.24e-05,7.6,0.00047424,9328150,false,true
GVT/BTC,1610324429463,2021-01-11T00:20:29.463000Z,buy,6.29e-05,2.56,0.00016102,9328151,false,true
GVT/BTC,1610324453252,2021-01-11T00:20:53.252000Z,buy,6.29e-05,1.75,0.00011007,9328152,false,true
GVT/BTC,1610324654215,2021-01-11T00:24:14.215000Z,sell,6.22e-05,14.87,0.00092491,9328153,true,true
GVT/BTC,1610324654215,2021-01-11T00:24:14.215000Z,sell,6.2e-05,1.38,8.556e-05,9328154,true,true
GVT/BTC,1610324733929,2021-01-11T00:25:33.929000Z,sell,6.24e-05,19.07,0.00118996,9328155,true,true
GVT/BTC,1610324810859,2021-01-11T00:26:50.859000Z,sell,6.24e-05,73.4,0.00458016,9328156,true,true
GVT/BTC,1610324810859,2021-01-11T00:26:50.859000Z,sell,6.24e-05,379.43,0.02367643,9328157,true,true
GVT/BTC,1610325116778,2021-01-11T00:31:56.778000Z,sell,6.24e-05,74.39,0.00464193,9328158,true,true
GVT/BTC,1610325167374,2021-01-11T00:32:47.374000Z,buy,6.25e-05,11.81,0.00073812,9328159,false,true
GVT/BTC,1610325181460,2021-01-11T00:33:01.460000Z,buy,6.25e-05,88.52,0.0055325,9328160,false,true
GVT/BTC,1610325247683,2021-01-11T00:34:07.683000Z,buy,6.25e-05,4.63,0.00028937,9328161,false,true
