symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
MTH/BTC,1621900955468,2021-05-25T00:02:35.468000Z,buy,6.2e-07,424.0,0.00026288,6619036,false,true
MTH/BTC,1621900975694,2021-05-25T00:02:55.694000Z,sell,6.1e-07,8519.0,0.00519659,6619037,true,true
MTH/BTC,1621900975694,2021-05-25T00:02:55.694000Z,sell,6.1e-07,1077.0,0.00065697,6619038,true,true
MTH/BTC,1621900986419,2021-05-25T00:03:06.419000Z,buy,6.1e-07,37170.0,0.0226737,6619039,false,true
MTH/BTC,1621900986419,2021-05-25T00:03:06.419000Z,buy,6.1e-07,22603.0,0.01378783,6619040,false,true
MTH/BTC,1621900986419,2021-05-25T00:03:06.419000Z,buy,6.1e-07,24859.0,0.01516399,6619041,false,true
MTH/BTC,1621901028873,2021-05-25T00:03:48.873000Z,sell,6e-07,200.0,0.00012,6619042,true,true
MTH/BTC,1621901141686,2021-05-25T00:05:41.686000Z,buy,6.2e-07,300.0,0.000186,6619043,false,true
MTH/BTC,1621901159812,2021-05-25T00:05:59.812000Z,sell,6e-07,176.0,0.0001056,6619044,true,true
MTH/BTC,1621901159812,2021-05-25T00:05:59.812000Z,sell,6e-07,24.0,1.44e-05,6619045,true,true
MTH/BTC,1621901237759,2021-05-25T00:07:17.759000Z,sell,6.1e-07,200.0,0.000122,6619046,true,true
MTH/BTC,1621901272531,2021-05-25T00:07:52.531000Z,sell,6.1e-07,976.0,0.00059536,6619047,true,true
MTH/BTC,1621901510066,2021-05-25T00:11:50.066000Z,sell,6.1e-07,2032.0,0.00123952,6619048,true,true
MTH/BTC,1621901536125,2021-05-25T00:12:16.125000Z,buy,6.1e-07,968.0,0.00059048,6619049,false,true
MTH/BTC,1621901536125,2021-05-25T00:12:16.125000Z,buy,6.1e-07,201713.0,0.12304493,6619050,false,true
MTH/BTC,1621901549715,2021-05-25T00:12:29.715000Z,buy,6.1e-07,967.0,0.00058987,6619051,false,true
MTH/BTC,1621901615703,2021-05-25T00:13:35.703000Z,sell,6e-07,3309.0,0.0019854,6619052,true,true
MTH/BTC,1621901615703,2021-05-25T00:13:35.703000Z,sell,6e-07,915.0,0.000549,6619053,true,true
MTH/BTC,1621901626834,2021-05-25T00:13:46.834000Z,buy,6.1e-07,39198.0,0.02391078,6619054,false,true
MTH/BTC,1621901643984,2021-05-25T00:14:03.984000Z,buy,6.1e-07,27472.0,0.01675792,6619055,false,true
MTH/BTC,1621901652542,2021-05-25T00:14:12.542000Z,buy,6.1e-07,46461.0,0.02834121,6619056,false,true
MTH/BTC,1621901657032,2021-05-25T00:14:17.032000Z,buy,6.1e-07,815.0,0.00049715,6619057,false,true
MTH/BTC,1621901715665,2021-05-25T00:15:15.665000Z,buy,6.1e-07,13736.0,0.00837896,6619058,false,true
MTH/BTC,1621901716452,2021-05-25T00:15:16.452000Z,buy,6.1e-07,328.0,0.00020008,6619059,false,true
MTH/BTC,1621901735733,2021-05-25T00:15:35.733000Z,buy,6.1e-07,17444.0,0.01064084,6619060,false,true
MTH/BTC,1621901735733,2021-05-25T00:15:35.733000Z,buy,6.1e-07,3333.0,0.00203313,6619061,false,true
MTH/BTC,1621902162432,2021-05-25T00:22:42.432000Z,sell,6e-07,2377.0,0.0014262,6619062,true,true
MTH/BTC,1621902162432,2021-05-25T00:22:42.432000Z,sell,6e-07,2731.0,0.0016386,6619063,true,true
MTH/BTC,1621902162432,2021-05-25T00:22:42.432000Z,sell,6e-07,250.0,0.00015,6619064,true,true
