symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
NAS/BTC,1628553847542,2021-08-10T00:04:07.542000Z,buy,9.9e-06,271.25,0.00268537,7096258,false,true
NAS/BTC,1628553853688,2021-08-10T00:04:13.688000Z,buy,9.9e-06,606.06,0.00599999,7096259,false,true
NAS/BTC,1628553863951,2021-08-10T00:04:23.951000Z,buy,9.9e-06,158.69,0.00157103,7096260,false,true
NAS/BTC,1628553870065,2021-08-10T00:04:30.065000Z,buy,9.9e-06,34.81,0.00034461,7096261,false,true
NAS/BTC,1628553874019,2021-08-10T00:04:34.019000Z,buy,9.9e-06,145.71,0.00144252,7096262,false,true
NAS/BTC,1628553890882,2021-08-10T00:04:50.882000Z,sell,9.8e-06,28.08,0.00027518,7096263,true,true
NAS/BTC,1628554084420,2021-08-10T00:08:04.420000Z,sell,9.8e-06,102.83,0.00100773,7096264,true,true
NAS/BTC,1628554145007,2021-08-10T00:09:05.007000Z,buy,9.9e-06,215.0,0.0021285,7096265,false,true
NAS/BTC,1628554310745,2021-08-10T00:11:50.745000Z,buy,9.9e-06,181.33,0.00179516,7096266,false,true
NAS/BTC,1628554395649,2021-08-10T00:13:15.649000Z,buy,9.9e-06,12.36,0.00012236,7096267,false,true
NAS/BTC,1628554397465,2021-08-10T00:13:17.465000Z,buy,9.9e-06,17.61,0.00017433,7096268,false,true
NAS/BTC,1628554398857,2021-08-10T00:13:18.857000Z,buy,9.9e-06,18.8,0.00018612,7096269,false,true
NAS/BTC,1628554400258,2021-08-10T00:13:20.258000Z,buy,9.9e-06,23.23,0.00022997,7096270,false,true
NAS/BTC,1628554402910,2021-08-10T00:13:22.910000Z,buy,9.9e-06,26.52,0.00026254,7096271,false,true
NAS/BTC,1628554406051,2021-08-10T00:13:26.051000Z,buy,9.9e-06,34.65,0.00034303,7096272,false,true
NAS/BTC,1628554408110,2021-08-10T00:13:28.110000Z,buy,9.9e-06,39.65,0.00039253,7096273,false,true
NAS/BTC,1628554410137,2021-08-10T00:13:30.137000Z,buy,9.9e-06,39.43,0.00039035,7096274,false,true
NAS/BTC,1628554412196,2021-08-10T00:13:32.196000Z,buy,9.9e-06,44.77,0.00044322,7096275,false,true
NAS/BTC,1628554413793,2021-08-10T00:13:33.793000Z,buy,9.9e-06,44.4,0.00043956,7096276,false,true
NAS/BTC,1628554415189,2021-08-10T00:13:35.189000Z,buy,9.9e-06,46.66,0.00046193,7096277,false,true
NAS/BTC,1628554416583,2021-08-10T00:13:36.583000Z,buy,9.9e-06,105.28,0.00104227,7096278,false,true
NAS/BTC,1628554418591,2021-08-10T00:13:38.591000Z,buy,9.9e-06,53.09,0.00052559,7096279,false,true
NAS/BTC,1628554420199,2021-08-10T00:13:40.199000Z,buy,9.9e-06,95.28,0.00094327,7096280,false,true
NAS/BTC,1628554421606,2021-08-10T00:13:41.606000Z,buy,9.9e-06,61.86,0.00061241,7096281,false,true
NAS/BTC,1628554423008,2021-08-10T00:13:43.008000Z,buy,9.9e-06,65.79,0.00065132,7096282,false,true
NAS/BTC,1628554424402,2021-08-10T00:13:44.402000Z,buy,9.9e-06,67.08,0.00066409,7096283,false,true
NAS/BTC,1628554425798,2021-08-10T00:13:45.798000Z,buy,9.9e-06,69.04,0.00068349,7096284,false,true
NAS/BTC,1628554427192,2021-08-10T00:13:47.192000Z,buy,9.9e-06,73.45,0.00072715,7096285,false,true
NAS/BTC,1628554428806,2021-08-10T00:13:48.806000Z,buy,9.9e-06,72.65,0.00071923,7096286,false,true
NAS/BTC,1628554430416,2021-08-10T00:13:50.416000Z,buy,9.9e-06,80.4,0.00079596,7096287,false,true
NAS/BTC,1628554432509,2021-08-10T00:13:52.509000Z,buy,9.9e-06,93.3,0.00092367,7096288,false,true
NAS/BTC,1628554435207,2021-08-10T00:13:55.207000Z,buy,9.9e-06,89.62,0.00088723,7096289,false,true
NAS/BTC,1628554437230,2021-08-10T00:13:57.230000Z,buy,9.9e-06,96.33,0.00095366,7096290,false,true
NAS/BTC,1628554441762,2021-08-10T00:14:01.762000Z,buy,9.9e-06,100.51,0.00099504,7096291,false,true
NAS/BTC,1628554445249,2021-08-10T00:14:05.249000Z,buy,9.9e-06,118.83,0.00117641,7096292,false,true
