symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
NAV/BTC,1658793661201,2022-07-26T00:01:01.201000Z,sell,5.28e-06,170.0,0.0008976,7382793,true,true
NAV/BTC,1658793893907,2022-07-26T00:04:53.907000Z,buy,5.29e-06,175.0,0.00092575,7382794,false,true
NAV/BTC,1658794301106,2022-07-26T00:11:41.106000Z,buy,5.29e-06,355.0,0.00187795,7382795,false,true
NAV/BTC,1658794700404,2022-07-26T00:18:20.404000Z,buy,5.29e-06,22.0,0.00011638,7382796,false,true
NAV/BTC,1658794762271,2022-07-26T00:19:22.271000Z,buy,5.29e-06,920.0,0.0048668,7382797,false,true
NAV/BTC,1658795275675,2022-07-26T00:27:55.675000Z,buy,5.29e-06,3989.0,0.02110181,7382798,false,true
NAV/BTC,1658795275675,2022-07-26T00:27:55.675000Z,buy,5.29e-06,267.0,0.00141243,7382799,false,true
NAV/BTC,1658795275675,2022-07-26T00:27:55.675000Z,buy,5.29e-06,3614.0,0.01911806,7382800,false,true
NAV/BTC,1658795275675,2022-07-26T00:27:55.675000Z,buy,5.29e-06,238.0,0.00125902,7382801,false,true
NAV/BTC,1658795275675,2022-07-26T00:27:55.675000Z,buy,5.31e-06,159.0,0.00084429,7382802,false,true
NAV/BTC,1658795275675,2022-07-26T00:27:55.675000Z,buy,5.31e-06,100.0,0.000531,7382803,false,true
NAV/BTC,1658795275675,2022-07-26T00:27:55.675000Z,buy,5.32e-06,300.0,0.001596,7382804,false,true
NAV/BTC,1658795275675,2022-07-26T00:27:55.675000Z,buy,5.33e-06,151.0,0.00080483,7382805,false,true
NAV/BTC,1658795275675,2022-07-26T00:27:55.675000Z,buy,5.33e-06,151.0,0.00080483,7382806,false,true
NAV/BTC,1658795275675,2022-07-26T00:27:55.675000Z,buy,5.33e-06,151.0,0.00080483,7382807,false,true
NAV/BTC,1658795275675,2022-07-26T00:27:55.675000Z,buy,5.33e-06,881.0,0.00469573,7382808,false,true
NAV/BTC,1658797200853,2022-07-26T01:00:00.853000Z,buy,5.32e-06,127.0,0.00067564,7382809,false,true
NAV/BTC,1658797479586,2022-07-26T01:04:39.586000Z,buy,5.32e-06,140.0,0.0007448,7382810,false,true
NAV/BTC,1658797479586,2022-07-26T01:04:39.586000Z,buy,5.32e-06,3.0,1.596e-05,7382811,false,true
NAV/BTC,1658800274959,2022-07-26T01:51:14.959000Z,buy,5.32e-06,170.0,0.0009044,7382812,false,true
NAV/BTC,1658801063665,2022-07-26T02:04:23.665000Z,buy,5.31e-06,57.0,0.00030267,7382813,false,true
NAV/BTC,1658801388784,2022-07-26T02:09:48.784000Z,buy,5.31e-06,60.0,0.0003186,7382814,false,true
NAV/BTC,1658802825504,2022-07-26T02:33:45.504000Z,sell,5.29e-06,569.0,0.00301001,7382815,true,true
NAV/BTC,1658802997395,2022-07-26T02:36:37.395000Z,buy,5.31e-06,533.0,0.00283023,7382816,false,true
NAV/BTC,1658804616469,2022-07-26T03:03:36.469000Z,buy,5.31e-06,136.0,0.00072216,7382817,false,true
NAV/BTC,1658804663444,2022-07-26T03:04:23.444000Z,buy,5.31e-06,88.0,0.00046728,7382818,false,true
NAV/BTC,1658805520267,2022-07-26T03:18:40.267000Z,buy,5.31e-06,26.0,0.00013806,7382819,false,true
NAV/BTC,1658805520267,2022-07-26T03:18:40.267000Z,buy,5.31e-06,116.0,0.00061596,7382820,false,true
NAV/BTC,1658806409304,2022-07-26T03:33:29.304000Z,buy,5.31e-06,4.0,2.124e-05,7382821,false,true
NAV/BTC,1658806409304,2022-07-26T03:33:29.304000Z,buy,5.31e-06,155.0,0.00082305,7382822,false,true
NAV/BTC,1658806409304,2022-07-26T03:33:29.304000Z,buy,5.31e-06,274.0,0.00145494,7382823,false,true
NAV/BTC,1658806409304,2022-07-26T03:33:29.304000Z,buy,5.32e-06,773.0,0.00411236,7382824,false,true
NAV/BTC,1658806409304,2022-07-26T03:33:29.304000Z,buy,5.32e-06,2059.0,0.01095388,7382825,false,true
NAV/BTC,1658806409304,2022-07-26T03:33:29.304000Z,buy,5.32e-06,24.0,0.00012768,7382826,false,true
NAV/BTC,1658806409304,2022-07-26T03:33:29.304000Z,buy,5.32e-06,23.0,0.00012236,7382827,false,true
NAV/BTC,1658806409304,2022-07-26T03:33:29.304000Z,buy,5.32e-06,24.0,0.00012768,7382828,false,true
NAV/BTC,1658806409304,2022-07-26T03:33:29.304000Z,buy,5.32e-06,24.0,0.00012768,7382829,false,true
NAV/BTC,1658806409304,2022-07-26T03:33:29.304000Z,buy,5.32e-06,100.0,0.000532,7382830,false,true
NAV/BTC,1658806442485,2022-07-26T03:34:02.485000Z,sell,5.33e-06,19.0,0.00010127,7382831,true,true
NAV/BTC,1658806502973,2022-07-26T03:35:02.973000Z,sell,5.32e-06,1960.0,0.0104272,7382832,true,true
NAV/BTC,1658806639384,2022-07-26T03:37:19.384000Z,sell,5.32e-06,219.0,0.00116508,7382833,true,true
NAV/BTC,1658807487950,2022-07-26T03:51:27.950000Z,buy,5.33e-06,350.0,0.0018655,7382834,false,true
NAV/BTC,1658807540682,2022-07-26T03:52:20.682000Z,buy,5.34e-06,29.0,0.00015486,7382835,false,true
NAV/BTC,1658807540682,2022-07-26T03:52:20.682000Z,buy,5.34e-06,158.0,0.00084372,7382836,false,true
NAV/BTC,1658807540682,2022-07-26T03:52:20.682000Z,buy,5.34e-06,299.0,0.00159666,7382837,false,true
NAV/BTC,1658807540682,2022-07-26T03:52:20.682000Z,buy,5.35e-06,19.0,0.00010165,7382838,false,true
NAV/BTC,1658807540682,2022-07-26T03:52:20.682000Z,buy,5.36e-06,86.0,0.00046096,7382839,false,true
NAV/BTC,1658807542010,2022-07-26T03:52:22.010000Z,buy,5.36e-06,28.0,0.00015008,7382840,false,true
NAV/BTC,1658807542010,2022-07-26T03:52:22.010000Z,buy,5.36e-06,416.0,0.00222976,7382841,false,true
NAV/BTC,1658807542010,2022-07-26T03:52:22.010000Z,buy,5.36e-06,92.0,0.00049312,7382842,false,true
NAV/BTC,1658807582349,2022-07-26T03:53:02.349000Z,buy,5.37e-06,157.0,0.00084309,7382843,false,true
NAV/BTC,1658807582349,2022-07-26T03:53:02.349000Z,buy,5.37e-06,92.0,0.00049404,7382844,false,true
