symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
NEBL/BTC,1612137659031,2021-02-01T00:00:59.031000Z,sell,2.957e-05,1110.0,0.0328227,7781015,true,true
NEBL/BTC,1612137660916,2021-02-01T00:01:00.916000Z,sell,2.956e-05,22.0,0.00065032,7781016,true,true
NEBL/BTC,1612137662702,2021-02-01T00:01:02.702000Z,buy,2.957e-05,586.0,0.01732802,7781017,false,true
NEBL/BTC,1612137663125,2021-02-01T00:01:03.125000Z,buy,2.957e-05,149.0,0.00440593,7781018,false,true
NEBL/BTC,1612137677515,2021-02-01T00:01:17.515000Z,buy,2.957e-05,155.0,0.00458335,7781019,false,true
NEBL/BTC,1612137731434,2021-02-01T00:02:11.434000Z,sell,2.96e-05,28.0,0.0008288,7781020,true,true
NEBL/BTC,1612137791203,2021-02-01T00:03:11.203000Z,buy,2.98e-05,14.0,0.0004172,7781021,false,true
NEBL/BTC,1612137839455,2021-02-01T00:03:59.455000Z,buy,2.98e-05,4.0,0.0001192,7781022,false,true
NEBL/BTC,1612137839455,2021-02-01T00:03:59.455000Z,buy,2.982e-05,3.0,8.946e-05,7781023,false,true
NEBL/BTC,1612137933099,2021-02-01T00:05:33.099000Z,sell,2.964e-05,236.0,0.00699504,7781024,true,true
NEBL/BTC,1612137964258,2021-02-01T00:06:04.258000Z,buy,2.982e-05,19.0,0.00056658,7781025,false,true
NEBL/BTC,1612138024476,2021-02-01T00:07:04.476000Z,buy,2.982e-05,48.0,0.00143136,7781026,false,true
NEBL/BTC,1612138024496,2021-02-01T00:07:04.496000Z,buy,2.982e-05,47.0,0.00140154,7781027,false,true
NEBL/BTC,1612138062881,2021-02-01T00:07:42.881000Z,buy,2.982e-05,34.0,0.00101388,7781028,false,true
NEBL/BTC,1612138065888,2021-02-01T00:07:45.888000Z,sell,2.966e-05,139.0,0.00412274,7781029,true,true
NEBL/BTC,1612138067736,2021-02-01T00:07:47.736000Z,buy,2.966e-05,361.0,0.01070726,7781030,false,true
NEBL/BTC,1612138086505,2021-02-01T00:08:06.505000Z,sell,2.967e-05,74.0,0.00219558,7781031,true,true
