symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
NXS/BTC,1620950404028,2021-05-14T00:00:04.028000Z,sell,2.845e-05,597.0,0.01698465,4396595,true,true
NXS/BTC,1620950419583,2021-05-14T00:00:19.583000Z,sell,2.846e-05,36.0,0.00102456,4396596,true,true
NXS/BTC,1620950442161,2021-05-14T00:00:42.161000Z,buy,2.854e-05,11.0,0.00031394,4396597,false,true
NXS/BTC,1620950476427,2021-05-14T00:01:16.427000Z,sell,2.846e-05,4.0,0.00011384,4396598,true,true
NXS/BTC,1620950501886,2021-05-14T00:01:41.886000Z,buy,2.854e-05,13.0,0.00037102,4396599,false,true
NXS/BTC,1620950501886,2021-05-14T00:01:41.886000Z,buy,2.854e-05,4.0,0.00011416,4396600,false,true
NXS/BTC,1620950501886,2021-05-14T00:01:41.886000Z,buy,2.854e-05,4.0,0.00011416,4396601,false,true
NXS/BTC,1620950503264,2021-05-14T00:01:43.264000Z,buy,2.857e-05,27.0,0.00077139,4396602,false,true
NXS/BTC,1620950514043,2021-05-14T00:01:54.043000Z,buy,2.857e-05,22.0,0.00062854,4396603,false,true
NXS/BTC,1620950514043,2021-05-14T00:01:54.043000Z,buy,2.857e-05,8.0,0.00022856,4396604,false,true
NXS/BTC,1620950515843,2021-05-14T00:01:55.843000Z,buy,2.858e-05,11.0,0.00031438,4396605,false,true
NXS/BTC,1620950515843,2021-05-14T00:01:55.843000Z,buy,2.858e-05,10.0,0.0002858,4396606,false,true
NXS/BTC,1620950515843,2021-05-14T00:01:55.843000Z,buy,2.858e-05,7.0,0.00020006,4396607,false,true
NXS/BTC,1620950515843,2021-05-14T00:01:55.843000Z,buy,2.858e-05,7.0,0.00020006,4396608,false,true
NXS/BTC,1620950515843,2021-05-14T00:01:55.843000Z,buy,2.858e-05,32.0,0.00091456,4396609,false,true
NXS/BTC,1620950517439,2021-05-14T00:01:57.439000Z,buy,2.858e-05,23.0,0.00065734,4396610,false,true
NXS/BTC,1620950518939,2021-05-14T00:01:58.939000Z,buy,2.859e-05,7.0,0.00020013,4396611,false,true
NXS/BTC,1620950518939,2021-05-14T00:01:58.939000Z,buy,2.859e-05,8.0,0.00022872,4396612,false,true
NXS/BTC,1620950518939,2021-05-14T00:01:58.939000Z,buy,2.859e-05,10.0,0.0002859,4396613,false,true
NXS/BTC,1620950520632,2021-05-14T00:02:00.632000Z,buy,2.862e-05,115.0,0.0032913,4396614,false,true
NXS/BTC,1620950522070,2021-05-14T00:02:02.070000Z,buy,2.862e-05,176.0,0.00503712,4396615,false,true
NXS/BTC,1620950523508,2021-05-14T00:02:03.508000Z,buy,2.863e-05,14.0,0.00040082,4396616,false,true
NXS/BTC,1620950528208,2021-05-14T00:02:08.208000Z,buy,2.863e-05,27.0,0.00077301,4396617,false,true
NXS/BTC,1620950540973,2021-05-14T00:02:20.973000Z,buy,2.863e-05,22.0,0.00062986,4396618,false,true
NXS/BTC,1620950540973,2021-05-14T00:02:20.973000Z,buy,2.863e-05,12.0,0.00034356,4396619,false,true
NXS/BTC,1620950649132,2021-05-14T00:04:09.132000Z,buy,2.864e-05,127.0,0.00363728,4396620,false,true
NXS/BTC,1620950649132,2021-05-14T00:04:09.132000Z,buy,2.864e-05,4.0,0.00011456,4396621,false,true
NXS/BTC,1620950649132,2021-05-14T00:04:09.132000Z,buy,2.865e-05,38.0,0.0010887,4396622,false,true
NXS/BTC,1620950649132,2021-05-14T00:04:09.132000Z,buy,2.867e-05,60.0,0.0017202,4396623,false,true
NXS/BTC,1620950649132,2021-05-14T00:04:09.132000Z,buy,2.868e-05,7.0,0.00020076,4396624,false,true
NXS/BTC,1620950649132,2021-05-14T00:04:09.132000Z,buy,2.871e-05,32.0,0.00091872,4396625,false,true
NXS/BTC,1620950649132,2021-05-14T00:04:09.132000Z,buy,2.873e-05,18.0,0.00051714,4396626,false,true
NXS/BTC,1620950654429,2021-05-14T00:04:14.429000Z,sell,2.855e-05,15.0,0.00042825,4396627,true,true
NXS/BTC,1620950788317,2021-05-14T00:06:28.317000Z,buy,2.872e-05,219.0,0.00628968,4396628,false,true
NXS/BTC,1620951064610,2021-05-14T00:11:04.610000Z,sell,2.857e-05,16.0,0.00045712,4396629,true,true
NXS/BTC,1620951121740,2021-05-14T00:12:01.740000Z,sell,2.855e-05,303.0,0.00865065,4396630,true,true
NXS/BTC,1620951121740,2021-05-14T00:12:01.740000Z,sell,2.854e-05,7.0,0.00019978,4396631,true,true
NXS/BTC,1620951121740,2021-05-14T00:12:01.740000Z,sell,2.854e-05,4758.0,0.13579332,4396632,true,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.868e-05,7.0,0.00020076,4396633,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.868e-05,4.0,0.00011472,4396634,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.871e-05,132.0,0.00378972,4396635,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.872e-05,4.0,0.00011488,4396636,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.873e-05,32.0,0.00091936,4396637,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.873e-05,75.0,0.00215475,4396638,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.876e-05,7.0,0.00020132,4396639,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.876e-05,7.0,0.00020132,4396640,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.877e-05,8.0,0.00023016,4396641,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.877e-05,7.0,0.00020139,4396642,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.879e-05,10.0,0.0002879,4396643,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.88e-05,431.0,0.0124128,4396644,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.88e-05,23.0,0.0006624,4396645,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.881e-05,233.0,0.00671273,4396646,false,true
NXS/BTC,1620951244524,2021-05-14T00:14:04.524000Z,buy,2.882e-05,50.0,0.001441,4396647,false,true
NXS/BTC,1620951260756,2021-05-14T00:14:20.756000Z,buy,2.882e-05,10.0,0.0002882,4396648,false,true
NXS/BTC,1620951306804,2021-05-14T00:15:06.804000Z,sell,2.865e-05,5.0,0.00014325,4396649,true,true
NXS/BTC,1620951362946,2021-05-14T00:16:02.946000Z,sell,2.871e-05,4.0,0.00011484,4396650,true,true
NXS/BTC,1620951421662,2021-05-14T00:17:01.662000Z,sell,2.874e-05,165.0,0.0047421,4396651,true,true
NXS/BTC,1620951421662,2021-05-14T00:17:01.662000Z,sell,2.873e-05,147.0,0.00422331,4396652,true,true
NXS/BTC,1620951421662,2021-05-14T00:17:01.662000Z,sell,2.87e-05,7198.0,0.2065826,4396653,true,true
NXS/BTC,1620951422237,2021-05-14T00:17:02.237000Z,sell,2.863e-05,18.0,0.00051534,4396654,true,true
NXS/BTC,1620951427994,2021-05-14T00:17:07.994000Z,sell,2.863e-05,66.0,0.00188958,4396655,true,true
NXS/BTC,1620951427994,2021-05-14T00:17:07.994000Z,sell,2.863e-05,7215.0,0.20656545,4396656,true,true
NXS/BTC,1620951511096,2021-05-14T00:18:31.096000Z,buy,2.88e-05,3.0,8.64e-05,4396657,false,true
NXS/BTC,1620951514028,2021-05-14T00:18:34.028000Z,sell,2.863e-05,60.0,0.0017178,4396658,true,true
NXS/BTC,1620951514028,2021-05-14T00:18:34.028000Z,sell,2.863e-05,7187.0,0.20576381,4396659,true,true
