symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
ONG/BTC,1609286412007,2020-12-30T00:00:12.007000Z,buy,6.89e-06,220.0,0.0015158,4880998,false,true
ONG/BTC,1609286412007,2020-12-30T00:00:12.007000Z,buy,6.9e-06,322.0,0.0022218,4880999,false,true
ONG/BTC,1609286412007,2020-12-30T00:00:12.007000Z,buy,6.9e-06,5208.0,0.0359352,4881000,false,true
ONG/BTC,1609286414744,2020-12-30T00:00:14.744000Z,sell,6.89e-06,290.0,0.0019981,4881001,true,true
ONG/BTC,1609286414939,2020-12-30T00:00:14.939000Z,sell,6.89e-06,290.0,0.0019981,4881002,true,true
ONG/BTC,1609286418507,2020-12-30T00:00:18.507000Z,buy,6.9e-06,857.0,0.0059133,4881003,false,true
ONG/BTC,1609286418508,2020-12-30T00:00:18.508000Z,buy,6.93e-06,168.0,0.00116424,4881004,false,true
ONG/BTC,1609286418508,2020-12-30T00:00:18.508000Z,buy,6.95e-06,479.0,0.00332905,4881005,false,true
ONG/BTC,1609286418531,2020-12-30T00:00:18.531000Z,buy,6.96e-06,59.0,0.00041064,4881006,false,true
ONG/BTC,1609286418531,2020-12-30T00:00:18.531000Z,buy,6.96e-06,161.0,0.00112056,4881007,false,true
ONG/BTC,1609286418531,2020-12-30T00:00:18.531000Z,buy,6.96e-06,755.0,0.0052548,4881008,false,true
ONG/BTC,1609286418531,2020-12-30T00:00:18.531000Z,buy,6.96e-06,290.0,0.0020184,4881009,false,true
ONG/BTC,1609286418549,2020-12-30T00:00:18.549000Z,buy,6.93e-06,1202.0,0.00832986,4881010,false,true
ONG/BTC,1609286418554,2020-12-30T00:00:18.554000Z,buy,6.93e-06,228.0,0.00158004,4881011,false,true
ONG/BTC,1609286418574,2020-12-30T00:00:18.574000Z,buy,6.99e-06,290.0,0.0020271,4881012,false,true
ONG/BTC,1609286418610,2020-12-30T00:00:18.610000Z,buy,6.99e-06,290.0,0.0020271,4881013,false,true
ONG/BTC,1609286418610,2020-12-30T00:00:18.610000Z,buy,7e-06,52.0,0.000364,4881014,false,true
ONG/BTC,1609286418694,2020-12-30T00:00:18.694000Z,buy,6.99e-06,275.0,0.00192225,4881015,false,true
ONG/BTC,1609286418694,2020-12-30T00:00:18.694000Z,buy,6.99e-06,15.0,0.00010485,4881016,false,true
ONG/BTC,1609286418719,2020-12-30T00:00:18.719000Z,buy,6.99e-06,155.0,0.00108345,4881017,false,true
ONG/BTC,1609286418719,2020-12-30T00:00:18.719000Z,buy,6.99e-06,135.0,0.00094365,4881018,false,true
ONG/BTC,1609286418758,2020-12-30T00:00:18.758000Z,buy,6.99e-06,59.0,0.00041241,4881019,false,true
ONG/BTC,1609286418784,2020-12-30T00:00:18.784000Z,sell,6.96e-06,226.0,0.00157296,4881020,true,true
ONG/BTC,1609286418837,2020-12-30T00:00:18.837000Z,sell,6.97e-06,228.0,0.00158916,4881021,true,true
ONG/BTC,1609286419310,2020-12-30T00:00:19.310000Z,buy,6.99e-06,228.0,0.00159372,4881022,false,true
ONG/BTC,1609286419539,2020-12-30T00:00:19.539000Z,sell,6.94e-06,200.0,0.001388,4881023,true,true
ONG/BTC,1609286420088,2020-12-30T00:00:20.088000Z,buy,6.99e-06,119.0,0.00083181,4881024,false,true
ONG/BTC,1609286420097,2020-12-30T00:00:20.097000Z,buy,6.99e-06,74.0,0.00051726,4881025,false,true
ONG/BTC,1609286420126,2020-12-30T00:00:20.126000Z,buy,6.99e-06,7.0,4.893e-05,4881026,false,true
ONG/BTC,1609286420246,2020-12-30T00:00:20.246000Z,sell,6.99e-06,286.0,0.00199914,4881027,true,true
ONG/BTC,1609286420246,2020-12-30T00:00:20.246000Z,sell,6.99e-06,286.0,0.00199914,4881028,true,true
ONG/BTC,1609286420327,2020-12-30T00:00:20.327000Z,sell,6.99e-06,21.0,0.00014679,4881029,true,true
ONG/BTC,1609286420346,2020-12-30T00:00:20.346000Z,sell,6.99e-06,265.0,0.00185235,4881030,true,true
ONG/BTC,1609286420555,2020-12-30T00:00:20.555000Z,sell,6.95e-06,223.0,0.00154985,4881031,true,true
ONG/BTC,1609286420815,2020-12-30T00:00:20.815000Z,sell,6.91e-06,200.0,0.001382,4881032,true,true
ONG/BTC,1609286421211,2020-12-30T00:00:21.211000Z,sell,6.96e-06,1352.0,0.00940992,4881033,true,true
ONG/BTC,1609286421838,2020-12-30T00:00:21.838000Z,sell,6.91e-06,114.0,0.00078774,4881034,true,true
ONG/BTC,1609286421838,2020-12-30T00:00:21.838000Z,sell,6.9e-06,86.0,0.0005934,4881035,true,true
ONG/BTC,1609286421903,2020-12-30T00:00:21.903000Z,buy,6.99e-06,223.0,0.00155877,4881036,false,true
ONG/BTC,1609286421903,2020-12-30T00:00:21.903000Z,buy,7e-06,3.0,2.1e-05,4881037,false,true
ONG/BTC,1609286422680,2020-12-30T00:00:22.680000Z,sell,6.96e-06,243.0,0.00169128,4881038,true,true
ONG/BTC,1609286422852,2020-12-30T00:00:22.852000Z,sell,6.96e-06,200.0,0.001392,4881039,true,true
ONG/BTC,1609286423980,2020-12-30T00:00:23.980000Z,sell,6.95e-06,228.0,0.0015846,4881040,true,true
ONG/BTC,1609286423980,2020-12-30T00:00:23.980000Z,sell,6.94e-06,188.0,0.00130472,4881041,true,true
ONG/BTC,1609286424121,2020-12-30T00:00:24.121000Z,sell,6.95e-06,200.0,0.00139,4881042,true,true
ONG/BTC,1609286424159,2020-12-30T00:00:24.159000Z,buy,6.99e-06,228.0,0.00159372,4881043,false,true
ONG/BTC,1609286424159,2020-12-30T00:00:24.159000Z,buy,7e-06,93.0,0.000651,4881044,false,true
ONG/BTC,1609286424159,2020-12-30T00:00:24.159000Z,buy,7.03e-06,58.0,0.00040774,4881045,false,true
