symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
PIVX/BTC,1656634242495,2022-07-01T00:10:42.495000Z,sell,5.1e-06,20.0,0.000102,8105265,true,true
PIVX/BTC,1656634642079,2022-07-01T00:17:22.079000Z,buy,5.11e-06,87.0,0.00044457,8105266,false,true
PIVX/BTC,1656634642079,2022-07-01T00:17:22.079000Z,buy,5.11e-06,10.0,5.11e-05,8105267,false,true
PIVX/BTC,1656634761313,2022-07-01T00:19:21.313000Z,sell,5.1e-06,286.0,0.0014586,8105268,true,true
PIVX/BTC,1656634778267,2022-07-01T00:19:38.267000Z,buy,5.12e-06,171.0,0.00087552,8105269,false,true
PIVX/BTC,1656634778267,2022-07-01T00:19:38.267000Z,buy,5.12e-06,814.0,0.00416768,8105270,false,true
PIVX/BTC,1656635497285,2022-07-01T00:31:37.285000Z,sell,5.1e-06,37.0,0.0001887,8105271,true,true
PIVX/BTC,1656635497285,2022-07-01T00:31:37.285000Z,sell,5.1e-06,203.0,0.0010353,8105272,true,true
PIVX/BTC,1656635497285,2022-07-01T00:31:37.285000Z,sell,5.09e-06,42.0,0.00021378,8105273,true,true
PIVX/BTC,1656635497285,2022-07-01T00:31:37.285000Z,sell,5.09e-06,42.0,0.00021378,8105274,true,true
PIVX/BTC,1656635497285,2022-07-01T00:31:37.285000Z,sell,5.09e-06,42.0,0.00021378,8105275,true,true
PIVX/BTC,1656635497285,2022-07-01T00:31:37.285000Z,sell,5.09e-06,42.0,0.00021378,8105276,true,true
PIVX/BTC,1656635497285,2022-07-01T00:31:37.285000Z,sell,5.09e-06,576.0,0.00293184,8105277,true,true
PIVX/BTC,1656635505628,2022-07-01T00:31:45.628000Z,buy,5.1e-06,273.0,0.0013923,8105278,false,true
PIVX/BTC,1656635835376,2022-07-01T00:37:15.376000Z,sell,5.09e-06,420.0,0.0021378,8105279,true,true
PIVX/BTC,1656635835376,2022-07-01T00:37:15.376000Z,sell,5.09e-06,416.0,0.00211744,8105280,true,true
PIVX/BTC,1656635835376,2022-07-01T00:37:15.376000Z,sell,5.08e-06,137.0,0.00069596,8105281,true,true
PIVX/BTC,1656636409794,2022-07-01T00:46:49.794000Z,sell,5.09e-06,113.0,0.00057517,8105282,true,true
PIVX/BTC,1656636410030,2022-07-01T00:46:50.030000Z,sell,5.09e-06,811.0,0.00412799,8105283,true,true
PIVX/BTC,1656637098875,2022-07-01T00:58:18.875000Z,sell,5.08e-06,20.0,0.0001016,8105284,true,true
PIVX/BTC,1656637554477,2022-07-01T01:05:54.477000Z,buy,5.09e-06,2385.0,0.01213965,8105285,false,true
PIVX/BTC,1656637554477,2022-07-01T01:05:54.477000Z,buy,5.09e-06,3018.0,0.01536162,8105286,false,true
PIVX/BTC,1656637554477,2022-07-01T01:05:54.477000Z,buy,5.09e-06,2727.0,0.01388043,8105287,false,true
PIVX/BTC,1656637554477,2022-07-01T01:05:54.477000Z,buy,5.09e-06,3000.0,0.01527,8105288,false,true
PIVX/BTC,1656637554477,2022-07-01T01:05:54.477000Z,buy,5.09e-06,943.0,0.00479987,8105289,false,true
PIVX/BTC,1656637554477,2022-07-01T01:05:54.477000Z,buy,5.09e-06,1173.0,0.00597057,8105290,false,true
PIVX/BTC,1656637695765,2022-07-01T01:08:15.765000Z,buy,5.09e-06,31.0,0.00015779,8105291,false,true
PIVX/BTC,1656637695765,2022-07-01T01:08:15.765000Z,buy,5.09e-06,66.0,0.00033594,8105292,false,true
PIVX/BTC,1656638270071,2022-07-01T01:17:50.071000Z,sell,5.08e-06,79.0,0.00040132,8105293,true,true
PIVX/BTC,1656638301855,2022-07-01T01:18:21.855000Z,sell,5.08e-06,351.0,0.00178308,8105294,true,true
