symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
WABI/BTC,1623110428992,2021-06-08T00:00:28.992000Z,sell,6.69e-06,1289.0,0.00862341,11720531,true,true
WABI/BTC,1623110428992,2021-06-08T00:00:28.992000Z,sell,6.69e-06,1206.0,0.00806814,11720532,true,true
WABI/BTC,1623110431365,2021-06-08T00:00:31.365000Z,sell,6.7e-06,293.0,0.0019631,11720533,true,true
WABI/BTC,1623110451374,2021-06-08T00:00:51.374000Z,buy,6.72e-06,408.0,0.00274176,11720534,false,true
WABI/BTC,1623110451374,2021-06-08T00:00:51.374000Z,buy,6.72e-06,310.0,0.0020832,11720535,false,true
WABI/BTC,1623110451479,2021-06-08T00:00:51.479000Z,buy,6.72e-06,215.0,0.0014448,11720536,false,true
WABI/BTC,1623110495535,2021-06-08T00:01:35.535000Z,sell,6.71e-06,2458.0,0.01649318,11720537,true,true
WABI/BTC,1623110495535,2021-06-08T00:01:35.535000Z,sell,6.7e-06,1271.0,0.0085157,11720538,true,true
WABI/BTC,1623110495545,2021-06-08T00:01:35.545000Z,buy,6.72e-06,699.0,0.00469728,11720539,false,true
WABI/BTC,1623110495545,2021-06-08T00:01:35.545000Z,buy,6.72e-06,60.0,0.0004032,11720540,false,true
WABI/BTC,1623110497389,2021-06-08T00:01:37.389000Z,sell,6.7e-06,2879.0,0.0192893,11720541,true,true
WABI/BTC,1623110497389,2021-06-08T00:01:37.389000Z,sell,6.69e-06,850.0,0.0056865,11720542,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.7e-06,4402.0,0.0294934,11720543,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,274.0,0.00183306,11720544,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,63.0,0.00042147,11720545,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,34.0,0.00022746,11720546,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,186.0,0.00124434,11720547,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,15.0,0.00010035,11720548,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,15.0,0.00010035,11720549,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,15.0,0.00010035,11720550,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,66.0,0.00044154,11720551,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,15.0,0.00010035,11720552,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,1184.0,0.00792096,11720553,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,748.0,0.00500412,11720554,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,15.0,0.00010035,11720555,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,1993.0,0.01333317,11720556,true,true
WABI/BTC,1623110505495,2021-06-08T00:01:45.495000Z,sell,6.69e-06,12.0,8.028e-05,11720557,true,true
WABI/BTC,1623110670832,2021-06-08T00:04:30.832000Z,buy,6.73e-06,21.0,0.00014133,11720558,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.73e-06,7.0,4.711e-05,11720559,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.73e-06,104.0,0.00069992,11720560,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.73e-06,125.0,0.00084125,11720561,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.73e-06,123.0,0.00082779,11720562,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.73e-06,122.0,0.00082106,11720563,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.73e-06,20.0,0.0001346,11720564,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.74e-06,22.0,0.00014828,11720565,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.74e-06,60.0,0.0004044,11720566,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.74e-06,266.0,0.00179284,11720567,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.75e-06,32.0,0.000216,11720568,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.75e-06,42.0,0.0002835,11720569,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.75e-06,32.0,0.000216,11720570,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.76e-06,14.0,9.464e-05,11720571,false,true
WABI/BTC,1623110749308,2021-06-08T00:05:49.308000Z,buy,6.76e-06,88.0,0.00059488,11720572,false,true
WABI/BTC,1623110763376,2021-06-08T00:06:03.376000Z,sell,6.73e-06,20.0,0.0001346,11720573,true,true
WABI/BTC,1623110790978,2021-06-08T00:06:30.978000Z,buy,6.76e-06,87.0,0.00058812,11720574,false,true
WABI/BTC,1623110790978,2021-06-08T00:06:30.978000Z,buy,6.76e-06,13.0,8.788e-05,11720575,false,true
WABI/BTC,1623110795002,2021-06-08T00:06:35.002000Z,sell,6.71e-06,32.0,0.00021472,11720576,true,true
WABI/BTC,1623110795002,2021-06-08T00:06:35.002000Z,sell,6.71e-06,42.0,0.00028182,11720577,true,true
WABI/BTC,1623110795002,2021-06-08T00:06:35.002000Z,sell,6.71e-06,36.0,0.00024156,11720578,true,true
WABI/BTC,1623110797266,2021-06-08T00:06:37.266000Z,buy,6.76e-06,20.0,0.0001352,11720579,false,true
WABI/BTC,1623110797266,2021-06-08T00:06:37.266000Z,buy,6.76e-06,510.0,0.0034476,11720580,false,true
WABI/BTC,1623110912772,2021-06-08T00:08:32.772000Z,buy,6.75e-06,42.0,0.0002835,11720581,false,true
WABI/BTC,1623110912772,2021-06-08T00:08:32.772000Z,buy,6.75e-06,32.0,0.000216,11720582,false,true
WABI/BTC,1623110912772,2021-06-08T00:08:32.772000Z,buy,6.76e-06,142.0,0.00095992,11720583,false,true
WABI/BTC,1623111166179,2021-06-08T00:12:46.179000Z,buy,6.76e-06,36.0,0.00024336,11720584,false,true
WABI/BTC,1623111257847,2021-06-08T00:14:17.847000Z,buy,6.76e-06,47.0,0.00031772,11720585,false,true
WABI/BTC,1623111314926,2021-06-08T00:15:14.926000Z,buy,6.76e-06,27.0,0.00018252,11720586,false,true
WABI/BTC,1623111367133,2021-06-08T00:16:07.133000Z,buy,6.76e-06,65.0,0.0004394,11720587,false,true
WABI/BTC,1623111926046,2021-06-08T00:25:26.046000Z,sell,6.74e-06,105.0,0.0007077,11720588,true,true
WABI/BTC,1623112052787,2021-06-08T00:27:32.787000Z,buy,6.76e-06,1085.0,0.0073346,11720589,false,true
WABI/BTC,1623112052787,2021-06-08T00:27:32.787000Z,buy,6.76e-06,12.0,8.112e-05,11720590,false,true
WABI/BTC,1623112069516,2021-06-08T00:27:49.516000Z,buy,6.76e-06,3.0,2.028e-05,11720591,false,true
