symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
WAN/BTC,1655769631350,2022-06-21T00:00:31.350000Z,sell,8.65e-06,46.0,0.0003979,19318426,true,true
WAN/BTC,1655769650239,2022-06-21T00:00:50.239000Z,sell,8.64e-06,15.0,0.0001296,19318427,true,true
WAN/BTC,1655769666527,2022-06-21T00:01:06.527000Z,sell,8.64e-06,20.0,0.0001728,19318428,true,true
WAN/BTC,1655769695830,2022-06-21T00:01:35.830000Z,buy,8.64e-06,36.0,0.00031104,19318429,false,true
WAN/BTC,1655769763252,2022-06-21T00:02:43.252000Z,sell,8.65e-06,30.0,0.0002595,19318430,true,true
WAN/BTC,1655769778530,2022-06-21T00:02:58.530000Z,sell,8.65e-06,21.0,0.00018165,19318431,true,true
WAN/BTC,1655769806830,2022-06-21T00:03:26.830000Z,sell,8.65e-06,32.0,0.0002768,19318432,true,true
WAN/BTC,1655769837143,2022-06-21T00:03:57.143000Z,buy,8.64e-06,35.0,0.0003024,19318433,false,true
WAN/BTC,1655769844578,2022-06-21T00:04:04.578000Z,sell,8.63e-06,14.0,0.00012082,19318434,true,true
WAN/BTC,1655769844578,2022-06-21T00:04:04.578000Z,sell,8.62e-06,22.0,0.00018964,19318435,true,true
WAN/BTC,1655769882475,2022-06-21T00:04:42.475000Z,sell,8.63e-06,20.0,0.0001726,19318436,true,true
WAN/BTC,1655769909784,2022-06-21T00:05:09.784000Z,sell,8.63e-06,26.0,0.00022438,19318437,true,true
WAN/BTC,1655769980855,2022-06-21T00:06:20.855000Z,sell,8.63e-06,22.0,0.00018986,19318438,true,true
WAN/BTC,1655770005141,2022-06-21T00:06:45.141000Z,buy,8.63e-06,29.0,0.00025027,19318439,false,true
WAN/BTC,1655770028571,2022-06-21T00:07:08.571000Z,sell,8.64e-06,35.0,0.0003024,19318440,true,true
WAN/BTC,1655770050857,2022-06-21T00:07:30.857000Z,buy,8.64e-06,28.0,0.00024192,19318441,false,true
WAN/BTC,1655770110770,2022-06-21T00:08:30.770000Z,buy,8.66e-06,77.0,0.00066682,19318442,false,true
WAN/BTC,1655770139707,2022-06-21T00:08:59.707000Z,sell,8.66e-06,33.0,0.00028578,19318443,true,true
WAN/BTC,1655770151673,2022-06-21T00:09:11.673000Z,sell,8.64e-06,562.0,0.00485568,19318444,true,true
WAN/BTC,1655770151720,2022-06-21T00:09:11.720000Z,sell,8.63e-06,29.0,0.00025027,19318445,true,true
WAN/BTC,1655770151720,2022-06-21T00:09:11.720000Z,sell,8.62e-06,533.0,0.00459446,19318446,true,true
WAN/BTC,1655770168013,2022-06-21T00:09:28.013000Z,buy,8.64e-06,30.0,0.0002592,19318447,false,true
WAN/BTC,1655770294493,2022-06-21T00:11:34.493000Z,sell,8.65e-06,14.0,0.0001211,19318448,true,true
WAN/BTC,1655770313789,2022-06-21T00:11:53.789000Z,buy,8.65e-06,23.0,0.00019895,19318449,false,true
WAN/BTC,1655770357090,2022-06-21T00:12:37.090000Z,sell,8.65e-06,23.0,0.00019895,19318450,true,true
WAN/BTC,1655770387330,2022-06-21T00:13:07.330000Z,buy,8.65e-06,27.0,0.00023355,19318451,false,true
WAN/BTC,1655770455130,2022-06-21T00:14:15.130000Z,sell,8.62e-06,16.0,0.00013792,19318452,true,true
WAN/BTC,1655770529419,2022-06-21T00:15:29.419000Z,sell,8.63e-06,26.0,0.00022438,19318453,true,true
WAN/BTC,1655770573060,2022-06-21T00:16:13.060000Z,sell,8.64e-06,16.0,0.00013824,19318454,true,true
WAN/BTC,1655770605817,2022-06-21T00:16:45.817000Z,sell,8.65e-06,29.0,0.00025085,19318455,true,true
WAN/BTC,1655770635117,2022-06-21T00:17:15.117000Z,buy,8.65e-06,29.0,0.00025085,19318456,false,true
WAN/BTC,1655770651396,2022-06-21T00:17:31.396000Z,buy,8.65e-06,28.0,0.0002422,19318457,false,true
WAN/BTC,1655770676693,2022-06-21T00:17:56.693000Z,buy,8.66e-06,35.0,0.0003031,19318458,false,true
WAN/BTC,1655770752269,2022-06-21T00:19:12.269000Z,sell,8.64e-06,35.0,0.0003024,19318459,true,true
WAN/BTC,1655770769578,2022-06-21T00:19:29.578000Z,buy,8.63e-06,14.0,0.00012082,19318460,false,true
WAN/BTC,1655770787871,2022-06-21T00:19:47.871000Z,sell,8.63e-06,21.0,0.00018123,19318461,true,true
WAN/BTC,1655770805200,2022-06-21T00:20:05.200000Z,sell,8.63e-06,35.0,0.00030205,19318462,true,true
WAN/BTC,1655770811186,2022-06-21T00:20:11.186000Z,buy,8.64e-06,35.0,0.0003024,19318463,false,true
WAN/BTC,1655770811186,2022-06-21T00:20:11.186000Z,buy,8.64e-06,342.0,0.00295488,19318464,false,true
WAN/BTC,1655770832495,2022-06-21T00:20:32.495000Z,sell,8.64e-06,33.0,0.00028512,19318465,true,true
WAN/BTC,1655770849928,2022-06-21T00:20:49.928000Z,sell,8.63e-06,31.0,0.00026753,19318466,true,true
WAN/BTC,1655770896411,2022-06-21T00:21:36.411000Z,sell,8.62e-06,33.0,0.00028446,19318467,true,true
WAN/BTC,1655770901269,2022-06-21T00:21:41.269000Z,sell,8.63e-06,13.0,0.00011219,19318468,true,true
WAN/BTC,1655770923564,2022-06-21T00:22:03.564000Z,sell,8.62e-06,30.0,0.0002586,19318469,true,true
WAN/BTC,1655770947871,2022-06-21T00:22:27.871000Z,sell,8.61e-06,18.0,0.00015498,19318470,true,true
WAN/BTC,1655770972167,2022-06-21T00:22:52.167000Z,sell,8.61e-06,25.0,0.00021525,19318471,true,true
WAN/BTC,1655771020496,2022-06-21T00:23:40.496000Z,buy,8.62e-06,16.0,0.00013792,19318472,false,true
WAN/BTC,1655771049811,2022-06-21T00:24:09.811000Z,buy,8.62e-06,32.0,0.00027584,19318473,false,true
WAN/BTC,1655771076117,2022-06-21T00:24:36.117000Z,buy,8.62e-06,48.0,0.00041376,19318474,false,true
WAN/BTC,1655771189312,2022-06-21T00:26:29.312000Z,sell,8.62e-06,14.0,0.00012068,19318475,true,true
WAN/BTC,1655771266270,2022-06-21T00:27:46.270000Z,sell,8.62e-06,61.0,0.00052582,19318476,true,true
WAN/BTC,1655771288561,2022-06-21T00:28:08.561000Z,sell,8.62e-06,43.0,0.00037066,19318477,true,true
WAN/BTC,1655771305856,2022-06-21T00:28:25.856000Z,sell,8.62e-06,56.0,0.00048272,19318478,true,true
WAN/BTC,1655771330302,2022-06-21T00:28:50.302000Z,buy,8.62e-06,54.0,0.00046548,19318479,false,true
WAN/BTC,1655771358596,2022-06-21T00:29:18.596000Z,buy,8.62e-06,48.0,0.00041376,19318480,false,true
WAN/BTC,1655771377890,2022-06-21T00:29:37.890000Z,buy,8.62e-06,37.0,0.00031894,19318481,false,true
WAN/BTC,1655771423846,2022-06-21T00:30:23.846000Z,sell,8.62e-06,13.0,0.00011206,19318482,true,true
WAN/BTC,1655771441143,2022-06-21T00:30:41.143000Z,sell,8.62e-06,46.0,0.00039652,19318483,true,true
WAN/BTC,1655771471445,2022-06-21T00:31:11.445000Z,sell,8.62e-06,46.0,0.00039652,19318484,true,true
WAN/BTC,1655771473913,2022-06-21T00:31:13.913000Z,sell,8.61e-06,25.0,0.00021525,19318485,true,true
WAN/BTC,1655771498738,2022-06-21T00:31:38.738000Z,sell,8.61e-06,45.0,0.00038745,19318486,true,true
WAN/BTC,1655771582574,2022-06-21T00:33:02.574000Z,buy,8.62e-06,47.0,0.00040514,19318487,false,true
WAN/BTC,1655771603875,2022-06-21T00:33:23.875000Z,buy,8.62e-06,33.0,0.00028446,19318488,false,true
WAN/BTC,1655771621334,2022-06-21T00:33:41.334000Z,sell,8.62e-06,52.0,0.00044824,19318489,true,true
WAN/BTC,1655771636633,2022-06-21T00:33:56.633000Z,buy,8.62e-06,47.0,0.00040514,19318490,false,true
WAN/BTC,1655771664939,2022-06-21T00:34:24.939000Z,sell,8.62e-06,58.0,0.00049996,19318491,true,true
WAN/BTC,1655771706356,2022-06-21T00:35:06.356000Z,buy,8.62e-06,45.0,0.0003879,19318492,false,true
WAN/BTC,1655771726038,2022-06-21T00:35:26.038000Z,sell,8.61e-06,12.0,0.00010332,19318493,true,true
WAN/BTC,1655771730657,2022-06-21T00:35:30.657000Z,sell,8.62e-06,46.0,0.00039652,19318494,true,true
WAN/BTC,1655771748120,2022-06-21T00:35:48.120000Z,buy,8.63e-06,16.0,0.00013808,19318495,false,true
WAN/BTC,1655771748120,2022-06-21T00:35:48.120000Z,buy,8.64e-06,22.0,0.00019008,19318496,false,true
WAN/BTC,1655771843280,2022-06-21T00:37:23.280000Z,sell,8.63e-06,64.0,0.00055232,19318497,true,true
WAN/BTC,1655771858562,2022-06-21T00:37:38.562000Z,buy,8.62e-06,53.0,0.00045686,19318498,false,true
WAN/BTC,1655771934133,2022-06-21T00:38:54.133000Z,buy,8.62e-06,55.0,0.0004741,19318499,false,true
WAN/BTC,1655771954416,2022-06-21T00:39:14.416000Z,buy,8.61e-06,66.0,0.00056826,19318500,false,true
WAN/BTC,1655771973701,2022-06-21T00:39:33.701000Z,buy,8.61e-06,44.0,0.00037884,19318501,false,true
WAN/BTC,1655772027025,2022-06-21T00:40:27.025000Z,buy,8.61e-06,39.0,0.00033579,19318502,false,true
WAN/BTC,1655772046497,2022-06-21T00:40:46.497000Z,buy,8.61e-06,57.0,0.00049077,19318503,false,true
WAN/BTC,1655772071054,2022-06-21T00:41:11.054000Z,buy,8.61e-06,51.0,0.00043911,19318504,false,true
WAN/BTC,1655772101359,2022-06-21T00:41:41.359000Z,sell,8.61e-06,43.0,0.00037023,19318505,true,true
WAN/BTC,1655772149688,2022-06-21T00:42:29.688000Z,sell,8.61e-06,41.0,0.00035301,19318506,true,true
WAN/BTC,1655772178999,2022-06-21T00:42:58.999000Z,sell,8.61e-06,66.0,0.00056826,19318507,true,true
WAN/BTC,1655772372215,2022-06-21T00:46:12.215000Z,sell,8.6e-06,85.0,0.000731,19318508,true,true
