symbol,timestamp,datetime,side,price,amount,btc_volume,trade_id,is_buyer_maker,is_best_match
WNXM/BTC,1632787214821,2021-09-28T00:00:14.821000Z,buy,0.001321,0.43,0.00056803,2369168,false,true
WNXM/BTC,1632787283435,2021-09-28T00:01:23.435000Z,sell,0.00132,0.63,0.0008316,2369169,true,true
WNXM/BTC,1632787467040,2021-09-28T00:04:27.040000Z,buy,0.001323,5.3,0.0070119,2369170,false,true
WNXM/BTC,1632787467045,2021-09-28T00:04:27.045000Z,buy,0.001323,16.96,0.02243808,2369171,false,true
WNXM/BTC,1632787480185,2021-09-28T00:04:40.185000Z,sell,0.00132,0.1,0.000132,2369172,true,true
WNXM/BTC,1632787483284,2021-09-28T00:04:43.284000Z,buy,0.001323,0.13,0.00017199,2369173,false,true
WNXM/BTC,1632787640091,2021-09-28T00:07:20.091000Z,buy,0.00132,1.11,0.0014652,2369174,false,true
WNXM/BTC,1632787881258,2021-09-28T00:11:21.258000Z,buy,0.001319,3.61,0.00476159,2369175,false,true
WNXM/BTC,1632787974513,2021-09-28T00:12:54.513000Z,buy,0.001321,0.02,2.642e-05,2369176,false,true
WNXM/BTC,1632788116101,2021-09-28T00:15:16.101000Z,buy,0.00132,2.03,0.0026796,2369177,false,true
WNXM/BTC,1632788723355,2021-09-28T00:25:23.355000Z,buy,0.00132,0.12,0.0001584,2369178,false,true
WNXM/BTC,1632788723355,2021-09-28T00:25:23.355000Z,buy,0.001322,2.16,0.00285552,2369179,false,true
WNXM/BTC,1632788723403,2021-09-28T00:25:23.403000Z,buy,0.001322,2.54,0.00335788,2369180,false,true
WNXM/BTC,1632788755380,2021-09-28T00:25:55.380000Z,buy,0.001322,28.07,0.03710854,2369181,false,true
WNXM/BTC,1632788856543,2021-09-28T00:27:36.543000Z,buy,0.001322,3.9,0.0051558,2369182,false,true
WNXM/BTC,1632788865308,2021-09-28T00:27:45.308000Z,buy,0.001322,2.2,0.0029084,2369183,false,true
WNXM/BTC,1632788920794,2021-09-28T00:28:40.794000Z,buy,0.001322,4.4,0.0058168,2369184,false,true
WNXM/BTC,1632789097132,2021-09-28T00:31:37.132000Z,sell,0.001319,5.31,0.00700389,2369185,true,true
WNXM/BTC,1632789097137,2021-09-28T00:31:37.137000Z,sell,0.001319,4.69,0.00618611,2369186,true,true
WNXM/BTC,1632789097137,2021-09-28T00:31:37.137000Z,sell,0.001318,0.33,0.00043494,2369187,true,true
WNXM/BTC,1632789913156,2021-09-28T00:45:13.156000Z,sell,0.001318,0.09,0.00011862,2369188,true,true
WNXM/BTC,1632789947613,2021-09-28T00:45:47.613000Z,buy,0.001318,0.09,0.00011862,2369189,false,true
WNXM/BTC,1632790156842,2021-09-28T00:49:16.842000Z,sell,0.001318,1.61,0.00212198,2369190,true,true
WNXM/BTC,1632790396542,2021-09-28T00:53:16.542000Z,buy,0.001322,0.02,2.644e-05,2369191,false,true
WNXM/BTC,1632791109380,2021-09-28T01:05:09.380000Z,buy,0.001319,11.56,0.01524764,2369192,false,true
WNXM/BTC,1632791114029,2021-09-28T01:05:14.029000Z,buy,0.00132,1.46,0.0019272,2369193,false,true
WNXM/BTC,1632791114029,2021-09-28T01:05:14.029000Z,buy,0.00132,10.31,0.0136092,2369194,false,true
WNXM/BTC,1632791293091,2021-09-28T01:08:13.091000Z,sell,0.001317,4.24,0.00558408,2369195,true,true
WNXM/BTC,1632791423090,2021-09-28T01:10:23.090000Z,sell,0.001316,0.44,0.00057904,2369196,true,true
WNXM/BTC,1632791423090,2021-09-28T01:10:23.090000Z,sell,0.001316,0.48,0.00063168,2369197,true,true
WNXM/BTC,1632791423185,2021-09-28T01:10:23.185000Z,sell,0.001316,0.92,0.00121072,2369198,true,true
WNXM/BTC,1632791423321,2021-09-28T01:10:23.321000Z,sell,0.001316,8.6,0.0113176,2369199,true,true
WNXM/BTC,1632791465834,2021-09-28T01:11:05.834000Z,buy,0.001316,0.71,0.00093436,2369200,false,true
WNXM/BTC,1632792160015,2021-09-28T01:22:40.015000Z,buy,0.001316,0.02,2.632e-05,2369201,false,true
WNXM/BTC,1632792160154,2021-09-28T01:22:40.154000Z,buy,0.001316,2.3,0.0030268,2369202,false,true
WNXM/BTC,1632792160345,2021-09-28T01:22:40.345000Z,buy,0.001316,0.28,0.00036848,2369203,false,true
WNXM/BTC,1632792681156,2021-09-28T01:31:21.156000Z,sell,0.001315,10.0,0.01315,2369204,true,true
WNXM/BTC,1632792685382,2021-09-28T01:31:25.382000Z,sell,0.001314,0.3,0.0003942,2369205,true,true
WNXM/BTC,1632792685382,2021-09-28T01:31:25.382000Z,sell,0.001314,1.41,0.00185274,2369206,true,true
WNXM/BTC,1632792686079,2021-09-28T01:31:26.079000Z,sell,0.001313,0.43,0.00056459,2369207,true,true
WNXM/BTC,1632792686079,2021-09-28T01:31:26.079000Z,sell,0.001313,0.38,0.00049894,2369208,true,true
WNXM/BTC,1632792686398,2021-09-28T01:31:26.398000Z,sell,0.001312,1.04,0.00136448,2369209,true,true
WNXM/BTC,1632792686398,2021-09-28T01:31:26.398000Z,sell,0.001312,12.75,0.016728,2369210,true,true
WNXM/BTC,1632792686500,2021-09-28T01:31:26.500000Z,sell,0.001312,12.75,0.016728,2369211,true,true
WNXM/BTC,1632792687338,2021-09-28T01:31:27.338000Z,sell,0.001312,12.75,0.016728,2369212,true,true
WNXM/BTC,1632792687338,2021-09-28T01:31:27.338000Z,sell,0.001312,0.41,0.00053792,2369213,true,true
