symbol,timestamp,datetime,side,price,amount,btc_volume
BCD/BTC,1528297250096,2018-06-06T15:00:50.096Z,buy,0.002518,1.0,0.002518
BCD/BTC,1528297296174,2018-06-06T15:01:36.174Z,buy,0.002515,2.384,0.0059957599999999
BCD/BTC,1528297324971,2018-06-06T15:02:04.971Z,sell,0.002513,1.343,0.003374959
BCD/BTC,1528297324971,2018-06-06T15:02:04.971Z,sell,0.002511,8.782,0.022051602
BCD/BTC,1528297384039,2018-06-06T15:03:04.039Z,sell,0.002512,12.519,0.031447728
BCD/BTC,1528297783885,2018-06-06T15:09:43.885Z,sell,0.002512,0.8,0.0020096
BCD/BTC,1528297804770,2018-06-06T15:10:04.770Z,sell,0.002512,12.5,0.0314
BCD/BTC,1528297818216,2018-06-06T15:10:18.216Z,buy,0.002518,0.99,0.0024928199999999
BCD/BTC,1528297818363,2018-06-06T15:10:18.363Z,buy,0.002518,1.58,0.00397844
BCD/BTC,1528297820039,2018-06-06T15:10:20.039Z,buy,0.002518,5.223,0.013151514
BCD/BTC,1528297820039,2018-06-06T15:10:20.039Z,buy,0.002521,2.707,0.0068243469999999
BCD/BTC,1528297821435,2018-06-06T15:10:21.435Z,buy,0.002521,1.58,0.00398318
BCD/BTC,1528297821457,2018-06-06T15:10:21.457Z,buy,0.002521,11.9,0.0299999
BCD/BTC,1528297823412,2018-06-06T15:10:23.412Z,buy,0.002521,3.96,0.00998316
BCD/BTC,1528297823979,2018-06-06T15:10:23.979Z,buy,0.002521,7.597,0.019152037
BCD/BTC,1528297824192,2018-06-06T15:10:24.192Z,sell,0.002521,4.301,0.0108428209999999
BCD/BTC,1528297835076,2018-06-06T15:10:35.076Z,sell,0.002521,5.799,0.014619279
BCD/BTC,1528297858395,2018-06-06T15:10:58.395Z,buy,0.002522,10.119,0.0255201179999999
BCD/BTC,1528297873878,2018-06-06T15:11:13.878Z,buy,0.002522,4.917,0.0124006739999999
BCD/BTC,1528297889428,2018-06-06T15:11:29.428Z,buy,0.002522,9.971,0.025146862
BCD/BTC,1528297904922,2018-06-06T15:11:44.922Z,buy,0.002522,9.516,0.0239993519999999
BCD/BTC,1528298163997,2018-06-06T15:16:03.997Z,sell,0.002515,3.714,0.0093407099999999
BCD/BTC,1528298163997,2018-06-06T15:16:03.997Z,sell,0.002514,5.114,0.012856596
BCD/BTC,1528298163997,2018-06-06T15:16:03.997Z,sell,0.002512,3.667,0.0092115039999999
BCD/BTC,1528298350791,2018-06-06T15:19:10.791Z,buy,0.002517,0.439,0.001104963
BCD/BTC,1528298372738,2018-06-06T15:19:32.738Z,sell,0.002512,1.0,0.002512
BCD/BTC,1528298489355,2018-06-06T15:21:29.355Z,sell,0.002513,2.152,0.005407976
BCD/BTC,1528298583186,2018-06-06T15:23:03.186Z,sell,0.002513,17.135,0.043060255
BCD/BTC,1528299227989,2018-06-06T15:33:47.989Z,sell,0.002514,4.5,0.011313
BCD/BTC,1528299275115,2018-06-06T15:34:35.115Z,buy,0.002517,0.795,0.002001015
BCD/BTC,1528299276429,2018-06-06T15:34:36.429Z,buy,0.002517,2.383,0.005998011
BCD/BTC,1528299288854,2018-06-06T15:34:48.854Z,buy,0.002517,0.795,0.002001015
BCD/BTC,1528299293620,2018-06-06T15:34:53.620Z,buy,0.002517,0.702,0.001766934
BCD/BTC,1528299293620,2018-06-06T15:34:53.620Z,buy,0.002521,3.714,0.009362994
BCD/BTC,1528299293620,2018-06-06T15:34:53.620Z,buy,0.002522,1.55,0.0039091
BCD/BTC,1528299294037,2018-06-06T15:34:54.037Z,buy,0.002522,0.675,0.00170235
BCD/BTC,1528299304046,2018-06-06T15:35:04.046Z,buy,0.002522,27.722,0.069914884
BCD/BTC,1528299304668,2018-06-06T15:35:04.668Z,buy,0.002522,0.738,0.0018612359999999
BCD/BTC,1528299310858,2018-06-06T15:35:10.858Z,buy,0.002522,0.397,0.001001234
BCD/BTC,1528299327400,2018-06-06T15:35:27.400Z,buy,0.002522,0.793,0.001999946
BCD/BTC,1528299340900,2018-06-06T15:35:40.900Z,sell,0.002515,1.0,0.002515
BCD/BTC,1528299722791,2018-06-06T15:42:02.791Z,buy,0.002519,1.0,0.002519
BCD/BTC,1528299722791,2018-06-06T15:42:02.791Z,buy,0.00252,0.592,0.00149184
BCD/BTC,1528299722791,2018-06-06T15:42:02.791Z,buy,0.002522,2.377,0.0059947939999999
BCD/BTC,1528299803273,2018-06-06T15:43:23.273Z,sell,0.002517,0.551,0.001386867
BCD/BTC,1528299963050,2018-06-06T15:46:03.050Z,sell,0.002517,1.068,0.002688156
BCD/BTC,1528300346458,2018-06-06T15:52:26.458Z,buy,0.002522,38.348,0.096713656
BCD/BTC,1528300346458,2018-06-06T15:52:26.458Z,buy,0.002523,64.234,0.162062382
BCD/BTC,1528300404174,2018-06-06T15:53:24.174Z,sell,0.002519,3.0,0.0075569999999999
BCD/BTC,1528300404174,2018-06-06T15:53:24.174Z,sell,0.002517,66.649,0.167755533
BCD/BTC,1528300404174,2018-06-06T15:53:24.174Z,sell,0.002516,3.686,0.009273976
BCD/BTC,1528300404174,2018-06-06T15:53:24.174Z,sell,0.002515,24.6,0.061869
BCD/BTC,1528300404174,2018-06-06T15:53:24.174Z,sell,0.002514,94.357,0.237213498
BCD/BTC,1528300508721,2018-06-06T15:55:08.721Z,buy,0.002523,3.963,0.009998649
