symbol,timestamp,datetime,side,price,amount,btc_volume
BTS/BTC,1562519703960,2019-07-07T17:15:03.960Z,buy,5.34e-06,297.0,0.0015859799999999
BTS/BTC,1562519756365,2019-07-07T17:15:56.365Z,buy,5.34e-06,824.0,0.00440016
BTS/BTC,1562519756712,2019-07-07T17:15:56.712Z,sell,5.34e-06,112.0,0.00059808
BTS/BTC,1562519807148,2019-07-07T17:16:47.148Z,buy,5.35e-06,189.0,0.00101115
BTS/BTC,1562520041224,2019-07-07T17:20:41.224Z,sell,5.33e-06,202.0,0.00107666
BTS/BTC,1562520044309,2019-07-07T17:20:44.309Z,buy,5.34e-06,202.0,0.0010786799999999
BTS/BTC,1562520633531,2019-07-07T17:30:33.531Z,sell,5.33e-06,203.0,0.00108199
BTS/BTC,1562520645828,2019-07-07T17:30:45.828Z,sell,5.33e-06,1067.0,0.0056871099999999
BTS/BTC,1562520646121,2019-07-07T17:30:46.121Z,buy,5.33e-06,769.0,0.00409877
BTS/BTC,1562520646132,2019-07-07T17:30:46.132Z,buy,5.33e-06,34.0,0.00018122
BTS/BTC,1562520646132,2019-07-07T17:30:46.132Z,buy,5.34e-06,203.0,0.00108402
BTS/BTC,1562520646782,2019-07-07T17:30:46.782Z,sell,5.34e-06,63.0,0.00033642
BTS/BTC,1562520692947,2019-07-07T17:31:32.947Z,sell,5.33e-06,249.0,0.00132717
BTS/BTC,1562521000943,2019-07-07T17:36:40.943Z,buy,5.34e-06,389.0,0.00207726
BTS/BTC,1562521054333,2019-07-07T17:37:34.333Z,buy,5.34e-06,209.0,0.0011160599999999
BTS/BTC,1562521231723,2019-07-07T17:40:31.723Z,sell,5.33e-06,203.0,0.00108199
BTS/BTC,1562521258827,2019-07-07T17:40:58.827Z,sell,5.33e-06,1075.0,0.00572975
BTS/BTC,1562521259830,2019-07-07T17:40:59.830Z,sell,5.33e-06,581.0,0.00309673
BTS/BTC,1562521275470,2019-07-07T17:41:15.470Z,sell,5.32e-06,752.0,0.00400064
BTS/BTC,1562521308417,2019-07-07T17:41:48.417Z,sell,5.32e-06,4865.0,0.0258818
BTS/BTC,1562521387832,2019-07-07T17:43:07.832Z,sell,5.33e-06,1202.0,0.00640666
BTS/BTC,1562521409631,2019-07-07T17:43:29.631Z,buy,5.34e-06,516.0,0.0027554399999999
BTS/BTC,1562521417584,2019-07-07T17:43:37.584Z,buy,5.34e-06,19190.0,0.1024746
BTS/BTC,1562521519369,2019-07-07T17:45:19.369Z,buy,5.35e-06,300.0,0.0016049999999999
BTS/BTC,1562521535215,2019-07-07T17:45:35.215Z,buy,5.35e-06,370.0,0.0019795
BTS/BTC,1562521556042,2019-07-07T17:45:56.042Z,sell,5.34e-06,1000.0,0.0053399999999999
BTS/BTC,1562521755361,2019-07-07T17:49:15.361Z,sell,5.34e-06,1073.0,0.00572982
BTS/BTC,1562521755385,2019-07-07T17:49:15.385Z,sell,5.34e-06,2739.0,0.0146262599999999
BTS/BTC,1562521777321,2019-07-07T17:49:37.321Z,sell,5.33e-06,1980.0,0.0105534
BTS/BTC,1562521777343,2019-07-07T17:49:37.343Z,sell,5.33e-06,8810.0,0.0469573
BTS/BTC,1562521781845,2019-07-07T17:49:41.845Z,sell,5.32e-06,23311.0,0.12401452
BTS/BTC,1562521787847,2019-07-07T17:49:47.847Z,sell,5.31e-06,225.0,0.00119475
BTS/BTC,1562521793846,2019-07-07T17:49:53.846Z,sell,5.3e-06,7948.0,0.0421244
BTS/BTC,1562521801848,2019-07-07T17:50:01.848Z,sell,5.29e-06,208.0,0.00110032
BTS/BTC,1562521802814,2019-07-07T17:50:02.814Z,buy,5.3e-06,500.0,0.00265
BTS/BTC,1562521803267,2019-07-07T17:50:03.267Z,buy,5.3e-06,291.0,0.0015423
BTS/BTC,1562521852293,2019-07-07T17:50:52.293Z,sell,5.29e-06,227.0,0.00120083
BTS/BTC,1562521891654,2019-07-07T17:51:31.654Z,buy,5.31e-06,932.0,0.00494892
BTS/BTC,1562521894764,2019-07-07T17:51:34.764Z,buy,5.31e-06,967.0,0.00513477
BTS/BTC,1562521894764,2019-07-07T17:51:34.764Z,buy,5.31e-06,1371.0,0.00728001
BTS/BTC,1562521895490,2019-07-07T17:51:35.490Z,buy,5.31e-06,1704.0,0.00904824
BTS/BTC,1562521896473,2019-07-07T17:51:36.473Z,buy,5.31e-06,323.0,0.00171513
BTS/BTC,1562521896619,2019-07-07T17:51:36.619Z,buy,5.31e-06,682.0,0.00362142
BTS/BTC,1562521896619,2019-07-07T17:51:36.619Z,buy,5.32e-06,29.0,0.00015428
BTS/BTC,1562521898281,2019-07-07T17:51:38.281Z,buy,5.31e-06,455.0,0.00241605
BTS/BTC,1562521898466,2019-07-07T17:51:38.466Z,buy,5.31e-06,155.0,0.00082305
BTS/BTC,1562521898466,2019-07-07T17:51:38.466Z,buy,5.32e-06,145.0,0.0007714
BTS/BTC,1562521905279,2019-07-07T17:51:45.279Z,buy,5.32e-06,391.0,0.00208012
BTS/BTC,1562522131417,2019-07-07T17:55:31.417Z,buy,5.3e-06,783.0,0.0041499
BTS/BTC,1562522144770,2019-07-07T17:55:44.770Z,buy,5.3e-06,1700.0,0.00901
BTS/BTC,1562522154746,2019-07-07T17:55:54.746Z,buy,5.3e-06,999.0,0.0052947
BTS/BTC,1562522157706,2019-07-07T17:55:57.706Z,buy,5.3e-06,2196.0,0.0116388
BTS/BTC,1562522168136,2019-07-07T17:56:08.136Z,buy,5.3e-06,630.0,0.003339
BTS/BTC,1562522215460,2019-07-07T17:56:55.460Z,sell,5.29e-06,190.0,0.0010051
BTS/BTC,1562522215460,2019-07-07T17:56:55.460Z,sell,5.28e-06,11.0,5.808e-05
BTS/BTC,1562522223357,2019-07-07T17:57:03.357Z,sell,5.28e-06,2494.0,0.01316832
BTS/BTC,1562522303997,2019-07-07T17:58:23.997Z,buy,5.29e-06,300.0,0.001587
BTS/BTC,1562522304952,2019-07-07T17:58:24.952Z,buy,5.29e-06,432.0,0.00228528
