symbol,timestamp,datetime,side,price,amount,btc_volume
DATA/BTC,1564862487351,2019-08-03T20:01:27.351Z,buy,1.3e-06,24.0,3.12e-05
DATA/BTC,1564862769849,2019-08-03T20:06:09.849Z,buy,1.3e-06,27.0,3.51e-05
DATA/BTC,1564863223447,2019-08-03T20:13:43.447Z,sell,1.29e-06,6924.0,0.00893196
DATA/BTC,1564863276194,2019-08-03T20:14:36.194Z,buy,1.3e-06,22.0,2.86e-05
DATA/BTC,1564863898235,2019-08-03T20:24:58.235Z,buy,1.3e-06,23.0,2.99e-05
DATA/BTC,1564864231291,2019-08-03T20:30:31.291Z,buy,1.3e-06,26.0,3.38e-05
DATA/BTC,1564865050173,2019-08-03T20:44:10.173Z,buy,1.3e-06,26.0,3.38e-05
DATA/BTC,1564865473097,2019-08-03T20:51:13.097Z,sell,1.29e-06,3462.0,0.00446598
DATA/BTC,1564865761069,2019-08-03T20:56:01.069Z,buy,1.3e-06,28.0,3.64e-05
DATA/BTC,1564865761069,2019-08-03T20:56:01.069Z,buy,1.3e-06,28.0,3.64e-05
DATA/BTC,1564866931201,2019-08-03T21:15:31.201Z,sell,1.29e-06,12161.0,0.01568769
DATA/BTC,1564866931231,2019-08-03T21:15:31.231Z,buy,1.29e-06,6309.0,0.00813861
DATA/BTC,1564867506407,2019-08-03T21:25:06.407Z,sell,1.28e-06,349686.0,0.44759808
DATA/BTC,1564867507100,2019-08-03T21:25:07.100Z,sell,1.27e-06,2612.0,0.00331724
DATA/BTC,1564867507100,2019-08-03T21:25:07.100Z,sell,1.27e-06,1426.0,0.0018110199999999
DATA/BTC,1564867508805,2019-08-03T21:25:08.805Z,buy,1.28e-06,3125.0,0.004
DATA/BTC,1564867509434,2019-08-03T21:25:09.434Z,sell,1.27e-06,770.0,0.0009778999999999
DATA/BTC,1564867509764,2019-08-03T21:25:09.764Z,sell,1.27e-06,1968.0,0.00249936
DATA/BTC,1564867510484,2019-08-03T21:25:10.484Z,sell,1.27e-06,405.0,0.00051435
DATA/BTC,1564867515380,2019-08-03T21:25:15.380Z,buy,1.28e-06,10019.0,0.01282432
DATA/BTC,1564867517361,2019-08-03T21:25:17.361Z,buy,1.28e-06,10019.0,0.01282432
DATA/BTC,1564867519363,2019-08-03T21:25:19.363Z,buy,1.28e-06,10017.0,0.01282176
DATA/BTC,1564867563149,2019-08-03T21:26:03.149Z,sell,1.27e-06,2574.0,0.00326898
DATA/BTC,1564867631744,2019-08-03T21:27:11.744Z,buy,1.28e-06,110.0,0.0001408
DATA/BTC,1564867637366,2019-08-03T21:27:17.366Z,buy,1.28e-06,2344.0,0.00300032
DATA/BTC,1564867710921,2019-08-03T21:28:30.921Z,sell,1.27e-06,1481.0,0.0018808699999999
DATA/BTC,1564867724515,2019-08-03T21:28:44.515Z,buy,1.28e-06,25.0,3.2e-05
DATA/BTC,1564867776389,2019-08-03T21:29:36.389Z,buy,1.28e-06,27.0,3.456e-05
DATA/BTC,1564867833360,2019-08-03T21:30:33.360Z,buy,1.28e-06,27.0,3.456e-05
DATA/BTC,1564867999183,2019-08-03T21:33:19.183Z,buy,1.28e-06,782.0,0.00100096
DATA/BTC,1564868097748,2019-08-03T21:34:57.748Z,buy,1.28e-06,1938.0,0.00248064
DATA/BTC,1564868185961,2019-08-03T21:36:25.961Z,buy,1.28e-06,321567.0,0.41160576
DATA/BTC,1564868186072,2019-08-03T21:36:26.072Z,sell,1.28e-06,60916.0,0.07797248
DATA/BTC,1564868755182,2019-08-03T21:45:55.182Z,buy,1.28e-06,1875.0,0.0024
DATA/BTC,1564868773154,2019-08-03T21:46:13.154Z,buy,1.28e-06,481.0,0.00061568
DATA/BTC,1564868806578,2019-08-03T21:46:46.578Z,buy,1.28e-06,1136.0,0.00145408
DATA/BTC,1564868817943,2019-08-03T21:46:57.943Z,buy,1.28e-06,582.0,0.00074496
DATA/BTC,1564869074725,2019-08-03T21:51:14.725Z,buy,1.28e-06,26.0,3.328e-05
DATA/BTC,1564869276338,2019-08-03T21:54:36.338Z,buy,1.28e-06,602.0,0.00077056
DATA/BTC,1564869295613,2019-08-03T21:54:55.613Z,buy,1.28e-06,591.0,0.00075648
DATA/BTC,1564869352032,2019-08-03T21:55:52.032Z,buy,1.28e-06,4917.0,0.00629376
DATA/BTC,1564869352032,2019-08-03T21:55:52.032Z,buy,1.28e-06,4917.0,0.00629376
DATA/BTC,1564869385356,2019-08-03T21:56:25.356Z,buy,1.28e-06,399.0,0.00051072
DATA/BTC,1564869399333,2019-08-03T21:56:39.333Z,buy,1.28e-06,399.0,0.00051072
DATA/BTC,1564869421622,2019-08-03T21:57:01.622Z,buy,1.28e-06,418.0,0.00053504
DATA/BTC,1564869423764,2019-08-03T21:57:03.764Z,buy,1.28e-06,90.0,0.0001152
DATA/BTC,1564869588255,2019-08-03T21:59:48.255Z,buy,1.28e-06,22.0,2.816e-05
DATA/BTC,1564869883912,2019-08-03T22:04:43.912Z,buy,1.28e-06,117.0,0.00014976
DATA/BTC,1564870497460,2019-08-03T22:14:57.460Z,buy,1.28e-06,122.0,0.00015616
DATA/BTC,1564870501409,2019-08-03T22:15:01.409Z,buy,1.28e-06,29.0,3.712e-05
DATA/BTC,1564870566979,2019-08-03T22:16:06.979Z,buy,1.28e-06,24837.0,0.03179136
DATA/BTC,1564870566984,2019-08-03T22:16:06.984Z,buy,1.28e-06,24844.0,0.03180032
DATA/BTC,1564870566997,2019-08-03T22:16:06.997Z,buy,1.28e-06,9167.0,0.01173376
DATA/BTC,1564870566998,2019-08-03T22:16:06.998Z,buy,1.28e-06,36.0,4.608e-05
DATA/BTC,1564870570111,2019-08-03T22:16:10.111Z,sell,1.27e-06,9167.0,0.0116420899999999
DATA/BTC,1564870572013,2019-08-03T22:16:12.013Z,buy,1.28e-06,635.0,0.0008128
DATA/BTC,1564870575021,2019-08-03T22:16:15.021Z,sell,1.27e-06,318.0,0.0004038599999999
DATA/BTC,1564870578552,2019-08-03T22:16:18.552Z,sell,1.27e-06,247.0,0.00031369
DATA/BTC,1564870607838,2019-08-03T22:16:47.838Z,buy,1.28e-06,24214.0,0.03099392
DATA/BTC,1564870664669,2019-08-03T22:17:44.669Z,buy,1.29e-06,1026.0,0.00132354
DATA/BTC,1564870914791,2019-08-03T22:21:54.791Z,buy,1.29e-06,108.0,0.00013932
DATA/BTC,1564870945443,2019-08-03T22:22:25.443Z,buy,1.29e-06,118.0,0.00015222
DATA/BTC,1564870988012,2019-08-03T22:23:08.012Z,sell,1.28e-06,995.0,0.0012736
DATA/BTC,1564871619005,2019-08-03T22:33:39.005Z,sell,1.28e-06,15548.0,0.01990144
DATA/BTC,1564871661539,2019-08-03T22:34:21.539Z,buy,1.28e-06,780.0,0.0009984
DATA/BTC,1564871843984,2019-08-03T22:37:23.984Z,sell,1.27e-06,64601.0,0.0820432699999999
DATA/BTC,1564872038290,2019-08-03T22:40:38.290Z,buy,1.28e-06,9516.0,0.01218048
DATA/BTC,1564872038639,2019-08-03T22:40:38.639Z,buy,1.28e-06,23.0,2.944e-05
DATA/BTC,1564872274294,2019-08-03T22:44:34.294Z,buy,1.28e-06,758.0,0.00097024
DATA/BTC,1564872288449,2019-08-03T22:44:48.449Z,sell,1.27e-06,782.0,0.00099314
DATA/BTC,1564872786205,2019-08-03T22:53:06.205Z,buy,1.28e-06,207.0,0.00026496
DATA/BTC,1564872830000,2019-08-03T22:53:50.000Z,buy,1.28e-06,200.0,0.000256
DATA/BTC,1564872839261,2019-08-03T22:53:59.261Z,buy,1.28e-06,787.0,0.00100736
DATA/BTC,1564872839261,2019-08-03T22:53:59.261Z,buy,1.28e-06,787.0,0.00100736
DATA/BTC,1564873582104,2019-08-03T23:06:22.104Z,buy,1.28e-06,426.0,0.00054528
DATA/BTC,1564873582604,2019-08-03T23:06:22.604Z,buy,1.28e-06,439.0,0.00056192
DATA/BTC,1564873657670,2019-08-03T23:07:37.670Z,sell,1.27e-06,778.0,0.00098806
DATA/BTC,1564873953178,2019-08-03T23:12:33.178Z,buy,1.28e-06,23.0,2.944e-05
DATA/BTC,1564874126905,2019-08-03T23:15:26.905Z,sell,1.27e-06,2561.0,0.00325247
DATA/BTC,1564874136305,2019-08-03T23:15:36.305Z,buy,1.27e-06,22.0,2.794e-05
DATA/BTC,1564874141900,2019-08-03T23:15:41.900Z,sell,1.26e-06,1436.0,0.00180936
DATA/BTC,1564874146468,2019-08-03T23:15:46.468Z,sell,1.26e-06,405.0,0.0005103
DATA/BTC,1564874157047,2019-08-03T23:15:57.047Z,sell,1.26e-06,20225.0,0.0254835
DATA/BTC,1564874157200,2019-08-03T23:15:57.200Z,sell,1.26e-06,969.0,0.00122094
DATA/BTC,1564874158778,2019-08-03T23:15:58.778Z,buy,1.27e-06,1921.0,0.0024396699999999
DATA/BTC,1564874166151,2019-08-03T23:16:06.151Z,buy,1.27e-06,17444.0,0.0221538799999999
DATA/BTC,1564874178996,2019-08-03T23:16:18.996Z,buy,1.27e-06,1000.0,0.0012699999999999
DATA/BTC,1564874179406,2019-08-03T23:16:19.406Z,buy,1.27e-06,1000.0,0.0012699999999999
DATA/BTC,1564874179769,2019-08-03T23:16:19.769Z,buy,1.27e-06,499.0,0.00063373
DATA/BTC,1564874180159,2019-08-03T23:16:20.159Z,buy,1.28e-06,29.0,3.712e-05
DATA/BTC,1564874519257,2019-08-03T23:21:59.257Z,sell,1.27e-06,80.0,0.0001015999999999
DATA/BTC,1564875485683,2019-08-03T23:38:05.683Z,buy,1.28e-06,14277.0,0.01827456
DATA/BTC,1564875921478,2019-08-03T23:45:21.478Z,sell,1.26e-06,883.0,0.00111258
DATA/BTC,1564875969705,2019-08-03T23:46:09.705Z,buy,1.28e-06,80.0,0.0001024
DATA/BTC,1564875975766,2019-08-03T23:46:15.766Z,sell,1.27e-06,222.0,0.00028194
DATA/BTC,1564875975766,2019-08-03T23:46:15.766Z,sell,1.26e-06,5582.0,0.00703332
DATA/BTC,1564875975766,2019-08-03T23:46:15.766Z,sell,1.27e-06,222.0,0.00028194
DATA/BTC,1564875975766,2019-08-03T23:46:15.766Z,sell,1.26e-06,5582.0,0.00703332
DATA/BTC,1564876767766,2019-08-03T23:59:27.766Z,buy,1.28e-06,80.0,0.0001024
DATA/BTC,1564876800917,2019-08-04T00:00:00.917Z,buy,1.28e-06,80.0,0.0001024
DATA/BTC,1564876810154,2019-08-04T00:00:10.154Z,buy,1.28e-06,408.0,0.00052224
DATA/BTC,1564878228022,2019-08-04T00:23:48.022Z,sell,1.27e-06,628.0,0.0007975599999999
DATA/BTC,1564879328391,2019-08-04T00:42:08.391Z,sell,1.26e-06,90129.0,0.11356254
DATA/BTC,1564879330815,2019-08-04T00:42:10.815Z,sell,1.26e-06,405.0,0.0005103
DATA/BTC,1564879330815,2019-08-04T00:42:10.815Z,sell,1.26e-06,405.0,0.0005103
DATA/BTC,1564879770274,2019-08-04T00:49:30.274Z,buy,1.27e-06,3292.0,0.00418084
DATA/BTC,1564880259005,2019-08-04T00:57:39.005Z,buy,1.27e-06,3022.0,0.0038379399999999
DATA/BTC,1564880259034,2019-08-04T00:57:39.034Z,buy,1.27e-06,2767.0,0.0035140899999999
DATA/BTC,1564880259754,2019-08-04T00:57:39.754Z,buy,1.27e-06,3022.0,0.0038379399999999
DATA/BTC,1564880261999,2019-08-04T00:57:41.999Z,buy,1.27e-06,984.0,0.00124968
DATA/BTC,1564880271164,2019-08-04T00:57:51.164Z,buy,1.27e-06,2264.0,0.0028752799999999
DATA/BTC,1564880271192,2019-08-04T00:57:51.192Z,buy,1.27e-06,2264.0,0.0028752799999999
DATA/BTC,1564880271192,2019-08-04T00:57:51.192Z,buy,1.27e-06,2264.0,0.0028752799999999
DATA/BTC,1564883820571,2019-08-04T01:57:00.571Z,buy,1.27e-06,93.0,0.0001181099999999
DATA/BTC,1564883820833,2019-08-04T01:57:00.833Z,buy,1.27e-06,1000.0,0.0012699999999999
DATA/BTC,1564883820833,2019-08-04T01:57:00.833Z,buy,1.27e-06,1000.0,0.0012699999999999
DATA/BTC,1564884367189,2019-08-04T02:06:07.189Z,sell,1.26e-06,49338.0,0.06216588
DATA/BTC,1564884367189,2019-08-04T02:06:07.189Z,sell,1.25e-06,312977.0,0.39122125
DATA/BTC,1564884367213,2019-08-04T02:06:07.213Z,buy,1.25e-06,15626.0,0.0195325
DATA/BTC,1564884367218,2019-08-04T02:06:07.218Z,buy,1.25e-06,15610.0,0.0195125
DATA/BTC,1564884367232,2019-08-04T02:06:07.232Z,buy,1.25e-06,6449.0,0.00806125
DATA/BTC,1564884367310,2019-08-04T02:06:07.310Z,buy,1.26e-06,2126.0,0.00267876
DATA/BTC,1564884368773,2019-08-04T02:06:08.773Z,sell,1.24e-06,1073.0,0.00133052
DATA/BTC,1564884369010,2019-08-04T02:06:09.010Z,sell,1.24e-06,782.0,0.00096968
DATA/BTC,1564884369621,2019-08-04T02:06:09.621Z,buy,1.25e-06,2396.0,0.002995
DATA/BTC,1564884369717,2019-08-04T02:06:09.717Z,buy,1.25e-06,866.0,0.0010825
DATA/BTC,1564884370889,2019-08-04T02:06:10.889Z,sell,1.25e-06,111.0,0.00013875
DATA/BTC,1564884370889,2019-08-04T02:06:10.889Z,sell,1.24e-06,294.0,0.00036456
DATA/BTC,1564884372875,2019-08-04T02:06:12.875Z,buy,1.25e-06,1602.0,0.0020025
DATA/BTC,1564884373218,2019-08-04T02:06:13.218Z,buy,1.25e-06,2406.0,0.0030075
DATA/BTC,1564884374589,2019-08-04T02:06:14.589Z,sell,1.24e-06,2222.0,0.00275528
DATA/BTC,1564884374761,2019-08-04T02:06:14.761Z,sell,1.24e-06,2016.0,0.00249984
DATA/BTC,1564884377791,2019-08-04T02:06:17.791Z,sell,1.24e-06,787.0,0.00097588
DATA/BTC,1564884381589,2019-08-04T02:06:21.589Z,buy,1.25e-06,2441.0,0.00305125
DATA/BTC,1564884399654,2019-08-04T02:06:39.654Z,buy,1.25e-06,10075.0,0.01259375
DATA/BTC,1564884403865,2019-08-04T02:06:43.865Z,buy,1.25e-06,7730.0,0.0096625
DATA/BTC,1564884403865,2019-08-04T02:06:43.865Z,buy,1.26e-06,11444.0,0.01441944
DATA/BTC,1564884423552,2019-08-04T02:07:03.552Z,buy,1.26e-06,20468.0,0.02578968
DATA/BTC,1564884423704,2019-08-04T02:07:03.704Z,buy,1.26e-06,873.0,0.00109998
DATA/BTC,1564884423715,2019-08-04T02:07:03.715Z,buy,1.26e-06,26427.0,0.03329802
DATA/BTC,1564884424105,2019-08-04T02:07:04.105Z,sell,1.25e-06,2637.0,0.00329625
DATA/BTC,1564884429820,2019-08-04T02:07:09.820Z,buy,1.26e-06,12875.0,0.0162225
