symbol,timestamp,datetime,side,price,amount,btc_volume
DUSK/BTC,1603037017268,2020-10-18T16:03:37.268Z,buy,3.51e-06,60.0,0.0002106
DUSK/BTC,1603037022894,2020-10-18T16:03:42.894Z,buy,3.51e-06,147.0,0.0005159699999999
DUSK/BTC,1603037210982,2020-10-18T16:06:50.982Z,sell,3.5e-06,9967.0,0.0348845
DUSK/BTC,1603037210993,2020-10-18T16:06:50.993Z,sell,3.5e-06,5004.0,0.017514
DUSK/BTC,1603037211129,2020-10-18T16:06:51.129Z,sell,3.5e-06,2500.0,0.0087499999999999
DUSK/BTC,1603037211319,2020-10-18T16:06:51.319Z,sell,3.5e-06,1248.0,0.004368
DUSK/BTC,1603037211420,2020-10-18T16:06:51.420Z,sell,3.5e-06,623.0,0.0021805
DUSK/BTC,1603037314415,2020-10-18T16:08:34.415Z,sell,3.5e-06,2501.0,0.0087534999999999
DUSK/BTC,1603038364302,2020-10-18T16:26:04.302Z,sell,3.5e-06,18326.0,0.064141
DUSK/BTC,1603038364303,2020-10-18T16:26:04.303Z,sell,3.5e-06,3366.0,0.011781
DUSK/BTC,1603038364303,2020-10-18T16:26:04.303Z,sell,3.49e-06,14960.0,0.0522104
DUSK/BTC,1603038364486,2020-10-18T16:26:04.486Z,sell,3.49e-06,8561.0,0.02987789
DUSK/BTC,1603038364684,2020-10-18T16:26:04.684Z,sell,3.49e-06,6000.0,0.02094
DUSK/BTC,1603038364885,2020-10-18T16:26:04.885Z,sell,3.49e-06,2000.0,0.00698
DUSK/BTC,1603038390210,2020-10-18T16:26:30.210Z,buy,3.49e-06,35.0,0.00012215
DUSK/BTC,1603038391873,2020-10-18T16:26:31.873Z,buy,3.49e-06,84.0,0.00029316
DUSK/BTC,1603038533281,2020-10-18T16:28:53.281Z,sell,3.48e-06,2000.0,0.00696
DUSK/BTC,1603038747756,2020-10-18T16:32:27.756Z,buy,3.49e-06,1435.0,0.00500815
