symbol,timestamp,datetime,side,price,amount,btc_volume
EDO/BTC,1575475710034,2019-12-04T16:08:30.034Z,sell,3.205e-05,100.0,0.003205
EDO/BTC,1575476865054,2019-12-04T16:27:45.054Z,buy,3.209e-05,6.0,0.00019254
EDO/BTC,1575478044132,2019-12-04T16:47:24.132Z,buy,3.209e-05,384.0,0.01232256
EDO/BTC,1575478044132,2019-12-04T16:47:24.132Z,buy,3.21e-05,153.0,0.0049113
EDO/BTC,1575478044132,2019-12-04T16:47:24.132Z,buy,3.212e-05,993.0,0.03189516
EDO/BTC,1575478044132,2019-12-04T16:47:24.132Z,buy,3.213e-05,2110.0,0.0677943
EDO/BTC,1575478044132,2019-12-04T16:47:24.132Z,buy,3.218e-05,4.0,0.00012872
EDO/BTC,1575478044132,2019-12-04T16:47:24.132Z,buy,3.226e-05,8.0,0.00025808
EDO/BTC,1575478044132,2019-12-04T16:47:24.132Z,buy,3.23e-05,14.0,0.0004522
EDO/BTC,1575478044132,2019-12-04T16:47:24.132Z,buy,3.235e-05,4.0,0.0001294
EDO/BTC,1575478044132,2019-12-04T16:47:24.132Z,buy,3.24e-05,30.0,0.000972
EDO/BTC,1575478071447,2019-12-04T16:47:51.447Z,sell,3.227e-05,15.0,0.00048405
EDO/BTC,1575478071447,2019-12-04T16:47:51.447Z,sell,3.22e-05,2.0,6.44e-05
EDO/BTC,1575478071470,2019-12-04T16:47:51.470Z,sell,3.22e-05,17.0,0.0005474
EDO/BTC,1575478071748,2019-12-04T16:47:51.748Z,sell,3.22e-05,17.0,0.0005474
EDO/BTC,1575478071891,2019-12-04T16:47:51.891Z,sell,3.22e-05,17.0,0.0005474
EDO/BTC,1575478072452,2019-12-04T16:47:52.452Z,sell,3.22e-05,17.0,0.0005474
EDO/BTC,1575478072704,2019-12-04T16:47:52.704Z,sell,3.22e-05,17.0,0.0005474
EDO/BTC,1575478072748,2019-12-04T16:47:52.748Z,sell,3.22e-05,17.0,0.0005474
EDO/BTC,1575478072972,2019-12-04T16:47:52.972Z,sell,3.22e-05,17.0,0.0005474
EDO/BTC,1575478074486,2019-12-04T16:47:54.486Z,sell,3.221e-05,19.0,0.00061199
