symbol,timestamp,datetime,side,price,amount,btc_volume
GNT/BTC,1577642617434,2019-12-29T18:03:37.434Z,buy,3.94e-06,67.0,0.00026398
GNT/BTC,1577642722092,2019-12-29T18:05:22.092Z,sell,3.91e-06,257.0,0.00100487
GNT/BTC,1577643519523,2019-12-29T18:18:39.523Z,buy,3.94e-06,240.0,0.0009456
GNT/BTC,1577643520551,2019-12-29T18:18:40.551Z,buy,3.94e-06,29.0,0.00011426
GNT/BTC,1577643545838,2019-12-29T18:19:05.838Z,buy,3.94e-06,51.0,0.00020094
GNT/BTC,1577643825486,2019-12-29T18:23:45.486Z,buy,3.94e-06,3063.0,0.01206822
GNT/BTC,1577644051463,2019-12-29T18:27:31.463Z,buy,3.94e-06,3000.0,0.01182
GNT/BTC,1577644183281,2019-12-29T18:29:43.281Z,buy,3.94e-06,3301.0,0.01300594
GNT/BTC,1577644218559,2019-12-29T18:30:18.559Z,sell,3.94e-06,1000.0,0.00394
GNT/BTC,1577644220460,2019-12-29T18:30:20.460Z,sell,3.94e-06,691.0,0.00272254
GNT/BTC,1577644352597,2019-12-29T18:32:32.597Z,buy,3.94e-06,44.0,0.00017336
GNT/BTC,1577644429995,2019-12-29T18:33:49.995Z,sell,3.93e-06,126.0,0.0004951799999999
GNT/BTC,1577644431289,2019-12-29T18:33:51.289Z,sell,3.92e-06,252.0,0.00098784
GNT/BTC,1577644769322,2019-12-29T18:39:29.322Z,buy,3.94e-06,1219.0,0.00480286
GNT/BTC,1577644769350,2019-12-29T18:39:29.350Z,sell,3.94e-06,898.0,0.00353812
GNT/BTC,1577644770442,2019-12-29T18:39:30.442Z,sell,3.94e-06,623.0,0.00245462
GNT/BTC,1577644771242,2019-12-29T18:39:31.242Z,buy,3.95e-06,2272.0,0.0089744
GNT/BTC,1577645317286,2019-12-29T18:48:37.286Z,sell,3.93e-06,27.0,0.0001061099999999
GNT/BTC,1577645634864,2019-12-29T18:53:54.864Z,sell,3.93e-06,1900.0,0.007467
GNT/BTC,1577645745662,2019-12-29T18:55:45.662Z,sell,3.93e-06,78.0,0.0003065399999999
GNT/BTC,1577645787631,2019-12-29T18:56:27.631Z,buy,3.94e-06,51.0,0.00020094
GNT/BTC,1577645907530,2019-12-29T18:58:27.530Z,buy,3.94e-06,62.0,0.00024428
GNT/BTC,1577645907530,2019-12-29T18:58:27.530Z,buy,3.94e-06,62.0,0.00024428
GNT/BTC,1577646216631,2019-12-29T19:03:36.631Z,buy,3.94e-06,68.0,0.00026792
GNT/BTC,1577646838376,2019-12-29T19:13:58.376Z,buy,3.94e-06,231.0,0.00091014
GNT/BTC,1577647118785,2019-12-29T19:18:38.785Z,buy,3.94e-06,105.0,0.0004137
GNT/BTC,1577647126091,2019-12-29T19:18:46.091Z,buy,3.94e-06,52.0,0.00020488
GNT/BTC,1577647456301,2019-12-29T19:24:16.301Z,buy,3.94e-06,88.0,0.00034672
