symbol,timestamp,datetime,side,price,amount,btc_volume
GTO/BTC,1603382485958,2020-10-22T16:01:25.958Z,sell,5.2e-07,4900.0,0.002548
GTO/BTC,1603382510698,2020-10-22T16:01:50.698Z,buy,5.3e-07,361341.0,0.19151073
GTO/BTC,1603382594368,2020-10-22T16:03:14.368Z,sell,5.3e-07,37922.0,0.02009866
GTO/BTC,1603382982225,2020-10-22T16:09:42.225Z,buy,5.4e-07,55.0,2.97e-05
GTO/BTC,1603382999561,2020-10-22T16:09:59.561Z,sell,5.3e-07,590.0,0.0003127
GTO/BTC,1603383167222,2020-10-22T16:12:47.222Z,sell,5.3e-07,10989.0,0.00582417
GTO/BTC,1603383465537,2020-10-22T16:17:45.537Z,buy,5.3e-07,3475.0,0.00184175
GTO/BTC,1603383469070,2020-10-22T16:17:49.070Z,buy,5.3e-07,485.0,0.00025705
GTO/BTC,1603383780166,2020-10-22T16:23:00.166Z,buy,5.3e-07,17628.0,0.00934284
GTO/BTC,1603383816257,2020-10-22T16:23:36.257Z,buy,5.3e-07,445.0,0.00023585
GTO/BTC,1603383880473,2020-10-22T16:24:40.473Z,buy,5.3e-07,618.0,0.00032754
GTO/BTC,1603384722184,2020-10-22T16:38:42.184Z,sell,5.3e-07,1365.0,0.00072345
GTO/BTC,1603384848499,2020-10-22T16:40:48.499Z,buy,5.4e-07,92593.0,0.05000022
GTO/BTC,1603385005543,2020-10-22T16:43:25.543Z,sell,5.3e-07,4070.0,0.0021571
GTO/BTC,1603385923955,2020-10-22T16:58:43.955Z,sell,5.2e-07,310795.0,0.1616134
GTO/BTC,1603385923955,2020-10-22T16:58:43.955Z,sell,5.2e-07,310795.0,0.1616134
GTO/BTC,1603386410793,2020-10-22T17:06:50.793Z,sell,5.2e-07,450.0,0.000234
GTO/BTC,1603387084586,2020-10-22T17:18:04.586Z,buy,5.3e-07,200.0,0.000106
GTO/BTC,1603388689794,2020-10-22T17:44:49.794Z,sell,5.2e-07,23186.0,0.01205672
GTO/BTC,1603389056835,2020-10-22T17:50:56.835Z,buy,5.3e-07,37869.0,0.02007057
GTO/BTC,1603389152847,2020-10-22T17:52:32.847Z,buy,5.3e-07,9689.0,0.00513517
GTO/BTC,1603389152847,2020-10-22T17:52:32.847Z,buy,5.3e-07,9689.0,0.00513517
GTO/BTC,1603389539890,2020-10-22T17:58:59.890Z,buy,5.3e-07,9151.0,0.00485003
GTO/BTC,1603389732091,2020-10-22T18:02:12.091Z,buy,5.3e-07,194692.0,0.10318676
GTO/BTC,1603389732091,2020-10-22T18:02:12.091Z,buy,5.4e-07,5308.0,0.00286632
GTO/BTC,1603389829542,2020-10-22T18:03:49.542Z,sell,5.3e-07,2376.0,0.00125928
GTO/BTC,1603390032359,2020-10-22T18:07:12.359Z,sell,5.3e-07,373.0,0.00019769
GTO/BTC,1603390230875,2020-10-22T18:10:30.875Z,sell,5.3e-07,1403.0,0.00074359
GTO/BTC,1603390234741,2020-10-22T18:10:34.741Z,sell,5.3e-07,1403.0,0.00074359
GTO/BTC,1603390239217,2020-10-22T18:10:39.217Z,sell,5.3e-07,2376.0,0.00125928
GTO/BTC,1603390239385,2020-10-22T18:10:39.385Z,sell,5.3e-07,373.0,0.00019769
GTO/BTC,1603390283789,2020-10-22T18:11:23.789Z,sell,5.3e-07,4152.0,0.00220056
GTO/BTC,1603390631213,2020-10-22T18:17:11.213Z,sell,5.3e-07,38542.0,0.02042726
GTO/BTC,1603390752701,2020-10-22T18:19:12.701Z,buy,5.3e-07,12160.0,0.0064448
GTO/BTC,1603391506086,2020-10-22T18:31:46.086Z,buy,5.3e-07,6119.0,0.00324307
GTO/BTC,1603391672009,2020-10-22T18:34:32.009Z,buy,5.3e-07,2497.0,0.00132341
GTO/BTC,1603391719505,2020-10-22T18:35:19.505Z,buy,5.3e-07,6631.0,0.00351443
GTO/BTC,1603392013574,2020-10-22T18:40:13.574Z,buy,5.3e-07,1432.0,0.00075896
GTO/BTC,1603392013574,2020-10-22T18:40:13.574Z,buy,5.3e-07,1432.0,0.00075896
GTO/BTC,1603393268230,2020-10-22T19:01:08.230Z,sell,5.2e-07,27658.0,0.01438216
GTO/BTC,1603394417922,2020-10-22T19:20:17.922Z,sell,5.2e-07,15794.0,0.00821288
GTO/BTC,1603394417922,2020-10-22T19:20:17.922Z,sell,5.2e-07,15794.0,0.00821288
GTO/BTC,1603396100081,2020-10-22T19:48:20.081Z,sell,5.2e-07,30836.0,0.01603472
GTO/BTC,1603397456387,2020-10-22T20:10:56.387Z,sell,5.2e-07,6870.0,0.0035724
GTO/BTC,1603397456387,2020-10-22T20:10:56.387Z,sell,5.2e-07,6870.0,0.0035724
GTO/BTC,1603398270594,2020-10-22T20:24:30.594Z,sell,5.2e-07,879.0,0.00045708
GTO/BTC,1603399170563,2020-10-22T20:39:30.563Z,sell,5.2e-07,15247.0,0.00792844
