symbol,timestamp,datetime,side,price,amount,btc_volume
GVT/BTC,1601662262219,2020-10-02T18:11:02.219Z,sell,0.0001061,37.7,0.00399997
GVT/BTC,1601662271149,2020-10-02T18:11:11.149Z,buy,0.0001061,17.49,0.001855689
GVT/BTC,1601662534979,2020-10-02T18:15:34.979Z,buy,0.0001061,0.96,0.000101856
GVT/BTC,1601662712626,2020-10-02T18:18:32.626Z,buy,0.0001061,15.48,0.001642428
GVT/BTC,1601662776070,2020-10-02T18:19:36.070Z,buy,0.0001061,2.1,0.00022281
GVT/BTC,1601662917298,2020-10-02T18:21:57.298Z,buy,0.0001061,1.0,0.0001061
GVT/BTC,1601662921050,2020-10-02T18:22:01.050Z,buy,0.0001061,1.14,0.000120954
GVT/BTC,1601663184067,2020-10-02T18:26:24.067Z,buy,0.0001061,2.36,0.000250396
GVT/BTC,1601663188513,2020-10-02T18:26:28.513Z,buy,0.0001061,17.95,0.001904495
GVT/BTC,1601663188526,2020-10-02T18:26:28.526Z,buy,0.0001061,7.75,0.000822275
GVT/BTC,1601663209163,2020-10-02T18:26:49.163Z,buy,0.0001063,1.42,0.0001509459999999
GVT/BTC,1601663212809,2020-10-02T18:26:52.809Z,buy,0.0001063,1.08,0.000114804
GVT/BTC,1601663533819,2020-10-02T18:32:13.819Z,buy,0.0001064,1.9,0.0002021599999999
GVT/BTC,1601664600858,2020-10-02T18:50:00.858Z,sell,0.000106,9.83,0.00104198
GVT/BTC,1601664601859,2020-10-02T18:50:01.859Z,sell,0.0001058,7.73,0.000817834
GVT/BTC,1601664631379,2020-10-02T18:50:31.379Z,sell,0.0001058,94.0,0.0099452
GVT/BTC,1601664632376,2020-10-02T18:50:32.376Z,sell,0.0001057,144.73,0.0152979609999999
GVT/BTC,1601664667702,2020-10-02T18:51:07.702Z,buy,0.0001056,0.96,0.000101376
GVT/BTC,1601664717117,2020-10-02T18:51:57.117Z,buy,0.0001056,1.13,0.0001193279999999
GVT/BTC,1601664721843,2020-10-02T18:52:01.843Z,sell,0.0001051,1.91,0.0002007409999999
GVT/BTC,1601664721843,2020-10-02T18:52:01.843Z,sell,0.000105,45.03,0.00472815
GVT/BTC,1601664780785,2020-10-02T18:53:00.785Z,sell,0.0001051,16.99,0.0017856489999999
GVT/BTC,1601664780785,2020-10-02T18:53:00.785Z,sell,0.000105,884.55,0.09287775
GVT/BTC,1601664879966,2020-10-02T18:54:39.966Z,sell,0.0001053,10.21,0.001075113
GVT/BTC,1601664879966,2020-10-02T18:54:39.966Z,sell,0.000105,7.71,0.00080955
GVT/BTC,1601664879966,2020-10-02T18:54:39.966Z,sell,0.0001049,2.02,0.000211898
GVT/BTC,1601664884063,2020-10-02T18:54:44.063Z,sell,0.000105,9.6,0.001008
GVT/BTC,1601664884063,2020-10-02T18:54:44.063Z,sell,0.0001049,14.89,0.001561961
GVT/BTC,1601664884063,2020-10-02T18:54:44.063Z,sell,0.0001048,67.42,0.007065616
GVT/BTC,1601664884063,2020-10-02T18:54:44.063Z,sell,0.000105,9.6,0.001008
GVT/BTC,1601664884063,2020-10-02T18:54:44.063Z,sell,0.0001049,14.89,0.001561961
GVT/BTC,1601664884063,2020-10-02T18:54:44.063Z,sell,0.0001048,67.42,0.007065616
GVT/BTC,1601666380079,2020-10-02T19:19:40.079Z,buy,0.0001057,0.96,0.000101472
GVT/BTC,1601666380079,2020-10-02T19:19:40.079Z,buy,0.0001057,0.95,0.0001004149999999
GVT/BTC,1601666380079,2020-10-02T19:19:40.079Z,buy,0.0001061,0.65,6.8965e-05
GVT/BTC,1601666380249,2020-10-02T19:19:40.249Z,sell,0.0001057,34.94,0.0036931579999999
GVT/BTC,1601666539399,2020-10-02T19:22:19.399Z,sell,0.0001053,3.11,0.000327483
GVT/BTC,1601666998906,2020-10-02T19:29:58.906Z,sell,0.0001053,3.24,0.000341172
GVT/BTC,1601667396749,2020-10-02T19:36:36.749Z,sell,0.0001054,30.09,0.003171486
GVT/BTC,1601667428537,2020-10-02T19:37:08.537Z,sell,0.0001054,1.9,0.0002002599999999
GVT/BTC,1601667935419,2020-10-02T19:45:35.419Z,buy,0.0001057,0.96,0.000101472
GVT/BTC,1601668271382,2020-10-02T19:51:11.382Z,sell,0.0001054,16.48,0.001736992
GVT/BTC,1601668271382,2020-10-02T19:51:11.382Z,sell,0.0001053,120.0,0.012636
GVT/BTC,1601668271408,2020-10-02T19:51:11.408Z,buy,0.0001053,76.02,0.008004906
GVT/BTC,1601668273962,2020-10-02T19:51:13.962Z,buy,0.0001057,33.98,0.0035916859999999
GVT/BTC,1601668274013,2020-10-02T19:51:14.013Z,sell,0.0001057,66.02,0.0069783139999999
GVT/BTC,1601668305635,2020-10-02T19:51:45.635Z,buy,0.0001059,0.96,0.000101664
GVT/BTC,1601668399931,2020-10-02T19:53:19.931Z,buy,0.0001061,1.85,0.000196285
GVT/BTC,1601668399931,2020-10-02T19:53:19.931Z,buy,0.0001061,1.85,0.000196285
GVT/BTC,1601668865962,2020-10-02T20:01:05.962Z,sell,0.0001059,120.0,0.012708
GVT/BTC,1601669113716,2020-10-02T20:05:13.716Z,sell,0.0001054,343.45,0.03619963
GVT/BTC,1601669168034,2020-10-02T20:06:08.034Z,buy,0.0001054,1.9,0.0002002599999999
GVT/BTC,1601669957829,2020-10-02T20:19:17.829Z,buy,0.0001054,3.55,0.00037417
GVT/BTC,1601670136749,2020-10-02T20:22:16.749Z,sell,0.0001052,94.52,0.0099435039999999
GVT/BTC,1601670148766,2020-10-02T20:22:28.766Z,sell,0.0001051,235.1,0.0247090099999999
GVT/BTC,1601670148774,2020-10-02T20:22:28.774Z,sell,0.0001051,46.56,0.004893456
GVT/BTC,1601670178385,2020-10-02T20:22:58.385Z,sell,0.0001048,51.12,0.005357376
GVT/BTC,1601670178483,2020-10-02T20:22:58.483Z,buy,0.0001048,169.17,0.017729016
GVT/BTC,1601670178693,2020-10-02T20:22:58.693Z,buy,0.0001048,84.44,0.008849312
GVT/BTC,1601670178707,2020-10-02T20:22:58.707Z,buy,0.0001048,165.48,0.017342304
GVT/BTC,1601670183089,2020-10-02T20:23:03.089Z,buy,0.0001052,120.49,0.0126755479999999
GVT/BTC,1601670183192,2020-10-02T20:23:03.192Z,buy,0.0001052,20.09,0.002113468
GVT/BTC,1601670213253,2020-10-02T20:23:33.253Z,sell,0.0001049,164.37,0.017242413
GVT/BTC,1601670213253,2020-10-02T20:23:33.253Z,sell,0.0001048,20.65,0.00216412
GVT/BTC,1601670256930,2020-10-02T20:24:16.930Z,buy,0.0001054,282.31,0.029755474
GVT/BTC,1601670256939,2020-10-02T20:24:16.939Z,buy,0.0001054,232.57,0.024512878
GVT/BTC,1601670257127,2020-10-02T20:24:17.127Z,buy,0.0001054,116.11,0.012237994
GVT/BTC,1601670257532,2020-10-02T20:24:17.532Z,buy,0.0001054,57.86,0.006098444
GVT/BTC,1601670258128,2020-10-02T20:24:18.128Z,buy,0.0001054,28.79,0.003034466
GVT/BTC,1601670261127,2020-10-02T20:24:21.127Z,buy,0.0001054,14.04,0.001479816
GVT/BTC,1601670844462,2020-10-02T20:34:04.462Z,sell,0.0001053,1.73,0.0001821689999999
GVT/BTC,1601670844462,2020-10-02T20:34:04.462Z,sell,0.0001052,17.33,0.0018231159999999
GVT/BTC,1601670844477,2020-10-02T20:34:04.477Z,buy,0.0001054,9.58,0.001009732
GVT/BTC,1601670844477,2020-10-02T20:34:04.477Z,buy,0.0001054,9.58,0.001009732
GVT/BTC,1601672059195,2020-10-02T20:54:19.195Z,buy,0.0001054,7.72,0.000813688
GVT/BTC,1601672059195,2020-10-02T20:54:19.195Z,buy,0.0001057,1.91,0.000201887
GVT/BTC,1601672059195,2020-10-02T20:54:19.195Z,buy,0.0001059,10.66,0.001128894
GVT/BTC,1601672059195,2020-10-02T20:54:19.195Z,buy,0.000106,0.51,5.406e-05
GVT/BTC,1601672059195,2020-10-02T20:54:19.195Z,buy,0.000106,1.92,0.00020352
GVT/BTC,1601672061898,2020-10-02T20:54:21.898Z,buy,0.0001059,3.61,0.000382299
GVT/BTC,1601672063907,2020-10-02T20:54:23.907Z,buy,0.0001059,3.53,0.0003738269999999
GVT/BTC,1601672067093,2020-10-02T20:54:27.093Z,buy,0.0001058,28.73,0.003039634
GVT/BTC,1601672070156,2020-10-02T20:54:30.156Z,buy,0.000106,121.39,0.01286734
GVT/BTC,1601672080685,2020-10-02T20:54:40.685Z,buy,0.000106,58.96,0.00624976
GVT/BTC,1601672080685,2020-10-02T20:54:40.685Z,buy,0.0001061,32.71,0.003470531
GVT/BTC,1601672084724,2020-10-02T20:54:44.724Z,buy,0.0001061,39.2,0.00415912
GVT/BTC,1601672211931,2020-10-02T20:56:51.931Z,sell,0.0001053,27.72,0.0029189159999999
GVT/BTC,1601672211931,2020-10-02T20:56:51.931Z,sell,0.0001051,1.91,0.0002007409999999
GVT/BTC,1601672212033,2020-10-02T20:56:52.033Z,buy,0.0001051,64.04,0.006730604
GVT/BTC,1601672216779,2020-10-02T20:56:56.779Z,buy,0.0001051,6.33,0.0006652829999999
GVT/BTC,1601672216952,2020-10-02T20:56:56.952Z,sell,0.000105,108.13,0.01135365
GVT/BTC,1601673846803,2020-10-02T21:24:06.803Z,buy,0.0001056,8.31,0.000877536
GVT/BTC,1601673898338,2020-10-02T21:24:58.338Z,buy,0.0001054,17.3,0.00182342
GVT/BTC,1601674279244,2020-10-02T21:31:19.244Z,sell,0.0001051,25.0,0.0026274999999999
GVT/BTC,1601674279244,2020-10-02T21:31:19.244Z,sell,0.0001051,25.0,0.0026274999999999
GVT/BTC,1601674628108,2020-10-02T21:37:08.108Z,sell,0.0001051,1.9,0.0001996899999999
GVT/BTC,1601674763144,2020-10-02T21:39:23.144Z,sell,0.000105,4.46,0.0004683
GVT/BTC,1601674810103,2020-10-02T21:40:10.103Z,buy,0.0001049,0.97,0.000101753
GVT/BTC,1601674810268,2020-10-02T21:40:10.268Z,buy,0.0001049,0.97,0.000101753
GVT/BTC,1601674810407,2020-10-02T21:40:10.407Z,buy,0.0001049,0.97,0.000101753
GVT/BTC,1601674810596,2020-10-02T21:40:10.596Z,buy,0.0001049,16.7,0.00175183
GVT/BTC,1601674810870,2020-10-02T21:40:10.870Z,buy,0.0001049,0.97,0.000101753
GVT/BTC,1601674813538,2020-10-02T21:40:13.538Z,buy,0.0001048,9.55,0.00100084
GVT/BTC,1601674831059,2020-10-02T21:40:31.059Z,buy,0.0001048,9.54,0.000999792
GVT/BTC,1601675020541,2020-10-02T21:43:40.541Z,sell,0.0001045,41.78,0.00436601
GVT/BTC,1601675020541,2020-10-02T21:43:40.541Z,sell,0.0001044,1.91,0.000199404
GVT/BTC,1601675043947,2020-10-02T21:44:03.947Z,sell,0.0001043,7.02,0.000732186
GVT/BTC,1601675044271,2020-10-02T21:44:04.271Z,buy,0.0001044,1.92,0.000200448
GVT/BTC,1601675044281,2020-10-02T21:44:04.281Z,sell,0.0001042,25.62,0.002669604
GVT/BTC,1601675044954,2020-10-02T21:44:04.954Z,sell,0.000104,1.71,0.00017784
GVT/BTC,1601675051056,2020-10-02T21:44:11.056Z,sell,0.0001039,12.92,0.001342388
GVT/BTC,1601675063992,2020-10-02T21:44:23.992Z,sell,0.0001039,120.0,0.012468
GVT/BTC,1601675063992,2020-10-02T21:44:23.992Z,sell,0.0001038,26.87,0.002789106
GVT/BTC,1601675075500,2020-10-02T21:44:35.500Z,buy,0.0001039,7.2,0.00074808
GVT/BTC,1601675079503,2020-10-02T21:44:39.503Z,sell,0.0001037,152.71,0.015836027
GVT/BTC,1601675089691,2020-10-02T21:44:49.691Z,buy,0.0001039,2.19,0.000227541
GVT/BTC,1601675106582,2020-10-02T21:45:06.582Z,buy,0.0001037,120.23,0.012467851
GVT/BTC,1601675106590,2020-10-02T21:45:06.590Z,buy,0.0001037,7.75,0.000803675
GVT/BTC,1601675116765,2020-10-02T21:45:16.765Z,sell,0.0001036,9.54,0.000988344
GVT/BTC,1601675156196,2020-10-02T21:45:56.196Z,buy,0.0001039,146.18,0.015188102
GVT/BTC,1601675204460,2020-10-02T21:46:44.460Z,buy,0.0001044,1.14,0.000119016
GVT/BTC,1601675204460,2020-10-02T21:46:44.460Z,buy,0.0001044,0.77,8.0388e-05
GVT/BTC,1601675204460,2020-10-02T21:46:44.460Z,buy,0.0001046,2.92,0.0003054319999999
GVT/BTC,1601675204460,2020-10-02T21:46:44.460Z,buy,0.0001046,6.61,0.000691406
GVT/BTC,1601675204460,2020-10-02T21:46:44.460Z,buy,0.0001047,5.28,0.000552816
GVT/BTC,1601675218987,2020-10-02T21:46:58.987Z,buy,0.0001046,34.59,0.003618114
GVT/BTC,1601675219030,2020-10-02T21:46:59.030Z,sell,0.0001046,33.7,0.00352502
GVT/BTC,1601675253091,2020-10-02T21:47:33.091Z,buy,0.0001048,135.98,0.014250704
GVT/BTC,1601675256542,2020-10-02T21:47:36.542Z,buy,0.0001048,120.0,0.012576
GVT/BTC,1601675256542,2020-10-02T21:47:36.542Z,buy,0.0001049,589.04,0.0617902959999999
GVT/BTC,1601675259577,2020-10-02T21:47:39.577Z,buy,0.0001048,7.49,0.000784952
GVT/BTC,1601675418116,2020-10-02T21:50:18.116Z,sell,0.0001044,212.94,0.022230936
GVT/BTC,1601675418125,2020-10-02T21:50:18.125Z,sell,0.0001044,31.7,0.00330948
GVT/BTC,1601675418245,2020-10-02T21:50:18.245Z,sell,0.0001044,55.85,0.00583074
GVT/BTC,1601675498183,2020-10-02T21:51:38.183Z,sell,0.0001044,27.93,0.002915892
GVT/BTC,1601675498288,2020-10-02T21:51:38.288Z,sell,0.0001044,11.94,0.001246536
GVT/BTC,1601675559359,2020-10-02T21:52:39.359Z,sell,0.0001043,21.64,0.002257052
GVT/BTC,1601675559359,2020-10-02T21:52:39.359Z,sell,0.0001042,2.83,0.000294886
GVT/BTC,1601675559359,2020-10-02T21:52:39.359Z,sell,0.0001042,28.84,0.003005128
GVT/BTC,1601675559366,2020-10-02T21:52:39.366Z,sell,0.0001042,43.59,0.004542078
GVT/BTC,1601675559519,2020-10-02T21:52:39.519Z,sell,0.0001043,84.24,0.008786232
GVT/BTC,1601675559618,2020-10-02T21:52:39.618Z,sell,0.0001043,42.33,0.004415019
