symbol,timestamp,datetime,side,price,amount,btc_volume
ICN/BTC,1536344690173,2018-09-07T18:24:50.173Z,sell,6.238e-05,2.0,0.00012476
ICN/BTC,1536344690173,2018-09-07T18:24:50.173Z,sell,6.2e-05,5.0,0.00031
ICN/BTC,1536344785153,2018-09-07T18:26:25.153Z,buy,6.25e-05,16.0,0.001
ICN/BTC,1536345125942,2018-09-07T18:32:05.942Z,sell,6.213e-05,77.0,0.00478401
ICN/BTC,1536345169740,2018-09-07T18:32:49.740Z,sell,6.213e-05,125.0,0.00776625
ICN/BTC,1536345170185,2018-09-07T18:32:50.185Z,sell,6.213e-05,24.0,0.00149112
ICN/BTC,1536345189212,2018-09-07T18:33:09.212Z,sell,6.2e-05,316.0,0.019592
ICN/BTC,1536345189611,2018-09-07T18:33:09.611Z,sell,6.199e-05,1032.0,0.0639736799999999
ICN/BTC,1536345189611,2018-09-07T18:33:09.611Z,sell,6.198e-05,227.0,0.01406946
ICN/BTC,1536345189611,2018-09-07T18:33:09.611Z,sell,6.196e-05,32.0,0.00198272
ICN/BTC,1536345189611,2018-09-07T18:33:09.611Z,sell,6.162e-05,69.0,0.00425178
ICN/BTC,1536345189611,2018-09-07T18:33:09.611Z,sell,6.151e-05,118.0,0.0072581799999999
ICN/BTC,1536345190733,2018-09-07T18:33:10.733Z,sell,6.152e-05,92.0,0.0056598399999999
ICN/BTC,1536345191746,2018-09-07T18:33:11.746Z,sell,6.152e-05,71.0,0.00436792
ICN/BTC,1536345191746,2018-09-07T18:33:11.746Z,sell,6.151e-05,58.0,0.00356758
ICN/BTC,1536345191746,2018-09-07T18:33:11.746Z,sell,6.145e-05,34.0,0.0020893
ICN/BTC,1536345192576,2018-09-07T18:33:12.576Z,sell,6.135e-05,408.0,0.0250308
ICN/BTC,1536345192992,2018-09-07T18:33:12.992Z,buy,6.138e-05,48.0,0.00294624
ICN/BTC,1536345194075,2018-09-07T18:33:14.075Z,buy,6.138e-05,106.0,0.00650628
ICN/BTC,1536345275923,2018-09-07T18:34:35.923Z,sell,6.125e-05,17.0,0.00104125
ICN/BTC,1536345281058,2018-09-07T18:34:41.058Z,sell,6.125e-05,221.0,0.01353625
ICN/BTC,1536345288147,2018-09-07T18:34:48.147Z,sell,6.125e-05,94.0,0.0057575
ICN/BTC,1536345290111,2018-09-07T18:34:50.111Z,sell,6.126e-05,42.0,0.00257292
ICN/BTC,1536345329339,2018-09-07T18:35:29.339Z,buy,6.141e-05,41.0,0.0025178099999999
ICN/BTC,1536345332742,2018-09-07T18:35:32.742Z,buy,6.138e-05,50.0,0.003069
ICN/BTC,1536345335845,2018-09-07T18:35:35.845Z,sell,6.13e-05,75.0,0.0045975
