symbol,timestamp,datetime,side,price,amount,btc_volume
IDEX/BTC,1608397631286,2020-12-19T17:07:11.286Z,sell,1.43e-06,4014.0,0.00574002
IDEX/BTC,1608397653692,2020-12-19T17:07:33.692Z,sell,1.42e-06,71.0,0.00010082
IDEX/BTC,1608397657344,2020-12-19T17:07:37.344Z,buy,1.44e-06,173108.0,0.24927552
IDEX/BTC,1608397820954,2020-12-19T17:10:20.954Z,buy,1.44e-06,294.0,0.00042336
IDEX/BTC,1608397887394,2020-12-19T17:11:27.394Z,sell,1.43e-06,3333.0,0.00476619
IDEX/BTC,1608397904320,2020-12-19T17:11:44.320Z,sell,1.42e-06,71.0,0.00010082
IDEX/BTC,1608397968258,2020-12-19T17:12:48.258Z,sell,1.42e-06,8474.0,0.01203308
IDEX/BTC,1608398073340,2020-12-19T17:14:33.340Z,sell,1.43e-06,2679.0,0.00383097
IDEX/BTC,1608398316347,2020-12-19T17:18:36.347Z,buy,1.43e-06,380.0,0.0005434
IDEX/BTC,1608398322140,2020-12-19T17:18:42.140Z,buy,1.43e-06,3814.0,0.00545402
IDEX/BTC,1608399134625,2020-12-19T17:32:14.625Z,buy,1.43e-06,4382.0,0.00626626
IDEX/BTC,1608399603482,2020-12-19T17:40:03.482Z,sell,1.43e-06,3320.0,0.0047476
IDEX/BTC,1608399603482,2020-12-19T17:40:03.482Z,sell,1.42e-06,17091.0,0.0242692199999999
IDEX/BTC,1608399799475,2020-12-19T17:43:19.475Z,buy,1.43e-06,4937.0,0.00705991
IDEX/BTC,1608399799490,2020-12-19T17:43:19.490Z,buy,1.43e-06,153.0,0.00021879
IDEX/BTC,1608399991674,2020-12-19T17:46:31.674Z,buy,1.44e-06,6216.0,0.00895104
IDEX/BTC,1608400045825,2020-12-19T17:47:25.825Z,sell,1.44e-06,4351.0,0.00626544
IDEX/BTC,1608400247888,2020-12-19T17:50:47.888Z,buy,1.45e-06,8959.0,0.01299055
IDEX/BTC,1608400358344,2020-12-19T17:52:38.344Z,buy,1.46e-06,9039.0,0.01319694
IDEX/BTC,1608400387402,2020-12-19T17:53:07.402Z,sell,1.46e-06,563.0,0.00082198
IDEX/BTC,1608400387684,2020-12-19T17:53:07.684Z,sell,1.46e-06,70.0,0.0001022
IDEX/BTC,1608400396989,2020-12-19T17:53:16.989Z,sell,1.46e-06,697.0,0.00101762
IDEX/BTC,1608400455182,2020-12-19T17:54:15.182Z,buy,1.47e-06,5181.0,0.0076160699999999
IDEX/BTC,1608400493278,2020-12-19T17:54:53.278Z,sell,1.47e-06,110.0,0.0001617
IDEX/BTC,1608400508197,2020-12-19T17:55:08.197Z,sell,1.47e-06,69.0,0.00010143
IDEX/BTC,1608400546022,2020-12-19T17:55:46.022Z,sell,1.47e-06,4052.0,0.0059564399999999
IDEX/BTC,1608400548558,2020-12-19T17:55:48.558Z,buy,1.48e-06,72.0,0.00010656
