symbol,timestamp,datetime,side,price,amount,btc_volume
LUN/BTC,1583521376229,2020-03-06T19:02:56.229Z,buy,0.0001107,38.77,0.004291839
LUN/BTC,1583521376235,2020-03-06T19:02:56.235Z,buy,0.000111,86.4,0.0095904
LUN/BTC,1583521403961,2020-03-06T19:03:23.961Z,sell,0.0001105,2.7,0.00029835
LUN/BTC,1583521845289,2020-03-06T19:10:45.289Z,sell,0.0001109,60.15,0.0066706349999999
LUN/BTC,1583521845294,2020-03-06T19:10:45.294Z,buy,0.0001111,33.65,0.003738515
LUN/BTC,1583522136468,2020-03-06T19:15:36.468Z,buy,0.0001108,48.42,0.005364936
LUN/BTC,1583522136470,2020-03-06T19:15:36.470Z,buy,0.000111,78.78,0.00874458
LUN/BTC,1583522393557,2020-03-06T19:19:53.557Z,buy,0.0001107,141.22,0.015633054
LUN/BTC,1583522393560,2020-03-06T19:19:53.560Z,buy,0.0001111,17.14,0.001904254
LUN/BTC,1583522626167,2020-03-06T19:23:46.167Z,buy,0.0001111,0.91,0.000101101
LUN/BTC,1583522852418,2020-03-06T19:27:32.418Z,buy,0.0001112,97.23,0.010811976
LUN/BTC,1583522852418,2020-03-06T19:27:32.418Z,buy,0.0001114,100.0,0.01114
LUN/BTC,1583522852418,2020-03-06T19:27:32.418Z,buy,0.0001115,100.0,0.01115
LUN/BTC,1583522852418,2020-03-06T19:27:32.418Z,buy,0.0001116,302.17,0.033722172
LUN/BTC,1583522852418,2020-03-06T19:27:32.418Z,buy,0.0001117,12.96,0.001447632
LUN/BTC,1583522852418,2020-03-06T19:27:32.418Z,buy,0.0001118,96.17,0.010751806
LUN/BTC,1583522852418,2020-03-06T19:27:32.418Z,buy,0.0001119,42.4,0.00474456
LUN/BTC,1583522852418,2020-03-06T19:27:32.418Z,buy,0.000112,95.87,0.01073744
LUN/BTC,1583522852418,2020-03-06T19:27:32.418Z,buy,0.0001121,143.41,0.016076261
LUN/BTC,1583522852418,2020-03-06T19:27:32.418Z,buy,0.0001122,1009.79,0.113298438
LUN/BTC,1583522852648,2020-03-06T19:27:32.648Z,sell,0.0001112,86.44,0.009612128
LUN/BTC,1583523056202,2020-03-06T19:30:56.202Z,sell,0.0001112,11.99,0.001333288
LUN/BTC,1583523266583,2020-03-06T19:34:26.583Z,buy,0.0001117,124.06,0.013857502
LUN/BTC,1583523266588,2020-03-06T19:34:26.588Z,buy,0.0001117,284.31,0.031757427
LUN/BTC,1583523283350,2020-03-06T19:34:43.350Z,buy,0.000112,124.06,0.01389472
LUN/BTC,1583523290847,2020-03-06T19:34:50.847Z,sell,0.000112,4.93,0.00055216
LUN/BTC,1583523290944,2020-03-06T19:34:50.944Z,sell,0.000112,49.37,0.00552944
LUN/BTC,1583523300959,2020-03-06T19:35:00.959Z,sell,0.000112,2.09,0.0002340799999999
LUN/BTC,1583523301320,2020-03-06T19:35:01.320Z,sell,0.000112,0.91,0.00010192
LUN/BTC,1583523342481,2020-03-06T19:35:42.481Z,sell,0.000112,68.04,0.00762048
LUN/BTC,1583523344168,2020-03-06T19:35:44.168Z,sell,0.0001117,124.06,0.013857502
LUN/BTC,1583523344168,2020-03-06T19:35:44.168Z,sell,0.0001116,184.82,0.020625912
LUN/BTC,1583523344168,2020-03-06T19:35:44.168Z,sell,0.0001115,90.0,0.010035
LUN/BTC,1583523344168,2020-03-06T19:35:44.168Z,sell,0.0001114,77.97,0.008685858
LUN/BTC,1583523346065,2020-03-06T19:35:46.065Z,sell,0.0001111,9.15,0.001016565
LUN/BTC,1583523349576,2020-03-06T19:35:49.576Z,sell,0.0001111,268.99,0.029884789
LUN/BTC,1583523354669,2020-03-06T19:35:54.669Z,sell,0.0001111,4.95,0.000549945
LUN/BTC,1583523382030,2020-03-06T19:36:22.030Z,sell,0.0001112,162.83,0.018106696
LUN/BTC,1583523382030,2020-03-06T19:36:22.030Z,sell,0.0001111,354.86,0.039424946
LUN/BTC,1583523382030,2020-03-06T19:36:22.030Z,sell,0.0001109,35.3,0.00391477
LUN/BTC,1583523382030,2020-03-06T19:36:22.030Z,sell,0.0001107,166.39,0.0184193729999999
LUN/BTC,1583523772423,2020-03-06T19:42:52.423Z,sell,0.000111,318.63,0.03536793
LUN/BTC,1583523772428,2020-03-06T19:42:52.428Z,buy,0.0001111,37.21,0.004134031
LUN/BTC,1583524157277,2020-03-06T19:49:17.277Z,buy,0.0001111,25.23,0.002803053
LUN/BTC,1583524157277,2020-03-06T19:49:17.277Z,buy,0.0001111,25.23,0.002803053
LUN/BTC,1583524906830,2020-03-06T20:01:46.830Z,buy,0.0001111,68.88,0.0076525679999999
LUN/BTC,1583524922974,2020-03-06T20:02:02.974Z,sell,0.0001109,34.57,0.003833813
LUN/BTC,1583524922974,2020-03-06T20:02:02.974Z,sell,0.0001107,887.23,0.098216361
LUN/BTC,1583524923005,2020-03-06T20:02:03.005Z,buy,0.0001107,70.34,0.007786638
LUN/BTC,1583524924092,2020-03-06T20:02:04.092Z,buy,0.0001107,17.86,0.0019771019999999
LUN/BTC,1583524925122,2020-03-06T20:02:05.122Z,buy,0.0001107,14.67,0.0016239689999999
LUN/BTC,1583524925712,2020-03-06T20:02:05.712Z,buy,0.0001107,11.94,0.001321758
LUN/BTC,1583524941359,2020-03-06T20:02:21.359Z,buy,0.0001107,78.73,0.008715411
LUN/BTC,1583524947065,2020-03-06T20:02:27.065Z,buy,0.0001111,29.59,0.003287449
LUN/BTC,1583524947068,2020-03-06T20:02:27.068Z,buy,0.0001111,29.54,0.003281894
LUN/BTC,1583524947078,2020-03-06T20:02:27.078Z,buy,0.0001111,29.59,0.003287449
LUN/BTC,1583524975969,2020-03-06T20:02:55.969Z,sell,0.0001103,117.61,0.012972383
LUN/BTC,1583525339975,2020-03-06T20:08:59.975Z,buy,0.0001112,2.91,0.000323592
LUN/BTC,1583525385004,2020-03-06T20:09:45.004Z,buy,0.0001112,108.51,0.012066312
LUN/BTC,1583525704491,2020-03-06T20:15:04.491Z,buy,0.0001116,221.64,0.0247350239999999
LUN/BTC,1583525711833,2020-03-06T20:15:11.833Z,buy,0.0001118,98.37,0.0109977659999999
LUN/BTC,1583525717241,2020-03-06T20:15:17.241Z,buy,0.0001118,90.0,0.010062
LUN/BTC,1583525724447,2020-03-06T20:15:24.447Z,buy,0.0001121,186.14,0.0208662939999999
LUN/BTC,1583525737562,2020-03-06T20:15:37.562Z,buy,0.0001123,40.38,0.004534674
LUN/BTC,1583525742559,2020-03-06T20:15:42.559Z,buy,0.0001124,45.57,0.005122068
LUN/BTC,1583525747816,2020-03-06T20:15:47.816Z,buy,0.0001125,4.51,0.000507375
LUN/BTC,1583525752789,2020-03-06T20:15:52.789Z,buy,0.0001126,9.27,0.001043802
LUN/BTC,1583525754279,2020-03-06T20:15:54.279Z,sell,0.0001121,15.4,0.00172634
LUN/BTC,1583525774255,2020-03-06T20:16:14.255Z,sell,0.0001121,94.6,0.01060466
LUN/BTC,1583525774255,2020-03-06T20:16:14.255Z,sell,0.000112,74.82,0.00837984
LUN/BTC,1583525774255,2020-03-06T20:16:14.255Z,sell,0.0001119,210.15,0.023515785
LUN/BTC,1583525774255,2020-03-06T20:16:14.255Z,sell,0.0001118,90.0,0.010062
LUN/BTC,1583525774255,2020-03-06T20:16:14.255Z,sell,0.0001117,110.0,0.012287
LUN/BTC,1583525774255,2020-03-06T20:16:14.255Z,sell,0.0001116,81.02,0.009041832
LUN/BTC,1583525826689,2020-03-06T20:17:06.689Z,buy,0.0001125,3.55,0.000399375
LUN/BTC,1583525840550,2020-03-06T20:17:20.550Z,sell,0.0001118,27.51,0.003075618
LUN/BTC,1583525896871,2020-03-06T20:18:16.871Z,sell,0.0001118,143.22,0.016011996
LUN/BTC,1583525952869,2020-03-06T20:19:12.869Z,sell,0.0001116,8.42,0.000939672
LUN/BTC,1583526404124,2020-03-06T20:26:44.124Z,buy,0.0001117,54.27,0.006061959
LUN/BTC,1583526404124,2020-03-06T20:26:44.124Z,buy,0.0001118,405.38,0.0453214839999999
LUN/BTC,1583526408234,2020-03-06T20:26:48.234Z,sell,0.0001118,9.0,0.0010061999999999
LUN/BTC,1583526429934,2020-03-06T20:27:09.934Z,buy,0.0001119,136.53,0.015277707
LUN/BTC,1583526493760,2020-03-06T20:28:13.760Z,sell,0.0001117,134.8,0.01505716
LUN/BTC,1583526493761,2020-03-06T20:28:13.761Z,buy,0.0001118,71.01,0.007938918
LUN/BTC,1583526501190,2020-03-06T20:28:21.190Z,buy,0.0001119,36.07,0.004036233
LUN/BTC,1583526501190,2020-03-06T20:28:21.190Z,buy,0.000112,627.82,0.07031584
LUN/BTC,1583527473904,2020-03-06T20:44:33.904Z,buy,0.0001119,169.3,0.01894467
LUN/BTC,1583527473904,2020-03-06T20:44:33.904Z,buy,0.0001119,169.3,0.01894467
LUN/BTC,1583527926441,2020-03-06T20:52:06.441Z,buy,0.000112,0.91,0.00010192
LUN/BTC,1583528048965,2020-03-06T20:54:08.965Z,buy,0.000112,1.07,0.00011984
LUN/BTC,1583528274249,2020-03-06T20:57:54.249Z,sell,0.0001118,0.9,0.00010062
LUN/BTC,1583528331165,2020-03-06T20:58:51.165Z,sell,0.0001116,4.44,0.000495504
LUN/BTC,1583528331165,2020-03-06T20:58:51.165Z,sell,0.0001115,22.55,0.002514325
LUN/BTC,1583528925714,2020-03-06T21:08:45.714Z,buy,0.0001116,40.14,0.004479624
LUN/BTC,1583528947788,2020-03-06T21:09:07.788Z,buy,0.0001117,1.8,0.00020106
LUN/BTC,1583529398355,2020-03-06T21:16:38.355Z,buy,0.0001114,33.1,0.00368734
LUN/BTC,1583529398358,2020-03-06T21:16:38.358Z,buy,0.0001117,74.51,0.008322767
LUN/BTC,1583529677542,2020-03-06T21:21:17.542Z,buy,0.0001118,0.19,2.1242e-05
LUN/BTC,1583529940707,2020-03-06T21:25:40.707Z,buy,0.0001119,38.45,0.004302555
LUN/BTC,1583530003762,2020-03-06T21:26:43.762Z,buy,0.000112,0.91,0.00010192
LUN/BTC,1583530035101,2020-03-06T21:27:15.101Z,buy,0.000112,0.91,0.00010192
LUN/BTC,1583530187884,2020-03-06T21:29:47.884Z,buy,0.000112,955.12,0.10697344
LUN/BTC,1583530187884,2020-03-06T21:29:47.884Z,buy,0.0001122,68.88,0.007728336
LUN/BTC,1583530195369,2020-03-06T21:29:55.369Z,buy,0.0001123,3.52,0.000395296
LUN/BTC,1583530528920,2020-03-06T21:35:28.920Z,buy,0.0001123,25.53,0.002867019
LUN/BTC,1583530603307,2020-03-06T21:36:43.307Z,buy,0.0001119,93.94,0.010511886
LUN/BTC,1583530603308,2020-03-06T21:36:43.308Z,buy,0.0001122,24.89,0.002792658
LUN/BTC,1583530619151,2020-03-06T21:36:59.151Z,sell,0.0001116,13.88,0.001549008
LUN/BTC,1583530619151,2020-03-06T21:36:59.151Z,sell,0.0001115,13.41,0.001495215
LUN/BTC,1583530986818,2020-03-06T21:43:06.818Z,buy,0.0001122,21.77,0.002442594
LUN/BTC,1583530986818,2020-03-06T21:43:06.818Z,buy,0.0001122,21.77,0.002442594
