symbol,timestamp,datetime,side,price,amount,btc_volume
NAV/BTC,1562000307145,2019-07-01T16:58:27.145Z,sell,1.87e-05,89.0,0.0016643
NAV/BTC,1562000307145,2019-07-01T16:58:27.145Z,buy,1.88e-05,5501.27,0.103423876
NAV/BTC,1562000361266,2019-07-01T16:59:21.266Z,buy,1.88e-05,1109.42,0.020857096
NAV/BTC,1562000400308,2019-07-01T17:00:00.308Z,sell,1.87e-05,74.37,0.001390719
NAV/BTC,1562000437540,2019-07-01T17:00:37.540Z,sell,1.88e-05,478.24,0.008990912
NAV/BTC,1562000651417,2019-07-01T17:04:11.417Z,buy,1.89e-05,429.0,0.0081081
NAV/BTC,1562001273699,2019-07-01T17:14:33.699Z,buy,1.89e-05,1698.53,0.0321022169999999
NAV/BTC,1562001313946,2019-07-01T17:15:13.946Z,buy,1.89e-05,2374.57,0.044879373
NAV/BTC,1562001320174,2019-07-01T17:15:20.174Z,buy,1.9e-05,52.92,0.00100548
NAV/BTC,1562001321179,2019-07-01T17:15:21.179Z,sell,1.89e-05,63.79,0.001205631
NAV/BTC,1562001338180,2019-07-01T17:15:38.180Z,sell,1.89e-05,936.21,0.0176943689999999
NAV/BTC,1562001345907,2019-07-01T17:15:45.907Z,sell,1.88e-05,283.23,0.005324724
NAV/BTC,1562001409985,2019-07-01T17:16:49.985Z,sell,1.88e-05,702.7,0.01321076
NAV/BTC,1562001516623,2019-07-01T17:18:36.623Z,sell,1.89e-05,2555.57,0.048300273
NAV/BTC,1562001518619,2019-07-01T17:18:38.619Z,sell,1.89e-05,236.48,0.0044694719999999
NAV/BTC,1562001658349,2019-07-01T17:20:58.349Z,sell,1.89e-05,160.41,0.003031749
NAV/BTC,1562001868513,2019-07-01T17:24:28.513Z,buy,1.9e-05,73.69,0.00140011
NAV/BTC,1562002339830,2019-07-01T17:32:19.830Z,sell,1.89e-05,89.68,0.001694952
NAV/BTC,1562002355352,2019-07-01T17:32:35.352Z,sell,1.89e-05,98.51,0.001861839
NAV/BTC,1562002742519,2019-07-01T17:39:02.519Z,sell,1.89e-05,534.75,0.0101067749999999
NAV/BTC,1562003110190,2019-07-01T17:45:10.190Z,sell,1.89e-05,282.29,0.005335281
NAV/BTC,1562003282495,2019-07-01T17:48:02.495Z,sell,1.89e-05,49.14,0.0009287459999999
NAV/BTC,1562003282495,2019-07-01T17:48:02.495Z,sell,1.88e-05,1551.29,0.0291642519999999
NAV/BTC,1562003282495,2019-07-01T17:48:02.495Z,sell,1.87e-05,4166.89,0.077920843
NAV/BTC,1562003282495,2019-07-01T17:48:02.495Z,sell,1.86e-05,4274.73,0.079509978
NAV/BTC,1562003527207,2019-07-01T17:52:07.207Z,buy,1.88e-05,346.35,0.00651138
NAV/BTC,1562003649399,2019-07-01T17:54:09.399Z,sell,1.87e-05,269.44,0.005038528
NAV/BTC,1562003649399,2019-07-01T17:54:09.399Z,sell,1.87e-05,269.44,0.005038528
NAV/BTC,1562004250419,2019-07-01T18:04:10.419Z,sell,1.87e-05,4006.75,0.074926225
NAV/BTC,1562004250726,2019-07-01T18:04:10.726Z,buy,1.87e-05,228.55,0.004273885
NAV/BTC,1562004256902,2019-07-01T18:04:16.902Z,buy,1.86e-05,100.0,0.00186
NAV/BTC,1562004257340,2019-07-01T18:04:17.340Z,buy,1.86e-05,1000.0,0.0186
NAV/BTC,1562004262503,2019-07-01T18:04:22.503Z,sell,1.85e-05,2656.91,0.0491528349999999
NAV/BTC,1562004262503,2019-07-01T18:04:22.503Z,sell,1.85e-05,5911.23,0.1093577549999999
NAV/BTC,1562004344331,2019-07-01T18:05:44.331Z,buy,1.86e-05,641.9,0.01193934
NAV/BTC,1562004394600,2019-07-01T18:06:34.600Z,buy,1.86e-05,1367.12,0.025428432
NAV/BTC,1562004416795,2019-07-01T18:06:56.795Z,buy,1.86e-05,105.78,0.001967508
NAV/BTC,1562004478444,2019-07-01T18:07:58.444Z,buy,1.86e-05,1761.7,0.03276762
NAV/BTC,1562004486963,2019-07-01T18:08:06.963Z,buy,1.87e-05,534.75,0.009999825
NAV/BTC,1562004569168,2019-07-01T18:09:29.168Z,buy,1.87e-05,1510.82,0.028252334
NAV/BTC,1562004604560,2019-07-01T18:10:04.560Z,buy,1.87e-05,53.53,0.001001011
NAV/BTC,1562004646482,2019-07-01T18:10:46.482Z,buy,1.87e-05,540.47,0.010106789
NAV/BTC,1562004688593,2019-07-01T18:11:28.593Z,buy,1.87e-05,276.6,0.00517242
NAV/BTC,1562004705448,2019-07-01T18:11:45.448Z,sell,1.86e-05,110.64,0.002057904
NAV/BTC,1562005130496,2019-07-01T18:18:50.496Z,buy,1.87e-05,3816.52,0.071368924
NAV/BTC,1562005478747,2019-07-01T18:24:38.747Z,buy,1.88e-05,250.0,0.0047
NAV/BTC,1562005587423,2019-07-01T18:26:27.423Z,buy,1.88e-05,11415.05,0.21460294
NAV/BTC,1562005628818,2019-07-01T18:27:08.818Z,buy,1.88e-05,1746.02,0.032825176
NAV/BTC,1562005674881,2019-07-01T18:27:54.881Z,sell,1.87e-05,459.89,0.008599943
NAV/BTC,1562005969771,2019-07-01T18:32:49.771Z,buy,1.88e-05,545.76,0.010260288
NAV/BTC,1562006376852,2019-07-01T18:39:36.852Z,sell,1.87e-05,53.49,0.001000263
NAV/BTC,1562006601609,2019-07-01T18:43:21.609Z,sell,1.87e-05,140.0,0.002618
NAV/BTC,1562006787061,2019-07-01T18:46:27.061Z,buy,1.88e-05,132.49,0.002490812
NAV/BTC,1562006820956,2019-07-01T18:47:00.956Z,buy,1.88e-05,113.0,0.0021244
NAV/BTC,1562006820956,2019-07-01T18:47:00.956Z,buy,1.88e-05,113.0,0.0021244
NAV/BTC,1562007436767,2019-07-01T18:57:16.767Z,buy,1.88e-05,53.49,0.001005612
NAV/BTC,1562007842686,2019-07-01T19:04:02.686Z,buy,1.88e-05,143.4,0.00269592
NAV/BTC,1562007842723,2019-07-01T19:04:02.723Z,buy,1.88e-05,143.4,0.00269592
NAV/BTC,1562007842770,2019-07-01T19:04:02.770Z,buy,1.88e-05,143.4,0.00269592
NAV/BTC,1562007842828,2019-07-01T19:04:02.828Z,buy,1.88e-05,143.4,0.00269592
NAV/BTC,1562007842937,2019-07-01T19:04:02.937Z,buy,1.88e-05,143.4,0.00269592
NAV/BTC,1562007843737,2019-07-01T19:04:03.737Z,buy,1.88e-05,143.4,0.00269592
NAV/BTC,1562007873512,2019-07-01T19:04:33.512Z,buy,1.88e-05,212.76,0.003999888
NAV/BTC,1562007873919,2019-07-01T19:04:33.919Z,buy,1.88e-05,212.76,0.003999888
NAV/BTC,1562007879433,2019-07-01T19:04:39.433Z,buy,1.88e-05,212.76,0.003999888
NAV/BTC,1562007879924,2019-07-01T19:04:39.924Z,buy,1.88e-05,212.76,0.003999888
NAV/BTC,1562007915730,2019-07-01T19:05:15.730Z,buy,1.88e-05,631.23,0.011867124
NAV/BTC,1562007915730,2019-07-01T19:05:15.730Z,buy,1.89e-05,1803.69,0.034089741
NAV/BTC,1562008020724,2019-07-01T19:07:00.724Z,buy,1.89e-05,545.56,0.0103110839999999
NAV/BTC,1562008020990,2019-07-01T19:07:00.990Z,sell,1.89e-05,101.44,0.0019172159999999
NAV/BTC,1562008125464,2019-07-01T19:08:45.464Z,sell,1.88e-05,99.99,0.0018798119999999
NAV/BTC,1562008213879,2019-07-01T19:10:13.879Z,buy,1.89e-05,129.57,0.002448873
NAV/BTC,1562008317386,2019-07-01T19:11:57.386Z,buy,1.89e-05,1827.02,0.0345306779999999
NAV/BTC,1562008853666,2019-07-01T19:20:53.666Z,sell,1.88e-05,614.8,0.01155824
NAV/BTC,1562008853666,2019-07-01T19:20:53.666Z,sell,1.87e-05,3642.93,0.068122791
NAV/BTC,1562008871203,2019-07-01T19:21:11.203Z,buy,1.89e-05,79.37,0.0015000929999999
NAV/BTC,1562009021049,2019-07-01T19:23:41.049Z,sell,1.87e-05,1007.32,0.018836884
NAV/BTC,1562009203197,2019-07-01T19:26:43.197Z,sell,1.88e-05,391.16,0.007353808
NAV/BTC,1562009206444,2019-07-01T19:26:46.444Z,buy,1.89e-05,1999.09,0.037782801
NAV/BTC,1562009212057,2019-07-01T19:26:52.057Z,buy,1.89e-05,1499.32,0.0283371479999999
NAV/BTC,1562009215464,2019-07-01T19:26:55.464Z,buy,1.89e-05,591.01,0.011170089
NAV/BTC,1562009220697,2019-07-01T19:27:00.697Z,buy,1.9e-05,3355.72,0.06375868
NAV/BTC,1562009223733,2019-07-01T19:27:03.733Z,sell,1.89e-05,1379.19,0.026066691
NAV/BTC,1562009223733,2019-07-01T19:27:03.733Z,sell,1.88e-05,1864.08,0.0350447039999999
NAV/BTC,1562009240544,2019-07-01T19:27:20.544Z,buy,1.89e-05,123.57,0.002335473
NAV/BTC,1562009297449,2019-07-01T19:28:17.449Z,buy,1.89e-05,63.79,0.001205631
NAV/BTC,1562009404284,2019-07-01T19:30:04.284Z,buy,1.89e-05,64.38,0.0012167819999999
NAV/BTC,1562009404583,2019-07-01T19:30:04.583Z,sell,1.89e-05,76.03,0.001436967
NAV/BTC,1562009405013,2019-07-01T19:30:05.013Z,buy,1.9e-05,79.36,0.00150784
NAV/BTC,1562009585628,2019-07-01T19:33:05.628Z,buy,1.9e-05,382.84,0.00727396
NAV/BTC,1562009626531,2019-07-01T19:33:46.531Z,buy,1.9e-05,694.66,0.01319854
NAV/BTC,1562009626531,2019-07-01T19:33:46.531Z,buy,1.91e-05,11098.2,0.21197562
NAV/BTC,1562009626531,2019-07-01T19:33:46.531Z,buy,1.92e-05,13824.49,0.265430208
NAV/BTC,1562009626531,2019-07-01T19:33:46.531Z,buy,1.93e-05,6026.36,0.116308748
NAV/BTC,1562009626531,2019-07-01T19:33:46.531Z,buy,1.94e-05,2425.72,0.047058968
NAV/BTC,1562009626531,2019-07-01T19:33:46.531Z,buy,1.95e-05,22047.56,0.42992742
NAV/BTC,1562009626531,2019-07-01T19:33:46.531Z,buy,1.96e-05,13779.73,0.2700827079999999
NAV/BTC,1562009626531,2019-07-01T19:33:46.531Z,buy,1.97e-05,97.56,0.001921932
NAV/BTC,1562009626531,2019-07-01T19:33:46.531Z,sell,1.96e-05,605.62,0.011870152
NAV/BTC,1562009626596,2019-07-01T19:33:46.596Z,sell,1.9e-05,605.62,0.01150678
NAV/BTC,1562009627046,2019-07-01T19:33:47.046Z,sell,1.92e-05,246.03,0.004723776
NAV/BTC,1562009627426,2019-07-01T19:33:47.426Z,sell,1.91e-05,122.84,0.002346244
NAV/BTC,1562009627611,2019-07-01T19:33:47.611Z,buy,1.93e-05,104.17,0.002010481
NAV/BTC,1562009628237,2019-07-01T19:33:48.237Z,sell,1.91e-05,2239.67,0.042777697
NAV/BTC,1562009628598,2019-07-01T19:33:48.598Z,sell,1.91e-05,260.8,0.00498128
NAV/BTC,1562009628598,2019-07-01T19:33:48.598Z,sell,1.9e-05,121.71,0.00231249
NAV/BTC,1562009628603,2019-07-01T19:33:48.603Z,sell,1.9e-05,273.22,0.00519118
NAV/BTC,1562009629587,2019-07-01T19:33:49.587Z,buy,1.92e-05,76.03,0.0014597759999999
NAV/BTC,1562009629615,2019-07-01T19:33:49.615Z,sell,1.91e-05,163.93,0.003131063
NAV/BTC,1562009630070,2019-07-01T19:33:50.070Z,sell,1.91e-05,46.07,0.000879937
NAV/BTC,1562009631635,2019-07-01T19:33:51.635Z,buy,1.91e-05,150.34,0.002871494
NAV/BTC,1562009635210,2019-07-01T19:33:55.210Z,buy,1.93e-05,325.39,0.006280027
NAV/BTC,1562009635610,2019-07-01T19:33:55.610Z,buy,1.94e-05,362.25,0.00702765
NAV/BTC,1562009636039,2019-07-01T19:33:56.039Z,sell,1.92e-05,212.76,0.004084992
NAV/BTC,1562009636416,2019-07-01T19:33:56.416Z,sell,1.92e-05,33.27,0.000638784
NAV/BTC,1562009636664,2019-07-01T19:33:56.664Z,buy,1.92e-05,191.25,0.003672
NAV/BTC,1562009636664,2019-07-01T19:33:56.664Z,buy,1.93e-05,313.33,0.006047269
NAV/BTC,1562009636850,2019-07-01T19:33:56.850Z,sell,1.93e-05,79.15,0.001527595
NAV/BTC,1562009637038,2019-07-01T19:33:57.038Z,sell,1.93e-05,246.03,0.004748379
NAV/BTC,1562009637096,2019-07-01T19:33:57.096Z,sell,1.93e-05,38.65,0.000745945
NAV/BTC,1562009637620,2019-07-01T19:33:57.620Z,buy,1.93e-05,174.11,0.003360323
NAV/BTC,1562009637620,2019-07-01T19:33:57.620Z,buy,1.94e-05,84.89,0.001646866
NAV/BTC,1562009641290,2019-07-01T19:34:01.290Z,sell,1.92e-05,246.03,0.004723776
NAV/BTC,1562009641290,2019-07-01T19:34:01.290Z,sell,1.91e-05,80.43,0.001536213
NAV/BTC,1562009642556,2019-07-01T19:34:02.556Z,sell,1.91e-05,79.37,0.001515967
NAV/BTC,1562009644086,2019-07-01T19:34:04.086Z,buy,1.92e-05,103.36,0.001984512
NAV/BTC,1562009645592,2019-07-01T19:34:05.592Z,sell,1.91e-05,307.43,0.005871913
NAV/BTC,1562009645945,2019-07-01T19:34:05.945Z,sell,1.89e-05,429.64,0.008120196
NAV/BTC,1562009649663,2019-07-01T19:34:09.663Z,sell,1.89e-05,536.45,0.010138905
NAV/BTC,1562009652201,2019-07-01T19:34:12.201Z,buy,1.9e-05,493.93,0.00938467
NAV/BTC,1562009652201,2019-07-01T19:34:12.201Z,buy,1.91e-05,343.43,0.006559513
NAV/BTC,1562009659464,2019-07-01T19:34:19.464Z,sell,1.9e-05,204.56,0.00388664
NAV/BTC,1562009665491,2019-07-01T19:34:25.491Z,sell,1.9e-05,545.76,0.01036944
NAV/BTC,1562009710833,2019-07-01T19:35:10.833Z,buy,1.91e-05,63.12,0.001205592
NAV/BTC,1562009735731,2019-07-01T19:35:35.731Z,buy,1.93e-05,55.48,0.001070764
NAV/BTC,1562009739187,2019-07-01T19:35:39.187Z,buy,1.92e-05,1158.47,0.022242624
NAV/BTC,1562009739187,2019-07-01T19:35:39.187Z,buy,1.93e-05,2796.65,0.053975345
NAV/BTC,1562009965670,2019-07-01T19:39:25.670Z,buy,1.92e-05,95.69,0.0018372479999999
NAV/BTC,1562009967035,2019-07-01T19:39:27.035Z,buy,1.92e-05,211.39,0.0040586879999999
NAV/BTC,1562009967035,2019-07-01T19:39:27.035Z,buy,1.93e-05,42.26,0.000815618
NAV/BTC,1562009985636,2019-07-01T19:39:45.636Z,buy,1.92e-05,85.76,0.001646592
NAV/BTC,1562009985922,2019-07-01T19:39:45.922Z,sell,1.92e-05,419.58,0.008055936
