symbol,timestamp,datetime,side,price,amount,btc_volume
OAX/BTC,1603555329281,2020-10-24T16:02:09.281Z,buy,5.23e-06,286.0,0.00149578
OAX/BTC,1603555628608,2020-10-24T16:07:08.608Z,sell,5.21e-06,159.0,0.00082839
OAX/BTC,1603556482505,2020-10-24T16:21:22.505Z,sell,5.2e-06,1325.0,0.00689
OAX/BTC,1603556482651,2020-10-24T16:21:22.651Z,sell,5.19e-06,661.0,0.00343059
OAX/BTC,1603556482851,2020-10-24T16:21:22.851Z,sell,5.19e-06,330.0,0.0017127
OAX/BTC,1603556491490,2020-10-24T16:21:31.490Z,sell,5.19e-06,257.0,0.00133383
OAX/BTC,1603556493354,2020-10-24T16:21:33.354Z,sell,5.18e-06,278.0,0.00144004
OAX/BTC,1603556493354,2020-10-24T16:21:33.354Z,sell,5.18e-06,240.0,0.0012432
OAX/BTC,1603556493552,2020-10-24T16:21:33.552Z,sell,5.18e-06,259.0,0.00134162
OAX/BTC,1603556499852,2020-10-24T16:21:39.852Z,sell,5.18e-06,501.0,0.00259518
OAX/BTC,1603556499852,2020-10-24T16:21:39.852Z,sell,5.17e-06,9149.0,0.0473003299999999
OAX/BTC,1603556501326,2020-10-24T16:21:41.326Z,sell,5.16e-06,559.0,0.00288444
OAX/BTC,1603556502081,2020-10-24T16:21:42.081Z,sell,5.16e-06,387.0,0.0019969199999999
OAX/BTC,1603556516194,2020-10-24T16:21:56.194Z,buy,5.17e-06,177.0,0.0009150899999999
OAX/BTC,1603556527416,2020-10-24T16:22:07.416Z,buy,5.17e-06,47.0,0.0002429899999999
OAX/BTC,1603556566395,2020-10-24T16:22:46.395Z,buy,5.17e-06,3193.0,0.0165078099999999
OAX/BTC,1603556566500,2020-10-24T16:22:46.500Z,buy,5.17e-06,1131.0,0.00584727
OAX/BTC,1603556572918,2020-10-24T16:22:52.918Z,sell,5.16e-06,3024.0,0.0156038399999999
OAX/BTC,1603556589808,2020-10-24T16:23:09.808Z,buy,5.18e-06,23.0,0.00011914
OAX/BTC,1603556632932,2020-10-24T16:23:52.932Z,sell,5.17e-06,9189.0,0.0475071299999999
OAX/BTC,1603556645902,2020-10-24T16:24:05.902Z,sell,5.16e-06,3805.0,0.0196338
OAX/BTC,1603556656164,2020-10-24T16:24:16.164Z,sell,5.15e-06,2577.0,0.01327155
OAX/BTC,1603556656164,2020-10-24T16:24:16.164Z,sell,5.15e-06,1010.0,0.0052014999999999
OAX/BTC,1603556656164,2020-10-24T16:24:16.164Z,sell,5.15e-06,935.0,0.00481525
OAX/BTC,1603556656164,2020-10-24T16:24:16.164Z,sell,5.15e-06,934.0,0.0048100999999999
OAX/BTC,1603556658129,2020-10-24T16:24:18.129Z,sell,5.15e-06,73.0,0.00037595
OAX/BTC,1603556658974,2020-10-24T16:24:18.974Z,sell,5.15e-06,166.0,0.0008549
OAX/BTC,1603556659450,2020-10-24T16:24:19.450Z,sell,5.15e-06,56.0,0.0002883999999999
OAX/BTC,1603556660997,2020-10-24T16:24:20.997Z,buy,5.17e-06,20.0,0.0001033999999999
OAX/BTC,1603556702200,2020-10-24T16:25:02.200Z,buy,5.17e-06,23.0,0.0001189099999999
OAX/BTC,1603556729135,2020-10-24T16:25:29.135Z,buy,5.17e-06,698.0,0.0036086599999999
OAX/BTC,1603556729143,2020-10-24T16:25:29.143Z,buy,5.17e-06,2.0,1.034e-05
OAX/BTC,1603556859597,2020-10-24T16:27:39.597Z,buy,5.18e-06,23.0,0.00011914
OAX/BTC,1603556859597,2020-10-24T16:27:39.597Z,buy,5.18e-06,1.0,5.18e-06
OAX/BTC,1603556859597,2020-10-24T16:27:39.597Z,buy,5.19e-06,86.0,0.00044634
OAX/BTC,1603556859597,2020-10-24T16:27:39.597Z,buy,5.19e-06,5.0,2.595e-05
OAX/BTC,1603556859597,2020-10-24T16:27:39.597Z,buy,5.2e-06,34.0,0.0001768
OAX/BTC,1603556951288,2020-10-24T16:29:11.288Z,buy,5.2e-06,106.0,0.0005512
OAX/BTC,1603557000201,2020-10-24T16:30:00.201Z,buy,5.19e-06,336.0,0.00174384
OAX/BTC,1603557005268,2020-10-24T16:30:05.268Z,sell,5.17e-06,459.0,0.00237303
OAX/BTC,1603557005268,2020-10-24T16:30:05.268Z,sell,5.16e-06,336.0,0.00173376
OAX/BTC,1603557005342,2020-10-24T16:30:05.342Z,buy,5.16e-06,1176.0,0.0060681599999999
OAX/BTC,1603557005442,2020-10-24T16:30:05.442Z,buy,5.16e-06,588.0,0.0030340799999999
OAX/BTC,1603557005647,2020-10-24T16:30:05.647Z,buy,5.16e-06,293.0,0.00151188
OAX/BTC,1603557011124,2020-10-24T16:30:11.124Z,sell,5.15e-06,3145.0,0.01619675
OAX/BTC,1603557024056,2020-10-24T16:30:24.056Z,buy,5.19e-06,20.0,0.0001038
OAX/BTC,1603557380838,2020-10-24T16:36:20.838Z,buy,5.18e-06,174.0,0.00090132
OAX/BTC,1603557382370,2020-10-24T16:36:22.370Z,buy,5.19e-06,39.0,0.00020241
OAX/BTC,1603557382458,2020-10-24T16:36:22.458Z,buy,5.19e-06,39.0,0.00020241
OAX/BTC,1603557898823,2020-10-24T16:44:58.823Z,buy,5.19e-06,200.0,0.001038
OAX/BTC,1603558037087,2020-10-24T16:47:17.087Z,buy,5.19e-06,2085.0,0.01082115
OAX/BTC,1603558039128,2020-10-24T16:47:19.128Z,sell,5.19e-06,863.0,0.00447897
OAX/BTC,1603558341352,2020-10-24T16:52:21.352Z,sell,5.18e-06,218.0,0.00112924
OAX/BTC,1603558395770,2020-10-24T16:53:15.770Z,sell,5.18e-06,572.0,0.00296296
OAX/BTC,1603558500267,2020-10-24T16:55:00.267Z,sell,5.16e-06,77.0,0.00039732
OAX/BTC,1603558572966,2020-10-24T16:56:12.966Z,sell,5.17e-06,78.0,0.0004032599999999
OAX/BTC,1603558572966,2020-10-24T16:56:12.966Z,sell,5.16e-06,5802.0,0.0299383199999999
OAX/BTC,1603558572966,2020-10-24T16:56:12.966Z,sell,5.15e-06,862.0,0.0044393
OAX/BTC,1603558572966,2020-10-24T16:56:12.966Z,sell,5.14e-06,39.0,0.00020046
OAX/BTC,1603558572966,2020-10-24T16:56:12.966Z,sell,5.13e-06,1760.0,0.0090288
OAX/BTC,1603558572966,2020-10-24T16:56:12.966Z,sell,5.13e-06,9179.0,0.04708827
OAX/BTC,1603558573268,2020-10-24T16:56:13.268Z,buy,5.15e-06,24.0,0.0001236
OAX/BTC,1603558577663,2020-10-24T16:56:17.663Z,sell,5.14e-06,549.0,0.00282186
OAX/BTC,1603558585964,2020-10-24T16:56:25.964Z,sell,5.13e-06,1243.0,0.00637659
OAX/BTC,1603558602318,2020-10-24T16:56:42.318Z,buy,5.14e-06,2814.0,0.01446396
