symbol,timestamp,datetime,side,price,amount,btc_volume
POA/BTC,1564070454183,2019-07-25T16:00:54.183Z,buy,2.18e-06,15.0,3.2699999999999995e-05
POA/BTC,1564070594782,2019-07-25T16:03:14.782Z,sell,2.16e-06,78.0,0.00016848
POA/BTC,1564070598410,2019-07-25T16:03:18.410Z,buy,2.17e-06,52.0,0.00011284
POA/BTC,1564070598410,2019-07-25T16:03:18.410Z,buy,2.18e-06,2296.0,0.00500528
POA/BTC,1564070623074,2019-07-25T16:03:43.074Z,buy,2.18e-06,14.0,3.052e-05
POA/BTC,1564070632907,2019-07-25T16:03:52.907Z,buy,2.18e-06,1009.0,0.00219962
POA/BTC,1564070634981,2019-07-25T16:03:54.981Z,sell,2.17e-06,12412.0,0.02693404
POA/BTC,1564070637423,2019-07-25T16:03:57.423Z,buy,2.18e-06,1007.0,0.00219526
POA/BTC,1564070637987,2019-07-25T16:03:57.987Z,sell,2.17e-06,986.0,0.00213962
POA/BTC,1564070757703,2019-07-25T16:05:57.703Z,sell,2.16e-06,1238.0,0.00267408
POA/BTC,1564070833997,2019-07-25T16:07:13.997Z,sell,2.16e-06,1388.0,0.00299808
POA/BTC,1564071041380,2019-07-25T16:10:41.380Z,buy,2.17e-06,111.0,0.00024087
POA/BTC,1564071042081,2019-07-25T16:10:42.081Z,buy,2.17e-06,2339.0,0.00507563
POA/BTC,1564071043266,2019-07-25T16:10:43.266Z,buy,2.17e-06,1033.0,0.00224161
POA/BTC,1564071047434,2019-07-25T16:10:47.434Z,buy,2.17e-06,1070.0,0.0023219
POA/BTC,1564071112068,2019-07-25T16:11:52.068Z,sell,2.16e-06,4124.0,0.00890784
POA/BTC,1564071167898,2019-07-25T16:12:47.898Z,buy,2.17e-06,1605.0,0.00348285
POA/BTC,1564071209446,2019-07-25T16:13:29.446Z,buy,2.17e-06,478.0,0.00103726
POA/BTC,1564071215625,2019-07-25T16:13:35.625Z,buy,2.17e-06,17.0,3.689e-05
POA/BTC,1564071936822,2019-07-25T16:25:36.822Z,buy,2.17e-06,1691.0,0.0036694699999999
POA/BTC,1564072109103,2019-07-25T16:28:29.103Z,sell,2.16e-06,11930.0,0.0257688
POA/BTC,1564072135506,2019-07-25T16:28:55.506Z,sell,2.15e-06,48796.0,0.1049114
POA/BTC,1564072135506,2019-07-25T16:28:55.506Z,sell,2.14e-06,80473.0,0.17221222
POA/BTC,1564072135506,2019-07-25T16:28:55.506Z,sell,2.13e-06,48458.0,0.10321554
POA/BTC,1564072135675,2019-07-25T16:28:55.675Z,sell,2.14e-06,151.0,0.0003231399999999
POA/BTC,1564072135930,2019-07-25T16:28:55.930Z,sell,2.14e-06,160.0,0.0003424
POA/BTC,1564072137082,2019-07-25T16:28:57.082Z,sell,2.14e-06,2675.0,0.0057244999999999
POA/BTC,1564072137772,2019-07-25T16:28:57.772Z,sell,2.14e-06,2424.0,0.0051873599999999
POA/BTC,1564072138687,2019-07-25T16:28:58.687Z,buy,2.14e-06,280.0,0.0005991999999999
POA/BTC,1564072140081,2019-07-25T16:29:00.081Z,sell,2.14e-06,606.0,0.0012968399999999
POA/BTC,1564072161818,2019-07-25T16:29:21.818Z,sell,2.14e-06,2348.0,0.00502472
POA/BTC,1564072483993,2019-07-25T16:34:43.993Z,buy,2.15e-06,13.0,2.795e-05
POA/BTC,1564072538183,2019-07-25T16:35:38.183Z,buy,2.15e-06,16.0,3.44e-05
POA/BTC,1564072569104,2019-07-25T16:36:09.104Z,buy,2.15e-06,14.0,3.0100000000000003e-05
POA/BTC,1564072615948,2019-07-25T16:36:55.948Z,buy,2.15e-06,16.0,3.44e-05
POA/BTC,1564072730717,2019-07-25T16:38:50.717Z,buy,2.15e-06,13.0,2.795e-05
POA/BTC,1564072795862,2019-07-25T16:39:55.862Z,buy,2.15e-06,14.0,3.0100000000000003e-05
POA/BTC,1564072952687,2019-07-25T16:42:32.687Z,buy,2.15e-06,15.0,3.2250000000000005e-05
POA/BTC,1564072977875,2019-07-25T16:42:57.875Z,buy,2.15e-06,786.0,0.0016899
POA/BTC,1564073015929,2019-07-25T16:43:35.929Z,buy,2.15e-06,13.0,2.795e-05
POA/BTC,1564073135488,2019-07-25T16:45:35.488Z,sell,2.14e-06,38159.0,0.08166026
POA/BTC,1564073135600,2019-07-25T16:45:35.600Z,buy,2.14e-06,437.0,0.00093518
POA/BTC,1564073136652,2019-07-25T16:45:36.652Z,buy,2.14e-06,52.0,0.0001112799999999
POA/BTC,1564073172469,2019-07-25T16:46:12.469Z,buy,2.15e-06,16.0,3.44e-05
POA/BTC,1564073216686,2019-07-25T16:46:56.686Z,sell,2.14e-06,18518.0,0.03962852
POA/BTC,1564073217283,2019-07-25T16:46:57.283Z,buy,2.14e-06,142.0,0.0003038799999999
POA/BTC,1564073225430,2019-07-25T16:47:05.430Z,buy,2.15e-06,17.0,3.655e-05
POA/BTC,1564073225495,2019-07-25T16:47:05.495Z,sell,2.14e-06,48.0,0.0001027199999999
POA/BTC,1564073285753,2019-07-25T16:48:05.753Z,buy,2.15e-06,16.0,3.44e-05
POA/BTC,1564073290329,2019-07-25T16:48:10.329Z,sell,2.13e-06,190.0,0.0004046999999999
POA/BTC,1564073473220,2019-07-25T16:51:13.220Z,buy,2.15e-06,15.0,3.2250000000000005e-05
POA/BTC,1564073733341,2019-07-25T16:55:33.341Z,buy,2.15e-06,17.0,3.655e-05
