symbol,timestamp,datetime,side,price,amount,btc_volume
QSP/BTC,1566064826268,2019-08-17T18:00:26.268Z,buy,1.03e-06,1404.0,0.00144612
QSP/BTC,1566065027373,2019-08-17T18:03:47.373Z,buy,1.03e-06,102.0,0.00010506
QSP/BTC,1566065242330,2019-08-17T18:07:22.330Z,sell,1.02e-06,19709.0,0.02010318
QSP/BTC,1566065260629,2019-08-17T18:07:40.629Z,sell,1.02e-06,680.0,0.0006935999999999
QSP/BTC,1566065260674,2019-08-17T18:07:40.674Z,buy,1.02e-06,249.0,0.00025398
QSP/BTC,1566065260690,2019-08-17T18:07:40.690Z,buy,1.02e-06,249.0,0.00025398
QSP/BTC,1566065285562,2019-08-17T18:08:05.562Z,buy,1.02e-06,299.0,0.00030498
QSP/BTC,1566065355619,2019-08-17T18:09:15.619Z,buy,1.02e-06,37711.0,0.03846522
QSP/BTC,1566065355973,2019-08-17T18:09:15.973Z,sell,1.02e-06,1000.0,0.00102
QSP/BTC,1566065390579,2019-08-17T18:09:50.579Z,sell,1.02e-06,9387.0,0.00957474
QSP/BTC,1566065460571,2019-08-17T18:11:00.571Z,sell,1.02e-06,467.0,0.00047634
QSP/BTC,1566065895239,2019-08-17T18:18:15.239Z,sell,1.02e-06,101.0,0.00010302
QSP/BTC,1566067328349,2019-08-17T18:42:08.349Z,sell,1.02e-06,316.0,0.00032232
QSP/BTC,1566067328349,2019-08-17T18:42:08.349Z,sell,1.02e-06,316.0,0.00032232
QSP/BTC,1566068471470,2019-08-17T19:01:11.470Z,sell,1.02e-06,4374.0,0.00446148
QSP/BTC,1566070559760,2019-08-17T19:35:59.760Z,buy,1.03e-06,2861.0,0.00294683
QSP/BTC,1566070923997,2019-08-17T19:42:03.997Z,sell,1.02e-06,4351.0,0.00443802
QSP/BTC,1566070923997,2019-08-17T19:42:03.997Z,sell,1.02e-06,4351.0,0.00443802
QSP/BTC,1566071247409,2019-08-17T19:47:27.409Z,buy,1.03e-06,5113.0,0.00526639
QSP/BTC,1566071933108,2019-08-17T19:58:53.108Z,sell,1.02e-06,41363.0,0.04219026
QSP/BTC,1566072507028,2019-08-17T20:08:27.028Z,buy,1.03e-06,9924.0,0.01022172
QSP/BTC,1566072870042,2019-08-17T20:14:30.042Z,sell,1.02e-06,5437.0,0.0055457399999999
QSP/BTC,1566073079003,2019-08-17T20:17:59.003Z,sell,1.02e-06,1500.0,0.00153
QSP/BTC,1566073079003,2019-08-17T20:17:59.003Z,sell,1.02e-06,1500.0,0.00153
QSP/BTC,1566074597693,2019-08-17T20:43:17.693Z,sell,1.02e-06,12673.0,0.0129264599999999
QSP/BTC,1566074685590,2019-08-17T20:44:45.590Z,sell,1.02e-06,8448.0,0.00861696
QSP/BTC,1566074729056,2019-08-17T20:45:29.056Z,sell,1.02e-06,5065.0,0.0051662999999999
QSP/BTC,1566075424500,2019-08-17T20:57:04.500Z,sell,1.02e-06,175.0,0.0001785
QSP/BTC,1566075424500,2019-08-17T20:57:04.500Z,sell,1.02e-06,175.0,0.0001785
QSP/BTC,1566077112016,2019-08-17T21:25:12.016Z,sell,1.02e-06,35000.0,0.0357
QSP/BTC,1566077211417,2019-08-17T21:26:51.417Z,sell,1.02e-06,13618.0,0.01389036
QSP/BTC,1566077301657,2019-08-17T21:28:21.657Z,sell,1.01e-06,50000.0,0.0505
QSP/BTC,1566077395681,2019-08-17T21:29:55.681Z,buy,1.02e-06,19950.0,0.020349
QSP/BTC,1566077647234,2019-08-17T21:34:07.234Z,sell,1.01e-06,63957.0,0.06459657
QSP/BTC,1566077696578,2019-08-17T21:34:56.578Z,buy,1.02e-06,111.0,0.00011322
QSP/BTC,1566078103530,2019-08-17T21:41:43.530Z,buy,1.02e-06,105.0,0.0001071
QSP/BTC,1566078565614,2019-08-17T21:49:25.614Z,buy,1.02e-06,102.0,0.00010404
QSP/BTC,1566078565614,2019-08-17T21:49:25.614Z,buy,1.02e-06,102.0,0.00010404
QSP/BTC,1566079176734,2019-08-17T21:59:36.734Z,sell,1.01e-06,7492.0,0.00756692
QSP/BTC,1566079206246,2019-08-17T22:00:06.246Z,buy,1.02e-06,277.0,0.00028254
QSP/BTC,1566079253982,2019-08-17T22:00:53.982Z,buy,1.02e-06,12566.0,0.01281732
QSP/BTC,1566080304694,2019-08-17T22:18:24.694Z,buy,1.02e-06,2565.0,0.0026163
QSP/BTC,1566080305402,2019-08-17T22:18:25.402Z,buy,1.02e-06,5958.0,0.00607716
QSP/BTC,1566080306250,2019-08-17T22:18:26.250Z,buy,1.02e-06,6965.0,0.0071043
QSP/BTC,1566080306783,2019-08-17T22:18:26.783Z,buy,1.02e-06,4592.0,0.00468384
QSP/BTC,1566080307723,2019-08-17T22:18:27.723Z,buy,1.02e-06,1700.0,0.0017339999999999
QSP/BTC,1566080308429,2019-08-17T22:18:28.429Z,buy,1.02e-06,796.0,0.0008119199999999
QSP/BTC,1566080309008,2019-08-17T22:18:29.008Z,buy,1.02e-06,700.0,0.000714
QSP/BTC,1566080459109,2019-08-17T22:20:59.109Z,buy,1.02e-06,4929.0,0.00502758
QSP/BTC,1566080459961,2019-08-17T22:20:59.961Z,buy,1.02e-06,2253.0,0.0022980599999999
QSP/BTC,1566080460508,2019-08-17T22:21:00.508Z,buy,1.02e-06,1279.0,0.00130458
QSP/BTC,1566080461466,2019-08-17T22:21:01.466Z,buy,1.02e-06,700.0,0.000714
QSP/BTC,1566080469759,2019-08-17T22:21:09.759Z,buy,1.02e-06,700.0,0.000714
QSP/BTC,1566080470235,2019-08-17T22:21:10.235Z,buy,1.02e-06,1103.0,0.00112506
QSP/BTC,1566080471184,2019-08-17T22:21:11.184Z,buy,1.02e-06,786.0,0.00080172
QSP/BTC,1566080472546,2019-08-17T22:21:12.546Z,buy,1.02e-06,1216.0,0.00124032
QSP/BTC,1566080473511,2019-08-17T22:21:13.511Z,buy,1.02e-06,711.0,0.0007252199999999
QSP/BTC,1566080473894,2019-08-17T22:21:13.894Z,buy,1.02e-06,1552.0,0.00158304
QSP/BTC,1566080501869,2019-08-17T22:21:41.869Z,buy,1.02e-06,700.0,0.000714
QSP/BTC,1566080502727,2019-08-17T22:21:42.727Z,buy,1.02e-06,700.0,0.000714
QSP/BTC,1566080556779,2019-08-17T22:22:36.779Z,buy,1.02e-06,700.0,0.000714
QSP/BTC,1566081342778,2019-08-17T22:35:42.778Z,sell,1.01e-06,157084.0,0.15865484
QSP/BTC,1566081668990,2019-08-17T22:41:08.990Z,sell,1.01e-06,4400.0,0.004444
QSP/BTC,1566081789200,2019-08-17T22:43:09.200Z,sell,1.01e-06,39852.0,0.04025052
QSP/BTC,1566081789200,2019-08-17T22:43:09.200Z,sell,1.01e-06,39852.0,0.04025052
QSP/BTC,1566083859831,2019-08-17T23:17:39.831Z,sell,1.01e-06,439.0,0.00044339
QSP/BTC,1566084364857,2019-08-17T23:26:04.857Z,sell,1.01e-06,1071.0,0.00108171
QSP/BTC,1566084364886,2019-08-17T23:26:04.886Z,buy,1.02e-06,3180.0,0.0032436
QSP/BTC,1566084839427,2019-08-17T23:33:59.427Z,buy,1.02e-06,204212.0,0.20829624
QSP/BTC,1566084839427,2019-08-17T23:33:59.427Z,buy,1.02e-06,204212.0,0.20829624
QSP/BTC,1566086260477,2019-08-17T23:57:40.477Z,sell,1.01e-06,1000.0,0.00101
QSP/BTC,1566086260477,2019-08-17T23:57:40.477Z,sell,1.01e-06,1000.0,0.00101
QSP/BTC,1566091278271,2019-08-18T01:21:18.271Z,sell,1.01e-06,11704.0,0.01182104
QSP/BTC,1566091278976,2019-08-18T01:21:18.976Z,sell,1.01e-06,12922.0,0.01305122
QSP/BTC,1566091279272,2019-08-18T01:21:19.272Z,sell,1.01e-06,14023.0,0.01416323
QSP/BTC,1566091279866,2019-08-18T01:21:19.866Z,sell,1.01e-06,11363.0,0.01147663
QSP/BTC,1566091279944,2019-08-18T01:21:19.944Z,sell,1.01e-06,3000.0,0.00303
QSP/BTC,1566091289905,2019-08-18T01:21:29.905Z,sell,1.01e-06,717.0,0.00072417
QSP/BTC,1566091289905,2019-08-18T01:21:29.905Z,sell,1.01e-06,717.0,0.00072417
QSP/BTC,1566093057123,2019-08-18T01:50:57.123Z,sell,1.01e-06,100.0,0.000101
QSP/BTC,1566093653623,2019-08-18T02:00:53.623Z,sell,1.01e-06,329.0,0.00033229
QSP/BTC,1566094831226,2019-08-18T02:20:31.226Z,buy,1.02e-06,30000.0,0.0306
QSP/BTC,1566094831226,2019-08-18T02:20:31.226Z,buy,1.02e-06,30000.0,0.0306
QSP/BTC,1566095277553,2019-08-18T02:27:57.553Z,sell,1.01e-06,1035.0,0.00104535
QSP/BTC,1566095934438,2019-08-18T02:38:54.438Z,sell,1.01e-06,10351.0,0.01045451
QSP/BTC,1566095935392,2019-08-18T02:38:55.392Z,sell,1.01e-06,11026.0,0.01113626
QSP/BTC,1566095936067,2019-08-18T02:38:56.067Z,sell,1.01e-06,11363.0,0.01147663
QSP/BTC,1566095936842,2019-08-18T02:38:56.842Z,sell,1.01e-06,3000.0,0.00303
QSP/BTC,1566095937164,2019-08-18T02:38:57.164Z,buy,1.02e-06,1261.0,0.00128622
QSP/BTC,1566095947069,2019-08-18T02:39:07.069Z,sell,1.01e-06,4726.0,0.00477326
QSP/BTC,1566096575352,2019-08-18T02:49:35.352Z,buy,1.02e-06,101.0,0.00010302
QSP/BTC,1566096813803,2019-08-18T02:53:33.803Z,buy,1.02e-06,2873.0,0.0029304599999999
QSP/BTC,1566098303529,2019-08-18T03:18:23.529Z,buy,1.02e-06,121.0,0.00012342
QSP/BTC,1566098303529,2019-08-18T03:18:23.529Z,buy,1.02e-06,121.0,0.00012342
QSP/BTC,1566098559222,2019-08-18T03:22:39.222Z,buy,1.02e-06,60044.0,0.06124488
QSP/BTC,1566098559782,2019-08-18T03:22:39.782Z,sell,1.02e-06,1111.0,0.0011332199999999
QSP/BTC,1566098560783,2019-08-18T03:22:40.783Z,sell,1.02e-06,313.0,0.00031926
QSP/BTC,1566098561078,2019-08-18T03:22:41.078Z,sell,1.02e-06,1658.0,0.00169116
QSP/BTC,1566099660345,2019-08-18T03:41:00.345Z,sell,1.02e-06,2002.0,0.0020420399999999
QSP/BTC,1566099732240,2019-08-18T03:42:12.240Z,sell,1.02e-06,262.0,0.0002672399999999
QSP/BTC,1566099732240,2019-08-18T03:42:12.240Z,sell,1.02e-06,262.0,0.0002672399999999
QSP/BTC,1566102649957,2019-08-18T04:30:49.957Z,sell,1.02e-06,77019.0,0.07855938
QSP/BTC,1566103248238,2019-08-18T04:40:48.238Z,sell,1.02e-06,6205.0,0.0063291
QSP/BTC,1566103248238,2019-08-18T04:40:48.238Z,sell,1.02e-06,6205.0,0.0063291
QSP/BTC,1566105483287,2019-08-18T05:18:03.287Z,sell,1.02e-06,77019.0,0.07855938
QSP/BTC,1566106461477,2019-08-18T05:34:21.477Z,sell,1.02e-06,92761.0,0.09461622
QSP/BTC,1566106461477,2019-08-18T05:34:21.477Z,sell,1.02e-06,92761.0,0.09461622
QSP/BTC,1566107079086,2019-08-18T05:44:39.086Z,sell,1.02e-06,8135.0,0.0082977
QSP/BTC,1566107079374,2019-08-18T05:44:39.374Z,sell,1.02e-06,155.0,0.0001581
QSP/BTC,1566107108992,2019-08-18T05:45:08.992Z,sell,1.01e-06,700.0,0.000707
QSP/BTC,1566107110507,2019-08-18T05:45:10.507Z,buy,1.03e-06,155.0,0.00015965
