symbol,timestamp,datetime,side,price,amount,btc_volume
RCN/BTC,1564416039333,2019-07-29T16:00:39.333Z,sell,1.97e-06,565.0,0.00111305
RCN/BTC,1564416145694,2019-07-29T16:02:25.694Z,sell,1.97e-06,3351.0,0.00660147
RCN/BTC,1564416448994,2019-07-29T16:07:28.994Z,sell,1.97e-06,1669.0,0.00328793
RCN/BTC,1564416448994,2019-07-29T16:07:28.994Z,sell,1.96e-06,1331.0,0.00260876
RCN/BTC,1564416457007,2019-07-29T16:07:37.007Z,buy,1.98e-06,2975.0,0.0058905
RCN/BTC,1564416458269,2019-07-29T16:07:38.269Z,buy,1.98e-06,12499.0,0.02474802
RCN/BTC,1564416576675,2019-07-29T16:09:36.675Z,sell,1.97e-06,4473.0,0.00881181
RCN/BTC,1564416612122,2019-07-29T16:10:12.122Z,sell,1.97e-06,13154.0,0.02591338
RCN/BTC,1564416612122,2019-07-29T16:10:12.122Z,sell,1.96e-06,33469.0,0.0655992399999999
RCN/BTC,1564416614752,2019-07-29T16:10:14.752Z,buy,1.97e-06,77.0,0.00015169
RCN/BTC,1564416622275,2019-07-29T16:10:22.275Z,buy,1.98e-06,46173.0,0.09142254
RCN/BTC,1564416718620,2019-07-29T16:11:58.620Z,sell,1.97e-06,648.0,0.00127656
RCN/BTC,1564417238630,2019-07-29T16:20:38.630Z,sell,1.97e-06,40499.0,0.07978303
RCN/BTC,1564417331817,2019-07-29T16:22:11.817Z,buy,1.98e-06,1363.0,0.00269874
RCN/BTC,1564417746269,2019-07-29T16:29:06.269Z,buy,1.98e-06,555.0,0.0010989
RCN/BTC,1564417887067,2019-07-29T16:31:27.067Z,sell,1.97e-06,739.0,0.00145583
RCN/BTC,1564417935754,2019-07-29T16:32:15.754Z,sell,1.97e-06,585.0,0.00115245
RCN/BTC,1564418137748,2019-07-29T16:35:37.748Z,sell,1.97e-06,9805.0,0.01931585
RCN/BTC,1564418191507,2019-07-29T16:36:31.507Z,buy,1.98e-06,158.0,0.00031284
RCN/BTC,1564418194561,2019-07-29T16:36:34.561Z,sell,1.97e-06,197.0,0.00038809
RCN/BTC,1564418543553,2019-07-29T16:42:23.553Z,sell,1.97e-06,368.0,0.00072496
RCN/BTC,1564418848928,2019-07-29T16:47:28.928Z,buy,1.98e-06,2500.0,0.00495
RCN/BTC,1564419035589,2019-07-29T16:50:35.589Z,buy,1.98e-06,383.0,0.00075834
RCN/BTC,1564419083097,2019-07-29T16:51:23.097Z,sell,1.97e-06,4706.0,0.00927082
RCN/BTC,1564419570813,2019-07-29T16:59:30.813Z,sell,1.97e-06,3793.0,0.00747221
RCN/BTC,1564419570813,2019-07-29T16:59:30.813Z,sell,1.97e-06,3793.0,0.00747221
RCN/BTC,1564420005778,2019-07-29T17:06:45.778Z,sell,1.97e-06,1643.0,0.00323671
RCN/BTC,1564420863000,2019-07-29T17:21:03.000Z,buy,1.98e-06,555.0,0.0010989
RCN/BTC,1564420972563,2019-07-29T17:22:52.563Z,buy,1.98e-06,15125.0,0.0299475
RCN/BTC,1564421122375,2019-07-29T17:25:22.375Z,buy,1.98e-06,3164.0,0.00626472
RCN/BTC,1564421749308,2019-07-29T17:35:49.308Z,buy,1.98e-06,579.0,0.00114642
RCN/BTC,1564422453562,2019-07-29T17:47:33.562Z,buy,1.98e-06,208.0,0.00041184
RCN/BTC,1564422851714,2019-07-29T17:54:11.714Z,sell,1.97e-06,6408.0,0.01262376
