symbol,timestamp,datetime,side,price,amount,btc_volume
RLC/BTC,1586361624517,2020-04-08T16:00:24.517Z,sell,4.833e-05,13.0,0.00062829
RLC/BTC,1586361671097,2020-04-08T16:01:11.097Z,buy,4.84e-05,925.0,0.04477
RLC/BTC,1586361671105,2020-04-08T16:01:11.105Z,buy,4.842e-05,24.0,0.00116208
RLC/BTC,1586361671801,2020-04-08T16:01:11.801Z,buy,4.845e-05,1.0,4.845e-05
RLC/BTC,1586361673409,2020-04-08T16:01:13.409Z,buy,4.845e-05,417.0,0.02020365
RLC/BTC,1586361678300,2020-04-08T16:01:18.300Z,buy,4.844e-05,12.0,0.00058128
RLC/BTC,1586361678300,2020-04-08T16:01:18.300Z,buy,4.845e-05,13.0,0.0006298499999999
RLC/BTC,1586361680200,2020-04-08T16:01:20.200Z,buy,4.85e-05,103.0,0.0049955
RLC/BTC,1586361817896,2020-04-08T16:03:37.896Z,buy,4.85e-05,3.0,0.0001455
RLC/BTC,1586361995176,2020-04-08T16:06:35.176Z,sell,4.844e-05,3.0,0.00014532
RLC/BTC,1586361995176,2020-04-08T16:06:35.176Z,sell,4.837e-05,20.0,0.0009674
RLC/BTC,1586361996740,2020-04-08T16:06:36.740Z,sell,4.837e-05,44.0,0.0021282799999999
RLC/BTC,1586362105534,2020-04-08T16:08:25.534Z,buy,4.85e-05,431.0,0.0209035
RLC/BTC,1586362105534,2020-04-08T16:08:25.534Z,buy,4.851e-05,169.0,0.00819819
RLC/BTC,1586362270852,2020-04-08T16:11:10.852Z,buy,4.837e-05,3.0,0.00014511
RLC/BTC,1586362278580,2020-04-08T16:11:18.580Z,buy,4.851e-05,1.0,4.851e-05
RLC/BTC,1586362287467,2020-04-08T16:11:27.467Z,buy,4.851e-05,1.0,4.851e-05
RLC/BTC,1586362290576,2020-04-08T16:11:30.576Z,buy,4.851e-05,103.0,0.00499653
RLC/BTC,1586362290792,2020-04-08T16:11:30.792Z,buy,4.851e-05,181.0,0.00878031
RLC/BTC,1586362309355,2020-04-08T16:11:49.355Z,buy,4.851e-05,3.0,0.00014553
RLC/BTC,1586362310743,2020-04-08T16:11:50.743Z,buy,4.851e-05,255.0,0.01237005
RLC/BTC,1586362313043,2020-04-08T16:11:53.043Z,buy,4.851e-05,175.0,0.00848925
RLC/BTC,1586362314043,2020-04-08T16:11:54.043Z,buy,4.851e-05,121.0,0.00586971
RLC/BTC,1586362315044,2020-04-08T16:11:55.044Z,buy,4.85e-05,13.0,0.0006305
RLC/BTC,1586362315044,2020-04-08T16:11:55.044Z,buy,4.851e-05,71.0,0.00344421
RLC/BTC,1586362316244,2020-04-08T16:11:56.244Z,buy,4.851e-05,59.0,0.00286209
RLC/BTC,1586362317240,2020-04-08T16:11:57.240Z,buy,4.851e-05,41.0,0.00198891
