symbol,timestamp,datetime,side,price,amount,btc_volume
TNB/BTC,1583769602761,2020-03-09T16:00:02.761Z,sell,1.9e-07,6604.0,0.00125476
TNB/BTC,1583769649727,2020-03-09T16:00:49.727Z,buy,2e-07,18554.0,0.0037107999999999
TNB/BTC,1583769709446,2020-03-09T16:01:49.446Z,sell,1.9e-07,18535.0,0.00352165
TNB/BTC,1583769772208,2020-03-09T16:02:52.208Z,buy,2e-07,16499.0,0.0032998
TNB/BTC,1583769837091,2020-03-09T16:03:57.091Z,sell,1.9e-07,16482.0,0.00313158
TNB/BTC,1583769962920,2020-03-09T16:06:02.920Z,sell,1.9e-07,52373.0,0.00995087
TNB/BTC,1583771280052,2020-03-09T16:28:00.052Z,sell,1.9e-07,18819.0,0.00357561
TNB/BTC,1583771555262,2020-03-09T16:32:35.262Z,sell,1.9e-07,1656.0,0.00031464
TNB/BTC,1583772298569,2020-03-09T16:44:58.569Z,sell,1.9e-07,5258.0,0.00099902
TNB/BTC,1583772298569,2020-03-09T16:44:58.569Z,sell,1.9e-07,5258.0,0.00099902
TNB/BTC,1583773601802,2020-03-09T17:06:41.802Z,sell,1.9e-07,110332.0,0.02096308
TNB/BTC,1583774170494,2020-03-09T17:16:10.494Z,sell,1.9e-07,135000.0,0.02565
TNB/BTC,1583774414246,2020-03-09T17:20:14.246Z,sell,1.9e-07,2587316.0,0.49159004
TNB/BTC,1583774439604,2020-03-09T17:20:39.604Z,sell,1.9e-07,35275.0,0.00670225
TNB/BTC,1583774764062,2020-03-09T17:26:04.062Z,buy,2e-07,955.0,0.0001909999999999
TNB/BTC,1583775086332,2020-03-09T17:31:26.332Z,sell,1.9e-07,23785.0,0.00451915
TNB/BTC,1583775159312,2020-03-09T17:32:39.312Z,sell,1.9e-07,116194.0,0.02207686
TNB/BTC,1583775166600,2020-03-09T17:32:46.600Z,sell,1.9e-07,92499.0,0.01757481
TNB/BTC,1583775171872,2020-03-09T17:32:51.872Z,sell,1.9e-07,53517.0,0.01016823
TNB/BTC,1583775186405,2020-03-09T17:33:06.405Z,sell,1.9e-07,11411.0,0.00216809
TNB/BTC,1583775186405,2020-03-09T17:33:06.405Z,sell,1.9e-07,11411.0,0.00216809
TNB/BTC,1583777367067,2020-03-09T18:09:27.067Z,sell,1.9e-07,926.0,0.00017594
TNB/BTC,1583777437763,2020-03-09T18:10:37.763Z,sell,1.9e-07,876.0,0.00016644
TNB/BTC,1583777437763,2020-03-09T18:10:37.763Z,sell,1.9e-07,876.0,0.00016644
TNB/BTC,1583778892835,2020-03-09T18:34:52.835Z,sell,1.9e-07,35840.0,0.0068096
TNB/BTC,1583779399950,2020-03-09T18:43:19.950Z,sell,1.9e-07,25000.0,0.00475
TNB/BTC,1583780087894,2020-03-09T18:54:47.894Z,sell,1.9e-07,5245.0,0.00099655
TNB/BTC,1583780888817,2020-03-09T19:08:08.817Z,sell,1.9e-07,1050.0,0.0001995
TNB/BTC,1583780888817,2020-03-09T19:08:08.817Z,sell,1.9e-07,1050.0,0.0001995
TNB/BTC,1583781073168,2020-03-09T19:11:13.168Z,sell,1.9e-07,3356.0,0.00063764
TNB/BTC,1583783033999,2020-03-09T19:43:53.999Z,sell,1.9e-07,480664.0,0.09132616
TNB/BTC,1583783033999,2020-03-09T19:43:53.999Z,sell,1.9e-07,480664.0,0.09132616
TNB/BTC,1583787765021,2020-03-09T21:02:45.021Z,buy,2e-07,17914.0,0.0035827999999999
TNB/BTC,1583787765021,2020-03-09T21:02:45.021Z,buy,2e-07,17914.0,0.0035827999999999
TNB/BTC,1583788115670,2020-03-09T21:08:35.670Z,sell,1.9e-07,682.0,0.00012958
TNB/BTC,1583788115670,2020-03-09T21:08:35.670Z,sell,1.9e-07,682.0,0.00012958
TNB/BTC,1583791456215,2020-03-09T22:04:16.215Z,sell,1.9e-07,95090.0,0.0180671
TNB/BTC,1583791467822,2020-03-09T22:04:27.822Z,sell,1.9e-07,90818.0,0.01725542
TNB/BTC,1583791467822,2020-03-09T22:04:27.822Z,sell,1.9e-07,90818.0,0.01725542
TNB/BTC,1583792016103,2020-03-09T22:13:36.103Z,buy,2e-07,11682.0,0.0023363999999999
TNB/BTC,1583792433156,2020-03-09T22:20:33.156Z,buy,2e-07,505.0,0.000101
TNB/BTC,1583794985693,2020-03-09T23:03:05.693Z,sell,1.9e-07,784.0,0.00014896
TNB/BTC,1583794985693,2020-03-09T23:03:05.693Z,sell,1.9e-07,784.0,0.00014896
TNB/BTC,1583798242114,2020-03-09T23:57:22.114Z,buy,2e-07,7231.0,0.0014462
TNB/BTC,1583798242114,2020-03-09T23:57:22.114Z,buy,2e-07,7231.0,0.0014462
TNB/BTC,1583801162270,2020-03-10T00:46:02.270Z,sell,1.9e-07,45339.0,0.00861441
TNB/BTC,1583801162270,2020-03-10T00:46:02.270Z,sell,1.9e-07,45339.0,0.00861441
TNB/BTC,1583804337878,2020-03-10T01:38:57.878Z,sell,1.9e-07,7284.0,0.00138396
TNB/BTC,1583804337878,2020-03-10T01:38:57.878Z,sell,1.9e-07,7284.0,0.00138396
TNB/BTC,1583807721729,2020-03-10T02:35:21.729Z,sell,1.9e-07,8296.0,0.00157624
TNB/BTC,1583807721729,2020-03-10T02:35:21.729Z,sell,1.9e-07,8296.0,0.00157624
TNB/BTC,1583814662643,2020-03-10T04:31:02.643Z,buy,2e-07,20000.0,0.004
TNB/BTC,1583814770154,2020-03-10T04:32:50.154Z,sell,1.9e-07,15447.0,0.00293493
TNB/BTC,1583814770154,2020-03-10T04:32:50.154Z,sell,1.9e-07,15447.0,0.00293493
TNB/BTC,1583814966925,2020-03-10T04:36:06.925Z,buy,2e-07,8000.0,0.0015999999999999
TNB/BTC,1583815602018,2020-03-10T04:46:42.018Z,buy,2e-07,15232.0,0.0030464
TNB/BTC,1583815637990,2020-03-10T04:47:17.990Z,sell,1.9e-07,15216.0,0.00289104
TNB/BTC,1583816827631,2020-03-10T05:07:07.631Z,sell,1.9e-07,10000.0,0.0019
TNB/BTC,1583817654806,2020-03-10T05:20:54.806Z,buy,2e-07,27927.0,0.0055854
TNB/BTC,1583818008073,2020-03-10T05:26:48.073Z,buy,2e-07,15185.0,0.0030369999999999
TNB/BTC,1583818089629,2020-03-10T05:28:09.629Z,sell,1.9e-07,1310.0,0.0002489
TNB/BTC,1583818089629,2020-03-10T05:28:09.629Z,sell,1.9e-07,1310.0,0.0002489
TNB/BTC,1583820067343,2020-03-10T06:01:07.343Z,sell,1.9e-07,15170.0,0.0028823
TNB/BTC,1583820150764,2020-03-10T06:02:30.764Z,sell,1.9e-07,79010.0,0.0150119
TNB/BTC,1583821405855,2020-03-10T06:23:25.855Z,buy,2e-07,52536.0,0.0105072
TNB/BTC,1583821405855,2020-03-10T06:23:25.855Z,buy,2e-07,52536.0,0.0105072
TNB/BTC,1583822314944,2020-03-10T06:38:34.944Z,sell,1.9e-07,6834.0,0.00129846
TNB/BTC,1583822985206,2020-03-10T06:49:45.206Z,buy,2e-07,1469.0,0.0002938
TNB/BTC,1583823005259,2020-03-10T06:50:05.259Z,buy,2e-07,100000.0,0.02
TNB/BTC,1583823218577,2020-03-10T06:53:38.577Z,sell,1.9e-07,803333.0,0.15263327
TNB/BTC,1583824568946,2020-03-10T07:16:08.946Z,sell,1.9e-07,11515.0,0.00218785
TNB/BTC,1583824569167,2020-03-10T07:16:09.167Z,sell,1.9e-07,39420.0,0.0074898
TNB/BTC,1583824611476,2020-03-10T07:16:51.476Z,buy,2e-07,3775.0,0.0007549999999999
TNB/BTC,1583824611476,2020-03-10T07:16:51.476Z,buy,2e-07,3775.0,0.0007549999999999
TNB/BTC,1583825489157,2020-03-10T07:31:29.157Z,sell,1.9e-07,141849.0,0.02695131
TNB/BTC,1583827905910,2020-03-10T08:11:45.910Z,sell,1.9e-07,482622.0,0.09169818
TNB/BTC,1583827905910,2020-03-10T08:11:45.910Z,sell,1.9e-07,482622.0,0.09169818
TNB/BTC,1583829905393,2020-03-10T08:45:05.393Z,buy,2e-07,1157.0,0.0002314
TNB/BTC,1583830075813,2020-03-10T08:47:55.813Z,sell,1.9e-07,930258.0,0.17674902
TNB/BTC,1583830075813,2020-03-10T08:47:55.813Z,sell,1.9e-07,930258.0,0.17674902
TNB/BTC,1583837174079,2020-03-10T10:46:14.079Z,sell,1.9e-07,3798.0,0.00072162
TNB/BTC,1583837174079,2020-03-10T10:46:14.079Z,sell,1.9e-07,3798.0,0.00072162
TNB/BTC,1583837810255,2020-03-10T10:56:50.255Z,sell,1.9e-07,526972.0,0.10012468
TNB/BTC,1583837819088,2020-03-10T10:56:59.088Z,sell,1.9e-07,3797.0,0.00072143
TNB/BTC,1583838979068,2020-03-10T11:16:19.068Z,sell,1.9e-07,454545.0,0.08636355
