symbol,timestamp,datetime,side,price,amount,btc_volume
VIA/BTC,1548169441613,2019-01-22T15:04:01.613Z,buy,8.89e-05,22.49,0.001999361
VIA/BTC,1548169441853,2019-01-22T15:04:01.853Z,buy,8.89e-05,11.37,0.001010793
VIA/BTC,1548169442165,2019-01-22T15:04:02.165Z,buy,8.89e-05,11.37,0.001010793
VIA/BTC,1548169442208,2019-01-22T15:04:02.208Z,buy,8.89e-05,11.37,0.001010793
VIA/BTC,1548169442482,2019-01-22T15:04:02.482Z,buy,8.89e-05,12.5,0.00111125
VIA/BTC,1548169442837,2019-01-22T15:04:02.837Z,buy,8.89e-05,12.5,0.00111125
VIA/BTC,1548169444368,2019-01-22T15:04:04.368Z,sell,8.88e-05,177.36,0.015749568
VIA/BTC,1548169445512,2019-01-22T15:04:05.512Z,buy,8.89e-05,90.89,0.008080121
VIA/BTC,1548169447148,2019-01-22T15:04:07.148Z,buy,8.89e-05,11.37,0.001010793
VIA/BTC,1548169450989,2019-01-22T15:04:10.989Z,sell,8.88e-05,14.86,0.001319568
VIA/BTC,1548169451004,2019-01-22T15:04:11.004Z,buy,8.88e-05,11.37,0.001009656
VIA/BTC,1548169452680,2019-01-22T15:04:12.680Z,buy,8.88e-05,11.77,0.001045176
VIA/BTC,1548169453863,2019-01-22T15:04:13.863Z,sell,8.87e-05,16.91,0.001499917
VIA/BTC,1548169453863,2019-01-22T15:04:13.863Z,sell,8.86e-05,42.96,0.003806256
VIA/BTC,1548169453863,2019-01-22T15:04:13.863Z,sell,8.84e-05,603.78,0.0533741519999999
VIA/BTC,1548169453863,2019-01-22T15:04:13.863Z,sell,8.82e-05,534.73,0.047163186
VIA/BTC,1548169453863,2019-01-22T15:04:13.863Z,sell,8.82e-05,203.46,0.017945172
VIA/BTC,1548169453863,2019-01-22T15:04:13.863Z,sell,8.81e-05,57.72,0.005085132
VIA/BTC,1548169453890,2019-01-22T15:04:13.890Z,buy,8.82e-05,240.75,0.02123415
VIA/BTC,1548169453901,2019-01-22T15:04:13.901Z,buy,8.82e-05,104.96,0.009257472
VIA/BTC,1548169453910,2019-01-22T15:04:13.910Z,buy,8.82e-05,30.96,0.002730672
VIA/BTC,1548169455512,2019-01-22T15:04:15.512Z,buy,8.87e-05,22.5,0.00199575
VIA/BTC,1548169456405,2019-01-22T15:04:16.405Z,sell,8.83e-05,13.9,0.00122737
VIA/BTC,1548169456405,2019-01-22T15:04:16.405Z,sell,8.83e-05,159.49,0.014082967
VIA/BTC,1548169456405,2019-01-22T15:04:16.405Z,sell,8.82e-05,13.86,0.001222452
VIA/BTC,1548169457750,2019-01-22T15:04:17.750Z,sell,8.82e-05,57.73,0.005091786
VIA/BTC,1548169458018,2019-01-22T15:04:18.018Z,buy,8.87e-05,22.45,0.001991315
VIA/BTC,1548169460072,2019-01-22T15:04:20.072Z,buy,8.85e-05,37.09,0.003282465
VIA/BTC,1548169460072,2019-01-22T15:04:20.072Z,buy,8.87e-05,0.77,6.8299e-05
VIA/BTC,1548169464949,2019-01-22T15:04:24.949Z,sell,8.82e-05,22.68,0.002000376
VIA/BTC,1548169464949,2019-01-22T15:04:24.949Z,sell,8.81e-05,92.92,0.008186252
VIA/BTC,1548169465440,2019-01-22T15:04:25.440Z,sell,8.81e-05,57.8,0.00509218
VIA/BTC,1548169465895,2019-01-22T15:04:25.895Z,sell,8.81e-05,259.93,0.022899833
VIA/BTC,1548169465895,2019-01-22T15:04:25.895Z,sell,8.8e-05,557.82,0.04908816
VIA/BTC,1548169467201,2019-01-22T15:04:27.201Z,sell,8.82e-05,155.79,0.013740678
VIA/BTC,1548169467201,2019-01-22T15:04:27.201Z,sell,8.8e-05,231.47,0.02036936
VIA/BTC,1548169467689,2019-01-22T15:04:27.689Z,sell,8.79e-05,59.23,0.0052063169999999
VIA/BTC,1548169467801,2019-01-22T15:04:27.801Z,buy,8.8e-05,17.04,0.0014995199999999
VIA/BTC,1548169468022,2019-01-22T15:04:28.022Z,buy,8.8e-05,91.6,0.0080608
VIA/BTC,1548169468095,2019-01-22T15:04:28.095Z,buy,8.8e-05,74.01,0.00651288
VIA/BTC,1548169468484,2019-01-22T15:04:28.484Z,buy,8.8e-05,1103.16,0.09707808
VIA/BTC,1548169468550,2019-01-22T15:04:28.550Z,buy,8.8e-05,84.12,0.00740256
VIA/BTC,1548169468562,2019-01-22T15:04:28.562Z,buy,8.8e-05,52.8,0.0046463999999999
VIA/BTC,1548169468823,2019-01-22T15:04:28.823Z,sell,8.79e-05,130.45,0.0114665549999999
VIA/BTC,1548169468823,2019-01-22T15:04:28.823Z,sell,8.78e-05,31.86,0.002797308
VIA/BTC,1548169469086,2019-01-22T15:04:29.086Z,buy,8.8e-05,109.03,0.00959464
