symbol,timestamp,datetime,side,price,amount,btc_volume
VIBE/BTC,1530550844666,2018-07-02T17:00:44.666Z,buy,1.292e-05,22.0,0.00028424
VIBE/BTC,1530550856619,2018-07-02T17:00:56.619Z,sell,1.284e-05,886.0,0.01137624
VIBE/BTC,1530550856619,2018-07-02T17:00:56.619Z,sell,1.277e-05,200.0,0.002554
VIBE/BTC,1530550856619,2018-07-02T17:00:56.619Z,sell,1.275e-05,2.0,2.55e-05
VIBE/BTC,1530550886060,2018-07-02T17:01:26.060Z,buy,1.285e-05,200.0,0.00257
VIBE/BTC,1530551132495,2018-07-02T17:05:32.495Z,buy,1.284e-05,682.0,0.00875688
VIBE/BTC,1530551288709,2018-07-02T17:08:08.709Z,sell,1.284e-05,650.0,0.008346
VIBE/BTC,1530551294211,2018-07-02T17:08:14.211Z,buy,1.283e-05,120.0,0.0015396
VIBE/BTC,1530551295247,2018-07-02T17:08:15.247Z,buy,1.283e-05,80.0,0.0010264
VIBE/BTC,1530551308581,2018-07-02T17:08:28.581Z,buy,1.288e-05,650.0,0.008372
VIBE/BTC,1530551323106,2018-07-02T17:08:43.106Z,sell,1.288e-05,1242.0,0.01599696
VIBE/BTC,1530551343528,2018-07-02T17:09:03.528Z,sell,1.288e-05,2800.0,0.036064
VIBE/BTC,1530551344105,2018-07-02T17:09:04.105Z,sell,1.288e-05,138.0,0.00177744
VIBE/BTC,1530551354287,2018-07-02T17:09:14.287Z,buy,1.288e-05,775.0,0.009982
VIBE/BTC,1530551362122,2018-07-02T17:09:22.122Z,buy,1.283e-05,80.0,0.0010264
VIBE/BTC,1530551362122,2018-07-02T17:09:22.122Z,buy,1.283e-05,120.0,0.0015396
VIBE/BTC,1530551718078,2018-07-02T17:15:18.078Z,buy,1.283e-05,266.0,0.00341278
VIBE/BTC,1530551718078,2018-07-02T17:15:18.078Z,buy,1.284e-05,513.0,0.00658692
VIBE/BTC,1530551769177,2018-07-02T17:16:09.177Z,sell,1.274e-05,214.0,0.00272636
VIBE/BTC,1530551875949,2018-07-02T17:17:55.949Z,buy,1.285e-05,15.0,0.00019275
VIBE/BTC,1530551876038,2018-07-02T17:17:56.038Z,buy,1.285e-05,401.0,0.00515285
VIBE/BTC,1530551885554,2018-07-02T17:18:05.554Z,buy,1.285e-05,82.0,0.0010537
VIBE/BTC,1530552008242,2018-07-02T17:20:08.242Z,buy,1.285e-05,201.0,0.00258285
