symbol,timestamp,datetime,side,price,amount,btc_volume
VIB/BTC,1607450469571,2020-12-08T18:01:09.571Z,buy,8.6e-07,3978.0,0.00342108
VIB/BTC,1607450951238,2020-12-08T18:09:11.238Z,sell,8.6e-07,17105.0,0.0147103
VIB/BTC,1607451239528,2020-12-08T18:13:59.528Z,sell,8.5e-07,33807.0,0.02873595
VIB/BTC,1607453386959,2020-12-08T18:49:46.959Z,sell,8.5e-07,7510.0,0.0063835
VIB/BTC,1607453439581,2020-12-08T18:50:39.581Z,sell,8.5e-07,192688.0,0.1637848
VIB/BTC,1607453439581,2020-12-08T18:50:39.581Z,sell,8.5e-07,192688.0,0.1637848
VIB/BTC,1607454679718,2020-12-08T19:11:19.718Z,buy,8.6e-07,79456.0,0.06833216
VIB/BTC,1607456172586,2020-12-08T19:36:12.586Z,sell,8.5e-07,299.0,0.00025415
VIB/BTC,1607456172586,2020-12-08T19:36:12.586Z,sell,8.5e-07,299.0,0.00025415
VIB/BTC,1607457360497,2020-12-08T19:56:00.497Z,buy,8.6e-07,6124.0,0.00526664
VIB/BTC,1607458123630,2020-12-08T20:08:43.630Z,buy,8.6e-07,8872.0,0.00762992
VIB/BTC,1607458220148,2020-12-08T20:10:20.148Z,sell,8.5e-07,5717.0,0.00485945
VIB/BTC,1607458491067,2020-12-08T20:14:51.067Z,buy,8.6e-07,319.0,0.00027434
VIB/BTC,1607459195124,2020-12-08T20:26:35.124Z,buy,8.6e-07,102292.0,0.08797112
VIB/BTC,1607459494902,2020-12-08T20:31:34.902Z,sell,8.5e-07,2183.0,0.00185555
VIB/BTC,1607459536635,2020-12-08T20:32:16.635Z,buy,8.6e-07,44864.0,0.03858304
VIB/BTC,1607459536649,2020-12-08T20:32:16.649Z,sell,8.6e-07,1020.0,0.0008772
VIB/BTC,1607459536689,2020-12-08T20:32:16.689Z,sell,8.6e-07,1245.0,0.0010707
VIB/BTC,1607459536707,2020-12-08T20:32:16.707Z,sell,8.6e-07,1244.0,0.00106984
VIB/BTC,1607459605825,2020-12-08T20:33:25.825Z,sell,8.6e-07,7388.0,0.00635368
VIB/BTC,1607459615114,2020-12-08T20:33:35.114Z,sell,8.6e-07,3198.0,0.00275028
VIB/BTC,1607459633164,2020-12-08T20:33:53.164Z,sell,8.6e-07,1059.0,0.00091074
VIB/BTC,1607459633200,2020-12-08T20:33:53.200Z,sell,8.6e-07,1059.0,0.00091074
VIB/BTC,1607459633224,2020-12-08T20:33:53.224Z,sell,8.6e-07,1058.0,0.00090988
VIB/BTC,1607459633258,2020-12-08T20:33:53.258Z,sell,8.6e-07,543.0,0.00046698
VIB/BTC,1607459633336,2020-12-08T20:33:53.336Z,sell,8.6e-07,3704.0,0.00318544
VIB/BTC,1607459633336,2020-12-08T20:33:53.336Z,sell,8.6e-07,3704.0,0.00318544
VIB/BTC,1607460079210,2020-12-08T20:41:19.210Z,sell,8.6e-07,32274.0,0.02775564
VIB/BTC,1607460079828,2020-12-08T20:41:19.828Z,buy,8.6e-07,389519.0,0.33498634
VIB/BTC,1607460090942,2020-12-08T20:41:30.942Z,sell,8.6e-07,19848.0,0.01706928
VIB/BTC,1607460091363,2020-12-08T20:41:31.363Z,buy,8.6e-07,350043.0,0.30103698
VIB/BTC,1607460104778,2020-12-08T20:41:44.778Z,sell,8.6e-07,55484.0,0.04771624
VIB/BTC,1607460119153,2020-12-08T20:41:59.153Z,buy,8.7e-07,428911.0,0.37315257
VIB/BTC,1607460124762,2020-12-08T20:42:04.762Z,buy,8.7e-07,42555.0,0.03702285
VIB/BTC,1607460124770,2020-12-08T20:42:04.770Z,sell,8.7e-07,881.0,0.00076647
VIB/BTC,1607460124776,2020-12-08T20:42:04.776Z,sell,8.7e-07,160.0,0.0001392
VIB/BTC,1607460124785,2020-12-08T20:42:04.785Z,sell,8.7e-07,1015.0,0.00088305
VIB/BTC,1607460125971,2020-12-08T20:42:05.971Z,sell,8.7e-07,400.0,0.000348
VIB/BTC,1607460240075,2020-12-08T20:44:00.075Z,sell,8.7e-07,2716.0,0.00236292
VIB/BTC,1607460280578,2020-12-08T20:44:40.578Z,sell,8.7e-07,77544.0,0.06746328
VIB/BTC,1607460290898,2020-12-08T20:44:50.898Z,sell,8.7e-07,21195.0,0.01843965
VIB/BTC,1607460294832,2020-12-08T20:44:54.832Z,sell,8.7e-07,26565.0,0.02311155
VIB/BTC,1607460299031,2020-12-08T20:44:59.031Z,sell,8.7e-07,12220.0,0.0106314
VIB/BTC,1607460302900,2020-12-08T20:45:02.900Z,sell,8.7e-07,23462.0,0.02041194
VIB/BTC,1607460310304,2020-12-08T20:45:10.304Z,sell,8.7e-07,105228.0,0.09154836
VIB/BTC,1607460312540,2020-12-08T20:45:12.540Z,sell,8.7e-07,4651.0,0.00404637
VIB/BTC,1607460317643,2020-12-08T20:45:17.643Z,sell,8.7e-07,52668.0,0.04582116
VIB/BTC,1607460327173,2020-12-08T20:45:27.173Z,sell,8.7e-07,111919.0,0.09736953
VIB/BTC,1607460336498,2020-12-08T20:45:36.498Z,buy,8.8e-07,376975.0,0.331738
VIB/BTC,1607460346292,2020-12-08T20:45:46.292Z,sell,8.7e-07,64086.0,0.05575482
VIB/BTC,1607460348300,2020-12-08T20:45:48.300Z,sell,8.7e-07,37547.0,0.03266589
VIB/BTC,1607460351082,2020-12-08T20:45:51.082Z,sell,8.7e-07,10809.0,0.00940383
VIB/BTC,1607460353695,2020-12-08T20:45:53.695Z,sell,8.7e-07,60575.0,0.05270025
VIB/BTC,1607460357562,2020-12-08T20:45:57.562Z,sell,8.7e-07,57987.0,0.05044869
VIB/BTC,1607460363284,2020-12-08T20:46:03.284Z,sell,8.7e-07,81526.0,0.07092762
VIB/BTC,1607460366587,2020-12-08T20:46:06.587Z,sell,8.7e-07,75254.0,0.06547098
VIB/BTC,1607460372059,2020-12-08T20:46:12.059Z,buy,8.8e-07,295941.0,0.26042808
VIB/BTC,1607460527932,2020-12-08T20:48:47.932Z,buy,8.8e-07,7955.0,0.0070004
VIB/BTC,1607460548183,2020-12-08T20:49:08.183Z,sell,8.7e-07,2770.0,0.0024099
VIB/BTC,1607460558787,2020-12-08T20:49:18.787Z,sell,8.7e-07,298049.0,0.25930263
VIB/BTC,1607460563304,2020-12-08T20:49:23.304Z,buy,8.8e-07,398877.0,0.35101176
VIB/BTC,1607460582826,2020-12-08T20:49:42.826Z,sell,8.7e-07,292027.0,0.25406349
VIB/BTC,1607460584438,2020-12-08T20:49:44.438Z,buy,8.8e-07,280302.0,0.24666576
VIB/BTC,1607460594863,2020-12-08T20:49:54.863Z,sell,8.7e-07,257752.0,0.22424424
VIB/BTC,1607460597169,2020-12-08T20:49:57.169Z,buy,8.8e-07,270908.0,0.23839904
VIB/BTC,1607460601736,2020-12-08T20:50:01.736Z,sell,8.7e-07,255253.0,0.22207011
VIB/BTC,1607460614718,2020-12-08T20:50:14.718Z,buy,8.8e-07,185091.0,0.16288008
VIB/BTC,1607460930753,2020-12-08T20:55:30.753Z,sell,8.7e-07,331146.0,0.28809702
VIB/BTC,1607460952879,2020-12-08T20:55:52.879Z,sell,8.7e-07,297924.0,0.25919388
VIB/BTC,1607460957439,2020-12-08T20:55:57.439Z,sell,8.7e-07,168285.0,0.14640795
VIB/BTC,1607460963157,2020-12-08T20:56:03.157Z,sell,8.7e-07,33791.0,0.02939817
VIB/BTC,1607460970703,2020-12-08T20:56:10.703Z,buy,8.8e-07,679184.0,0.59768192
