symbol,timestamp,datetime,side,price,amount,btc_volume
VITE/BTC,1585742527432,2020-04-01T12:02:07.432Z,buy,1.46e-06,24.0,3.504e-05
VITE/BTC,1585742538064,2020-04-01T12:02:18.064Z,buy,1.46e-06,9995.0,0.0145927
VITE/BTC,1585742729179,2020-04-01T12:05:29.179Z,sell,1.45e-06,16671.0,0.02417295
VITE/BTC,1585742731111,2020-04-01T12:05:31.111Z,sell,1.45e-06,9985.0,0.01447825
VITE/BTC,1585742771940,2020-04-01T12:06:11.940Z,buy,1.46e-06,119.0,0.00017374
VITE/BTC,1585742781145,2020-04-01T12:06:21.145Z,buy,1.46e-06,204.0,0.00029784
VITE/BTC,1585742782836,2020-04-01T12:06:22.836Z,buy,1.46e-06,2461.0,0.00359306
VITE/BTC,1585742782892,2020-04-01T12:06:22.892Z,buy,1.46e-06,5476.0,0.00799496
VITE/BTC,1585742790064,2020-04-01T12:06:30.064Z,buy,1.46e-06,11125.0,0.0162425
VITE/BTC,1585742790459,2020-04-01T12:06:30.459Z,buy,1.46e-06,11131.0,0.01625126
VITE/BTC,1585742790854,2020-04-01T12:06:30.854Z,buy,1.46e-06,4085.0,0.0059641
VITE/BTC,1585743143338,2020-04-01T12:12:23.338Z,sell,1.46e-06,4975.0,0.0072635
VITE/BTC,1585743193347,2020-04-01T12:13:13.347Z,sell,1.46e-06,13779.0,0.02011734
VITE/BTC,1585743196203,2020-04-01T12:13:16.203Z,buy,1.47e-06,23.0,3.381e-05
VITE/BTC,1585743196678,2020-04-01T12:13:16.678Z,buy,1.47e-06,26.0,3.822e-05
VITE/BTC,1585743351121,2020-04-01T12:15:51.121Z,sell,1.46e-06,2332.0,0.00340472
VITE/BTC,1585743358846,2020-04-01T12:15:58.846Z,buy,1.46e-06,82.0,0.00011972
VITE/BTC,1585743376228,2020-04-01T12:16:16.228Z,buy,1.46e-06,3060.0,0.0044676
VITE/BTC,1585743571670,2020-04-01T12:19:31.670Z,sell,1.45e-06,185399.0,0.26882855
VITE/BTC,1585743571670,2020-04-01T12:19:31.670Z,sell,1.44e-06,115639.0,0.16652016
VITE/BTC,1585743571670,2020-04-01T12:19:31.670Z,sell,1.43e-06,64145.0,0.09172735
VITE/BTC,1585743571670,2020-04-01T12:19:31.670Z,sell,1.43e-06,10911.0,0.01560273
VITE/BTC,1585743571683,2020-04-01T12:19:31.683Z,buy,1.43e-06,6072.0,0.00868296
VITE/BTC,1585743571971,2020-04-01T12:19:31.971Z,sell,1.44e-06,68884.0,0.09919296
VITE/BTC,1585743572615,2020-04-01T12:19:32.615Z,sell,1.44e-06,977.0,0.00140688
VITE/BTC,1585743573893,2020-04-01T12:19:33.893Z,sell,1.44e-06,2000.0,0.0028799999999999
VITE/BTC,1585743575646,2020-04-01T12:19:35.646Z,sell,1.44e-06,74.0,0.00010656
VITE/BTC,1585743575712,2020-04-01T12:19:35.712Z,sell,1.44e-06,1.0,1.44e-06
VITE/BTC,1585743575712,2020-04-01T12:19:35.712Z,sell,1.43e-06,10855.0,0.01552265
VITE/BTC,1585743575770,2020-04-01T12:19:35.770Z,sell,1.43e-06,12146.0,0.01736878
VITE/BTC,1585743671475,2020-04-01T12:21:11.475Z,buy,1.44e-06,3618.0,0.00520992
VITE/BTC,1585743671993,2020-04-01T12:21:11.993Z,buy,1.44e-06,12435.0,0.0179064
VITE/BTC,1585743671995,2020-04-01T12:21:11.995Z,buy,1.44e-06,8548.0,0.01230912
VITE/BTC,1585743682326,2020-04-01T12:21:22.326Z,buy,1.45e-06,7485.0,0.01085325
VITE/BTC,1585743687502,2020-04-01T12:21:27.502Z,buy,1.45e-06,1104.0,0.0016008
VITE/BTC,1585743713940,2020-04-01T12:21:53.940Z,buy,1.45e-06,5204.0,0.0075458
VITE/BTC,1585743713946,2020-04-01T12:21:53.946Z,buy,1.45e-06,1720.0,0.002494
VITE/BTC,1585743713969,2020-04-01T12:21:53.969Z,buy,1.45e-06,3612.0,0.0052374
VITE/BTC,1585743722755,2020-04-01T12:22:02.755Z,buy,1.45e-06,1898.0,0.0027521
VITE/BTC,1585743722755,2020-04-01T12:22:02.755Z,buy,1.46e-06,3688.0,0.00538448
VITE/BTC,1585743756190,2020-04-01T12:22:36.190Z,buy,1.46e-06,3887.0,0.00567502
VITE/BTC,1585743756190,2020-04-01T12:22:36.190Z,buy,1.47e-06,2952.0,0.00433944
VITE/BTC,1585743760870,2020-04-01T12:22:40.870Z,buy,1.47e-06,3396.0,0.00499212
VITE/BTC,1585743986703,2020-04-01T12:26:26.703Z,buy,1.47e-06,1726.0,0.0025372199999999
VITE/BTC,1585744086111,2020-04-01T12:28:06.111Z,sell,1.46e-06,100.0,0.000146
VITE/BTC,1585744274907,2020-04-01T12:31:14.907Z,buy,1.47e-06,3943.0,0.0057962099999999
VITE/BTC,1585744559217,2020-04-01T12:35:59.217Z,buy,1.47e-06,1198.0,0.0017610599999999
VITE/BTC,1585744924694,2020-04-01T12:42:04.694Z,sell,1.46e-06,5467.0,0.00798182
VITE/BTC,1585744924908,2020-04-01T12:42:04.908Z,sell,1.46e-06,402.0,0.00058692
VITE/BTC,1585745339718,2020-04-01T12:48:59.718Z,buy,1.47e-06,24.0,3.528e-05
VITE/BTC,1585745471140,2020-04-01T12:51:11.140Z,buy,1.47e-06,24.0,3.528e-05
VITE/BTC,1585745835401,2020-04-01T12:57:15.401Z,sell,1.46e-06,150.0,0.000219
VITE/BTC,1585745835401,2020-04-01T12:57:15.401Z,sell,1.46e-06,150.0,0.000219
VITE/BTC,1585745916120,2020-04-01T12:58:36.120Z,sell,1.46e-06,417.0,0.00060882
VITE/BTC,1585745916299,2020-04-01T12:58:36.299Z,buy,1.47e-06,1191.0,0.0017507699999999
VITE/BTC,1585745959318,2020-04-01T12:59:19.318Z,buy,1.47e-06,972.0,0.0014288399999999
VITE/BTC,1585745961173,2020-04-01T12:59:21.173Z,buy,1.47e-06,972.0,0.0014288399999999
VITE/BTC,1585745990797,2020-04-01T12:59:50.797Z,sell,1.46e-06,280.0,0.0004088
VITE/BTC,1585746013586,2020-04-01T13:00:13.586Z,sell,1.46e-06,10000.0,0.0146
VITE/BTC,1585746091417,2020-04-01T13:01:31.417Z,sell,1.46e-06,17260.0,0.0251996
VITE/BTC,1585746167054,2020-04-01T13:02:47.054Z,sell,1.45e-06,3695.0,0.00535775
VITE/BTC,1585746167054,2020-04-01T13:02:47.054Z,sell,1.44e-06,5818.0,0.00837792
VITE/BTC,1585746179060,2020-04-01T13:02:59.060Z,sell,1.44e-06,413.0,0.00059472
VITE/BTC,1585746186752,2020-04-01T13:03:06.752Z,sell,1.44e-06,1845.0,0.0026568
VITE/BTC,1585746214770,2020-04-01T13:03:34.770Z,sell,1.44e-06,9513.0,0.01369872
VITE/BTC,1585746278973,2020-04-01T13:04:38.973Z,sell,1.44e-06,1137.0,0.00163728
VITE/BTC,1585746518840,2020-04-01T13:08:38.840Z,sell,1.44e-06,333.0,0.00047952
VITE/BTC,1585746801686,2020-04-01T13:13:21.686Z,buy,1.45e-06,3674.0,0.0053273
VITE/BTC,1585746817915,2020-04-01T13:13:37.915Z,sell,1.44e-06,1737.0,0.00250128
VITE/BTC,1585746817934,2020-04-01T13:13:37.934Z,sell,1.44e-06,2074.0,0.00298656
VITE/BTC,1585747152026,2020-04-01T13:19:12.026Z,sell,1.44e-06,4927.0,0.00709488
VITE/BTC,1585747152029,2020-04-01T13:19:12.029Z,sell,1.44e-06,1934.0,0.00278496
VITE/BTC,1585748151480,2020-04-01T13:35:51.480Z,buy,1.45e-06,21.0,3.045e-05
VITE/BTC,1585748182730,2020-04-01T13:36:22.730Z,sell,1.44e-06,24021.0,0.03459024
VITE/BTC,1585748324801,2020-04-01T13:38:44.801Z,buy,1.45e-06,26.0,3.77e-05
VITE/BTC,1585748427185,2020-04-01T13:40:27.185Z,buy,1.45e-06,11037.0,0.01600365
VITE/BTC,1585748455286,2020-04-01T13:40:55.286Z,buy,1.45e-06,3867.0,0.00560715
VITE/BTC,1585748456359,2020-04-01T13:40:56.359Z,buy,1.45e-06,69263.0,0.10043135
VITE/BTC,1585749296851,2020-04-01T13:54:56.851Z,sell,1.44e-06,40349.0,0.05810256
VITE/BTC,1585749296859,2020-04-01T13:54:56.859Z,sell,1.44e-06,4861.0,0.00699984
VITE/BTC,1585749399109,2020-04-01T13:56:39.109Z,buy,1.45e-06,20.0,2.9e-05
VITE/BTC,1585749409418,2020-04-01T13:56:49.418Z,sell,1.44e-06,24300.0,0.034992
VITE/BTC,1585749409428,2020-04-01T13:56:49.428Z,sell,1.44e-06,24243.0,0.03490992
VITE/BTC,1585749409428,2020-04-01T13:56:49.428Z,sell,1.44e-06,24243.0,0.03490992
VITE/BTC,1585749464368,2020-04-01T13:57:44.368Z,sell,1.44e-06,5621.0,0.0080942399999999
VITE/BTC,1585749464370,2020-04-01T13:57:44.370Z,sell,1.44e-06,26839.0,0.03864816
VITE/BTC,1585749488640,2020-04-01T13:58:08.640Z,buy,1.44e-06,4814.0,0.00693216
VITE/BTC,1585749524699,2020-04-01T13:58:44.699Z,buy,1.44e-06,1230.0,0.0017712
VITE/BTC,1585749560341,2020-04-01T13:59:20.341Z,sell,1.43e-06,12240.0,0.0175032
VITE/BTC,1585749560341,2020-04-01T13:59:20.341Z,sell,1.42e-06,201299.0,0.28584458
VITE/BTC,1585749560341,2020-04-01T13:59:20.341Z,sell,1.41e-06,187248.0,0.26401968
VITE/BTC,1585749560341,2020-04-01T13:59:20.341Z,sell,1.41e-06,19699.0,0.02777559
VITE/BTC,1585749560341,2020-04-01T13:59:20.341Z,sell,1.4e-06,44348.0,0.0620871999999999
VITE/BTC,1585749560552,2020-04-01T13:59:20.552Z,sell,1.42e-06,1567.0,0.00222514
VITE/BTC,1585749560552,2020-04-01T13:59:20.552Z,sell,1.41e-06,3176.0,0.00447816
VITE/BTC,1585749561149,2020-04-01T13:59:21.149Z,sell,1.41e-06,143.0,0.00020163
VITE/BTC,1585749562503,2020-04-01T13:59:22.503Z,buy,1.42e-06,78.0,0.00011076
VITE/BTC,1585749563122,2020-04-01T13:59:23.122Z,sell,1.41e-06,349.0,0.00049209
VITE/BTC,1585749564480,2020-04-01T13:59:24.480Z,sell,1.41e-06,74.0,0.00010434
VITE/BTC,1585749565803,2020-04-01T13:59:25.803Z,sell,1.41e-06,428.0,0.00060348
VITE/BTC,1585749573033,2020-04-01T13:59:33.033Z,buy,1.42e-06,43230.0,0.0613866
VITE/BTC,1585749573891,2020-04-01T13:59:33.891Z,sell,1.41e-06,1500.0,0.002115
VITE/BTC,1585749587080,2020-04-01T13:59:47.080Z,sell,1.42e-06,2000.0,0.00284
VITE/BTC,1585749587080,2020-04-01T13:59:47.080Z,sell,1.41e-06,39979.0,0.05637039
VITE/BTC,1585749622149,2020-04-01T14:00:22.149Z,sell,1.42e-06,2000.0,0.00284
