symbol,timestamp,datetime,side,price,amount,btc_volume
YOYOW/BTC,1588436669412,2020-05-02T16:24:29.412Z,sell,9.6e-07,21190.0,0.0203423999999999
YOYOW/BTC,1588437140254,2020-05-02T16:32:20.254Z,sell,9.6e-07,1998.0,0.0019180799999999
YOYOW/BTC,1588437143928,2020-05-02T16:32:23.928Z,sell,9.6e-07,45091.0,0.04328736
YOYOW/BTC,1588437573997,2020-05-02T16:39:33.997Z,sell,9.6e-07,114334.0,0.1097606399999999
YOYOW/BTC,1588437595556,2020-05-02T16:39:55.556Z,sell,9.5e-07,1129.0,0.00107255
YOYOW/BTC,1588437595556,2020-05-02T16:39:55.556Z,sell,9.5e-07,408.0,0.0003876
YOYOW/BTC,1588437761488,2020-05-02T16:42:41.488Z,buy,9.6e-07,25838.0,0.0248044799999999
YOYOW/BTC,1588437918604,2020-05-02T16:45:18.604Z,buy,9.6e-07,1042.0,0.0010003199999999
YOYOW/BTC,1588437979299,2020-05-02T16:46:19.299Z,buy,9.6e-07,1042.0,0.0010003199999999
YOYOW/BTC,1588438260279,2020-05-02T16:51:00.279Z,sell,9.5e-07,360.0,0.000342
YOYOW/BTC,1588438536921,2020-05-02T16:55:36.921Z,buy,9.6e-07,521.0,0.0005001599999999
YOYOW/BTC,1588438536921,2020-05-02T16:55:36.921Z,buy,9.6e-07,521.0,0.0005001599999999
YOYOW/BTC,1588438864362,2020-05-02T17:01:04.362Z,buy,9.6e-07,48803.0,0.04685088
YOYOW/BTC,1588439093399,2020-05-02T17:04:53.399Z,sell,9.6e-07,3280.0,0.0031487999999999
YOYOW/BTC,1588439145853,2020-05-02T17:05:45.853Z,buy,9.6e-07,28900.0,0.0277439999999999
YOYOW/BTC,1588440211512,2020-05-02T17:23:31.512Z,buy,9.7e-07,29343.0,0.02846271
YOYOW/BTC,1588440631249,2020-05-02T17:30:31.249Z,buy,9.7e-07,20025.0,0.01942425
YOYOW/BTC,1588440756003,2020-05-02T17:32:36.003Z,sell,9.6e-07,25838.0,0.0248044799999999
YOYOW/BTC,1588440758901,2020-05-02T17:32:38.901Z,sell,9.6e-07,3579.0,0.00343584
YOYOW/BTC,1588441180523,2020-05-02T17:39:40.523Z,buy,9.7e-07,109.0,0.00010573
YOYOW/BTC,1588441211894,2020-05-02T17:40:11.894Z,buy,9.7e-07,76036.0,0.07375492
YOYOW/BTC,1588441939017,2020-05-02T17:52:19.017Z,buy,9.7e-07,34481.0,0.03344657
YOYOW/BTC,1588441939017,2020-05-02T17:52:19.017Z,buy,9.7e-07,34481.0,0.03344657
YOYOW/BTC,1588442482984,2020-05-02T18:01:22.984Z,sell,9.6e-07,25300.0,0.0242879999999999
YOYOW/BTC,1588442607012,2020-05-02T18:03:27.012Z,sell,9.6e-07,3000.0,0.0028799999999999
YOYOW/BTC,1588442645735,2020-05-02T18:04:05.735Z,buy,9.7e-07,50215.0,0.04870855
YOYOW/BTC,1588442759710,2020-05-02T18:05:59.710Z,sell,9.7e-07,52877.0,0.05129069
YOYOW/BTC,1588444101194,2020-05-02T18:28:21.194Z,buy,9.7e-07,10072.0,0.00976984
YOYOW/BTC,1588444120937,2020-05-02T18:28:40.937Z,buy,9.7e-07,116099.0,0.11261603
YOYOW/BTC,1588445121611,2020-05-02T18:45:21.611Z,buy,9.7e-07,1414.0,0.00137158
YOYOW/BTC,1588445459253,2020-05-02T18:50:59.253Z,buy,9.7e-07,459.0,0.00044523
YOYOW/BTC,1588445489059,2020-05-02T18:51:29.059Z,buy,9.8e-07,509242.0,0.4990571599999999
YOYOW/BTC,1588445494109,2020-05-02T18:51:34.109Z,buy,9.7e-07,1170.0,0.0011349
YOYOW/BTC,1588445494109,2020-05-02T18:51:34.109Z,buy,9.7e-07,1170.0,0.0011349
YOYOW/BTC,1588445651435,2020-05-02T18:54:11.435Z,sell,9.7e-07,201808.0,0.19575376
YOYOW/BTC,1588445760507,2020-05-02T18:56:00.507Z,sell,9.7e-07,776.0,0.00075272
YOYOW/BTC,1588445816840,2020-05-02T18:56:56.840Z,sell,9.7e-07,86530.0,0.0839341
YOYOW/BTC,1588445892798,2020-05-02T18:58:12.798Z,buy,9.8e-07,103.0,0.0001009399999999
YOYOW/BTC,1588445899125,2020-05-02T18:58:19.125Z,buy,9.8e-07,103.0,0.0001009399999999
YOYOW/BTC,1588445907373,2020-05-02T18:58:27.373Z,buy,9.8e-07,103.0,0.0001009399999999
YOYOW/BTC,1588445913387,2020-05-02T18:58:33.387Z,buy,9.8e-07,103.0,0.0001009399999999
YOYOW/BTC,1588445919094,2020-05-02T18:58:39.094Z,buy,9.8e-07,103.0,0.0001009399999999
YOYOW/BTC,1588446067402,2020-05-02T19:01:07.402Z,buy,9.8e-07,853.0,0.00083594
YOYOW/BTC,1588446273794,2020-05-02T19:04:33.794Z,buy,9.8e-07,25000.0,0.0244999999999999
