symbol,timestamp,datetime,side,price,amount,btc_volume
ADX/BTC,1561309495124,2019-06-23T17:04:55.124Z,buy,1.348e-05,81.0,0.00109188
ADX/BTC,1561309495124,2019-06-23T17:04:55.124Z,buy,1.349e-05,318.0,0.00428982
ADX/BTC,1561309495124,2019-06-23T17:04:55.124Z,buy,1.35e-05,391.0,0.0052785
ADX/BTC,1561309620547,2019-06-23T17:07:00.547Z,buy,1.35e-05,872.0,0.011772
ADX/BTC,1561309704876,2019-06-23T17:08:24.876Z,buy,1.35e-05,826.0,0.011151
ADX/BTC,1561309861184,2019-06-23T17:11:01.184Z,buy,1.35e-05,1106.0,0.014931
ADX/BTC,1561309878288,2019-06-23T17:11:18.288Z,sell,1.349e-05,165.0,0.00222585
ADX/BTC,1561309878288,2019-06-23T17:11:18.288Z,sell,1.345e-05,474.0,0.0063753
ADX/BTC,1561309891486,2019-06-23T17:11:31.486Z,buy,1.349e-05,123.0,0.00165927
ADX/BTC,1561310052456,2019-06-23T17:14:12.456Z,sell,1.349e-05,75.0,0.00101175
ADX/BTC,1561310102477,2019-06-23T17:15:02.477Z,buy,1.349e-05,3460.0,0.0466754
ADX/BTC,1561310104519,2019-06-23T17:15:04.519Z,buy,1.349e-05,3404.0,0.0459199599999999
ADX/BTC,1561310112449,2019-06-23T17:15:12.449Z,sell,1.345e-05,5284.0,0.0710698
ADX/BTC,1561310234481,2019-06-23T17:17:14.481Z,buy,1.348e-05,1744.0,0.0235091199999999
ADX/BTC,1561310234819,2019-06-23T17:17:14.819Z,buy,1.348e-05,717.0,0.0096651599999999
ADX/BTC,1561310236331,2019-06-23T17:17:16.331Z,buy,1.348e-05,188.0,0.00253424
ADX/BTC,1561310237978,2019-06-23T17:17:17.978Z,buy,1.348e-05,380.0,0.0051224
ADX/BTC,1561310239225,2019-06-23T17:17:19.225Z,buy,1.348e-05,445.0,0.0059986
ADX/BTC,1561310239382,2019-06-23T17:17:19.382Z,buy,1.348e-05,135.0,0.0018197999999999
ADX/BTC,1561310239914,2019-06-23T17:17:19.914Z,buy,1.348e-05,602.0,0.00811496
ADX/BTC,1561310242625,2019-06-23T17:17:22.625Z,buy,1.348e-05,390.0,0.0052572
ADX/BTC,1561310242682,2019-06-23T17:17:22.682Z,buy,1.348e-05,511.0,0.00688828
ADX/BTC,1561310242875,2019-06-23T17:17:22.875Z,buy,1.348e-05,174.0,0.00234552
ADX/BTC,1561310243162,2019-06-23T17:17:23.162Z,buy,1.348e-05,225.0,0.003033
ADX/BTC,1561310244161,2019-06-23T17:17:24.161Z,buy,1.348e-05,937.0,0.01263076
ADX/BTC,1561310397797,2019-06-23T17:19:57.797Z,sell,1.346e-05,2389.0,0.03215594
ADX/BTC,1561310397797,2019-06-23T17:19:57.797Z,sell,1.345e-05,611.0,0.00821795
ADX/BTC,1561310513973,2019-06-23T17:21:53.973Z,sell,1.35e-05,425.0,0.0057374999999999
ADX/BTC,1561310556517,2019-06-23T17:22:36.517Z,sell,1.344e-05,3160.0,0.0424704
ADX/BTC,1561310556750,2019-06-23T17:22:36.750Z,buy,1.344e-05,1196.0,0.01607424
ADX/BTC,1561310557572,2019-06-23T17:22:37.572Z,buy,1.344e-05,6551.0,0.08804544
ADX/BTC,1561310590032,2019-06-23T17:23:10.032Z,buy,1.349e-05,438.0,0.00590862
ADX/BTC,1561310590037,2019-06-23T17:23:10.037Z,buy,1.349e-05,2.0,2.698e-05
ADX/BTC,1561310590040,2019-06-23T17:23:10.040Z,buy,1.35e-05,1949.0,0.0263114999999999
ADX/BTC,1561310590040,2019-06-23T17:23:10.040Z,buy,1.354e-05,2121.0,0.02871834
ADX/BTC,1561310590040,2019-06-23T17:23:10.040Z,buy,1.356e-05,440.0,0.0059664
ADX/BTC,1561310590072,2019-06-23T17:23:10.072Z,buy,1.356e-05,374.0,0.00507144
ADX/BTC,1561310590095,2019-06-23T17:23:10.095Z,buy,1.356e-05,1488.0,0.02017728
ADX/BTC,1561310590160,2019-06-23T17:23:10.160Z,buy,1.356e-05,1228.0,0.01665168
ADX/BTC,1561310590948,2019-06-23T17:23:10.948Z,buy,1.356e-05,1481.0,0.02008236
ADX/BTC,1561310591519,2019-06-23T17:23:11.519Z,buy,1.356e-05,343.0,0.00465108
ADX/BTC,1561310592106,2019-06-23T17:23:12.106Z,buy,1.355e-05,643.0,0.00871265
ADX/BTC,1561310592110,2019-06-23T17:23:12.110Z,buy,1.355e-05,1.0,1.355e-05
ADX/BTC,1561310593632,2019-06-23T17:23:13.632Z,buy,1.356e-05,343.0,0.00465108
ADX/BTC,1561310598499,2019-06-23T17:23:18.499Z,buy,1.355e-05,96.0,0.0013008
ADX/BTC,1561310600722,2019-06-23T17:23:20.722Z,buy,1.357e-05,1059.0,0.01437063
ADX/BTC,1561310621509,2019-06-23T17:23:41.509Z,sell,1.357e-05,1819.0,0.02468383
ADX/BTC,1561310622148,2019-06-23T17:23:42.148Z,buy,1.359e-05,437.0,0.00593883
