symbol,timestamp,datetime,side,price,amount,btc_volume
AMB/BTC,1545316229936,2018-12-20T14:30:29.936Z,buy,1.727e-05,732.0,0.0126416399999999
AMB/BTC,1545316516133,2018-12-20T14:35:16.133Z,sell,1.722e-05,584.0,0.01005648
AMB/BTC,1545316535277,2018-12-20T14:35:35.277Z,buy,1.727e-05,929.0,0.01604383
AMB/BTC,1545316792548,2018-12-20T14:39:52.548Z,sell,1.724e-05,148.0,0.00255152
AMB/BTC,1545316792553,2018-12-20T14:39:52.553Z,buy,1.727e-05,641.0,0.01107007
AMB/BTC,1545316798358,2018-12-20T14:39:58.358Z,sell,1.722e-05,574.0,0.00988428
AMB/BTC,1545316798985,2018-12-20T14:39:58.985Z,buy,1.722e-05,122.0,0.00210084
AMB/BTC,1545316841627,2018-12-20T14:40:41.627Z,sell,1.721e-05,494.0,0.0085017399999999
AMB/BTC,1545316982807,2018-12-20T14:43:02.807Z,buy,1.724e-05,429.0,0.00739596
AMB/BTC,1545316982810,2018-12-20T14:43:02.810Z,buy,1.724e-05,985.0,0.0169814
AMB/BTC,1545317133238,2018-12-20T14:45:33.238Z,sell,1.723e-05,357.0,0.0061511099999999
AMB/BTC,1545317133238,2018-12-20T14:45:33.238Z,buy,1.726e-05,1003.0,0.01731178
AMB/BTC,1545317277174,2018-12-20T14:47:57.174Z,buy,1.723e-05,287.0,0.00494501
AMB/BTC,1545317277179,2018-12-20T14:47:57.179Z,buy,1.727e-05,715.0,0.01234805
AMB/BTC,1545317351421,2018-12-20T14:49:11.421Z,buy,1.728e-05,87.0,0.00150336
AMB/BTC,1545317409118,2018-12-20T14:50:09.118Z,buy,1.728e-05,86.0,0.00148608
AMB/BTC,1545317450089,2018-12-20T14:50:50.089Z,sell,1.72e-05,66.0,0.0011352
AMB/BTC,1545317476169,2018-12-20T14:51:16.169Z,sell,1.72e-05,67.0,0.0011524
AMB/BTC,1545317507470,2018-12-20T14:51:47.470Z,buy,1.727e-05,1183.0,0.02043041
AMB/BTC,1545317599569,2018-12-20T14:53:19.569Z,buy,1.728e-05,186.0,0.00321408
AMB/BTC,1545317632508,2018-12-20T14:53:52.508Z,buy,1.734e-05,787.0,0.01364658
AMB/BTC,1545317639117,2018-12-20T14:53:59.117Z,sell,1.728e-05,58.0,0.00100224
AMB/BTC,1545317658404,2018-12-20T14:54:18.404Z,sell,1.728e-05,339.0,0.00585792
AMB/BTC,1545317658404,2018-12-20T14:54:18.404Z,sell,1.725e-05,820.0,0.014145
AMB/BTC,1545317863791,2018-12-20T14:57:43.791Z,sell,1.726e-05,104.0,0.00179504
AMB/BTC,1545317940208,2018-12-20T14:59:00.208Z,buy,1.725e-05,1160.0,0.02001
AMB/BTC,1545317940211,2018-12-20T14:59:00.211Z,buy,1.734e-05,405.0,0.0070227
AMB/BTC,1545318216914,2018-12-20T15:03:36.914Z,buy,1.733e-05,90.0,0.0015596999999999
AMB/BTC,1545318216918,2018-12-20T15:03:36.918Z,sell,1.727e-05,1130.0,0.0195151
AMB/BTC,1545318419737,2018-12-20T15:06:59.737Z,buy,1.733e-05,286.0,0.00495638
AMB/BTC,1545318419739,2018-12-20T15:06:59.739Z,sell,1.727e-05,415.0,0.0071670499999999
AMB/BTC,1545318595206,2018-12-20T15:09:55.206Z,buy,1.733e-05,164.0,0.0028421199999999
AMB/BTC,1545318595209,2018-12-20T15:09:55.209Z,buy,1.73e-05,269.0,0.0046537
AMB/BTC,1545318682908,2018-12-20T15:11:22.908Z,buy,1.733e-05,350.0,0.0060655
AMB/BTC,1545318706820,2018-12-20T15:11:46.820Z,buy,1.728e-05,128.0,0.00221184
AMB/BTC,1545318706820,2018-12-20T15:11:46.820Z,buy,1.732e-05,33.0,0.00057156
AMB/BTC,1545318706853,2018-12-20T15:11:46.853Z,sell,1.728e-05,128.0,0.00221184
AMB/BTC,1545318814344,2018-12-20T15:13:34.344Z,sell,1.721e-05,1186.0,0.0204110599999999
AMB/BTC,1545318877661,2018-12-20T15:14:37.661Z,buy,1.731e-05,418.0,0.0072355799999999
AMB/BTC,1545318877669,2018-12-20T15:14:37.669Z,buy,1.724e-05,653.0,0.01125772
AMB/BTC,1545319084192,2018-12-20T15:18:04.192Z,buy,1.724e-05,105.0,0.0018102
AMB/BTC,1545319084194,2018-12-20T15:18:04.194Z,buy,1.724e-05,364.0,0.00627536
AMB/BTC,1545319112983,2018-12-20T15:18:32.983Z,sell,1.724e-05,105.0,0.0018102
AMB/BTC,1545319112983,2018-12-20T15:18:32.983Z,sell,1.721e-05,237.0,0.00407877
AMB/BTC,1545319324761,2018-12-20T15:22:04.761Z,buy,1.724e-05,85.0,0.0014654
AMB/BTC,1545319324761,2018-12-20T15:22:04.761Z,buy,1.724e-05,517.0,0.00891308
AMB/BTC,1545319585700,2018-12-20T15:26:25.700Z,sell,1.724e-05,163.0,0.00281012
AMB/BTC,1545319595100,2018-12-20T15:26:35.100Z,buy,1.722e-05,187.0,0.00322014
AMB/BTC,1545319595100,2018-12-20T15:26:35.100Z,buy,1.723e-05,285.0,0.00491055
AMB/BTC,1545319595100,2018-12-20T15:26:35.100Z,buy,1.722e-05,187.0,0.00322014
AMB/BTC,1545319595100,2018-12-20T15:26:35.100Z,buy,1.723e-05,285.0,0.00491055
AMB/BTC,1545319976684,2018-12-20T15:32:56.684Z,sell,1.716e-05,578.0,0.0099184799999999
AMB/BTC,1545319977538,2018-12-20T15:32:57.538Z,sell,1.715e-05,345.0,0.00591675
AMB/BTC,1545319977538,2018-12-20T15:32:57.538Z,sell,1.713e-05,933.0,0.01598229
AMB/BTC,1545319977589,2018-12-20T15:32:57.589Z,buy,1.713e-05,79.0,0.00135327
AMB/BTC,1545319987248,2018-12-20T15:33:07.248Z,buy,1.713e-05,305.0,0.00522465
AMB/BTC,1545320014931,2018-12-20T15:33:34.931Z,sell,1.71e-05,210.0,0.0035909999999999
AMB/BTC,1545320191335,2018-12-20T15:36:31.335Z,sell,1.71e-05,210.0,0.0035909999999999
AMB/BTC,1545320213575,2018-12-20T15:36:53.575Z,sell,1.71e-05,336.0,0.0057456
AMB/BTC,1545320265412,2018-12-20T15:37:45.412Z,buy,1.712e-05,384.0,0.0065740799999999
AMB/BTC,1545320265414,2018-12-20T15:37:45.414Z,sell,1.711e-05,465.0,0.00795615
