symbol,timestamp,datetime,side,price,amount,btc_volume
APPC/BTC,1604686027169,2020-11-06T18:07:07.169Z,buy,1.81e-06,360.0,0.0006516
APPC/BTC,1604686223491,2020-11-06T18:10:23.491Z,sell,1.8e-06,94.0,0.0001692
APPC/BTC,1604686652470,2020-11-06T18:17:32.470Z,sell,1.8e-06,146.0,0.0002628
APPC/BTC,1604686677776,2020-11-06T18:17:57.776Z,sell,1.8e-06,91.0,0.0001638
APPC/BTC,1604686705756,2020-11-06T18:18:25.756Z,sell,1.8e-06,306.0,0.0005507999999999
APPC/BTC,1604686705756,2020-11-06T18:18:25.756Z,sell,1.79e-06,5839.0,0.01045181
APPC/BTC,1604686705756,2020-11-06T18:18:25.756Z,sell,1.78e-06,20055.0,0.0356979
APPC/BTC,1604686705756,2020-11-06T18:18:25.756Z,sell,1.77e-06,96154.0,0.17019258
APPC/BTC,1604686870239,2020-11-06T18:21:10.239Z,buy,1.79e-06,104.0,0.00018616
APPC/BTC,1604686938047,2020-11-06T18:22:18.047Z,sell,1.78e-06,107.0,0.00019046
APPC/BTC,1604687324004,2020-11-06T18:28:44.004Z,sell,1.79e-06,661.0,0.00118319
APPC/BTC,1604688257299,2020-11-06T18:44:17.299Z,sell,1.79e-06,1242.0,0.00222318
APPC/BTC,1604688595433,2020-11-06T18:49:55.433Z,sell,1.79e-06,176.0,0.00031504
APPC/BTC,1604688687920,2020-11-06T18:51:27.920Z,sell,1.79e-06,3237.0,0.00579423
APPC/BTC,1604688721787,2020-11-06T18:52:01.787Z,buy,1.79e-06,342.0,0.00061218
APPC/BTC,1604688756770,2020-11-06T18:52:36.770Z,sell,1.78e-06,133.0,0.00023674
APPC/BTC,1604688876192,2020-11-06T18:54:36.192Z,sell,1.78e-06,1028.0,0.00182984
APPC/BTC,1604688876192,2020-11-06T18:54:36.192Z,sell,1.77e-06,17355.0,0.03071835
APPC/BTC,1604688876871,2020-11-06T18:54:36.871Z,buy,1.77e-06,64.0,0.00011328
APPC/BTC,1604688877219,2020-11-06T18:54:37.219Z,sell,1.76e-06,4991.0,0.00878416
APPC/BTC,1604688885585,2020-11-06T18:54:45.585Z,buy,1.77e-06,5066.0,0.00896682
APPC/BTC,1604688892384,2020-11-06T18:54:52.384Z,buy,1.77e-06,6185.0,0.01094745
APPC/BTC,1604688893243,2020-11-06T18:54:53.243Z,sell,1.76e-06,17668.0,0.03109568
APPC/BTC,1604688905528,2020-11-06T18:55:05.528Z,buy,1.77e-06,11826.0,0.02093202
APPC/BTC,1604688919393,2020-11-06T18:55:19.393Z,buy,1.77e-06,299.0,0.00052923
APPC/BTC,1604688947880,2020-11-06T18:55:47.880Z,sell,1.76e-06,634.0,0.00111584
APPC/BTC,1604688948210,2020-11-06T18:55:48.210Z,sell,1.76e-06,1462.0,0.00257312
APPC/BTC,1604688948718,2020-11-06T18:55:48.718Z,sell,1.76e-06,744.0,0.00130944
APPC/BTC,1604688948802,2020-11-06T18:55:48.802Z,sell,1.76e-06,5659.0,0.00995984
APPC/BTC,1604688948813,2020-11-06T18:55:48.813Z,sell,1.76e-06,11914.0,0.02096864
APPC/BTC,1604688949830,2020-11-06T18:55:49.830Z,buy,1.77e-06,67.0,0.00011859
APPC/BTC,1604689027386,2020-11-06T18:57:07.386Z,sell,1.76e-06,145.0,0.0002552
APPC/BTC,1604689078840,2020-11-06T18:57:58.840Z,sell,1.76e-06,16548.0,0.02912448
APPC/BTC,1604689128343,2020-11-06T18:58:48.343Z,sell,1.76e-06,180.0,0.0003168
APPC/BTC,1604689184461,2020-11-06T18:59:44.461Z,sell,1.76e-06,363.0,0.00063888
APPC/BTC,1604689184461,2020-11-06T18:59:44.461Z,sell,1.76e-06,363.0,0.00063888
APPC/BTC,1604689319858,2020-11-06T19:01:59.858Z,buy,1.77e-06,332.0,0.00058764
APPC/BTC,1604690097993,2020-11-06T19:14:57.993Z,buy,1.78e-06,2599.0,0.0046262199999999
APPC/BTC,1604690152521,2020-11-06T19:15:52.521Z,buy,1.78e-06,5000.0,0.0089
APPC/BTC,1604691442816,2020-11-06T19:37:22.816Z,buy,1.78e-06,2248.0,0.00400144
APPC/BTC,1604691443536,2020-11-06T19:37:23.536Z,buy,1.78e-06,141.0,0.00025098
APPC/BTC,1604691444904,2020-11-06T19:37:24.904Z,buy,1.78e-06,85.0,0.0001513
APPC/BTC,1604691444964,2020-11-06T19:37:24.964Z,buy,1.78e-06,562.0,0.00100036
APPC/BTC,1604691445186,2020-11-06T19:37:25.186Z,buy,1.78e-06,113.0,0.00020114
APPC/BTC,1604691446250,2020-11-06T19:37:26.250Z,buy,1.78e-06,280.0,0.0004984
APPC/BTC,1604691448792,2020-11-06T19:37:28.792Z,buy,1.78e-06,842.0,0.00149876
APPC/BTC,1604691455048,2020-11-06T19:37:35.048Z,buy,1.78e-06,625.0,0.0011125
APPC/BTC,1604691826896,2020-11-06T19:43:46.896Z,buy,1.78e-06,232.0,0.00041296
APPC/BTC,1604691871174,2020-11-06T19:44:31.174Z,buy,1.79e-06,1167.0,0.00208893
APPC/BTC,1604691871174,2020-11-06T19:44:31.174Z,buy,1.79e-06,1167.0,0.00208893
APPC/BTC,1604692801248,2020-11-06T20:00:01.248Z,buy,1.79e-06,89.0,0.00015931
APPC/BTC,1604692805594,2020-11-06T20:00:05.594Z,sell,1.78e-06,565.0,0.0010057
APPC/BTC,1604692877893,2020-11-06T20:01:17.893Z,sell,1.78e-06,6297.0,0.0112086599999999
APPC/BTC,1604692969132,2020-11-06T20:02:49.132Z,sell,1.78e-06,197.0,0.00035066
APPC/BTC,1604693112264,2020-11-06T20:05:12.264Z,sell,1.78e-06,115.0,0.0002047
APPC/BTC,1604693137229,2020-11-06T20:05:37.229Z,sell,1.78e-06,1009.0,0.00179602
APPC/BTC,1604693163352,2020-11-06T20:06:03.352Z,buy,1.79e-06,784.0,0.00140336
APPC/BTC,1604693163352,2020-11-06T20:06:03.352Z,buy,1.8e-06,40664.0,0.0731952
APPC/BTC,1604693163352,2020-11-06T20:06:03.352Z,buy,1.81e-06,102404.0,0.18535124
APPC/BTC,1604693163377,2020-11-06T20:06:03.377Z,sell,1.81e-06,3486.0,0.00630966
APPC/BTC,1604693163477,2020-11-06T20:06:03.477Z,sell,1.81e-06,607.0,0.00109867
APPC/BTC,1604693164424,2020-11-06T20:06:04.424Z,sell,1.81e-06,607.0,0.00109867
APPC/BTC,1604693173124,2020-11-06T20:06:13.124Z,sell,1.81e-06,3477.0,0.00629337
APPC/BTC,1604693179543,2020-11-06T20:06:19.543Z,sell,1.81e-06,1484.0,0.00268604
APPC/BTC,1604693218424,2020-11-06T20:06:58.424Z,sell,1.8e-06,102.0,0.0001836
APPC/BTC,1604693286106,2020-11-06T20:08:06.106Z,buy,1.8e-06,333.0,0.0005993999999999
APPC/BTC,1604693534731,2020-11-06T20:12:14.731Z,buy,1.8e-06,686.0,0.0012347999999999
APPC/BTC,1604693609581,2020-11-06T20:13:29.581Z,buy,1.8e-06,12719.0,0.0228942
APPC/BTC,1604693618925,2020-11-06T20:13:38.925Z,sell,1.8e-06,3596.0,0.0064728
APPC/BTC,1604693770081,2020-11-06T20:16:10.081Z,sell,1.79e-06,19042.0,0.03408518
APPC/BTC,1604693825564,2020-11-06T20:17:05.564Z,sell,1.79e-06,197.0,0.00035263
APPC/BTC,1604693843164,2020-11-06T20:17:23.164Z,sell,1.79e-06,874.0,0.00156446
APPC/BTC,1604694095769,2020-11-06T20:21:35.769Z,sell,1.79e-06,29696.0,0.05315584
APPC/BTC,1604694140940,2020-11-06T20:22:20.940Z,sell,1.78e-06,16585.0,0.0295212999999999
APPC/BTC,1604694266926,2020-11-06T20:24:26.926Z,buy,1.79e-06,334.0,0.00059786
APPC/BTC,1604694460048,2020-11-06T20:27:40.048Z,buy,1.79e-06,4545.0,0.00813555
APPC/BTC,1604694820189,2020-11-06T20:33:40.189Z,buy,1.8e-06,556.0,0.0010008
APPC/BTC,1604694946490,2020-11-06T20:35:46.490Z,sell,1.79e-06,4753.0,0.00850787
APPC/BTC,1604694950424,2020-11-06T20:35:50.424Z,sell,1.79e-06,282.0,0.00050478
APPC/BTC,1604694950424,2020-11-06T20:35:50.424Z,sell,1.78e-06,1787.0,0.0031808599999999
APPC/BTC,1604694950424,2020-11-06T20:35:50.424Z,sell,1.77e-06,308.0,0.00054516
APPC/BTC,1604694950424,2020-11-06T20:35:50.424Z,sell,1.77e-06,1165.0,0.00206205
APPC/BTC,1604694953699,2020-11-06T20:35:53.699Z,sell,1.77e-06,1188.0,0.00210276
APPC/BTC,1604694956019,2020-11-06T20:35:56.019Z,sell,1.77e-06,1188.0,0.00210276
APPC/BTC,1604694992762,2020-11-06T20:36:32.762Z,buy,1.78e-06,104.0,0.00018512
APPC/BTC,1604695101303,2020-11-06T20:38:21.303Z,sell,1.78e-06,99.0,0.00017622
APPC/BTC,1604695384011,2020-11-06T20:43:04.011Z,buy,1.79e-06,104.0,0.00018616
APPC/BTC,1604695385960,2020-11-06T20:43:05.960Z,sell,1.79e-06,1121.0,0.00200659
APPC/BTC,1604695401993,2020-11-06T20:43:21.993Z,buy,1.8e-06,18836.0,0.0339048
APPC/BTC,1604695401993,2020-11-06T20:43:21.993Z,buy,1.8e-06,18836.0,0.0339048
APPC/BTC,1604695770009,2020-11-06T20:49:30.009Z,sell,1.78e-06,5415.0,0.0096387
APPC/BTC,1604696124115,2020-11-06T20:55:24.115Z,sell,1.78e-06,3265.0,0.0058116999999999
APPC/BTC,1604696145325,2020-11-06T20:55:45.325Z,buy,1.79e-06,334.0,0.00059786
APPC/BTC,1604696472451,2020-11-06T21:01:12.451Z,sell,1.78e-06,171.0,0.00030438
APPC/BTC,1604696491676,2020-11-06T21:01:31.676Z,sell,1.78e-06,3057.0,0.0054414599999999
APPC/BTC,1604696519549,2020-11-06T21:01:59.549Z,sell,1.77e-06,82.0,0.00014514
APPC/BTC,1604696520662,2020-11-06T21:02:00.662Z,sell,1.77e-06,99.0,0.00017523
APPC/BTC,1604696532804,2020-11-06T21:02:12.804Z,sell,1.77e-06,8867.0,0.01569459
APPC/BTC,1604696532964,2020-11-06T21:02:12.964Z,sell,1.77e-06,1211.0,0.00214347
APPC/BTC,1604696568624,2020-11-06T21:02:48.624Z,sell,1.77e-06,5005.0,0.00885885
APPC/BTC,1604696589336,2020-11-06T21:03:09.336Z,sell,1.77e-06,913.0,0.00161601
APPC/BTC,1604696593428,2020-11-06T21:03:13.428Z,sell,1.76e-06,758.0,0.00133408
APPC/BTC,1604696666287,2020-11-06T21:04:26.287Z,buy,1.78e-06,67.0,0.0001192599999999
