symbol,timestamp,datetime,side,price,amount,btc_volume
ARN/BTC,1522341003582,2018-03-29T16:30:03.582Z,buy,0.00014664,22.0,0.0032260799999999
ARN/BTC,1522341003582,2018-03-29T16:30:03.582Z,buy,0.00014665,13.0,0.0019064499999999
ARN/BTC,1522341003659,2018-03-29T16:30:03.659Z,buy,0.00014665,19.0,0.00278635
ARN/BTC,1522341003659,2018-03-29T16:30:03.659Z,buy,0.00014666,16.0,0.00234656
ARN/BTC,1522341063445,2018-03-29T16:31:03.445Z,sell,0.00014576,22.0,0.0032067199999999
ARN/BTC,1522341063445,2018-03-29T16:31:03.445Z,sell,0.00014575,13.0,0.00189475
ARN/BTC,1522341063524,2018-03-29T16:31:03.524Z,sell,0.00014575,35.0,0.00510125
ARN/BTC,1522341123374,2018-03-29T16:32:03.374Z,buy,0.00014665,22.0,0.0032262999999999
ARN/BTC,1522341123374,2018-03-29T16:32:03.374Z,buy,0.00014666,13.0,0.00190658
ARN/BTC,1522341123435,2018-03-29T16:32:03.435Z,buy,0.00014666,35.0,0.0051331
ARN/BTC,1522341183339,2018-03-29T16:33:03.339Z,sell,0.00014588,35.0,0.0051058
ARN/BTC,1522341183434,2018-03-29T16:33:03.434Z,sell,0.00014588,17.0,0.00247996
ARN/BTC,1522341183434,2018-03-29T16:33:03.434Z,sell,0.00014587,18.0,0.00262566
ARN/BTC,1522341191261,2018-03-29T16:33:11.261Z,buy,0.0001459,23.0,0.0033557
ARN/BTC,1522341242851,2018-03-29T16:34:02.851Z,buy,0.00014656,35.0,0.0051296
ARN/BTC,1522341242930,2018-03-29T16:34:02.930Z,buy,0.00014656,17.0,0.00249152
ARN/BTC,1522341242930,2018-03-29T16:34:02.930Z,buy,0.00014657,18.0,0.00263826
ARN/BTC,1522341303405,2018-03-29T16:35:03.405Z,sell,0.000146,33.0,0.004818
ARN/BTC,1522341303405,2018-03-29T16:35:03.405Z,sell,0.00014599,2.0,0.00029198
ARN/BTC,1522341303474,2018-03-29T16:35:03.474Z,sell,0.00014599,35.0,0.00510965
ARN/BTC,1522341363441,2018-03-29T16:36:03.441Z,buy,0.0001465,35.0,0.0051275
ARN/BTC,1522341363541,2018-03-29T16:36:03.541Z,buy,0.0001465,26.0,0.003809
ARN/BTC,1522341363541,2018-03-29T16:36:03.541Z,buy,0.00014657,9.0,0.00131913
