symbol,timestamp,datetime,side,price,amount,btc_volume
AST/BTC,1550498426808,2019-02-18T14:00:26.808Z,buy,8.01e-06,2117.0,0.01695717
AST/BTC,1550498454706,2019-02-18T14:00:54.706Z,buy,8.01e-06,1075.0,0.00861075
AST/BTC,1550498473769,2019-02-18T14:01:13.769Z,sell,8.01e-06,279.0,0.00223479
AST/BTC,1550498532374,2019-02-18T14:02:12.374Z,sell,8.01e-06,721.0,0.0057752099999999
AST/BTC,1550498532604,2019-02-18T14:02:12.604Z,sell,8e-06,721.0,0.005768
AST/BTC,1550498565484,2019-02-18T14:02:45.484Z,buy,8.01e-06,290.0,0.0023228999999999
AST/BTC,1550498573329,2019-02-18T14:02:53.329Z,sell,8.01e-06,299.0,0.00239499
AST/BTC,1550498600709,2019-02-18T14:03:20.709Z,sell,8.01e-06,701.0,0.0056150099999999
AST/BTC,1550498623237,2019-02-18T14:03:43.237Z,buy,8.01e-06,1692.0,0.01355292
AST/BTC,1550498637745,2019-02-18T14:03:57.745Z,sell,8.01e-06,462.0,0.00370062
AST/BTC,1550498683063,2019-02-18T14:04:43.063Z,buy,8.01e-06,1849.0,0.0148104899999999
AST/BTC,1550498708822,2019-02-18T14:05:08.822Z,buy,8.01e-06,1195.0,0.00957195
AST/BTC,1550498743660,2019-02-18T14:05:43.660Z,buy,8.01e-06,726.0,0.00581526
AST/BTC,1550498775377,2019-02-18T14:06:15.377Z,buy,8.02e-06,2500.0,0.02005
AST/BTC,1550498797360,2019-02-18T14:06:37.360Z,buy,8.01e-06,391.0,0.00313191
AST/BTC,1550498814596,2019-02-18T14:06:54.596Z,buy,8.02e-06,328.0,0.0026305599999999
AST/BTC,1550498824129,2019-02-18T14:07:04.129Z,buy,8.01e-06,1231.0,0.0098603099999999
AST/BTC,1550498874807,2019-02-18T14:07:54.807Z,sell,8e-06,7002.0,0.0560159999999999
AST/BTC,1550498981330,2019-02-18T14:09:41.330Z,buy,8.01e-06,998.0,0.00799398
AST/BTC,1550498994724,2019-02-18T14:09:54.724Z,sell,8e-06,422.0,0.0033759999999999
AST/BTC,1550499011119,2019-02-18T14:10:11.119Z,buy,7.99e-06,2033.0,0.0162436699999999
AST/BTC,1550499042486,2019-02-18T14:10:42.486Z,sell,7.99e-06,1711.0,0.01367089
AST/BTC,1550499181529,2019-02-18T14:13:01.529Z,sell,7.99e-06,357.0,0.00285243
AST/BTC,1550499195867,2019-02-18T14:13:15.867Z,sell,7.98e-06,2503.0,0.01997394
AST/BTC,1550499196753,2019-02-18T14:13:16.753Z,buy,7.98e-06,1409.0,0.01124382
AST/BTC,1550499300792,2019-02-18T14:15:00.792Z,buy,7.97e-06,1421.0,0.01132537
AST/BTC,1550499336408,2019-02-18T14:15:36.408Z,buy,7.97e-06,1013.0,0.00807361
AST/BTC,1550499393315,2019-02-18T14:16:33.315Z,sell,7.96e-06,200.0,0.001592
AST/BTC,1550499393315,2019-02-18T14:16:33.315Z,sell,7.95e-06,1412.0,0.0112254
AST/BTC,1550499550777,2019-02-18T14:19:10.777Z,sell,7.95e-06,24349.0,0.19357455
AST/BTC,1550499557803,2019-02-18T14:19:17.803Z,buy,7.97e-06,2641.0,0.02104877
AST/BTC,1550499603562,2019-02-18T14:20:03.562Z,buy,7.98e-06,1825.0,0.0145635
AST/BTC,1550499641004,2019-02-18T14:20:41.004Z,buy,7.99e-06,175.0,0.00139825
AST/BTC,1550499665267,2019-02-18T14:21:05.267Z,buy,8e-06,722.0,0.005776
AST/BTC,1550499689087,2019-02-18T14:21:29.087Z,buy,8e-06,1452.0,0.011616
AST/BTC,1550499744887,2019-02-18T14:22:24.887Z,sell,8e-06,1883.0,0.015064
AST/BTC,1550499745784,2019-02-18T14:22:25.784Z,sell,7.99e-06,5449.0,0.04353751
AST/BTC,1550499761799,2019-02-18T14:22:41.799Z,sell,7.99e-06,950.0,0.0075905
