symbol,timestamp,datetime,side,price,amount,btc_volume
BNT/BTC,1586707494969,2020-04-12T16:04:54.969Z,sell,2.624e-05,8.0,0.00020992
BNT/BTC,1586708080642,2020-04-12T16:14:40.642Z,sell,2.623e-05,103.0,0.00270169
BNT/BTC,1586708213369,2020-04-12T16:16:53.369Z,sell,2.623e-05,242.0,0.00634766
BNT/BTC,1586708290363,2020-04-12T16:18:10.363Z,sell,2.623e-05,443.0,0.01161989
BNT/BTC,1586708309819,2020-04-12T16:18:29.819Z,sell,2.623e-05,85.0,0.00222955
BNT/BTC,1586708442739,2020-04-12T16:20:42.739Z,sell,2.623e-05,13.0,0.00034099
BNT/BTC,1586708445004,2020-04-12T16:20:45.004Z,sell,2.623e-05,919.0,0.02410537
BNT/BTC,1586708453243,2020-04-12T16:20:53.243Z,sell,2.623e-05,274.0,0.00718702
BNT/BTC,1586708523998,2020-04-12T16:22:03.998Z,buy,2.632e-05,1.0,2.632e-05
BNT/BTC,1586709127924,2020-04-12T16:32:07.924Z,sell,2.623e-05,182.0,0.00477386
BNT/BTC,1586709202551,2020-04-12T16:33:22.551Z,sell,2.623e-05,2739.0,0.07184397
BNT/BTC,1586709202551,2020-04-12T16:33:22.551Z,sell,2.622e-05,368.0,0.00964896
BNT/BTC,1586709214332,2020-04-12T16:33:34.332Z,sell,2.616e-05,36.0,0.00094176
BNT/BTC,1586709214332,2020-04-12T16:33:34.332Z,sell,2.615e-05,533.0,0.01393795
BNT/BTC,1586709256453,2020-04-12T16:34:16.453Z,sell,2.612e-05,6.0,0.00015672
BNT/BTC,1586709256453,2020-04-12T16:34:16.453Z,sell,2.61e-05,8.0,0.0002088
BNT/BTC,1586709256453,2020-04-12T16:34:16.453Z,sell,2.609e-05,1078.0,0.02812502
BNT/BTC,1586709256453,2020-04-12T16:34:16.453Z,sell,2.608e-05,4.0,0.00010432
BNT/BTC,1586709256453,2020-04-12T16:34:16.453Z,sell,2.605e-05,96.0,0.0025008
BNT/BTC,1586709256453,2020-04-12T16:34:16.453Z,sell,2.602e-05,657.0,0.01709514
BNT/BTC,1586709256453,2020-04-12T16:34:16.453Z,sell,2.601e-05,5.0,0.00013005
BNT/BTC,1586709256462,2020-04-12T16:34:16.462Z,sell,2.6e-05,27.0,0.0007019999999999
BNT/BTC,1586709256462,2020-04-12T16:34:16.462Z,sell,2.598e-05,37.0,0.0009612599999999
BNT/BTC,1586709256462,2020-04-12T16:34:16.462Z,sell,2.597e-05,172.0,0.00446684
BNT/BTC,1586709256517,2020-04-12T16:34:16.517Z,sell,2.597e-05,124.0,0.00322028
BNT/BTC,1586709257747,2020-04-12T16:34:17.747Z,buy,2.6e-05,100.0,0.0026
BNT/BTC,1586709259090,2020-04-12T16:34:19.090Z,buy,2.6e-05,19.0,0.000494
BNT/BTC,1586709259661,2020-04-12T16:34:19.661Z,buy,2.6e-05,4.0,0.000104
BNT/BTC,1586709265469,2020-04-12T16:34:25.469Z,sell,2.597e-05,857.0,0.02225629
BNT/BTC,1586709265475,2020-04-12T16:34:25.475Z,sell,2.596e-05,329.0,0.00854084
BNT/BTC,1586709265475,2020-04-12T16:34:25.475Z,sell,2.596e-05,7.0,0.00018172
BNT/BTC,1586709266696,2020-04-12T16:34:26.696Z,sell,2.597e-05,200.0,0.005194
BNT/BTC,1586709267767,2020-04-12T16:34:27.767Z,buy,2.599e-05,5.0,0.00012995
BNT/BTC,1586709270812,2020-04-12T16:34:30.812Z,sell,2.598e-05,200.0,0.005196
BNT/BTC,1586709293457,2020-04-12T16:34:53.457Z,sell,2.599e-05,16.0,0.00041584
BNT/BTC,1586709306276,2020-04-12T16:35:06.276Z,sell,2.599e-05,41.0,0.00106559
BNT/BTC,1586709306303,2020-04-12T16:35:06.303Z,sell,2.598e-05,857.0,0.0222648599999999
BNT/BTC,1586709306303,2020-04-12T16:35:06.303Z,sell,2.597e-05,205.0,0.00532385
BNT/BTC,1586709306315,2020-04-12T16:35:06.315Z,sell,2.597e-05,857.0,0.02225629
BNT/BTC,1586709309481,2020-04-12T16:35:09.481Z,sell,2.596e-05,5654.0,0.14677784
BNT/BTC,1586709332338,2020-04-12T16:35:32.338Z,sell,2.597e-05,13.0,0.00033761
BNT/BTC,1586709343744,2020-04-12T16:35:43.744Z,sell,2.597e-05,4.0,0.00010388
BNT/BTC,1586709401100,2020-04-12T16:36:41.100Z,buy,2.6e-05,8.0,0.000208
BNT/BTC,1586709420043,2020-04-12T16:37:00.043Z,buy,2.599e-05,90.0,0.0023391
BNT/BTC,1586709502457,2020-04-12T16:38:22.457Z,buy,2.6e-05,115.0,0.0029899999999999
BNT/BTC,1586709617906,2020-04-12T16:40:17.906Z,buy,2.599e-05,21.0,0.00054579
BNT/BTC,1586709617906,2020-04-12T16:40:17.906Z,buy,2.6e-05,176.0,0.0045759999999999
BNT/BTC,1586709624444,2020-04-12T16:40:24.444Z,buy,2.6e-05,18.0,0.000468
BNT/BTC,1586709673269,2020-04-12T16:41:13.269Z,sell,2.597e-05,17.0,0.00044149
BNT/BTC,1586709800572,2020-04-12T16:43:20.572Z,buy,2.6e-05,115.0,0.0029899999999999
BNT/BTC,1586709897359,2020-04-12T16:44:57.359Z,sell,2.597e-05,5.0,0.00012985
BNT/BTC,1586709925057,2020-04-12T16:45:25.057Z,buy,2.6e-05,196.0,0.005096
BNT/BTC,1586710101104,2020-04-12T16:48:21.104Z,buy,2.6e-05,32.0,0.000832
BNT/BTC,1586710215380,2020-04-12T16:50:15.380Z,sell,2.597e-05,206.0,0.00534982
BNT/BTC,1586710275026,2020-04-12T16:51:15.026Z,buy,2.6e-05,76.0,0.001976
BNT/BTC,1586710635979,2020-04-12T16:57:15.979Z,sell,2.598e-05,8.0,0.00020784
BNT/BTC,1586710635979,2020-04-12T16:57:15.979Z,sell,2.597e-05,4.0,0.00010388
BNT/BTC,1586710635979,2020-04-12T16:57:15.979Z,sell,2.596e-05,1056.0,0.02741376
BNT/BTC,1586710635993,2020-04-12T16:57:15.993Z,sell,2.596e-05,547.0,0.01420012
BNT/BTC,1586710635993,2020-04-12T16:57:15.993Z,sell,2.596e-05,547.0,0.01420012
BNT/BTC,1586710801026,2020-04-12T17:00:01.026Z,sell,2.596e-05,59.0,0.00153164
BNT/BTC,1586710803138,2020-04-12T17:00:03.138Z,sell,2.596e-05,90.0,0.0023363999999999
BNT/BTC,1586710804333,2020-04-12T17:00:04.333Z,sell,2.596e-05,139.0,0.0036084399999999
BNT/BTC,1586710804338,2020-04-12T17:00:04.338Z,sell,2.596e-05,33.0,0.00085668
BNT/BTC,1586710804349,2020-04-12T17:00:04.349Z,sell,2.594e-05,59.0,0.00153046
BNT/BTC,1586710804349,2020-04-12T17:00:04.349Z,sell,2.594e-05,6.0,0.00015564
BNT/BTC,1586710804610,2020-04-12T17:00:04.610Z,buy,2.59e-05,120.0,0.003108
BNT/BTC,1586710804610,2020-04-12T17:00:04.610Z,sell,2.589e-05,66.0,0.00170874
BNT/BTC,1586710804610,2020-04-12T17:00:04.610Z,sell,2.587e-05,1038.0,0.02685306
BNT/BTC,1586710804619,2020-04-12T17:00:04.619Z,buy,2.587e-05,1648.0,0.04263376
BNT/BTC,1586710805559,2020-04-12T17:00:05.559Z,buy,2.594e-05,23.0,0.00059662
BNT/BTC,1586710806689,2020-04-12T17:00:06.689Z,buy,2.595e-05,24.0,0.0006228
BNT/BTC,1586710806689,2020-04-12T17:00:06.689Z,buy,2.596e-05,164.0,0.0042574399999999
BNT/BTC,1586710806689,2020-04-12T17:00:06.689Z,buy,2.6e-05,23.0,0.000598
BNT/BTC,1586710807199,2020-04-12T17:00:07.199Z,buy,2.6e-05,108.0,0.0028079999999999
BNT/BTC,1586711071103,2020-04-12T17:04:31.103Z,buy,2.6e-05,9.0,0.000234
BNT/BTC,1586711071103,2020-04-12T17:04:31.103Z,buy,2.607e-05,3.0,7.821e-05
BNT/BTC,1586711085236,2020-04-12T17:04:45.236Z,buy,2.611e-05,45.0,0.00117495
BNT/BTC,1586711267594,2020-04-12T17:07:47.594Z,sell,2.596e-05,4.0,0.00010384
BNT/BTC,1586711267594,2020-04-12T17:07:47.594Z,sell,2.591e-05,103.0,0.00266873
BNT/BTC,1586711474377,2020-04-12T17:11:14.377Z,sell,2.591e-05,19.0,0.00049229
BNT/BTC,1586711572737,2020-04-12T17:12:52.737Z,sell,2.593e-05,1897.0,0.04918921
BNT/BTC,1586712104876,2020-04-12T17:21:44.876Z,sell,2.593e-05,464.0,0.01203152
BNT/BTC,1586712104878,2020-04-12T17:21:44.878Z,sell,2.591e-05,4.0,0.00010364
BNT/BTC,1586712104878,2020-04-12T17:21:44.878Z,sell,2.59e-05,120.0,0.003108
BNT/BTC,1586712104886,2020-04-12T17:21:44.886Z,sell,2.59e-05,13.0,0.0003367
BNT/BTC,1586712104886,2020-04-12T17:21:44.886Z,sell,2.588e-05,48.0,0.00124224
BNT/BTC,1586712104886,2020-04-12T17:21:44.886Z,sell,2.587e-05,141.0,0.00364767
BNT/BTC,1586712110046,2020-04-12T17:21:50.046Z,buy,2.605e-05,188.0,0.0048974
BNT/BTC,1586712110099,2020-04-12T17:21:50.099Z,sell,2.605e-05,196.0,0.0051058
BNT/BTC,1586712132283,2020-04-12T17:22:12.283Z,buy,2.605e-05,7102.0,0.1850071
BNT/BTC,1586712135512,2020-04-12T17:22:15.512Z,buy,2.608e-05,4506.0,0.11751648
BNT/BTC,1586712138716,2020-04-12T17:22:18.716Z,buy,2.609e-05,815.0,0.02126335
BNT/BTC,1586712238801,2020-04-12T17:23:58.801Z,sell,2.605e-05,3842.0,0.1000841
BNT/BTC,1586712423512,2020-04-12T17:27:03.512Z,sell,2.605e-05,17.0,0.00044285
BNT/BTC,1586712609748,2020-04-12T17:30:09.748Z,buy,2.615e-05,1.0,2.615e-05
BNT/BTC,1586712648914,2020-04-12T17:30:48.914Z,buy,2.612e-05,1.0,2.612e-05
BNT/BTC,1586713026802,2020-04-12T17:37:06.802Z,sell,2.596e-05,54.0,0.00140184
BNT/BTC,1586713026802,2020-04-12T17:37:06.802Z,sell,2.595e-05,163.0,0.00422985
BNT/BTC,1586713040722,2020-04-12T17:37:20.722Z,sell,2.595e-05,23.0,0.00059685
BNT/BTC,1586713053638,2020-04-12T17:37:33.638Z,sell,2.59e-05,40.0,0.001036
BNT/BTC,1586713208601,2020-04-12T17:40:08.601Z,buy,2.607e-05,19.0,0.00049533
BNT/BTC,1586713208703,2020-04-12T17:40:08.703Z,buy,2.61e-05,94.0,0.0024534
BNT/BTC,1586713208797,2020-04-12T17:40:08.797Z,buy,2.611e-05,778.0,0.0203135799999999
BNT/BTC,1586713405891,2020-04-12T17:43:25.891Z,buy,2.615e-05,144.0,0.0037656
BNT/BTC,1586713405942,2020-04-12T17:43:25.942Z,buy,2.615e-05,164.0,0.0042886
BNT/BTC,1586713405976,2020-04-12T17:43:25.976Z,buy,2.615e-05,18.0,0.0004707
BNT/BTC,1586713577151,2020-04-12T17:46:17.151Z,buy,2.611e-05,16.0,0.00041776
BNT/BTC,1586713577151,2020-04-12T17:46:17.151Z,buy,2.612e-05,3.0,7.836e-05
BNT/BTC,1586713750209,2020-04-12T17:49:10.209Z,buy,2.612e-05,1.0,2.612e-05
BNT/BTC,1586714159851,2020-04-12T17:55:59.851Z,sell,2.598e-05,11.0,0.0002857799999999
BNT/BTC,1586714159851,2020-04-12T17:55:59.851Z,sell,2.598e-05,11.0,0.0002857799999999
BNT/BTC,1586714333923,2020-04-12T17:58:53.923Z,buy,2.6e-05,1.0,2.6e-05
BNT/BTC,1586714473254,2020-04-12T18:01:13.254Z,sell,2.587e-05,19.0,0.00049153
BNT/BTC,1586714715810,2020-04-12T18:05:15.810Z,buy,2.595e-05,40.0,0.001038
BNT/BTC,1586715498868,2020-04-12T18:18:18.868Z,sell,2.59e-05,465.0,0.0120435
BNT/BTC,1586715698419,2020-04-12T18:21:38.419Z,sell,2.589e-05,18.0,0.00046602
BNT/BTC,1586715777279,2020-04-12T18:22:57.279Z,buy,2.602e-05,1.0,2.602e-05
BNT/BTC,1586715784372,2020-04-12T18:23:04.372Z,buy,2.593e-05,1.0,2.593e-05
BNT/BTC,1586715836000,2020-04-12T18:23:56.000Z,sell,2.589e-05,4.0,0.00010356
BNT/BTC,1586715840710,2020-04-12T18:24:00.710Z,sell,2.587e-05,24.0,0.00062088
BNT/BTC,1586715873709,2020-04-12T18:24:33.709Z,buy,2.603e-05,19.0,0.00049457
BNT/BTC,1586715925414,2020-04-12T18:25:25.414Z,buy,2.603e-05,15.0,0.00039045
BNT/BTC,1586715925696,2020-04-12T18:25:25.696Z,buy,2.603e-05,163.0,0.00424289
BNT/BTC,1586715970546,2020-04-12T18:26:10.546Z,sell,2.603e-05,163.0,0.00424289
BNT/BTC,1586715979484,2020-04-12T18:26:19.484Z,buy,2.602e-05,163.0,0.00424126
BNT/BTC,1586715998714,2020-04-12T18:26:38.714Z,buy,2.604e-05,182.0,0.00473928
BNT/BTC,1586715998714,2020-04-12T18:26:38.714Z,buy,2.606e-05,216.0,0.00562896
BNT/BTC,1586715999364,2020-04-12T18:26:39.364Z,buy,2.606e-05,19.0,0.00049514
BNT/BTC,1586716253812,2020-04-12T18:30:53.812Z,buy,2.605e-05,23.0,0.00059915
BNT/BTC,1586716253812,2020-04-12T18:30:53.812Z,buy,2.606e-05,32.0,0.00083392
BNT/BTC,1586716253812,2020-04-12T18:30:53.812Z,buy,2.607e-05,945.0,0.02463615
BNT/BTC,1586716269720,2020-04-12T18:31:09.720Z,buy,2.607e-05,55.0,0.00143385
BNT/BTC,1586717378809,2020-04-12T18:49:38.809Z,sell,2.59e-05,43.0,0.0011137
BNT/BTC,1586717378809,2020-04-12T18:49:38.809Z,sell,2.587e-05,3.0,7.761000000000001e-05
BNT/BTC,1586717378809,2020-04-12T18:49:38.809Z,sell,2.586e-05,256.0,0.00662016
BNT/BTC,1586717661309,2020-04-12T18:54:21.309Z,sell,2.586e-05,4.0,0.00010344
BNT/BTC,1586717661748,2020-04-12T18:54:21.748Z,sell,2.585e-05,19.0,0.00049115
BNT/BTC,1586717662070,2020-04-12T18:54:22.070Z,sell,2.585e-05,19.0,0.00049115
BNT/BTC,1586717662070,2020-04-12T18:54:22.070Z,sell,2.585e-05,19.0,0.00049115
BNT/BTC,1586717973181,2020-04-12T18:59:33.181Z,buy,2.594e-05,1.0,2.594e-05
BNT/BTC,1586717973181,2020-04-12T18:59:33.181Z,sell,2.585e-05,654.0,0.0169059
BNT/BTC,1586717973183,2020-04-12T18:59:33.183Z,sell,2.585e-05,440.0,0.011374
BNT/BTC,1586718484239,2020-04-12T19:08:04.239Z,sell,2.587e-05,1234.0,0.03192358
BNT/BTC,1586718484239,2020-04-12T19:08:04.239Z,sell,2.586e-05,2240.0,0.0579264
BNT/BTC,1586718503950,2020-04-12T19:08:23.950Z,sell,2.585e-05,72.0,0.0018612
BNT/BTC,1586718515496,2020-04-12T19:08:35.496Z,sell,2.586e-05,57.0,0.00147402
BNT/BTC,1586719374129,2020-04-12T19:22:54.129Z,buy,2.591e-05,38.0,0.00098458
BNT/BTC,1586719374129,2020-04-12T19:22:54.129Z,buy,2.597e-05,22.0,0.00057134
BNT/BTC,1586720099269,2020-04-12T19:34:59.269Z,buy,2.596e-05,9.0,0.00023364
BNT/BTC,1586720099269,2020-04-12T19:34:59.269Z,buy,2.597e-05,4.0,0.00010388
BNT/BTC,1586720099269,2020-04-12T19:34:59.269Z,buy,2.598e-05,27.0,0.00070146
BNT/BTC,1586720241548,2020-04-12T19:37:21.548Z,sell,2.589e-05,40.0,0.0010356
BNT/BTC,1586720241548,2020-04-12T19:37:21.548Z,sell,2.588e-05,16.0,0.00041408
BNT/BTC,1586720241548,2020-04-12T19:37:21.548Z,sell,2.586e-05,97.0,0.00250842
BNT/BTC,1586720415625,2020-04-12T19:40:15.625Z,buy,2.594e-05,5.0,0.0001297
BNT/BTC,1586720415625,2020-04-12T19:40:15.625Z,buy,2.597e-05,6.0,0.00015582
BNT/BTC,1586720415625,2020-04-12T19:40:15.625Z,buy,2.598e-05,34.0,0.0008833199999999
BNT/BTC,1586720415625,2020-04-12T19:40:15.625Z,buy,2.6e-05,35.0,0.0009099999999999
BNT/BTC,1586720415625,2020-04-12T19:40:15.625Z,buy,2.594e-05,5.0,0.0001297
BNT/BTC,1586720415625,2020-04-12T19:40:15.625Z,buy,2.597e-05,6.0,0.00015582
BNT/BTC,1586720415625,2020-04-12T19:40:15.625Z,buy,2.598e-05,34.0,0.0008833199999999
BNT/BTC,1586720415625,2020-04-12T19:40:15.625Z,buy,2.6e-05,35.0,0.0009099999999999
BNT/BTC,1586722229408,2020-04-12T20:10:29.408Z,sell,2.59e-05,9.0,0.0002331
BNT/BTC,1586722390326,2020-04-12T20:13:10.326Z,buy,2.598e-05,19.0,0.00049362
BNT/BTC,1586722469779,2020-04-12T20:14:29.779Z,buy,2.598e-05,16.0,0.00041568
BNT/BTC,1586722469779,2020-04-12T20:14:29.779Z,buy,2.6e-05,126.0,0.003276
BNT/BTC,1586722959077,2020-04-12T20:22:39.077Z,buy,2.597e-05,1.0,2.597e-05
BNT/BTC,1586723162177,2020-04-12T20:26:02.177Z,buy,2.598e-05,22.0,0.0005715599999999
BNT/BTC,1586723162178,2020-04-12T20:26:02.178Z,buy,2.6e-05,139.0,0.0036139999999999
BNT/BTC,1586723162178,2020-04-12T20:26:02.178Z,buy,2.602e-05,25.0,0.0006505
BNT/BTC,1586723162178,2020-04-12T20:26:02.178Z,buy,2.603e-05,1431.0,0.03724893
BNT/BTC,1586723165934,2020-04-12T20:26:05.934Z,buy,2.611e-05,38.0,0.00099218
BNT/BTC,1586723168483,2020-04-12T20:26:08.483Z,buy,2.611e-05,74.0,0.00193214
BNT/BTC,1586723172886,2020-04-12T20:26:12.886Z,buy,2.611e-05,38.0,0.00099218
BNT/BTC,1586723177216,2020-04-12T20:26:17.216Z,buy,2.611e-05,38.0,0.00099218
BNT/BTC,1586723215936,2020-04-12T20:26:55.936Z,sell,2.596e-05,253.0,0.00656788
BNT/BTC,1586723408787,2020-04-12T20:30:08.787Z,buy,2.611e-05,23.0,0.0006005299999999
BNT/BTC,1586723692524,2020-04-12T20:34:52.524Z,buy,2.611e-05,14.0,0.00036554
BNT/BTC,1586723984814,2020-04-12T20:39:44.814Z,sell,2.596e-05,136.0,0.00353056
BNT/BTC,1586723984814,2020-04-12T20:39:44.814Z,sell,2.595e-05,857.0,0.02223915
BNT/BTC,1586723984814,2020-04-12T20:39:44.814Z,sell,2.594e-05,1007.0,0.02612158
BNT/BTC,1586723984814,2020-04-12T20:39:44.814Z,sell,2.592e-05,69.0,0.0017884799999999
BNT/BTC,1586724015444,2020-04-12T20:40:15.444Z,sell,2.591e-05,847.0,0.02194577
BNT/BTC,1586724015444,2020-04-12T20:40:15.444Z,sell,2.591e-05,847.0,0.02194577
BNT/BTC,1586724034998,2020-04-12T20:40:34.998Z,sell,2.592e-05,275.0,0.007128
BNT/BTC,1586724131568,2020-04-12T20:42:11.568Z,buy,2.594e-05,6.0,0.00015564
BNT/BTC,1586724551155,2020-04-12T20:49:11.155Z,sell,2.591e-05,1457.0,0.03775087
BNT/BTC,1586724679443,2020-04-12T20:51:19.443Z,buy,2.6e-05,54.0,0.0014039999999999
BNT/BTC,1586724680295,2020-04-12T20:51:20.295Z,buy,2.6e-05,270.0,0.0070199999999999
BNT/BTC,1586724690772,2020-04-12T20:51:30.772Z,buy,2.603e-05,37.0,0.00096311
BNT/BTC,1586724804643,2020-04-12T20:53:24.643Z,buy,2.603e-05,1.0,2.603e-05
BNT/BTC,1586725087921,2020-04-12T20:58:07.921Z,sell,2.595e-05,755.0,0.01959225
BNT/BTC,1586725169337,2020-04-12T20:59:29.337Z,sell,2.594e-05,15.0,0.0003890999999999
BNT/BTC,1586725530999,2020-04-12T21:05:30.999Z,buy,2.601e-05,41.0,0.00106641
BNT/BTC,1586725530999,2020-04-12T21:05:30.999Z,buy,2.605e-05,39.0,0.00101595
BNT/BTC,1586725530999,2020-04-12T21:05:30.999Z,buy,2.606e-05,20.0,0.0005212
BNT/BTC,1586726257001,2020-04-12T21:17:37.001Z,buy,2.6e-05,25.0,0.00065
BNT/BTC,1586726257001,2020-04-12T21:17:37.001Z,buy,2.606e-05,4.0,0.00010424
BNT/BTC,1586726257001,2020-04-12T21:17:37.001Z,buy,2.607e-05,1878.0,0.0489594599999999
BNT/BTC,1586726257001,2020-04-12T21:17:37.001Z,buy,2.613e-05,16.0,0.00041808
BNT/BTC,1586726467968,2020-04-12T21:21:07.968Z,sell,2.597e-05,47.0,0.00122059
BNT/BTC,1586726467968,2020-04-12T21:21:07.968Z,sell,2.596e-05,89.0,0.00231044
BNT/BTC,1586726705990,2020-04-12T21:25:05.990Z,sell,2.597e-05,31.0,0.00080507
BNT/BTC,1586726705990,2020-04-12T21:25:05.990Z,sell,2.596e-05,6.0,0.0001557599999999
BNT/BTC,1586727573865,2020-04-12T21:39:33.865Z,buy,2.607e-05,27.0,0.00070389
BNT/BTC,1586727573865,2020-04-12T21:39:33.865Z,buy,2.608e-05,742.0,0.01935136
BNT/BTC,1586727573865,2020-04-12T21:39:33.865Z,buy,2.607e-05,27.0,0.00070389
BNT/BTC,1586727573865,2020-04-12T21:39:33.865Z,buy,2.608e-05,742.0,0.01935136
