symbol,timestamp,datetime,side,price,amount,btc_volume
CND/BTC,1539014434459,2018-10-08T16:00:34.459Z,sell,3.49e-06,542.0,0.00189158
CND/BTC,1539014531306,2018-10-08T16:02:11.306Z,sell,3.49e-06,1408.0,0.00491392
CND/BTC,1539014537116,2018-10-08T16:02:17.116Z,buy,3.5e-06,6.0,2.1e-05
CND/BTC,1539014549465,2018-10-08T16:02:29.465Z,buy,3.5e-06,5714.0,0.019999
CND/BTC,1539014563058,2018-10-08T16:02:43.058Z,buy,3.5e-06,300.0,0.00105
CND/BTC,1539014721277,2018-10-08T16:05:21.277Z,buy,3.5e-06,2.0,7e-06
CND/BTC,1539014745708,2018-10-08T16:05:45.708Z,buy,3.5e-06,12000.0,0.042
CND/BTC,1539014788750,2018-10-08T16:06:28.750Z,sell,3.49e-06,5267.0,0.01838183
CND/BTC,1539014867414,2018-10-08T16:07:47.414Z,sell,3.48e-06,8224.0,0.02861952
CND/BTC,1539014918224,2018-10-08T16:08:38.224Z,sell,3.48e-06,24672.0,0.08585856
CND/BTC,1539014991414,2018-10-08T16:09:51.414Z,sell,3.49e-06,2581.0,0.00900769
CND/BTC,1539015008177,2018-10-08T16:10:08.177Z,buy,3.5e-06,1.0,3.5e-06
CND/BTC,1539015059272,2018-10-08T16:10:59.272Z,buy,3.5e-06,1428.0,0.004998
CND/BTC,1539015070351,2018-10-08T16:11:10.351Z,buy,3.5e-06,3.0,1.05e-05
CND/BTC,1539015096167,2018-10-08T16:11:36.167Z,sell,3.49e-06,6.0,2.094e-05
CND/BTC,1539015107392,2018-10-08T16:11:47.392Z,sell,3.49e-06,1000.0,0.00349
CND/BTC,1539015127432,2018-10-08T16:12:07.432Z,sell,3.49e-06,7239.0,0.02526411
CND/BTC,1539015158425,2018-10-08T16:12:38.425Z,buy,3.49e-06,6856.0,0.02392744
CND/BTC,1539015158862,2018-10-08T16:12:38.862Z,buy,3.5e-06,12128.0,0.042448
CND/BTC,1539015334141,2018-10-08T16:15:34.141Z,buy,3.51e-06,1425.0,0.00500175
CND/BTC,1539015361806,2018-10-08T16:16:01.806Z,buy,3.51e-06,80.0,0.0002808
CND/BTC,1539015376755,2018-10-08T16:16:16.755Z,buy,3.51e-06,1434.0,0.00503334
CND/BTC,1539015420744,2018-10-08T16:17:00.744Z,buy,3.51e-06,2698.0,0.00946998
CND/BTC,1539015439353,2018-10-08T16:17:19.353Z,buy,3.51e-06,22.0,7.722e-05
CND/BTC,1539015442422,2018-10-08T16:17:22.422Z,buy,3.5e-06,7381.0,0.0258335
CND/BTC,1539015479003,2018-10-08T16:17:59.003Z,buy,3.5e-06,1049.0,0.0036715
CND/BTC,1539015553718,2018-10-08T16:19:13.718Z,buy,3.5e-06,21.0,7.35e-05
CND/BTC,1539015575791,2018-10-08T16:19:35.791Z,buy,3.5e-06,5490.0,0.019215
CND/BTC,1539015582202,2018-10-08T16:19:42.202Z,buy,3.5e-06,1.0,3.5e-06
CND/BTC,1539015595900,2018-10-08T16:19:55.900Z,buy,3.5e-06,5714.0,0.019999
CND/BTC,1539015608317,2018-10-08T16:20:08.317Z,buy,3.5e-06,3.0,1.05e-05
CND/BTC,1539015660660,2018-10-08T16:21:00.660Z,buy,3.5e-06,10.0,3.5e-05
CND/BTC,1539015676766,2018-10-08T16:21:16.766Z,buy,3.5e-06,2.0,7e-06
CND/BTC,1539015842164,2018-10-08T16:24:02.164Z,buy,3.5e-06,490.0,0.001715
CND/BTC,1539015846237,2018-10-08T16:24:06.237Z,buy,3.5e-06,434.0,0.001519
CND/BTC,1539015878799,2018-10-08T16:24:38.799Z,sell,3.49e-06,523.0,0.00182527
CND/BTC,1539016076801,2018-10-08T16:27:56.801Z,buy,3.5e-06,7.0,2.45e-05
CND/BTC,1539016290350,2018-10-08T16:31:30.350Z,sell,3.49e-06,3111.0,0.01085739
CND/BTC,1539016304929,2018-10-08T16:31:44.929Z,buy,3.5e-06,711.0,0.0024885
CND/BTC,1539016356040,2018-10-08T16:32:36.040Z,sell,3.49e-06,9000.0,0.03141
CND/BTC,1539016357785,2018-10-08T16:32:37.785Z,sell,3.49e-06,1535.0,0.00535715
CND/BTC,1539016528696,2018-10-08T16:35:28.696Z,sell,3.48e-06,10482.0,0.03647736
CND/BTC,1539016575367,2018-10-08T16:36:15.367Z,sell,3.48e-06,60000.0,0.2088
CND/BTC,1539016584185,2018-10-08T16:36:24.185Z,buy,3.49e-06,300.0,0.001047
CND/BTC,1539016666149,2018-10-08T16:37:46.149Z,sell,3.48e-06,291.0,0.00101268
CND/BTC,1539016717303,2018-10-08T16:38:37.303Z,buy,3.49e-06,1.0,3.49e-06
CND/BTC,1539016826764,2018-10-08T16:40:26.764Z,buy,3.49e-06,300.0,0.001047
CND/BTC,1539016839769,2018-10-08T16:40:39.769Z,buy,3.49e-06,287.0,0.00100163
CND/BTC,1539016854987,2018-10-08T16:40:54.987Z,buy,3.5e-06,11.0,3.85e-05
CND/BTC,1539016855069,2018-10-08T16:40:55.069Z,sell,3.49e-06,434.0,0.00151466
CND/BTC,1539016857449,2018-10-08T16:40:57.449Z,buy,3.5e-06,20222.0,0.0707769999999999
CND/BTC,1539016858076,2018-10-08T16:40:58.076Z,sell,3.5e-06,1848.0,0.006468
CND/BTC,1539016871077,2018-10-08T16:41:11.077Z,sell,3.5e-06,373.0,0.0013055
CND/BTC,1539016905084,2018-10-08T16:41:45.084Z,sell,3.5e-06,10708.0,0.037478
CND/BTC,1539016956081,2018-10-08T16:42:36.081Z,buy,3.51e-06,300.0,0.001053
CND/BTC,1539017060777,2018-10-08T16:44:20.777Z,sell,3.49e-06,139.0,0.00048511
CND/BTC,1539017104640,2018-10-08T16:45:04.640Z,buy,3.5e-06,1215.0,0.0042525
CND/BTC,1539017105184,2018-10-08T16:45:05.184Z,sell,3.5e-06,9615.0,0.0336525
CND/BTC,1539017153955,2018-10-08T16:45:53.955Z,sell,3.49e-06,7609.0,0.02655541
CND/BTC,1539017234227,2018-10-08T16:47:14.227Z,buy,3.51e-06,2849.0,0.00999999
CND/BTC,1539017363710,2018-10-08T16:49:23.710Z,buy,3.51e-06,3247.0,0.01139697
CND/BTC,1539017365218,2018-10-08T16:49:25.218Z,buy,3.5e-06,7978.0,0.027923
CND/BTC,1539017365238,2018-10-08T16:49:25.238Z,buy,3.5e-06,9146.0,0.032011
CND/BTC,1539017490920,2018-10-08T16:51:30.920Z,sell,3.5e-06,4575.0,0.0160125
CND/BTC,1539017490920,2018-10-08T16:51:30.920Z,sell,3.49e-06,19742.0,0.06889958
CND/BTC,1539017501727,2018-10-08T16:51:41.727Z,sell,3.5e-06,2106.0,0.007371
CND/BTC,1539017502159,2018-10-08T16:51:42.159Z,sell,3.5e-06,1678.0,0.005873
CND/BTC,1539017541991,2018-10-08T16:52:21.991Z,sell,3.5e-06,609.0,0.0021315
CND/BTC,1539017626386,2018-10-08T16:53:46.386Z,sell,3.5e-06,34309.0,0.1200815
CND/BTC,1539017783489,2018-10-08T16:56:23.489Z,sell,3.5e-06,5297.0,0.0185395
CND/BTC,1539017928324,2018-10-08T16:58:48.324Z,buy,3.5e-06,1.0,3.5e-06
CND/BTC,1539017928324,2018-10-08T16:58:48.324Z,buy,3.5e-06,1.0,3.5e-06
CND/BTC,1539018011856,2018-10-08T17:00:11.856Z,buy,3.5e-06,857.0,0.0029995
CND/BTC,1539018017964,2018-10-08T17:00:17.964Z,sell,3.49e-06,290.0,0.0010121
CND/BTC,1539018083817,2018-10-08T17:01:23.817Z,sell,3.49e-06,300.0,0.001047
CND/BTC,1539018136733,2018-10-08T17:02:16.733Z,buy,3.5e-06,2658.0,0.009303
CND/BTC,1539018206974,2018-10-08T17:03:26.974Z,sell,3.5e-06,459.0,0.0016065
CND/BTC,1539018230383,2018-10-08T17:03:50.383Z,buy,3.51e-06,569.0,0.00199719
CND/BTC,1539018308907,2018-10-08T17:05:08.907Z,sell,3.5e-06,51065.0,0.1787274999999999
CND/BTC,1539018319296,2018-10-08T17:05:19.296Z,buy,3.5e-06,9868.0,0.034538
CND/BTC,1539018357018,2018-10-08T17:05:57.018Z,sell,3.49e-06,14067.0,0.04909383
CND/BTC,1539018374024,2018-10-08T17:06:14.024Z,buy,3.5e-06,1164.0,0.004074
CND/BTC,1539018374024,2018-10-08T17:06:14.024Z,buy,3.51e-06,30944.0,0.1086134399999999
CND/BTC,1539018378671,2018-10-08T17:06:18.671Z,buy,3.51e-06,855.0,0.00300105
CND/BTC,1539018405869,2018-10-08T17:06:45.869Z,buy,3.51e-06,4619.0,0.01621269
CND/BTC,1539018465459,2018-10-08T17:07:45.459Z,buy,3.51e-06,1.0,3.51e-06
CND/BTC,1539018471497,2018-10-08T17:07:51.497Z,sell,3.49e-06,159760.0,0.5575624
CND/BTC,1539018532003,2018-10-08T17:08:52.003Z,buy,3.51e-06,478.0,0.00167778
CND/BTC,1539018645765,2018-10-08T17:10:45.765Z,buy,3.5e-06,5408.0,0.018928
CND/BTC,1539018748274,2018-10-08T17:12:28.274Z,sell,3.49e-06,5403.0,0.01885647
CND/BTC,1539018758677,2018-10-08T17:12:38.677Z,sell,3.49e-06,17120.0,0.0597488
CND/BTC,1539018781826,2018-10-08T17:13:01.826Z,sell,3.49e-06,5182.0,0.01808518
CND/BTC,1539018802339,2018-10-08T17:13:22.339Z,sell,3.49e-06,5183.0,0.01808867
CND/BTC,1539018807144,2018-10-08T17:13:27.144Z,buy,3.5e-06,1.0,3.5e-06
CND/BTC,1539018822731,2018-10-08T17:13:42.731Z,buy,3.5e-06,1.0,3.5e-06
CND/BTC,1539018829006,2018-10-08T17:13:49.006Z,sell,3.49e-06,2500.0,0.008725
CND/BTC,1539018892372,2018-10-08T17:14:52.372Z,sell,3.49e-06,632.0,0.00220568
CND/BTC,1539018954044,2018-10-08T17:15:54.044Z,sell,3.49e-06,315.0,0.00109935
CND/BTC,1539018971617,2018-10-08T17:16:11.617Z,buy,3.5e-06,1.0,3.5e-06
CND/BTC,1539019011143,2018-10-08T17:16:51.143Z,sell,3.49e-06,3047.0,0.01063403
CND/BTC,1539019089405,2018-10-08T17:18:09.405Z,buy,3.5e-06,47.0,0.0001645
CND/BTC,1539019106231,2018-10-08T17:18:26.231Z,buy,3.5e-06,571.0,0.0019985
CND/BTC,1539019154656,2018-10-08T17:19:14.656Z,buy,3.5e-06,1430.0,0.005005
CND/BTC,1539019160296,2018-10-08T17:19:20.296Z,buy,3.5e-06,11347.0,0.0397145
CND/BTC,1539019203231,2018-10-08T17:20:03.231Z,buy,3.5e-06,44.0,0.000154
CND/BTC,1539019210404,2018-10-08T17:20:10.404Z,buy,3.5e-06,2857.0,0.0099995
CND/BTC,1539019210906,2018-10-08T17:20:10.906Z,buy,3.5e-06,1122.0,0.003927
CND/BTC,1539019269789,2018-10-08T17:21:09.789Z,sell,3.49e-06,491.0,0.00171359
CND/BTC,1539019297203,2018-10-08T17:21:37.203Z,buy,3.5e-06,4.0,1.4e-05
CND/BTC,1539019312265,2018-10-08T17:21:52.265Z,buy,3.5e-06,54288.0,0.190008
CND/BTC,1539019315105,2018-10-08T17:21:55.105Z,sell,3.5e-06,7142.0,0.024997
CND/BTC,1539019315105,2018-10-08T17:21:55.105Z,sell,3.49e-06,15147.0,0.05286303
CND/BTC,1539019319544,2018-10-08T17:21:59.544Z,sell,3.49e-06,7142.0,0.02492558
CND/BTC,1539019587789,2018-10-08T17:26:27.789Z,sell,3.49e-06,3403.0,0.01187647
CND/BTC,1539019587824,2018-10-08T17:26:27.824Z,sell,3.49e-06,343.0,0.00119707
CND/BTC,1539019612132,2018-10-08T17:26:52.132Z,buy,3.49e-06,854.0,0.00298046
CND/BTC,1539019660869,2018-10-08T17:27:40.869Z,sell,3.49e-06,853.0,0.00297697
CND/BTC,1539019866827,2018-10-08T17:31:06.827Z,buy,3.5e-06,1985.0,0.0069475
CND/BTC,1539020021916,2018-10-08T17:33:41.916Z,buy,3.5e-06,2264.0,0.007924
CND/BTC,1539020035343,2018-10-08T17:33:55.343Z,buy,3.49e-06,1499.0,0.00523151
CND/BTC,1539020061792,2018-10-08T17:34:21.792Z,buy,3.49e-06,493.0,0.00172057
CND/BTC,1539020120588,2018-10-08T17:35:20.588Z,buy,3.49e-06,553.0,0.00192997
CND/BTC,1539020389576,2018-10-08T17:39:49.576Z,buy,3.49e-06,1492.0,0.00520708
CND/BTC,1539020427290,2018-10-08T17:40:27.290Z,buy,3.49e-06,1908.0,0.00665892
CND/BTC,1539020442209,2018-10-08T17:40:42.209Z,sell,3.49e-06,7.0,2.443e-05
CND/BTC,1539020548687,2018-10-08T17:42:28.687Z,sell,3.49e-06,5190.0,0.0181131
CND/BTC,1539020580307,2018-10-08T17:43:00.307Z,sell,3.49e-06,375.0,0.00130875
CND/BTC,1539020595602,2018-10-08T17:43:15.602Z,sell,3.49e-06,1018.0,0.00355282
CND/BTC,1539020675917,2018-10-08T17:44:35.917Z,buy,3.5e-06,2393.0,0.0083755
