symbol,timestamp,datetime,side,price,amount,btc_volume
CTXC/BTC,1590163389063,2020-05-22T16:03:09.063Z,sell,9.93e-06,11.0,0.00010923
CTXC/BTC,1590163431807,2020-05-22T16:03:51.807Z,buy,9.95e-06,11.0,0.0001094499999999
CTXC/BTC,1590163511938,2020-05-22T16:05:11.938Z,buy,9.94e-06,1026.0,0.01019844
CTXC/BTC,1590163569979,2020-05-22T16:06:09.979Z,buy,9.95e-06,115.0,0.0011442499999999
CTXC/BTC,1590163569979,2020-05-22T16:06:09.979Z,buy,9.96e-06,51.0,0.00050796
CTXC/BTC,1590163569979,2020-05-22T16:06:09.979Z,buy,9.97e-06,654.0,0.0065203799999999
CTXC/BTC,1590163581064,2020-05-22T16:06:21.064Z,buy,9.97e-06,51.0,0.00050847
CTXC/BTC,1590163664162,2020-05-22T16:07:44.162Z,buy,9.97e-06,11.0,0.00010967
CTXC/BTC,1590163790942,2020-05-22T16:09:50.942Z,buy,9.97e-06,51.0,0.00050847
CTXC/BTC,1590164031750,2020-05-22T16:13:51.750Z,sell,9.95e-06,11.0,0.0001094499999999
CTXC/BTC,1590164067030,2020-05-22T16:14:27.030Z,buy,9.97e-06,51.0,0.00050847
CTXC/BTC,1590164092175,2020-05-22T16:14:52.175Z,buy,9.97e-06,573.0,0.00571281
CTXC/BTC,1590164093193,2020-05-22T16:14:53.193Z,buy,9.97e-06,361.0,0.0035991699999999
CTXC/BTC,1590164100169,2020-05-22T16:15:00.169Z,buy,9.97e-06,502.0,0.0050049399999999
CTXC/BTC,1590164108856,2020-05-22T16:15:08.856Z,buy,9.97e-06,100.0,0.0009969999999999
CTXC/BTC,1590164114235,2020-05-22T16:15:14.235Z,buy,9.97e-06,18.0,0.00017946
CTXC/BTC,1590164224573,2020-05-22T16:17:04.573Z,buy,9.98e-06,107.0,0.00106786
CTXC/BTC,1590164224573,2020-05-22T16:17:04.573Z,buy,9.99e-06,1019.0,0.01017981
CTXC/BTC,1590164224573,2020-05-22T16:17:04.573Z,buy,1e-05,1364.0,0.01364
CTXC/BTC,1590164313701,2020-05-22T16:18:33.701Z,buy,9.99e-06,11.0,0.0001098899999999
CTXC/BTC,1590164315472,2020-05-22T16:18:35.472Z,buy,1e-05,122.0,0.00122
CTXC/BTC,1590164340242,2020-05-22T16:19:00.242Z,buy,1e-05,182.0,0.00182
CTXC/BTC,1590164348429,2020-05-22T16:19:08.429Z,buy,1e-05,148.0,0.00148
CTXC/BTC,1590164376809,2020-05-22T16:19:36.809Z,buy,1e-05,129.0,0.00129
CTXC/BTC,1590164462982,2020-05-22T16:21:02.982Z,buy,1e-05,50.0,0.0005
CTXC/BTC,1590164475815,2020-05-22T16:21:15.815Z,buy,1e-05,2.0,2e-05
CTXC/BTC,1590164475815,2020-05-22T16:21:15.815Z,buy,1.001e-05,137.0,0.00137137
CTXC/BTC,1590164551465,2020-05-22T16:22:31.465Z,buy,1.001e-05,9.0,9.009e-05
CTXC/BTC,1590164551465,2020-05-22T16:22:31.465Z,buy,1.002e-05,11.0,0.00011022
CTXC/BTC,1590164551465,2020-05-22T16:22:31.465Z,buy,1.003e-05,49.0,0.00049147
CTXC/BTC,1590164551465,2020-05-22T16:22:31.465Z,buy,1.006e-05,4931.0,0.04960586
CTXC/BTC,1590164551931,2020-05-22T16:22:31.931Z,buy,1.006e-05,160.0,0.0016096
