symbol,timestamp,datetime,side,price,amount,btc_volume
CVC/BTC,1587657605001,2020-04-23T16:00:05.001Z,sell,2.61e-06,2671.0,0.00697131
CVC/BTC,1587657610445,2020-04-23T16:00:10.445Z,buy,2.62e-06,1066.0,0.00279292
CVC/BTC,1587657625011,2020-04-23T16:00:25.011Z,sell,2.61e-06,271.0,0.00070731
CVC/BTC,1587657668714,2020-04-23T16:01:08.714Z,sell,2.61e-06,39.0,0.00010179
CVC/BTC,1587657738107,2020-04-23T16:02:18.107Z,buy,2.62e-06,14.0,3.668e-05
CVC/BTC,1587657740983,2020-04-23T16:02:20.983Z,buy,2.62e-06,13.0,3.406e-05
CVC/BTC,1587657816994,2020-04-23T16:03:36.994Z,sell,2.6e-06,381.0,0.0009906
CVC/BTC,1587657911454,2020-04-23T16:05:11.454Z,sell,2.61e-06,77.0,0.00020097
CVC/BTC,1587657919152,2020-04-23T16:05:19.152Z,sell,2.61e-06,77.0,0.00020097
CVC/BTC,1587657940958,2020-04-23T16:05:40.958Z,buy,2.61e-06,77.0,0.00020097
CVC/BTC,1587657993814,2020-04-23T16:06:33.814Z,buy,2.62e-06,13.0,3.406e-05
CVC/BTC,1587658575570,2020-04-23T16:16:15.570Z,buy,2.62e-06,112.0,0.00029344
CVC/BTC,1587658576801,2020-04-23T16:16:16.801Z,sell,2.61e-06,111.0,0.00028971
CVC/BTC,1587658714160,2020-04-23T16:18:34.160Z,buy,2.62e-06,194.0,0.00050828
CVC/BTC,1587658857642,2020-04-23T16:20:57.642Z,buy,2.62e-06,3114.0,0.00815868
CVC/BTC,1587658927272,2020-04-23T16:22:07.272Z,sell,2.62e-06,2126.0,0.00557012
CVC/BTC,1587659034663,2020-04-23T16:23:54.663Z,sell,2.61e-06,57.0,0.00014877
CVC/BTC,1587659407110,2020-04-23T16:30:07.110Z,sell,2.61e-06,3500.0,0.009135
CVC/BTC,1587659409288,2020-04-23T16:30:09.288Z,sell,2.61e-06,5032.0,0.01313352
CVC/BTC,1587659451991,2020-04-23T16:30:51.991Z,sell,2.61e-06,3000.0,0.00783
CVC/BTC,1587659839032,2020-04-23T16:37:19.032Z,sell,2.61e-06,77.0,0.00020097
CVC/BTC,1587659839032,2020-04-23T16:37:19.032Z,sell,2.6e-06,65.0,0.000169
CVC/BTC,1587660013343,2020-04-23T16:40:13.343Z,sell,2.6e-06,324.0,0.0008424
CVC/BTC,1587660044411,2020-04-23T16:40:44.411Z,buy,2.62e-06,348.0,0.00091176
CVC/BTC,1587660044411,2020-04-23T16:40:44.411Z,buy,2.63e-06,12052.0,0.03169676
CVC/BTC,1587660116792,2020-04-23T16:41:56.792Z,sell,2.61e-06,7205.0,0.01880505
CVC/BTC,1587660116792,2020-04-23T16:41:56.792Z,sell,2.6e-06,6869.0,0.0178594
CVC/BTC,1587660120602,2020-04-23T16:42:00.602Z,buy,2.62e-06,193.0,0.00050566
CVC/BTC,1587660146642,2020-04-23T16:42:26.642Z,buy,2.62e-06,279.0,0.00073098
CVC/BTC,1587660315087,2020-04-23T16:45:15.087Z,buy,2.62e-06,567.0,0.00148554
CVC/BTC,1587660377257,2020-04-23T16:46:17.257Z,buy,2.62e-06,54423.0,0.14258826
CVC/BTC,1587660377257,2020-04-23T16:46:17.257Z,buy,2.63e-06,44672.0,0.1174873599999999
CVC/BTC,1587660377257,2020-04-23T16:46:17.257Z,buy,2.64e-06,86729.0,0.22896456
CVC/BTC,1587660377269,2020-04-23T16:46:17.269Z,sell,2.64e-06,63788.0,0.16840032
