symbol,timestamp,datetime,side,price,amount,btc_volume
DGD/BTC,1514491229490,2017-12-28T20:00:29.490Z,sell,0.01147,0.3,0.0034409999999999
DGD/BTC,1514491264736,2017-12-28T20:01:04.736Z,sell,0.01147,0.3,0.0034409999999999
DGD/BTC,1514491316452,2017-12-28T20:01:56.452Z,buy,0.011506,0.352,0.004050112
DGD/BTC,1514491324392,2017-12-28T20:02:04.392Z,sell,0.011471,0.359,0.004118089
DGD/BTC,1514491352935,2017-12-28T20:02:32.935Z,buy,0.011523,1.769,0.0203841869999999
DGD/BTC,1514491352962,2017-12-28T20:02:32.962Z,sell,0.011471,0.687,0.007880577
DGD/BTC,1514491353013,2017-12-28T20:02:33.013Z,sell,0.011471,0.777,0.008912967
DGD/BTC,1514491372590,2017-12-28T20:02:52.590Z,buy,0.011522,2.514,0.0289663079999999
DGD/BTC,1514491372609,2017-12-28T20:02:52.609Z,sell,0.011471,0.892,0.010232132
DGD/BTC,1514491420808,2017-12-28T20:03:40.808Z,buy,0.011521,0.547,0.006301987
DGD/BTC,1514491421047,2017-12-28T20:03:41.047Z,sell,0.011471,0.089,0.001020919
DGD/BTC,1514491421098,2017-12-28T20:03:41.098Z,sell,0.011471,0.479,0.005494609
DGD/BTC,1514491440061,2017-12-28T20:04:00.061Z,buy,0.011521,1.836,0.021152556
DGD/BTC,1514491440074,2017-12-28T20:04:00.074Z,sell,0.011471,0.533,0.006114043
DGD/BTC,1514491440084,2017-12-28T20:04:00.084Z,sell,0.011471,0.937,0.010748327
DGD/BTC,1514491456784,2017-12-28T20:04:16.784Z,buy,0.011521,2.632,0.030323272
DGD/BTC,1514491456795,2017-12-28T20:04:16.795Z,sell,0.011471,0.089,0.001020919
DGD/BTC,1514491456816,2017-12-28T20:04:16.816Z,sell,0.011471,0.89,0.01020919
DGD/BTC,1514491469053,2017-12-28T20:04:29.053Z,buy,0.011519,0.691,0.007959629
DGD/BTC,1514491469067,2017-12-28T20:04:29.067Z,sell,0.011471,0.237,0.002718627
DGD/BTC,1514491494931,2017-12-28T20:04:54.931Z,buy,0.011516,0.92,0.01059472
DGD/BTC,1514491494947,2017-12-28T20:04:54.947Z,sell,0.011471,0.325,0.003728075
DGD/BTC,1514491518751,2017-12-28T20:05:18.751Z,buy,0.011516,1.884,0.021696144
DGD/BTC,1514491518775,2017-12-28T20:05:18.775Z,sell,0.011471,0.645,0.007398795
DGD/BTC,1514491518809,2017-12-28T20:05:18.809Z,sell,0.011471,0.779,0.008935909
DGD/BTC,1514491556253,2017-12-28T20:05:56.253Z,sell,0.011471,0.234,0.002684214
DGD/BTC,1514491578766,2017-12-28T20:06:18.766Z,sell,0.011471,0.475,0.005448725
DGD/BTC,1514491595143,2017-12-28T20:06:35.143Z,sell,0.01147,0.332,0.00380804
DGD/BTC,1514491608428,2017-12-28T20:06:48.428Z,sell,0.011365,0.33,0.00375045
DGD/BTC,1514491614426,2017-12-28T20:06:54.426Z,sell,0.01135,0.281,0.00318935
DGD/BTC,1514491615555,2017-12-28T20:06:55.555Z,sell,0.01135,0.446,0.0050621
DGD/BTC,1514491625494,2017-12-28T20:07:05.494Z,buy,0.011451,0.182,0.0020840819999999
DGD/BTC,1514491625518,2017-12-28T20:07:05.518Z,sell,0.01135,0.116,0.0013166
DGD/BTC,1514491655818,2017-12-28T20:07:35.818Z,sell,0.011353,0.155,0.001759715
DGD/BTC,1514491705246,2017-12-28T20:08:25.246Z,sell,0.011363,0.254,0.002886202
DGD/BTC,1514491705311,2017-12-28T20:08:25.311Z,sell,0.011363,0.193,0.002193059
DGD/BTC,1514491807700,2017-12-28T20:10:07.700Z,sell,0.011385,0.967,0.0110092949999999
DGD/BTC,1514491888578,2017-12-28T20:11:28.578Z,buy,0.011464,2.298,0.026344272
DGD/BTC,1514491888600,2017-12-28T20:11:28.600Z,sell,0.011401,1.149,0.0130997489999999
DGD/BTC,1514491937022,2017-12-28T20:12:17.022Z,sell,0.011406,0.216,0.002463696
DGD/BTC,1514491937049,2017-12-28T20:12:17.049Z,sell,0.011406,0.796,0.009079176
DGD/BTC,1514491951948,2017-12-28T20:12:31.948Z,buy,0.011465,0.961,0.011017865
DGD/BTC,1514491951964,2017-12-28T20:12:31.964Z,sell,0.011406,1.274,0.0145312439999999
DGD/BTC,1514491951985,2017-12-28T20:12:31.985Z,sell,0.011406,0.695,0.0079271699999999
DGD/BTC,1514492032217,2017-12-28T20:13:52.217Z,sell,0.011407,0.657,0.007494399
DGD/BTC,1514492057045,2017-12-28T20:14:17.045Z,buy,0.011505,0.2,0.002301
DGD/BTC,1514492094067,2017-12-28T20:14:54.067Z,buy,0.011449,0.373,0.004270477
DGD/BTC,1514492094091,2017-12-28T20:14:54.091Z,sell,0.011407,0.304,0.003467728
DGD/BTC,1514492115181,2017-12-28T20:15:15.181Z,buy,0.011485,0.6,0.006891
