symbol,timestamp,datetime,side,price,amount,btc_volume
DLT/BTC,1562173206551,2019-07-03T17:00:06.551Z,buy,8.09e-06,2210.0,0.0178789
DLT/BTC,1562173210417,2019-07-03T17:00:10.417Z,buy,8.09e-06,1236.0,0.00999924
DLT/BTC,1562173211529,2019-07-03T17:00:11.529Z,buy,8.09e-06,1236.0,0.00999924
DLT/BTC,1562173212544,2019-07-03T17:00:12.544Z,buy,8.09e-06,1236.0,0.00999924
DLT/BTC,1562173213599,2019-07-03T17:00:13.599Z,buy,8.09e-06,3244.0,0.02624396
DLT/BTC,1562173249273,2019-07-03T17:00:49.273Z,buy,8.09e-06,355.0,0.00287195
DLT/BTC,1562173249273,2019-07-03T17:00:49.273Z,buy,8.1e-06,87.0,0.0007047
DLT/BTC,1562173265101,2019-07-03T17:01:05.101Z,buy,8.1e-06,4358.0,0.0352998
DLT/BTC,1562173270948,2019-07-03T17:01:10.948Z,buy,8.1e-06,160.0,0.001296
DLT/BTC,1562173270979,2019-07-03T17:01:10.979Z,buy,8.11e-06,703.0,0.00570133
DLT/BTC,1562173273452,2019-07-03T17:01:13.452Z,sell,8.1e-06,1881.0,0.0152361
DLT/BTC,1562173843632,2019-07-03T17:10:43.632Z,sell,8.1e-06,210.0,0.001701
DLT/BTC,1562174015913,2019-07-03T17:13:35.913Z,sell,8.08e-06,2250.0,0.01818
DLT/BTC,1562174015913,2019-07-03T17:13:35.913Z,sell,8.05e-06,1461.0,0.0117610499999999
DLT/BTC,1562174015913,2019-07-03T17:13:35.913Z,sell,8.04e-06,11138.0,0.08954952
DLT/BTC,1562174040685,2019-07-03T17:14:00.685Z,buy,8.07e-06,191.0,0.00154137
DLT/BTC,1562174306294,2019-07-03T17:18:26.294Z,buy,8.1e-06,183.0,0.0014823
DLT/BTC,1562174319414,2019-07-03T17:18:39.414Z,sell,8.07e-06,95.0,0.00076665
DLT/BTC,1562174335785,2019-07-03T17:18:55.785Z,sell,8.04e-06,442.0,0.0035536799999999
DLT/BTC,1562174450343,2019-07-03T17:20:50.343Z,sell,8.04e-06,1915.0,0.0153965999999999
DLT/BTC,1562174459813,2019-07-03T17:20:59.813Z,sell,8.04e-06,445.0,0.0035777999999999
DLT/BTC,1562174702440,2019-07-03T17:25:02.440Z,sell,8.04e-06,170.0,0.0013667999999999
DLT/BTC,1562174715963,2019-07-03T17:25:15.963Z,sell,8.04e-06,460.0,0.0036983999999999
DLT/BTC,1562174975805,2019-07-03T17:29:35.805Z,buy,8.07e-06,247.0,0.00199329
DLT/BTC,1562174983303,2019-07-03T17:29:43.303Z,buy,8.07e-06,248.0,0.00200136
DLT/BTC,1562175009553,2019-07-03T17:30:09.553Z,buy,8.07e-06,169.0,0.00136383
DLT/BTC,1562175143431,2019-07-03T17:32:23.431Z,sell,8.05e-06,409.0,0.0032924499999999
DLT/BTC,1562175198340,2019-07-03T17:33:18.340Z,sell,8.05e-06,169.0,0.0013604499999999
DLT/BTC,1562175293574,2019-07-03T17:34:53.574Z,sell,8.06e-06,4029.0,0.03247374
DLT/BTC,1562175293685,2019-07-03T17:34:53.685Z,sell,8.05e-06,122.0,0.0009820999999999
DLT/BTC,1562175306943,2019-07-03T17:35:06.943Z,sell,8.04e-06,4071.0,0.03273084
DLT/BTC,1562175307385,2019-07-03T17:35:07.385Z,buy,8.05e-06,21745.0,0.17504725
DLT/BTC,1562175316700,2019-07-03T17:35:16.700Z,buy,8.06e-06,41.0,0.00033046
DLT/BTC,1562175316700,2019-07-03T17:35:16.700Z,buy,8.1e-06,96.0,0.0007776
DLT/BTC,1562175417123,2019-07-03T17:36:57.123Z,sell,8.05e-06,3597.0,0.0289558499999999
DLT/BTC,1562175525526,2019-07-03T17:38:45.526Z,sell,8.04e-06,11223.0,0.09023292
DLT/BTC,1562175673435,2019-07-03T17:41:13.435Z,sell,8.03e-06,1007.0,0.00808621
DLT/BTC,1562175739140,2019-07-03T17:42:19.140Z,sell,8.03e-06,184.0,0.00147752
DLT/BTC,1562175937572,2019-07-03T17:45:37.572Z,buy,8.07e-06,3198.0,0.02580786
DLT/BTC,1562175971432,2019-07-03T17:46:11.432Z,buy,8.1e-06,460.0,0.003726
DLT/BTC,1562175976446,2019-07-03T17:46:16.446Z,buy,8.1e-06,14071.0,0.1139751
DLT/BTC,1562176015576,2019-07-03T17:46:55.576Z,buy,8.1e-06,181.0,0.0014661
DLT/BTC,1562176068165,2019-07-03T17:47:48.165Z,buy,8.1e-06,3550.0,0.028755
DLT/BTC,1562176094177,2019-07-03T17:48:14.177Z,buy,8.11e-06,699.0,0.00566889
DLT/BTC,1562176105139,2019-07-03T17:48:25.139Z,buy,8.13e-06,2566.0,0.02086158
DLT/BTC,1562176107455,2019-07-03T17:48:27.455Z,buy,8.13e-06,7914.0,0.06434082
DLT/BTC,1562176107679,2019-07-03T17:48:27.679Z,buy,8.13e-06,4475.0,0.03638175
DLT/BTC,1562176119312,2019-07-03T17:48:39.312Z,buy,8.14e-06,123.0,0.00100122
DLT/BTC,1562176121485,2019-07-03T17:48:41.485Z,buy,8.15e-06,4434.0,0.0361371
DLT/BTC,1562176123836,2019-07-03T17:48:43.836Z,buy,8.15e-06,2979.0,0.02427885
DLT/BTC,1562176125983,2019-07-03T17:48:45.983Z,buy,8.15e-06,2997.0,0.02442555
DLT/BTC,1562176148069,2019-07-03T17:49:08.069Z,buy,8.15e-06,3643.0,0.02969045
DLT/BTC,1562176159189,2019-07-03T17:49:19.189Z,buy,8.15e-06,2298.0,0.0187287
DLT/BTC,1562176167729,2019-07-03T17:49:27.729Z,buy,8.16e-06,8623.0,0.07036368
DLT/BTC,1562176169351,2019-07-03T17:49:29.351Z,buy,8.16e-06,166.0,0.0013545599999999
DLT/BTC,1562176171944,2019-07-03T17:49:31.944Z,buy,8.16e-06,5415.0,0.0441864
DLT/BTC,1562176172483,2019-07-03T17:49:32.483Z,buy,8.16e-06,11937.0,0.09740592
DLT/BTC,1562176179365,2019-07-03T17:49:39.365Z,buy,8.16e-06,5418.0,0.04421088
DLT/BTC,1562176179365,2019-07-03T17:49:39.365Z,buy,8.2e-06,282.0,0.0023124
DLT/BTC,1562176191927,2019-07-03T17:49:51.927Z,buy,8.2e-06,5327.0,0.0436813999999999
DLT/BTC,1562176191964,2019-07-03T17:49:51.964Z,sell,8.2e-06,1533.0,0.0125706
DLT/BTC,1562176191971,2019-07-03T17:49:51.971Z,sell,8.2e-06,3492.0,0.0286343999999999
DLT/BTC,1562176191993,2019-07-03T17:49:51.993Z,sell,8.2e-06,1775.0,0.0145549999999999
DLT/BTC,1562176195285,2019-07-03T17:49:55.285Z,sell,8.2e-06,4913.0,0.0402866
DLT/BTC,1562176196475,2019-07-03T17:49:56.475Z,buy,8.22e-06,1859.0,0.0152809799999999
DLT/BTC,1562176202620,2019-07-03T17:50:02.620Z,buy,8.21e-06,700.0,0.0057469999999999
DLT/BTC,1562176202620,2019-07-03T17:50:02.620Z,buy,8.22e-06,926.0,0.0076117199999999
DLT/BTC,1562176202620,2019-07-03T17:50:02.620Z,buy,8.23e-06,4352.0,0.03581696
DLT/BTC,1562176205663,2019-07-03T17:50:05.663Z,sell,8.22e-06,1405.0,0.0115491
DLT/BTC,1562176205769,2019-07-03T17:50:05.769Z,buy,8.23e-06,347.0,0.00285581
DLT/BTC,1562176209844,2019-07-03T17:50:09.844Z,buy,8.23e-06,682.0,0.00561286
DLT/BTC,1562176211030,2019-07-03T17:50:11.030Z,buy,8.23e-06,7386.0,0.06078678
DLT/BTC,1562176218793,2019-07-03T17:50:18.793Z,buy,8.25e-06,647.0,0.00533775
DLT/BTC,1562176219712,2019-07-03T17:50:19.712Z,buy,8.25e-06,1367.0,0.01127775
DLT/BTC,1562176223670,2019-07-03T17:50:23.670Z,buy,8.25e-06,1662.0,0.0137115
DLT/BTC,1562176229483,2019-07-03T17:50:29.483Z,buy,8.25e-06,6696.0,0.055242
DLT/BTC,1562176237418,2019-07-03T17:50:37.418Z,buy,8.25e-06,5399.0,0.04454175
DLT/BTC,1562176241665,2019-07-03T17:50:41.665Z,sell,8.25e-06,286.0,0.0023595
DLT/BTC,1562176241665,2019-07-03T17:50:41.665Z,sell,8.23e-06,1186.0,0.00976078
DLT/BTC,1562176251243,2019-07-03T17:50:51.243Z,buy,8.26e-06,19105.0,0.1578073
DLT/BTC,1562176251243,2019-07-03T17:50:51.243Z,buy,8.27e-06,15235.0,0.12599345
DLT/BTC,1562176251243,2019-07-03T17:50:51.243Z,buy,8.28e-06,15804.0,0.13085712
DLT/BTC,1562176251243,2019-07-03T17:50:51.243Z,buy,8.29e-06,27033.0,0.22410357
DLT/BTC,1562176251270,2019-07-03T17:50:51.270Z,sell,8.29e-06,739.0,0.00612631
DLT/BTC,1562176251281,2019-07-03T17:50:51.281Z,sell,8.29e-06,171.0,0.00141759
DLT/BTC,1562176251285,2019-07-03T17:50:51.285Z,sell,8.29e-06,1478.0,0.01225262
DLT/BTC,1562176251289,2019-07-03T17:50:51.289Z,sell,8.29e-06,3264.0,0.02705856
DLT/BTC,1562176251293,2019-07-03T17:50:51.293Z,sell,8.29e-06,740.0,0.0061346
DLT/BTC,1562176251316,2019-07-03T17:50:51.316Z,sell,8.3e-06,476.0,0.0039508
DLT/BTC,1562176251336,2019-07-03T17:50:51.336Z,sell,8.3e-06,211.0,0.0017513
DLT/BTC,1562176251336,2019-07-03T17:50:51.336Z,sell,8.29e-06,184.0,0.00152536
DLT/BTC,1562176251992,2019-07-03T17:50:51.992Z,buy,8.33e-06,400.0,0.003332
DLT/BTC,1562176251992,2019-07-03T17:50:51.992Z,buy,8.34e-06,687.0,0.00572958
DLT/BTC,1562176251992,2019-07-03T17:50:51.992Z,buy,8.35e-06,2256.0,0.0188376
DLT/BTC,1562176254330,2019-07-03T17:50:54.330Z,sell,8.33e-06,1988.0,0.0165600399999999
DLT/BTC,1562176254559,2019-07-03T17:50:54.559Z,sell,8.32e-06,1633.0,0.01358656
DLT/BTC,1562176254570,2019-07-03T17:50:54.570Z,sell,8.32e-06,711.0,0.00591552
DLT/BTC,1562176255083,2019-07-03T17:50:55.083Z,buy,8.33e-06,1988.0,0.0165600399999999
DLT/BTC,1562176255367,2019-07-03T17:50:55.367Z,buy,8.35e-06,126.0,0.0010521
DLT/BTC,1562176255367,2019-07-03T17:50:55.367Z,buy,8.36e-06,14.0,0.0001170399999999
DLT/BTC,1562176256203,2019-07-03T17:50:56.203Z,buy,8.35e-06,131.0,0.00109385
DLT/BTC,1562176256203,2019-07-03T17:50:56.203Z,buy,8.36e-06,12914.0,0.10796104
DLT/BTC,1562176256203,2019-07-03T17:50:56.203Z,buy,8.37e-06,10751.0,0.08998587
DLT/BTC,1562176256325,2019-07-03T17:50:56.325Z,buy,8.37e-06,2748.0,0.02300076
DLT/BTC,1562176257747,2019-07-03T17:50:57.747Z,buy,8.38e-06,4297.0,0.03600886
DLT/BTC,1562176258468,2019-07-03T17:50:58.468Z,buy,8.38e-06,35.0,0.0002933
DLT/BTC,1562176258468,2019-07-03T17:50:58.468Z,buy,8.39e-06,3894.0,0.03267066
DLT/BTC,1562176259693,2019-07-03T17:50:59.693Z,sell,8.37e-06,418.0,0.00349866
DLT/BTC,1562176260584,2019-07-03T17:51:00.584Z,buy,8.39e-06,336.0,0.0028190399999999
DLT/BTC,1562176260690,2019-07-03T17:51:00.690Z,sell,8.39e-06,3373.0,0.0282994699999999
DLT/BTC,1562176260788,2019-07-03T17:51:00.788Z,sell,8.39e-06,3655.0,0.0306654499999999
DLT/BTC,1562176260788,2019-07-03T17:51:00.788Z,sell,8.38e-06,880.0,0.0073744
DLT/BTC,1562176260993,2019-07-03T17:51:00.993Z,buy,8.4e-06,1718.0,0.0144311999999999
DLT/BTC,1562176262887,2019-07-03T17:51:02.887Z,buy,8.43e-06,1266.0,0.01067238
DLT/BTC,1562176262887,2019-07-03T17:51:02.887Z,buy,8.44e-06,857.0,0.00723308
DLT/BTC,1562176264131,2019-07-03T17:51:04.131Z,buy,8.44e-06,557.0,0.00470108
DLT/BTC,1562176264131,2019-07-03T17:51:04.131Z,buy,8.45e-06,6950.0,0.0587275
DLT/BTC,1562176264178,2019-07-03T17:51:04.178Z,sell,8.45e-06,287.0,0.00242515
DLT/BTC,1562176264180,2019-07-03T17:51:04.180Z,sell,8.45e-06,326.0,0.0027547
DLT/BTC,1562176264185,2019-07-03T17:51:04.185Z,sell,8.45e-06,989.0,0.00835705
DLT/BTC,1562176264265,2019-07-03T17:51:04.265Z,sell,8.45e-06,5033.0,0.04252885
DLT/BTC,1562176264265,2019-07-03T17:51:04.265Z,sell,8.42e-06,308.0,0.00259336
DLT/BTC,1562176264791,2019-07-03T17:51:04.791Z,buy,8.46e-06,1362.0,0.01152252
DLT/BTC,1562176264821,2019-07-03T17:51:04.821Z,sell,8.47e-06,1067.0,0.00903749
DLT/BTC,1562176265260,2019-07-03T17:51:05.260Z,sell,8.47e-06,826.0,0.00699622
DLT/BTC,1562176266511,2019-07-03T17:51:06.511Z,buy,8.48e-06,4579.0,0.03882992
DLT/BTC,1562176266511,2019-07-03T17:51:06.511Z,buy,8.49e-06,3974.0,0.03373926
DLT/BTC,1562176266511,2019-07-03T17:51:06.511Z,buy,8.51e-06,19350.0,0.1646685
DLT/BTC,1562176266511,2019-07-03T17:51:06.511Z,buy,8.52e-06,23107.0,0.19687164
DLT/BTC,1562176266511,2019-07-03T17:51:06.511Z,buy,8.53e-06,24553.0,0.20943709
DLT/BTC,1562176269660,2019-07-03T17:51:09.660Z,sell,8.51e-06,1236.0,0.01051836
DLT/BTC,1562176269903,2019-07-03T17:51:09.903Z,buy,8.53e-06,236.0,0.00201308
DLT/BTC,1562176270547,2019-07-03T17:51:10.547Z,sell,8.52e-06,1236.0,0.01053072
DLT/BTC,1562176270663,2019-07-03T17:51:10.663Z,sell,8.52e-06,707.0,0.00602364
DLT/BTC,1562176270663,2019-07-03T17:51:10.663Z,sell,8.51e-06,137.0,0.00116587
DLT/BTC,1562176271178,2019-07-03T17:51:11.178Z,buy,8.53e-06,2116.0,0.01804948
DLT/BTC,1562176271178,2019-07-03T17:51:11.178Z,buy,8.54e-06,504.0,0.00430416
DLT/BTC,1562176271213,2019-07-03T17:51:11.213Z,sell,8.54e-06,392.0,0.00334768
DLT/BTC,1562176271281,2019-07-03T17:51:11.281Z,sell,8.54e-06,327.0,0.00279258
DLT/BTC,1562176271478,2019-07-03T17:51:11.478Z,sell,8.54e-06,2505.0,0.0213927
DLT/BTC,1562176271511,2019-07-03T17:51:11.511Z,buy,8.5e-06,750.0,0.006375
DLT/BTC,1562176271511,2019-07-03T17:51:11.511Z,buy,8.55e-06,667.0,0.00570285
DLT/BTC,1562176271511,2019-07-03T17:51:11.511Z,buy,8.56e-06,266.0,0.0022769599999999
DLT/BTC,1562176271536,2019-07-03T17:51:11.536Z,sell,8.56e-06,594.0,0.00508464
DLT/BTC,1562176271543,2019-07-03T17:51:11.543Z,sell,8.56e-06,1236.0,0.01058016
DLT/BTC,1562176272280,2019-07-03T17:51:12.280Z,sell,8.56e-06,363.0,0.0031072799999999
DLT/BTC,1562176272949,2019-07-03T17:51:12.949Z,sell,8.56e-06,394.0,0.0033726399999999
DLT/BTC,1562176274574,2019-07-03T17:51:14.574Z,buy,8.57e-06,483.0,0.0041393099999999
DLT/BTC,1562176276409,2019-07-03T17:51:16.409Z,buy,8.54e-06,140.0,0.0011956
DLT/BTC,1562176276409,2019-07-03T17:51:16.409Z,buy,8.55e-06,1147.0,0.0098068499999999
DLT/BTC,1562176277902,2019-07-03T17:51:17.902Z,sell,8.53e-06,219.0,0.0018680699999999
DLT/BTC,1562176277902,2019-07-03T17:51:17.902Z,sell,8.48e-06,962.0,0.00815776
DLT/BTC,1562176277902,2019-07-03T17:51:17.902Z,sell,8.47e-06,2707.0,0.02292829
DLT/BTC,1562176277902,2019-07-03T17:51:17.902Z,sell,8.46e-06,41.0,0.00034686
DLT/BTC,1562176280418,2019-07-03T17:51:20.418Z,buy,8.53e-06,962.0,0.0082058599999999
DLT/BTC,1562176280418,2019-07-03T17:51:20.418Z,buy,8.54e-06,186.0,0.00158844
DLT/BTC,1562176281814,2019-07-03T17:51:21.814Z,sell,8.48e-06,685.0,0.0058088
DLT/BTC,1562176281814,2019-07-03T17:51:21.814Z,sell,8.47e-06,6468.0,0.05478396
DLT/BTC,1562176284340,2019-07-03T17:51:24.340Z,buy,8.48e-06,9564.0,0.08110272
DLT/BTC,1562176285721,2019-07-03T17:51:25.721Z,sell,8.52e-06,672.0,0.00572544
DLT/BTC,1562176287012,2019-07-03T17:51:27.012Z,buy,8.53e-06,1770.0,0.0150981
DLT/BTC,1562176287333,2019-07-03T17:51:27.333Z,buy,8.54e-06,495.0,0.0042273
DLT/BTC,1562176287333,2019-07-03T17:51:27.333Z,buy,8.55e-06,6327.0,0.0540958499999999
DLT/BTC,1562176287333,2019-07-03T17:51:27.333Z,buy,8.56e-06,10132.0,0.0867299199999999
DLT/BTC,1562176290071,2019-07-03T17:51:30.071Z,buy,8.58e-06,1054.0,0.0090433199999999
DLT/BTC,1562176290085,2019-07-03T17:51:30.085Z,sell,8.57e-06,162.0,0.0013883399999999
DLT/BTC,1562176290185,2019-07-03T17:51:30.185Z,buy,8.58e-06,5901.0,0.0506305799999999
DLT/BTC,1562176290700,2019-07-03T17:51:30.700Z,buy,8.58e-06,1038.0,0.0089060399999999
DLT/BTC,1562176290876,2019-07-03T17:51:30.876Z,buy,8.58e-06,3307.0,0.0283740599999999
DLT/BTC,1562176291015,2019-07-03T17:51:31.015Z,buy,8.59e-06,3641.0,0.03127619
DLT/BTC,1562176291015,2019-07-03T17:51:31.015Z,buy,8.61e-06,6731.0,0.05795391
DLT/BTC,1562176291015,2019-07-03T17:51:31.015Z,buy,8.62e-06,1011.0,0.00871482
DLT/BTC,1562176292061,2019-07-03T17:51:32.061Z,sell,8.61e-06,4293.0,0.03696273
DLT/BTC,1562176292371,2019-07-03T17:51:32.371Z,sell,8.61e-06,4292.0,0.03695412
DLT/BTC,1562176293460,2019-07-03T17:51:33.460Z,sell,8.61e-06,2594.0,0.02233434
DLT/BTC,1562176294018,2019-07-03T17:51:34.018Z,buy,8.62e-06,1099.0,0.00947338
DLT/BTC,1562176294270,2019-07-03T17:51:34.270Z,sell,8.61e-06,2596.0,0.02235156
DLT/BTC,1562176294423,2019-07-03T17:51:34.423Z,buy,8.63e-06,2062.0,0.01779506
DLT/BTC,1562176295329,2019-07-03T17:51:35.329Z,sell,8.61e-06,559.0,0.00481299
DLT/BTC,1562176295948,2019-07-03T17:51:35.948Z,buy,8.63e-06,881.0,0.00760303
DLT/BTC,1562176296017,2019-07-03T17:51:36.017Z,buy,8.61e-06,503.0,0.00433083
DLT/BTC,1562176297909,2019-07-03T17:51:37.909Z,buy,8.63e-06,1036.0,0.00894068
DLT/BTC,1562176297935,2019-07-03T17:51:37.935Z,sell,8.58e-06,765.0,0.0065637
DLT/BTC,1562176297935,2019-07-03T17:51:37.935Z,sell,8.57e-06,2220.0,0.0190253999999999
DLT/BTC,1562176299613,2019-07-03T17:51:39.613Z,sell,8.57e-06,241.0,0.00206537
DLT/BTC,1562176299724,2019-07-03T17:51:39.724Z,buy,8.6e-06,1286.0,0.0110596
DLT/BTC,1562176300454,2019-07-03T17:51:40.454Z,buy,8.59e-06,1512.0,0.01298808
