symbol,timestamp,datetime,side,price,amount,btc_volume
ELF/BTC,1594573270263,2020-07-12T17:01:10.263Z,sell,1.079e-05,10.0,0.0001079
ELF/BTC,1594573270263,2020-07-12T17:01:10.263Z,sell,1.078e-05,667.0,0.00719026
ELF/BTC,1594573747270,2020-07-12T17:09:07.270Z,sell,1.078e-05,230.0,0.0024794
ELF/BTC,1594573853214,2020-07-12T17:10:53.214Z,sell,1.078e-05,20.0,0.0002156
ELF/BTC,1594574421018,2020-07-12T17:20:21.018Z,sell,1.078e-05,250.0,0.002695
ELF/BTC,1594574421018,2020-07-12T17:20:21.018Z,sell,1.077e-05,241.0,0.00259557
ELF/BTC,1594574421018,2020-07-12T17:20:21.018Z,sell,1.076e-05,3103.0,0.03338828
ELF/BTC,1594574447929,2020-07-12T17:20:47.929Z,buy,1.078e-05,11.0,0.00011858
ELF/BTC,1594574447929,2020-07-12T17:20:47.929Z,buy,1.079e-05,239.0,0.00257881
ELF/BTC,1594575288611,2020-07-12T17:34:48.611Z,buy,1.079e-05,21.0,0.00022659
ELF/BTC,1594575288664,2020-07-12T17:34:48.664Z,sell,1.079e-05,14.0,0.00015106
ELF/BTC,1594575744329,2020-07-12T17:42:24.329Z,buy,1.077e-05,10.0,0.0001077
ELF/BTC,1594575746116,2020-07-12T17:42:26.116Z,sell,1.076e-05,10.0,0.0001076
ELF/BTC,1594575910470,2020-07-12T17:45:10.470Z,buy,1.079e-05,14.0,0.00015106
ELF/BTC,1594575910470,2020-07-12T17:45:10.470Z,buy,1.08e-05,28281.0,0.3054348
ELF/BTC,1594575910470,2020-07-12T17:45:10.470Z,buy,1.081e-05,3323.0,0.0359216299999999
ELF/BTC,1594575910470,2020-07-12T17:45:10.470Z,buy,1.082e-05,4882.0,0.05282324
ELF/BTC,1594575930588,2020-07-12T17:45:30.588Z,buy,1.081e-05,90.0,0.0009729
ELF/BTC,1594575930588,2020-07-12T17:45:30.588Z,buy,1.082e-05,826.0,0.00893732
ELF/BTC,1594575943600,2020-07-12T17:45:43.600Z,buy,1.082e-05,1374.0,0.01486668
