symbol,timestamp,datetime,side,price,amount,btc_volume
GRS/BTC,1548093667949,2019-01-21T18:01:07.949Z,buy,5.905e-05,51.0,0.00301155
GRS/BTC,1548093692790,2019-01-21T18:01:32.790Z,buy,5.905e-05,20.0,0.001181
GRS/BTC,1548094350757,2019-01-21T18:12:30.757Z,sell,5.899e-05,20.0,0.0011798
GRS/BTC,1548094350807,2019-01-21T18:12:30.807Z,sell,5.87e-05,20.0,0.001174
GRS/BTC,1548094361118,2019-01-21T18:12:41.118Z,buy,5.902e-05,50.0,0.002951
GRS/BTC,1548094361199,2019-01-21T18:12:41.199Z,buy,5.902e-05,24.0,0.00141648
GRS/BTC,1548094361199,2019-01-21T18:12:41.199Z,buy,5.903e-05,363.0,0.02142789
GRS/BTC,1548094361199,2019-01-21T18:12:41.199Z,buy,5.904e-05,145.0,0.0085608
GRS/BTC,1548094362131,2019-01-21T18:12:42.131Z,buy,5.904e-05,50.0,0.0029519999999999
GRS/BTC,1548094362255,2019-01-21T18:12:42.255Z,buy,5.904e-05,242.0,0.0142876799999999
GRS/BTC,1548094362331,2019-01-21T18:12:42.331Z,buy,5.908e-05,220.0,0.0129976
GRS/BTC,1548094363073,2019-01-21T18:12:43.073Z,buy,5.908e-05,769.0,0.04543252
GRS/BTC,1548094363148,2019-01-21T18:12:43.148Z,buy,5.908e-05,50.0,0.002954
GRS/BTC,1548094363242,2019-01-21T18:12:43.242Z,buy,5.908e-05,30.0,0.0017724
GRS/BTC,1548094363950,2019-01-21T18:12:43.950Z,buy,5.908e-05,33.0,0.0019496399999999
GRS/BTC,1548094370402,2019-01-21T18:12:50.402Z,buy,5.911e-05,168.0,0.00993048
GRS/BTC,1548094372770,2019-01-21T18:12:52.770Z,sell,5.904e-05,50.0,0.0029519999999999
GRS/BTC,1548094686888,2019-01-21T18:18:06.888Z,sell,5.899e-05,25.0,0.00147475
GRS/BTC,1548094686888,2019-01-21T18:18:06.888Z,sell,5.873e-05,34.0,0.00199682
GRS/BTC,1548094687890,2019-01-21T18:18:07.890Z,sell,5.87e-05,47.0,0.0027589
GRS/BTC,1548094689370,2019-01-21T18:18:09.370Z,sell,5.871e-05,36.0,0.00211356
GRS/BTC,1548094689370,2019-01-21T18:18:09.370Z,sell,5.869e-05,255.0,0.01496595
GRS/BTC,1548094689561,2019-01-21T18:18:09.561Z,buy,5.9e-05,47.0,0.002773
GRS/BTC,1548094689561,2019-01-21T18:18:09.561Z,buy,5.901e-05,4.0,0.00023604
GRS/BTC,1548094690327,2019-01-21T18:18:10.327Z,sell,5.862e-05,47.0,0.00275514
GRS/BTC,1548094690327,2019-01-21T18:18:10.327Z,sell,5.861e-05,62.0,0.00363382
GRS/BTC,1548094729152,2019-01-21T18:18:49.152Z,buy,5.898e-05,47.0,0.00277206
GRS/BTC,1548094729152,2019-01-21T18:18:49.152Z,buy,5.899e-05,36.0,0.00212364
GRS/BTC,1548094906135,2019-01-21T18:21:46.135Z,sell,5.899e-05,20.0,0.0011798
GRS/BTC,1548094913096,2019-01-21T18:21:53.096Z,buy,5.899e-05,338.0,0.01993862
GRS/BTC,1548094915087,2019-01-21T18:21:55.087Z,buy,5.899e-05,152.0,0.00896648
GRS/BTC,1548094915087,2019-01-21T18:21:55.087Z,buy,5.9e-05,186.0,0.010974
GRS/BTC,1548094917102,2019-01-21T18:21:57.102Z,buy,5.9e-05,338.0,0.0199419999999999
GRS/BTC,1548094935083,2019-01-21T18:22:15.083Z,buy,5.9e-05,240.0,0.0141599999999999
GRS/BTC,1548094935083,2019-01-21T18:22:15.083Z,buy,5.901e-05,66.0,0.00389466
GRS/BTC,1548094985079,2019-01-21T18:23:05.079Z,buy,5.901e-05,338.0,0.01994538
GRS/BTC,1548094992137,2019-01-21T18:23:12.137Z,buy,5.901e-05,333.0,0.01965033
GRS/BTC,1548094992137,2019-01-21T18:23:12.137Z,buy,5.911e-05,5.0,0.00029555
GRS/BTC,1548094997177,2019-01-21T18:23:17.177Z,buy,5.91e-05,25.0,0.0014775
GRS/BTC,1548095495098,2019-01-21T18:31:35.098Z,buy,5.911e-05,46.0,0.00271906
GRS/BTC,1548095495098,2019-01-21T18:31:35.098Z,buy,5.914e-05,93.0,0.0055000199999999
GRS/BTC,1548095595128,2019-01-21T18:33:15.128Z,sell,5.914e-05,233.0,0.01377962
GRS/BTC,1548095599270,2019-01-21T18:33:19.270Z,buy,5.919e-05,18.0,0.00106542
GRS/BTC,1548095643346,2019-01-21T18:34:03.346Z,sell,5.914e-05,11.0,0.00065054
GRS/BTC,1548095853008,2019-01-21T18:37:33.008Z,buy,5.919e-05,70.0,0.0041433
GRS/BTC,1548095932968,2019-01-21T18:38:52.968Z,sell,5.919e-05,98.0,0.00580062
GRS/BTC,1548095957277,2019-01-21T18:39:17.277Z,buy,5.925e-05,47.0,0.00278475
GRS/BTC,1548095957330,2019-01-21T18:39:17.330Z,sell,5.925e-05,30.0,0.0017775
GRS/BTC,1548095957330,2019-01-21T18:39:17.330Z,sell,5.925e-05,24.0,0.0014219999999999
GRS/BTC,1548095957379,2019-01-21T18:39:17.379Z,sell,5.901e-05,54.0,0.00318654
GRS/BTC,1548096269356,2019-01-21T18:44:29.356Z,buy,5.921e-05,30.0,0.0017763
GRS/BTC,1548096302110,2019-01-21T18:45:02.110Z,buy,5.922e-05,50.0,0.002961
GRS/BTC,1548096322055,2019-01-21T18:45:22.055Z,buy,5.922e-05,84.0,0.00497448
GRS/BTC,1548096367116,2019-01-21T18:46:07.116Z,buy,5.922e-05,66.0,0.0039085199999999
GRS/BTC,1548096380191,2019-01-21T18:46:20.191Z,sell,5.922e-05,34.0,0.00201348
GRS/BTC,1548096384841,2019-01-21T18:46:24.841Z,buy,5.922e-05,118.0,0.00698796
GRS/BTC,1548096625443,2019-01-21T18:50:25.443Z,sell,5.921e-05,54.0,0.00319734
GRS/BTC,1548096721994,2019-01-21T18:52:01.994Z,buy,5.921e-05,185.0,0.01095385
GRS/BTC,1548096854429,2019-01-21T18:54:14.429Z,buy,5.926e-05,34.0,0.00201484
GRS/BTC,1548096881516,2019-01-21T18:54:41.516Z,sell,5.901e-05,340.0,0.0200634
GRS/BTC,1548096881516,2019-01-21T18:54:41.516Z,sell,5.899e-05,57.0,0.00336243
