symbol,timestamp,datetime,side,price,amount,btc_volume
GTO/BTC,1589040223842,2020-05-09T16:03:43.842Z,sell,5.6e-07,55055.0,0.0308308
GTO/BTC,1589040223981,2020-05-09T16:03:43.981Z,sell,5.6e-07,224.0,0.00012544
GTO/BTC,1589040317986,2020-05-09T16:05:17.986Z,buy,5.7e-07,49776.0,0.02837232
GTO/BTC,1589040470887,2020-05-09T16:07:50.887Z,buy,5.7e-07,7372.0,0.00420204
GTO/BTC,1589040517471,2020-05-09T16:08:37.471Z,buy,5.7e-07,12280.0,0.0069996
GTO/BTC,1589040652765,2020-05-09T16:10:52.765Z,buy,5.7e-07,1052.0,0.00059964
GTO/BTC,1589041303674,2020-05-09T16:21:43.674Z,buy,5.7e-07,135501.0,0.07723557
GTO/BTC,1589041834302,2020-05-09T16:30:34.302Z,sell,5.6e-07,673251.0,0.37702056
GTO/BTC,1589041834348,2020-05-09T16:30:34.348Z,sell,5.5e-07,45038.0,0.0247709
GTO/BTC,1589042112344,2020-05-09T16:35:12.344Z,buy,5.6e-07,265.0,0.0001484
GTO/BTC,1589042179359,2020-05-09T16:36:19.359Z,sell,5.5e-07,182.0,0.0001001
GTO/BTC,1589043145411,2020-05-09T16:52:25.411Z,sell,5.5e-07,1828.0,0.0010054
GTO/BTC,1589043145411,2020-05-09T16:52:25.411Z,sell,5.5e-07,1828.0,0.0010054
GTO/BTC,1589043545811,2020-05-09T16:59:05.811Z,buy,5.6e-07,368.0,0.00020608
GTO/BTC,1589043675190,2020-05-09T17:01:15.190Z,buy,5.6e-07,15595.0,0.0087332
GTO/BTC,1589043769148,2020-05-09T17:02:49.148Z,buy,5.6e-07,9000.0,0.00504
GTO/BTC,1589043813286,2020-05-09T17:03:33.286Z,buy,5.6e-07,354.0,0.00019824
GTO/BTC,1589043912729,2020-05-09T17:05:12.729Z,buy,5.6e-07,20000.0,0.0112
GTO/BTC,1589044116183,2020-05-09T17:08:36.183Z,buy,5.6e-07,500.0,0.00028
GTO/BTC,1589044120265,2020-05-09T17:08:40.265Z,buy,5.6e-07,1600.0,0.000896
GTO/BTC,1589044156820,2020-05-09T17:09:16.820Z,buy,5.6e-07,1000.0,0.00056
GTO/BTC,1589044173549,2020-05-09T17:09:33.549Z,buy,5.6e-07,7000.0,0.00392
GTO/BTC,1589044185917,2020-05-09T17:09:45.917Z,buy,5.6e-07,7000.0,0.00392
GTO/BTC,1589044195413,2020-05-09T17:09:55.413Z,buy,5.6e-07,1000.0,0.00056
GTO/BTC,1589044200328,2020-05-09T17:10:00.328Z,buy,5.6e-07,1000.0,0.00056
GTO/BTC,1589044210136,2020-05-09T17:10:10.136Z,buy,5.6e-07,1000.0,0.00056
GTO/BTC,1589044229997,2020-05-09T17:10:29.997Z,buy,5.6e-07,44956.0,0.02517536
GTO/BTC,1589045739583,2020-05-09T17:35:39.583Z,buy,5.6e-07,2000.0,0.00112
GTO/BTC,1589045996374,2020-05-09T17:39:56.374Z,buy,5.6e-07,17317.0,0.00969752
GTO/BTC,1589045996381,2020-05-09T17:39:56.381Z,sell,5.6e-07,32758.0,0.01834448
GTO/BTC,1589045996382,2020-05-09T17:39:56.382Z,sell,5.6e-07,71515.0,0.0400484
GTO/BTC,1589046007966,2020-05-09T17:40:07.966Z,buy,5.6e-07,81884.0,0.04585504
GTO/BTC,1589046007966,2020-05-09T17:40:07.966Z,buy,5.6e-07,81884.0,0.04585504
GTO/BTC,1589047009665,2020-05-09T17:56:49.665Z,buy,5.6e-07,6217.0,0.00348152
GTO/BTC,1589047843167,2020-05-09T18:10:43.167Z,buy,5.6e-07,1597.0,0.00089432
GTO/BTC,1589048825198,2020-05-09T18:27:05.198Z,buy,5.6e-07,370.0,0.0002072
GTO/BTC,1589048825198,2020-05-09T18:27:05.198Z,buy,5.6e-07,370.0,0.0002072
GTO/BTC,1589051022863,2020-05-09T19:03:42.863Z,buy,5.6e-07,15595.0,0.0087332
GTO/BTC,1589051246335,2020-05-09T19:07:26.335Z,buy,5.6e-07,1244.0,0.00069664
GTO/BTC,1589051276775,2020-05-09T19:07:56.775Z,buy,5.6e-07,5242.0,0.00293552
GTO/BTC,1589051587863,2020-05-09T19:13:07.863Z,sell,5.5e-07,147679.0,0.08122345
GTO/BTC,1589051588083,2020-05-09T19:13:08.083Z,sell,5.5e-07,715.0,0.00039325
GTO/BTC,1589051588085,2020-05-09T19:13:08.085Z,sell,5.5e-07,13070.0,0.0071885
GTO/BTC,1589051588741,2020-05-09T19:13:08.741Z,sell,5.5e-07,944.0,0.0005192
GTO/BTC,1589051589946,2020-05-09T19:13:09.946Z,sell,5.5e-07,741.0,0.00040755
GTO/BTC,1589051589946,2020-05-09T19:13:09.946Z,sell,5.5e-07,741.0,0.00040755
GTO/BTC,1589052753338,2020-05-09T19:32:33.338Z,sell,5.5e-07,950.0,0.0005225
GTO/BTC,1589053786065,2020-05-09T19:49:46.065Z,sell,5.5e-07,6496.0,0.0035728
GTO/BTC,1589053786065,2020-05-09T19:49:46.065Z,sell,5.5e-07,6496.0,0.0035728
GTO/BTC,1589055304964,2020-05-09T20:15:04.964Z,sell,5.5e-07,10959.0,0.00602745
GTO/BTC,1589056139757,2020-05-09T20:28:59.757Z,sell,5.5e-07,5000.0,0.00275
GTO/BTC,1589056216039,2020-05-09T20:30:16.039Z,buy,5.6e-07,40.0,2.24e-05
GTO/BTC,1589057247549,2020-05-09T20:47:27.549Z,buy,5.6e-07,5563.0,0.00311528
GTO/BTC,1589057247549,2020-05-09T20:47:27.549Z,buy,5.6e-07,5563.0,0.00311528
GTO/BTC,1589057933598,2020-05-09T20:58:53.598Z,buy,5.6e-07,277.0,0.00015512
GTO/BTC,1589058614172,2020-05-09T21:10:14.172Z,buy,5.6e-07,200000.0,0.112
GTO/BTC,1589058619665,2020-05-09T21:10:19.665Z,buy,5.6e-07,14046.0,0.00786576
GTO/BTC,1589058664769,2020-05-09T21:11:04.769Z,buy,5.6e-07,6466.0,0.00362096
GTO/BTC,1589059012853,2020-05-09T21:16:52.853Z,buy,5.6e-07,273181.0,0.15298136
GTO/BTC,1589059021505,2020-05-09T21:17:01.505Z,buy,5.7e-07,805844.0,0.45933108
GTO/BTC,1589059021505,2020-05-09T21:17:01.505Z,buy,5.8e-07,75449.0,0.0437604199999999
GTO/BTC,1589059021937,2020-05-09T21:17:01.937Z,buy,5.8e-07,55172.0,0.0319997599999999
GTO/BTC,1589059024614,2020-05-09T21:17:04.614Z,buy,5.7e-07,38415.0,0.02189655
GTO/BTC,1589059025549,2020-05-09T21:17:05.549Z,buy,5.7e-07,2711.0,0.00154527
GTO/BTC,1589059027986,2020-05-09T21:17:07.986Z,buy,5.7e-07,527.0,0.00030039
GTO/BTC,1589059028981,2020-05-09T21:17:08.981Z,buy,5.7e-07,178.0,0.00010146
GTO/BTC,1589059036830,2020-05-09T21:17:16.830Z,buy,5.7e-07,34999.0,0.01994943
GTO/BTC,1589059039406,2020-05-09T21:17:19.406Z,buy,5.7e-07,38415.0,0.02189655
GTO/BTC,1589059040190,2020-05-09T21:17:20.190Z,buy,5.7e-07,1000.0,0.00057
GTO/BTC,1589059040952,2020-05-09T21:17:20.952Z,buy,5.7e-07,176.0,0.00010032
GTO/BTC,1589059043139,2020-05-09T21:17:23.139Z,buy,5.7e-07,37239.0,0.02122623
GTO/BTC,1589059043907,2020-05-09T21:17:23.907Z,sell,5.6e-07,3598.0,0.00201488
GTO/BTC,1589059044103,2020-05-09T21:17:24.103Z,buy,5.7e-07,38415.0,0.02189655
GTO/BTC,1589059044109,2020-05-09T21:17:24.109Z,sell,5.7e-07,86166.0,0.04911462
GTO/BTC,1589059044110,2020-05-09T21:17:24.110Z,sell,5.7e-07,50550.0,0.0288135
GTO/BTC,1589059044553,2020-05-09T21:17:24.553Z,sell,5.6e-07,55172.0,0.03089632
GTO/BTC,1589059047461,2020-05-09T21:17:27.461Z,buy,5.7e-07,174997.0,0.09974829
GTO/BTC,1589059051426,2020-05-09T21:17:31.426Z,buy,5.7e-07,22839.0,0.01301823
GTO/BTC,1589059051440,2020-05-09T21:17:31.440Z,sell,5.7e-07,38415.0,0.02189655
GTO/BTC,1589059051442,2020-05-09T21:17:31.442Z,sell,5.7e-07,10456.0,0.00595992
GTO/BTC,1589059051514,2020-05-09T21:17:31.514Z,sell,5.6e-07,25641.0,0.01435896
GTO/BTC,1589059054388,2020-05-09T21:17:34.388Z,buy,5.7e-07,143604.0,0.08185428
GTO/BTC,1589059054410,2020-05-09T21:17:34.410Z,sell,5.7e-07,38571.0,0.02198547
GTO/BTC,1589059054410,2020-05-09T21:17:34.410Z,sell,5.7e-07,13714.0,0.00781698
GTO/BTC,1589059057839,2020-05-09T21:17:37.839Z,buy,5.7e-07,64760.0,0.0369132
GTO/BTC,1589059061213,2020-05-09T21:17:41.213Z,buy,5.7e-07,13426.0,0.00765282
GTO/BTC,1589059061220,2020-05-09T21:17:41.220Z,sell,5.7e-07,7255.0,0.00413535
GTO/BTC,1589059065066,2020-05-09T21:17:45.066Z,buy,5.7e-07,20440.0,0.0116508
GTO/BTC,1589059065088,2020-05-09T21:17:45.088Z,sell,5.7e-07,32953.0,0.01878321
GTO/BTC,1589059068202,2020-05-09T21:17:48.202Z,buy,5.7e-07,20564.0,0.01172148
GTO/BTC,1589059071285,2020-05-09T21:17:51.285Z,buy,5.7e-07,13349.0,0.00760893
GTO/BTC,1589059071289,2020-05-09T21:17:51.289Z,sell,5.7e-07,6613.0,0.00376941
GTO/BTC,1589059076401,2020-05-09T21:17:56.401Z,buy,5.7e-07,32963.0,0.01878891
