symbol,timestamp,datetime,side,price,amount,btc_volume
GXS/BTC,1591200007074,2020-06-03T16:00:07.074Z,sell,5.46e-05,2.0,0.0001092
GXS/BTC,1591200021471,2020-06-03T16:00:21.471Z,buy,5.482e-05,3.0,0.00016446
GXS/BTC,1591200021485,2020-06-03T16:00:21.485Z,sell,5.482e-05,125.0,0.0068525
GXS/BTC,1591200021490,2020-06-03T16:00:21.490Z,sell,5.482e-05,142.0,0.00778444
GXS/BTC,1591200021490,2020-06-03T16:00:21.490Z,sell,5.482e-05,142.0,0.00778444
GXS/BTC,1591200021562,2020-06-03T16:00:21.562Z,sell,5.482e-05,38.0,0.00208316
GXS/BTC,1591200021686,2020-06-03T16:00:21.686Z,sell,5.482e-05,142.0,0.00778444
GXS/BTC,1591200021907,2020-06-03T16:00:21.907Z,sell,5.482e-05,338.0,0.01852916
GXS/BTC,1591200023474,2020-06-03T16:00:23.474Z,sell,5.482e-05,40.0,0.0021928
GXS/BTC,1591200023514,2020-06-03T16:00:23.514Z,sell,5.482e-05,40.0,0.0021928
GXS/BTC,1591200028859,2020-06-03T16:00:28.859Z,buy,5.484e-05,37.0,0.00202908
GXS/BTC,1591200028866,2020-06-03T16:00:28.866Z,sell,5.484e-05,475.0,0.026049
GXS/BTC,1591200028867,2020-06-03T16:00:28.867Z,sell,5.46e-05,1249.0,0.0681954
GXS/BTC,1591200028867,2020-06-03T16:00:28.867Z,sell,5.459e-05,2.0,0.00010918
GXS/BTC,1591200028875,2020-06-03T16:00:28.875Z,buy,5.457e-05,184.0,0.01004088
GXS/BTC,1591200028876,2020-06-03T16:00:28.876Z,buy,5.457e-05,184.0,0.01004088
GXS/BTC,1591200028881,2020-06-03T16:00:28.881Z,buy,5.457e-05,184.0,0.01004088
GXS/BTC,1591200028881,2020-06-03T16:00:28.881Z,buy,5.457e-05,28.0,0.00152796
GXS/BTC,1591200030766,2020-06-03T16:00:30.766Z,sell,5.453e-05,189.0,0.01030617
GXS/BTC,1591200044132,2020-06-03T16:00:44.132Z,sell,5.451e-05,569.0,0.03101619
GXS/BTC,1591200044132,2020-06-03T16:00:44.132Z,sell,5.447e-05,2.0,0.00010894
GXS/BTC,1591200044132,2020-06-03T16:00:44.132Z,sell,5.445e-05,120.0,0.006534
GXS/BTC,1591200044132,2020-06-03T16:00:44.132Z,sell,5.444e-05,1508.0,0.08209552
GXS/BTC,1591200044132,2020-06-03T16:00:44.132Z,sell,5.443e-05,127.0,0.00691261
GXS/BTC,1591200044132,2020-06-03T16:00:44.132Z,sell,5.441e-05,24.0,0.00130584
GXS/BTC,1591200044132,2020-06-03T16:00:44.132Z,sell,5.428e-05,76.0,0.00412528
GXS/BTC,1591200044132,2020-06-03T16:00:44.132Z,sell,5.426e-05,519.0,0.02816094
GXS/BTC,1591200044132,2020-06-03T16:00:44.132Z,sell,5.424e-05,114.0,0.00618336
GXS/BTC,1591200044132,2020-06-03T16:00:44.132Z,sell,5.42e-05,135.0,0.007317
GXS/BTC,1591200044132,2020-06-03T16:00:44.132Z,sell,5.419e-05,1360.0,0.0736984
GXS/BTC,1591200046351,2020-06-03T16:00:46.351Z,buy,5.443e-05,124.0,0.00674932
GXS/BTC,1591200050782,2020-06-03T16:00:50.782Z,sell,5.436e-05,2.0,0.00010872
GXS/BTC,1591200050782,2020-06-03T16:00:50.782Z,sell,5.427e-05,310.0,0.0168237
GXS/BTC,1591200050782,2020-06-03T16:00:50.782Z,sell,5.426e-05,57.0,0.00309282
GXS/BTC,1591200057133,2020-06-03T16:00:57.133Z,buy,5.443e-05,3.0,0.00016329
GXS/BTC,1591200081643,2020-06-03T16:01:21.643Z,buy,5.456e-05,3.0,0.00016368
GXS/BTC,1591200099014,2020-06-03T16:01:39.014Z,buy,5.456e-05,122.0,0.00665632
GXS/BTC,1591200099031,2020-06-03T16:01:39.031Z,buy,5.457e-05,109.0,0.00594813
GXS/BTC,1591200113586,2020-06-03T16:01:53.586Z,sell,5.443e-05,34.0,0.0018506199999999
GXS/BTC,1591200113601,2020-06-03T16:01:53.601Z,buy,5.443e-05,167.0,0.00908981
GXS/BTC,1591200119043,2020-06-03T16:01:59.043Z,buy,5.457e-05,3.0,0.00016371
GXS/BTC,1591200155122,2020-06-03T16:02:35.122Z,buy,5.457e-05,3.0,0.00016371
GXS/BTC,1591200168917,2020-06-03T16:02:48.917Z,buy,5.457e-05,3.0,0.00016371
GXS/BTC,1591200209485,2020-06-03T16:03:29.485Z,buy,5.457e-05,1.0,5.457e-05
