symbol,timestamp,datetime,side,price,amount,btc_volume
INS/BTC,1560441749413,2019-06-13T16:02:29.413Z,buy,4.98e-05,405.65,0.0202013699999999
INS/BTC,1560441881037,2019-06-13T16:04:41.037Z,buy,4.98e-05,80.33,0.004000434
INS/BTC,1560441881055,2019-06-13T16:04:41.055Z,buy,4.98e-05,346.69,0.017265162
INS/BTC,1560441887577,2019-06-13T16:04:47.577Z,sell,4.97e-05,65.0,0.0032305
INS/BTC,1560441903343,2019-06-13T16:05:03.343Z,buy,4.98e-05,62.49,0.003112002
INS/BTC,1560441908264,2019-06-13T16:05:08.264Z,sell,4.97e-05,314.03,0.0156072909999999
INS/BTC,1560441908838,2019-06-13T16:05:08.838Z,buy,4.97e-05,685.97,0.034092709
INS/BTC,1560441994850,2019-06-13T16:06:34.850Z,sell,4.96e-05,245.34,0.012168864
INS/BTC,1560442037114,2019-06-13T16:07:17.114Z,sell,4.96e-05,4405.28,0.2185018879999999
INS/BTC,1560442037138,2019-06-13T16:07:17.138Z,sell,4.96e-05,2898.43,0.143762128
INS/BTC,1560442038948,2019-06-13T16:07:18.948Z,buy,4.97e-05,9628.0,0.4785116
INS/BTC,1560442091539,2019-06-13T16:08:11.539Z,sell,4.95e-05,4561.87,0.225812565
INS/BTC,1560442118908,2019-06-13T16:08:38.908Z,buy,4.96e-05,735.88,0.036499648
INS/BTC,1560442118933,2019-06-13T16:08:38.933Z,buy,4.96e-05,504.45,0.02502072
INS/BTC,1560442199075,2019-06-13T16:09:59.075Z,sell,4.95e-05,1666.31,0.082482345
INS/BTC,1560442249242,2019-06-13T16:10:49.242Z,buy,4.97e-05,47.95,0.002383115
INS/BTC,1560442257780,2019-06-13T16:10:57.780Z,sell,4.95e-05,89.84,0.00444708
INS/BTC,1560442267923,2019-06-13T16:11:07.923Z,buy,4.97e-05,1855.38,0.092212386
INS/BTC,1560442269263,2019-06-13T16:11:09.263Z,sell,4.97e-05,30.0,0.001491
INS/BTC,1560442293819,2019-06-13T16:11:33.819Z,buy,4.98e-05,2666.57,0.132795186
INS/BTC,1560442299756,2019-06-13T16:11:39.756Z,sell,4.97e-05,47.3,0.00235081
INS/BTC,1560442338986,2019-06-13T16:12:18.986Z,buy,4.98e-05,1591.88,0.079275624
INS/BTC,1560442341156,2019-06-13T16:12:21.156Z,buy,4.98e-05,500.0,0.0249
INS/BTC,1560442341859,2019-06-13T16:12:21.859Z,buy,4.98e-05,1761.71,0.0877331579999999
INS/BTC,1560442349230,2019-06-13T16:12:29.230Z,buy,4.99e-05,718.59,0.035857641
INS/BTC,1560442349230,2019-06-13T16:12:29.230Z,buy,5e-05,1890.65,0.0945325
INS/BTC,1560442360799,2019-06-13T16:12:40.799Z,buy,5e-05,864.31,0.0432155
INS/BTC,1560442390070,2019-06-13T16:13:10.070Z,buy,5e-05,436.03,0.0218014999999999
INS/BTC,1560442439860,2019-06-13T16:13:59.860Z,buy,4.99e-05,909.28,0.045373072
INS/BTC,1560442454063,2019-06-13T16:14:14.063Z,buy,5e-05,20.2,0.00101
INS/BTC,1560442489343,2019-06-13T16:14:49.343Z,sell,4.97e-05,1595.35,0.079288895
INS/BTC,1560442489439,2019-06-13T16:14:49.439Z,buy,4.97e-05,22.77,0.001131669
INS/BTC,1560442528864,2019-06-13T16:15:28.864Z,buy,4.98e-05,863.44,0.042999312
INS/BTC,1560442553530,2019-06-13T16:15:53.530Z,buy,4.99e-05,150.42,0.0075059579999999
INS/BTC,1560442579793,2019-06-13T16:16:19.793Z,buy,4.99e-05,143.49,0.007160151
INS/BTC,1560442603864,2019-06-13T16:16:43.864Z,sell,4.97e-05,118.32,0.005880504
INS/BTC,1560442603864,2019-06-13T16:16:43.864Z,sell,4.96e-05,308.42,0.015297632
INS/BTC,1560442609667,2019-06-13T16:16:49.667Z,buy,4.99e-05,950.24,0.047416976
INS/BTC,1560442609881,2019-06-13T16:16:49.881Z,sell,4.99e-05,347.57,0.017343743
INS/BTC,1560442672220,2019-06-13T16:17:52.220Z,buy,4.99e-05,228.0,0.0113772
INS/BTC,1560442683847,2019-06-13T16:18:03.847Z,buy,4.99e-05,428.44,0.021379156
INS/BTC,1560442684268,2019-06-13T16:18:04.268Z,sell,4.99e-05,237.25,0.011838775
INS/BTC,1560442684876,2019-06-13T16:18:04.876Z,sell,4.99e-05,2068.01,0.103193699
INS/BTC,1560442685810,2019-06-13T16:18:05.810Z,sell,4.99e-05,159.28,0.007948072
INS/BTC,1560442688840,2019-06-13T16:18:08.840Z,sell,4.99e-05,30.0,0.001497
INS/BTC,1560442688873,2019-06-13T16:18:08.873Z,sell,4.99e-05,30.0,0.001497
INS/BTC,1560442697944,2019-06-13T16:18:17.944Z,buy,5e-05,232.07,0.0116035
INS/BTC,1560442745466,2019-06-13T16:19:05.466Z,buy,5e-05,1639.1,0.081955
INS/BTC,1560442753403,2019-06-13T16:19:13.403Z,buy,5e-05,1427.88,0.071394
INS/BTC,1560442754553,2019-06-13T16:19:14.553Z,sell,5e-05,30.0,0.0015
INS/BTC,1560442754627,2019-06-13T16:19:14.627Z,sell,5e-05,423.54,0.021177
INS/BTC,1560442757908,2019-06-13T16:19:17.908Z,sell,4.98e-05,503.29,0.025063842
INS/BTC,1560442760871,2019-06-13T16:19:20.871Z,buy,4.99e-05,68.09,0.003397691
INS/BTC,1560442770154,2019-06-13T16:19:30.154Z,buy,5.01e-05,20.16,0.0010100159999999
INS/BTC,1560442775201,2019-06-13T16:19:35.201Z,sell,4.99e-05,49.39,0.002464561
INS/BTC,1560442800885,2019-06-13T16:20:00.885Z,sell,5e-05,68.09,0.0034045
INS/BTC,1560442805526,2019-06-13T16:20:05.526Z,buy,5.01e-05,230.0,0.011523
INS/BTC,1560442862491,2019-06-13T16:21:02.491Z,buy,5.01e-05,3173.07,0.158970807
INS/BTC,1560442886051,2019-06-13T16:21:26.051Z,buy,5.02e-05,191.24,0.009600248
INS/BTC,1560442886051,2019-06-13T16:21:26.051Z,buy,5.02e-05,567.71,0.028499042
INS/BTC,1560442886878,2019-06-13T16:21:26.878Z,buy,5.02e-05,5705.08,0.286395016
INS/BTC,1560442911224,2019-06-13T16:21:51.224Z,buy,5.03e-05,2213.58,0.111343074
INS/BTC,1560442911249,2019-06-13T16:21:51.249Z,buy,5.03e-05,2897.82,0.145760346
INS/BTC,1560442916508,2019-06-13T16:21:56.508Z,sell,5.01e-05,114.5,0.00573645
INS/BTC,1560442916888,2019-06-13T16:21:56.888Z,buy,5.03e-05,374.97,0.018860991
INS/BTC,1560442918885,2019-06-13T16:21:58.885Z,buy,5.03e-05,187.49,0.009430747
INS/BTC,1560442920885,2019-06-13T16:22:00.885Z,buy,5.03e-05,187.49,0.009430747
INS/BTC,1560442936987,2019-06-13T16:22:16.987Z,buy,5.04e-05,4449.17,0.224238168
INS/BTC,1560442937036,2019-06-13T16:22:17.036Z,sell,5.04e-05,154.89,0.0078064559999999
INS/BTC,1560442937131,2019-06-13T16:22:17.131Z,sell,5.04e-05,29.25,0.0014742
INS/BTC,1560442937794,2019-06-13T16:22:17.794Z,sell,5.04e-05,80.0,0.004032
INS/BTC,1560442938874,2019-06-13T16:22:18.874Z,sell,5.04e-05,30.0,0.0015119999999999
INS/BTC,1560442946180,2019-06-13T16:22:26.180Z,sell,5.04e-05,257.36,0.012970944
INS/BTC,1560442947709,2019-06-13T16:22:27.709Z,buy,5.05e-05,178.49,0.009013745
INS/BTC,1560442949029,2019-06-13T16:22:29.029Z,buy,5.05e-05,392.49,0.019820745
INS/BTC,1560442949054,2019-06-13T16:22:29.054Z,buy,5.05e-05,549.17,0.0277330849999999
INS/BTC,1560442957533,2019-06-13T16:22:37.533Z,buy,5.05e-05,75.72,0.00382386
INS/BTC,1560442959143,2019-06-13T16:22:39.143Z,buy,5.05e-05,462.23,0.023342615
INS/BTC,1560442964348,2019-06-13T16:22:44.348Z,buy,5.05e-05,4421.76,0.22329888
INS/BTC,1560442964375,2019-06-13T16:22:44.375Z,buy,5.05e-05,40.29,0.002034645
INS/BTC,1560442983750,2019-06-13T16:23:03.750Z,buy,5.06e-05,21.73,0.001099538
INS/BTC,1560442985451,2019-06-13T16:23:05.451Z,sell,5.05e-05,230.94,0.01166247
INS/BTC,1560442986578,2019-06-13T16:23:06.578Z,buy,5.06e-05,1600.3,0.08097518
INS/BTC,1560442986881,2019-06-13T16:23:06.881Z,buy,5.06e-05,57.69,0.0029191139999999
INS/BTC,1560442987034,2019-06-13T16:23:07.034Z,sell,5.05e-05,24.06,0.00121503
INS/BTC,1560442987054,2019-06-13T16:23:07.054Z,sell,5.05e-05,3000.0,0.1515
INS/BTC,1560442989855,2019-06-13T16:23:09.855Z,buy,5.06e-05,1543.26,0.078088956
INS/BTC,1560442990589,2019-06-13T16:23:10.589Z,sell,5.05e-05,201.2,0.0101605999999999
INS/BTC,1560442996644,2019-06-13T16:23:16.644Z,sell,5.05e-05,404.04,0.02040402
INS/BTC,1560443007494,2019-06-13T16:23:27.494Z,buy,5.06e-05,1439.99,0.072863494
INS/BTC,1560443007494,2019-06-13T16:23:27.494Z,buy,5.07e-05,985.65,0.049972455
INS/BTC,1560443007494,2019-06-13T16:23:27.494Z,buy,5.08e-05,5408.36,0.274744688
INS/BTC,1560443007542,2019-06-13T16:23:27.542Z,sell,5.08e-05,24.73,0.001256284
INS/BTC,1560443009143,2019-06-13T16:23:29.143Z,buy,5.08e-05,457.65,0.02324862
INS/BTC,1560443009143,2019-06-13T16:23:29.143Z,buy,5.09e-05,195.82,0.009967238
INS/BTC,1560443014657,2019-06-13T16:23:34.657Z,sell,5.06e-05,30.0,0.0015179999999999
