symbol,timestamp,datetime,side,price,amount,btc_volume
MDA/BTC,1522945865390,2018-04-05T16:31:05.390Z,sell,9.93e-05,75.0,0.0074475
MDA/BTC,1522945965059,2018-04-05T16:32:45.059Z,sell,9.949e-05,380.0,0.0378062
MDA/BTC,1522945965062,2018-04-05T16:32:45.062Z,sell,9.949e-05,313.0,0.03114037
MDA/BTC,1522945965068,2018-04-05T16:32:45.068Z,buy,9.949e-05,113.0,0.01124237
MDA/BTC,1522945965070,2018-04-05T16:32:45.070Z,sell,9.949e-05,549.0,0.05462001
MDA/BTC,1522946000193,2018-04-05T16:33:20.193Z,sell,9.93e-05,33.0,0.0032769
MDA/BTC,1522946068085,2018-04-05T16:34:28.085Z,sell,9.93e-05,409.0,0.0406137
MDA/BTC,1522946143497,2018-04-05T16:35:43.497Z,buy,9.93e-05,48.0,0.0047664
MDA/BTC,1522946152024,2018-04-05T16:35:52.024Z,sell,9.923e-05,807.0,0.08007861
MDA/BTC,1522946152042,2018-04-05T16:35:52.042Z,buy,9.923e-05,519.0,0.05150037
MDA/BTC,1522946264919,2018-04-05T16:37:44.919Z,buy,9.92e-05,1379.0,0.1367968
MDA/BTC,1522946467085,2018-04-05T16:41:07.085Z,sell,9.914e-05,1000.0,0.09914
MDA/BTC,1522946467085,2018-04-05T16:41:07.085Z,sell,9.913e-05,135.0,0.01338255
MDA/BTC,1522946467085,2018-04-05T16:41:07.085Z,sell,9.89e-05,130.0,0.012857
MDA/BTC,1522946467085,2018-04-05T16:41:07.085Z,sell,9.889e-05,323.0,0.03194147
MDA/BTC,1522946602195,2018-04-05T16:43:22.195Z,sell,9.913e-05,491.0,0.04867283
MDA/BTC,1522946602279,2018-04-05T16:43:22.279Z,sell,9.913e-05,292.0,0.02894596
MDA/BTC,1522946602319,2018-04-05T16:43:22.319Z,buy,9.913e-05,240.0,0.0237912
MDA/BTC,1522946602320,2018-04-05T16:43:22.320Z,sell,9.913e-05,349.0,0.03459637
MDA/BTC,1522946657928,2018-04-05T16:44:17.928Z,sell,9.906e-05,496.0,0.04913376
MDA/BTC,1522946657949,2018-04-05T16:44:17.949Z,buy,9.906e-05,832.0,0.08241792
MDA/BTC,1522946687639,2018-04-05T16:44:47.639Z,buy,9.929e-05,85.0,0.00843965
MDA/BTC,1522946687639,2018-04-05T16:44:47.639Z,buy,9.93e-05,15.0,0.0014895
