symbol,timestamp,datetime,side,price,amount,btc_volume
MOD/BTC,1517425203039,2018-01-31T19:00:03.039Z,buy,0.0004764,4.4,0.00209616
MOD/BTC,1517425203039,2018-01-31T19:00:03.039Z,buy,0.0004768,65.8,0.0313734399999999
MOD/BTC,1517425203039,2018-01-31T19:00:03.039Z,buy,0.0004769,316.61,0.150991309
MOD/BTC,1517425203132,2018-01-31T19:00:03.132Z,sell,0.0004769,32.24,0.015375256
MOD/BTC,1517425203133,2018-01-31T19:00:03.133Z,sell,0.0004769,14.6,0.0069627399999999
MOD/BTC,1517425203200,2018-01-31T19:00:03.200Z,sell,0.0004769,22.36,0.0106634839999999
MOD/BTC,1517425203262,2018-01-31T19:00:03.262Z,sell,0.0004769,36.93,0.017611917
MOD/BTC,1517425203269,2018-01-31T19:00:03.269Z,sell,0.0004769,22.36,0.0106634839999999
MOD/BTC,1517425203317,2018-01-31T19:00:03.317Z,sell,0.0004769,231.02,0.110173438
MOD/BTC,1517425255247,2018-01-31T19:00:55.247Z,sell,0.0004769,5.06,0.0024131139999999
MOD/BTC,1517425442977,2018-01-31T19:04:02.977Z,sell,0.000477,10.0,0.00477
MOD/BTC,1517425442977,2018-01-31T19:04:02.977Z,sell,0.0004769,18.0,0.0085842
MOD/BTC,1517425632109,2018-01-31T19:07:12.109Z,buy,0.0004773,1.8,0.00085914
MOD/BTC,1517425632109,2018-01-31T19:07:12.109Z,buy,0.0004776,5.0,0.002388
MOD/BTC,1517425632131,2018-01-31T19:07:12.131Z,buy,0.000478,5.0,0.00239
MOD/BTC,1517425632179,2018-01-31T19:07:12.179Z,buy,0.0004782,4.4,0.00210408
MOD/BTC,1517425633009,2018-01-31T19:07:13.009Z,buy,0.0004791,4.4,0.00210804
MOD/BTC,1517425633116,2018-01-31T19:07:13.116Z,sell,0.0004778,4.4,0.00210232
MOD/BTC,1517425674285,2018-01-31T19:07:54.285Z,buy,0.00048,4.4,0.002112
MOD/BTC,1517425674285,2018-01-31T19:07:54.285Z,buy,0.0004801,5.0,0.0024005
MOD/BTC,1517425674285,2018-01-31T19:07:54.285Z,buy,0.0004805,4.4,0.0021142
MOD/BTC,1517425674285,2018-01-31T19:07:54.285Z,buy,0.0004806,25.33,0.0121735979999999
MOD/BTC,1517425674285,2018-01-31T19:07:54.285Z,buy,0.0004809,4.4,0.00211596
MOD/BTC,1517425674285,2018-01-31T19:07:54.285Z,buy,0.000481,208.0,0.100048
MOD/BTC,1517425674285,2018-01-31T19:07:54.285Z,buy,0.0004811,28.47,0.013696917
MOD/BTC,1517425674302,2018-01-31T19:07:54.302Z,buy,0.0004811,4.4,0.00211684
MOD/BTC,1517425674308,2018-01-31T19:07:54.308Z,buy,0.0004811,280.0,0.134708
MOD/BTC,1517425707579,2018-01-31T19:08:27.579Z,sell,0.0004789,0.26,0.000124514
MOD/BTC,1517425758174,2018-01-31T19:09:18.174Z,buy,0.000481,8.8,0.0042328
MOD/BTC,1517425758174,2018-01-31T19:09:18.174Z,buy,0.0004811,41.2,0.01982132
MOD/BTC,1517425777440,2018-01-31T19:09:37.440Z,buy,0.0004811,22.59,0.010868049
MOD/BTC,1517425777468,2018-01-31T19:09:37.468Z,sell,0.0004811,27.41,0.0131869509999999
MOD/BTC,1517425777558,2018-01-31T19:09:37.558Z,sell,0.0004789,15.42,0.007384638
MOD/BTC,1517425945523,2018-01-31T19:12:25.523Z,sell,0.0004795,19.98,0.00958041
MOD/BTC,1517426029648,2018-01-31T19:13:49.648Z,sell,0.0004796,102.21,0.049019916
MOD/BTC,1517426053033,2018-01-31T19:14:13.033Z,sell,0.0004795,10.94,0.00524573
MOD/BTC,1517426053065,2018-01-31T19:14:13.065Z,sell,0.0004789,1.04,0.000498056
MOD/BTC,1517426053089,2018-01-31T19:14:13.089Z,sell,0.0004789,45.42,0.021751638
MOD/BTC,1517426053111,2018-01-31T19:14:13.111Z,sell,0.0004785,108.0,0.0516779999999999
MOD/BTC,1517426053160,2018-01-31T19:14:13.160Z,sell,0.0004785,0.4,0.0001914
MOD/BTC,1517426054024,2018-01-31T19:14:14.024Z,sell,0.0004778,21.52,0.010282256
MOD/BTC,1517426062438,2018-01-31T19:14:22.438Z,sell,0.0004778,4.02,0.0019207559999999
MOD/BTC,1517426065484,2018-01-31T19:14:25.484Z,buy,0.0004777,54.07,0.025829239
MOD/BTC,1517426066315,2018-01-31T19:14:26.315Z,sell,0.0004776,4.4,0.00210144
MOD/BTC,1517426070831,2018-01-31T19:14:30.831Z,sell,0.000477,42.44,0.02024388
MOD/BTC,1517426102557,2018-01-31T19:15:02.557Z,sell,0.000477,103.6,0.0494171999999999
MOD/BTC,1517426102670,2018-01-31T19:15:02.670Z,sell,0.000477,6.18,0.0029478599999999
MOD/BTC,1517426122640,2018-01-31T19:15:22.640Z,buy,0.0004773,21.74,0.010376502
MOD/BTC,1517426204080,2018-01-31T19:16:44.080Z,buy,0.0004771,12.33,0.005882643
MOD/BTC,1517426207297,2018-01-31T19:16:47.297Z,sell,0.0004769,22.97,0.010954393
MOD/BTC,1517426207297,2018-01-31T19:16:47.297Z,sell,0.0004767,4.4,0.00209748
MOD/BTC,1517426207297,2018-01-31T19:16:47.297Z,sell,0.0004763,7.59,0.0036151169999999
MOD/BTC,1517426239735,2018-01-31T19:17:19.735Z,buy,0.0004763,16.78,0.007992314
MOD/BTC,1517426282888,2018-01-31T19:18:02.888Z,sell,0.0004762,5.0,0.002381
MOD/BTC,1517426329517,2018-01-31T19:18:49.517Z,buy,0.0004761,22.0,0.0104742
MOD/BTC,1517426363671,2018-01-31T19:19:23.671Z,sell,0.0004758,382.65,0.18206487
MOD/BTC,1517426363676,2018-01-31T19:19:23.676Z,sell,0.0004753,1.05,0.000499065
MOD/BTC,1517426363711,2018-01-31T19:19:23.711Z,sell,0.0004753,28.63,0.013607839
MOD/BTC,1517426363720,2018-01-31T19:19:23.720Z,sell,0.0004753,14.32,0.006806296
MOD/BTC,1517426363720,2018-01-31T19:19:23.720Z,sell,0.0004752,14.31,0.006800112
MOD/BTC,1517426363813,2018-01-31T19:19:23.813Z,sell,0.0004752,157.91,0.075038832
MOD/BTC,1517426420848,2018-01-31T19:20:20.848Z,buy,0.0004751,200.0,0.09502
MOD/BTC,1517426427700,2018-01-31T19:20:27.700Z,sell,0.000475,31.45,0.0149387499999999
MOD/BTC,1517426427708,2018-01-31T19:20:27.708Z,sell,0.000475,1.05,0.00049875
MOD/BTC,1517426472321,2018-01-31T19:21:12.321Z,sell,0.000475,23.2,0.01102
MOD/BTC,1517426537159,2018-01-31T19:22:17.159Z,sell,0.0004749,69.47,0.032991303
MOD/BTC,1517426569621,2018-01-31T19:22:49.621Z,sell,0.0004749,730.0,0.346677
MOD/BTC,1517426617981,2018-01-31T19:23:37.981Z,buy,0.000475,7.75,0.00368125
MOD/BTC,1517426696807,2018-01-31T19:24:56.807Z,buy,0.000475,9.96,0.004731
MOD/BTC,1517426847565,2018-01-31T19:27:27.565Z,buy,0.0004753,21.54,0.010237962
MOD/BTC,1517426883630,2018-01-31T19:28:03.630Z,buy,0.0004753,8.19,0.003892707
MOD/BTC,1517426965093,2018-01-31T19:29:25.093Z,buy,0.0004753,56.27,0.026745131
MOD/BTC,1517426973883,2018-01-31T19:29:33.883Z,buy,0.0004762,2.29,0.0010904979999999
MOD/BTC,1517426973883,2018-01-31T19:29:33.883Z,buy,0.0004763,18.18,0.0086591339999999
MOD/BTC,1517426973883,2018-01-31T19:29:33.883Z,buy,0.0004773,4.4,0.00210012
MOD/BTC,1517426973883,2018-01-31T19:29:33.883Z,buy,0.0004779,64.0,0.0305856
MOD/BTC,1517426973914,2018-01-31T19:29:33.914Z,sell,0.0004779,42.42,0.020272518
MOD/BTC,1517426973973,2018-01-31T19:29:33.973Z,sell,0.0004749,4.93,0.002341257
MOD/BTC,1517426974004,2018-01-31T19:29:34.004Z,sell,0.0004741,5.0,0.0023704999999999
MOD/BTC,1517426974039,2018-01-31T19:29:34.039Z,sell,0.000474,4.34,0.0020571599999999
MOD/BTC,1517426978565,2018-01-31T19:29:38.565Z,buy,0.0004741,30.14,0.0142893739999999
MOD/BTC,1517426988954,2018-01-31T19:29:48.954Z,sell,0.000475,155.75,0.07398125
MOD/BTC,1517427010847,2018-01-31T19:30:10.847Z,buy,0.000475,30.27,0.01437825
MOD/BTC,1517427041307,2018-01-31T19:30:41.307Z,sell,0.0004749,4.4,0.00208956
MOD/BTC,1517427078501,2018-01-31T19:31:18.501Z,buy,0.0004748,8.42,0.0039978159999999
MOD/BTC,1517427110417,2018-01-31T19:31:50.417Z,buy,0.0004746,11.58,0.005495868
MOD/BTC,1517427166692,2018-01-31T19:32:46.692Z,sell,0.000474,0.06,2.844e-05
MOD/BTC,1517427193353,2018-01-31T19:33:13.353Z,sell,0.0004739,5.0,0.0023695
MOD/BTC,1517427333986,2018-01-31T19:35:33.986Z,buy,0.0004737,22.49,0.010653513
MOD/BTC,1517427343300,2018-01-31T19:35:43.300Z,buy,0.0004737,5.58,0.002643246
MOD/BTC,1517427343428,2018-01-31T19:35:43.428Z,buy,0.0004737,0.21,9.9477e-05
MOD/BTC,1517427343428,2018-01-31T19:35:43.428Z,buy,0.0004739,26.27,0.012449353
MOD/BTC,1517427343473,2018-01-31T19:35:43.473Z,buy,0.0004739,22.48,0.010653272
MOD/BTC,1517427343515,2018-01-31T19:35:43.515Z,buy,0.0004739,22.48,0.010653272
MOD/BTC,1517427343554,2018-01-31T19:35:43.554Z,buy,0.0004739,19.85,0.009406915
MOD/BTC,1517427442011,2018-01-31T19:37:22.011Z,buy,0.0004745,5.0,0.0023725
MOD/BTC,1517427442011,2018-01-31T19:37:22.011Z,buy,0.0004746,396.22,0.188046012
MOD/BTC,1517427442011,2018-01-31T19:37:22.011Z,buy,0.0004749,328.23,0.155876427
MOD/BTC,1517427560959,2018-01-31T19:39:20.959Z,buy,0.0004749,300.0,0.1424699999999999
MOD/BTC,1517427617673,2018-01-31T19:40:17.673Z,buy,0.0004749,5.9,0.00280191
MOD/BTC,1517427635670,2018-01-31T19:40:35.670Z,sell,0.0004735,10.43,0.004938605
MOD/BTC,1517427635670,2018-01-31T19:40:35.670Z,sell,0.0004731,4.4,0.00208164
MOD/BTC,1517427635670,2018-01-31T19:40:35.670Z,sell,0.0004727,116.58,0.055107366
MOD/BTC,1517427635670,2018-01-31T19:40:35.670Z,sell,0.0004726,49.5,0.0233937
MOD/BTC,1517427635670,2018-01-31T19:40:35.670Z,sell,0.0004723,11.0,0.0051953
MOD/BTC,1517427635670,2018-01-31T19:40:35.670Z,sell,0.0004722,52.31,0.024700782
MOD/BTC,1517427642640,2018-01-31T19:40:42.640Z,sell,0.0004723,11.0,0.0051953
