symbol,timestamp,datetime,side,price,amount,btc_volume
MTH/BTC,1521396020651,2018-03-18T18:00:20.651Z,buy,1.075e-05,273.0,0.00293475
MTH/BTC,1521396040409,2018-03-18T18:00:40.409Z,sell,1.071e-05,283.0,0.00303093
MTH/BTC,1521396158109,2018-03-18T18:02:38.109Z,buy,1.078e-05,697.0,0.00751366
MTH/BTC,1521396161182,2018-03-18T18:02:41.182Z,buy,1.079e-05,599.0,0.00646321
MTH/BTC,1521396161182,2018-03-18T18:02:41.182Z,buy,1.08e-05,937.0,0.0101196
MTH/BTC,1521396162164,2018-03-18T18:02:42.164Z,sell,1.081e-05,274.0,0.00296194
MTH/BTC,1521396163072,2018-03-18T18:02:43.072Z,sell,1.081e-05,558.0,0.00603198
MTH/BTC,1521396165787,2018-03-18T18:02:45.787Z,sell,1.08e-05,119.0,0.0012852
MTH/BTC,1521396184010,2018-03-18T18:03:04.010Z,buy,1.089e-05,141.0,0.00153549
MTH/BTC,1521396186335,2018-03-18T18:03:06.335Z,sell,1.082e-05,245.0,0.0026509
MTH/BTC,1521396230010,2018-03-18T18:03:50.010Z,sell,1.082e-05,20.0,0.0002164
MTH/BTC,1521396253526,2018-03-18T18:04:13.526Z,buy,1.087e-05,930.0,0.0101091
MTH/BTC,1521396261064,2018-03-18T18:04:21.064Z,buy,1.087e-05,800.0,0.0086959999999999
MTH/BTC,1521396272766,2018-03-18T18:04:32.766Z,sell,1.082e-05,629.0,0.00680578
MTH/BTC,1521396277447,2018-03-18T18:04:37.447Z,sell,1.082e-05,533.0,0.00576706
MTH/BTC,1521396296836,2018-03-18T18:04:56.836Z,buy,1.086e-05,1832.0,0.01989552
MTH/BTC,1521396296837,2018-03-18T18:04:56.837Z,buy,1.086e-05,2807.0,0.0304840199999999
MTH/BTC,1521396296847,2018-03-18T18:04:56.847Z,buy,1.086e-05,915.0,0.0099369
MTH/BTC,1521396296848,2018-03-18T18:04:56.848Z,buy,1.086e-05,2804.0,0.03045144
MTH/BTC,1521396296860,2018-03-18T18:04:56.860Z,buy,1.086e-05,1841.0,0.01999326
MTH/BTC,1521396296923,2018-03-18T18:04:56.923Z,buy,1.086e-05,1841.0,0.01999326
MTH/BTC,1521396296959,2018-03-18T18:04:56.959Z,sell,1.082e-05,911.0,0.00985702
MTH/BTC,1521396303013,2018-03-18T18:05:03.013Z,sell,1.074e-05,217.0,0.00233058
MTH/BTC,1521396304413,2018-03-18T18:05:04.413Z,sell,1.074e-05,112.0,0.00120288
MTH/BTC,1521396312539,2018-03-18T18:05:12.539Z,sell,1.074e-05,1668.0,0.01791432
MTH/BTC,1521396321251,2018-03-18T18:05:21.251Z,sell,1.074e-05,1527.0,0.01639998
MTH/BTC,1521396349701,2018-03-18T18:05:49.701Z,buy,1.075e-05,1128.0,0.012126
MTH/BTC,1521396362410,2018-03-18T18:06:02.410Z,sell,1.075e-05,1372.0,0.014749
MTH/BTC,1521396365899,2018-03-18T18:06:05.899Z,buy,1.075e-05,1935.0,0.02080125
MTH/BTC,1521396366634,2018-03-18T18:06:06.634Z,buy,1.076e-05,560.0,0.0060256
MTH/BTC,1521396367077,2018-03-18T18:06:07.077Z,sell,1.076e-05,1369.0,0.01473044
MTH/BTC,1521396377770,2018-03-18T18:06:17.770Z,buy,1.082e-05,1929.0,0.02087178
MTH/BTC,1521396377792,2018-03-18T18:06:17.792Z,sell,1.082e-05,736.0,0.00796352
MTH/BTC,1521396393874,2018-03-18T18:06:33.874Z,buy,1.085e-05,856.0,0.0092876
MTH/BTC,1521396393874,2018-03-18T18:06:33.874Z,buy,1.086e-05,1951.0,0.02118786
MTH/BTC,1521396408279,2018-03-18T18:06:48.279Z,sell,1.083e-05,838.0,0.00907554
MTH/BTC,1521396417075,2018-03-18T18:06:57.075Z,sell,1.083e-05,216.0,0.00233928
MTH/BTC,1521396504121,2018-03-18T18:08:24.121Z,sell,1.083e-05,2575.0,0.02788725
MTH/BTC,1521396508064,2018-03-18T18:08:28.064Z,sell,1.083e-05,10.0,0.0001083
MTH/BTC,1521396523082,2018-03-18T18:08:43.082Z,sell,1.083e-05,2901.0,0.03141783
MTH/BTC,1521396541413,2018-03-18T18:09:01.413Z,sell,1.08e-05,525.0,0.00567
MTH/BTC,1521396606015,2018-03-18T18:10:06.015Z,sell,1.081e-05,1000.0,0.01081
MTH/BTC,1521396692572,2018-03-18T18:11:32.572Z,sell,1.082e-05,858.0,0.00928356
MTH/BTC,1521396727916,2018-03-18T18:12:07.916Z,buy,1.081e-05,400.0,0.004324
MTH/BTC,1521396731481,2018-03-18T18:12:11.481Z,buy,1.081e-05,691.0,0.00746971
MTH/BTC,1521396831240,2018-03-18T18:13:51.240Z,buy,1.085e-05,770.0,0.0083544999999999
MTH/BTC,1521396831290,2018-03-18T18:13:51.290Z,buy,1.085e-05,230.0,0.0024955
MTH/BTC,1521396849432,2018-03-18T18:14:09.432Z,buy,1.086e-05,1000.0,0.01086
MTH/BTC,1521396861831,2018-03-18T18:14:21.831Z,buy,1.086e-05,710.0,0.0077106
MTH/BTC,1521396884766,2018-03-18T18:14:44.766Z,buy,1.088e-05,1487.0,0.0161785599999999
MTH/BTC,1521396908049,2018-03-18T18:15:08.049Z,buy,1.088e-05,1835.0,0.0199647999999999
MTH/BTC,1521396908072,2018-03-18T18:15:08.072Z,buy,1.088e-05,802.0,0.0087257599999999
MTH/BTC,1521396908072,2018-03-18T18:15:08.072Z,buy,1.09e-05,434.0,0.0047306
MTH/BTC,1521396908072,2018-03-18T18:15:08.072Z,buy,1.097e-05,1207.0,0.01324079
MTH/BTC,1521396908178,2018-03-18T18:15:08.178Z,sell,1.086e-05,1835.0,0.0199280999999999
MTH/BTC,1521396909270,2018-03-18T18:15:09.270Z,buy,1.088e-05,984.0,0.0107059199999999
MTH/BTC,1521396912427,2018-03-18T18:15:12.427Z,buy,1.095e-05,3793.0,0.04153335
MTH/BTC,1521396912427,2018-03-18T18:15:12.427Z,buy,1.096e-05,11193.0,0.12267528
MTH/BTC,1521396941986,2018-03-18T18:15:41.986Z,buy,1.095e-05,1938.0,0.0212211
MTH/BTC,1521396953912,2018-03-18T18:15:53.912Z,buy,1.094e-05,2000.0,0.02188
MTH/BTC,1521396957732,2018-03-18T18:15:57.732Z,buy,1.094e-05,2288.0,0.02503072
MTH/BTC,1521396992353,2018-03-18T18:16:32.353Z,sell,1.091e-05,916.0,0.00999356
MTH/BTC,1521396992480,2018-03-18T18:16:32.480Z,sell,1.091e-05,439.0,0.00478949
MTH/BTC,1521397206846,2018-03-18T18:20:06.846Z,buy,1.097e-05,100.0,0.001097
MTH/BTC,1521397241949,2018-03-18T18:20:41.949Z,buy,1.097e-05,1255.0,0.01376735
MTH/BTC,1521397266737,2018-03-18T18:21:06.737Z,buy,1.098e-05,5883.0,0.06459534
MTH/BTC,1521397282785,2018-03-18T18:21:22.785Z,sell,1.097e-05,745.0,0.00817265
MTH/BTC,1521397282785,2018-03-18T18:21:22.785Z,sell,1.096e-05,100.0,0.001096
MTH/BTC,1521397283265,2018-03-18T18:21:23.265Z,buy,1.096e-05,762.0,0.00835152
MTH/BTC,1521397289107,2018-03-18T18:21:29.107Z,buy,1.096e-05,330.0,0.0036168
MTH/BTC,1521397299348,2018-03-18T18:21:39.348Z,buy,1.096e-05,1100.0,0.012056
MTH/BTC,1521397303053,2018-03-18T18:21:43.053Z,sell,1.095e-05,200.0,0.00219
MTH/BTC,1521397303109,2018-03-18T18:21:43.109Z,buy,1.094e-05,450.0,0.004923
MTH/BTC,1521397303166,2018-03-18T18:21:43.166Z,buy,1.094e-05,450.0,0.004923
MTH/BTC,1521397303256,2018-03-18T18:21:43.256Z,buy,1.094e-05,422.0,0.00461668
MTH/BTC,1521397303322,2018-03-18T18:21:43.322Z,sell,1.093e-05,914.0,0.00999002
MTH/BTC,1521397307138,2018-03-18T18:21:47.138Z,buy,1.094e-05,1000.0,0.01094
MTH/BTC,1521397316907,2018-03-18T18:21:56.907Z,buy,1.094e-05,770.0,0.0084238
MTH/BTC,1521397384973,2018-03-18T18:23:04.973Z,buy,1.099e-05,100.0,0.001099
MTH/BTC,1521397405633,2018-03-18T18:23:25.633Z,sell,1.098e-05,100.0,0.001098
MTH/BTC,1521397405633,2018-03-18T18:23:25.633Z,sell,1.096e-05,88.0,0.00096448
MTH/BTC,1521397419397,2018-03-18T18:23:39.397Z,buy,1.099e-05,100.0,0.001099
MTH/BTC,1521397477814,2018-03-18T18:24:37.814Z,buy,1.099e-05,100.0,0.001099
MTH/BTC,1521397500368,2018-03-18T18:25:00.368Z,sell,1.098e-05,100.0,0.001098
MTH/BTC,1521397500368,2018-03-18T18:25:00.368Z,sell,1.096e-05,12.0,0.00013152
MTH/BTC,1521397500368,2018-03-18T18:25:00.368Z,sell,1.094e-05,1230.0,0.0134562
MTH/BTC,1521397500368,2018-03-18T18:25:00.368Z,sell,1.092e-05,1169.0,0.01276548
MTH/BTC,1521397500415,2018-03-18T18:25:00.415Z,sell,1.092e-05,831.0,0.00907452
MTH/BTC,1521397500415,2018-03-18T18:25:00.415Z,sell,1.09e-05,15.0,0.0001635
MTH/BTC,1521397507422,2018-03-18T18:25:07.422Z,sell,1.091e-05,129.0,0.00140739
MTH/BTC,1521397513964,2018-03-18T18:25:13.964Z,buy,1.099e-05,200.0,0.002198
MTH/BTC,1521397524398,2018-03-18T18:25:24.398Z,buy,1.099e-05,28780.0,0.3162921999999999
MTH/BTC,1521397534907,2018-03-18T18:25:34.907Z,buy,1.1e-05,1000.0,0.011
MTH/BTC,1521397599110,2018-03-18T18:26:39.110Z,buy,1.1e-05,2780.0,0.03058
MTH/BTC,1521397599177,2018-03-18T18:26:39.177Z,sell,1.1e-05,719.0,0.007909
MTH/BTC,1521397599245,2018-03-18T18:26:39.245Z,sell,1.1e-05,168.0,0.001848
MTH/BTC,1521397607097,2018-03-18T18:26:47.097Z,sell,1.1e-05,443.0,0.004873
MTH/BTC,1521397628308,2018-03-18T18:27:08.308Z,sell,1.1e-05,10000.0,0.11
MTH/BTC,1521397660642,2018-03-18T18:27:40.642Z,buy,1.105e-05,266.0,0.0029392999999999
MTH/BTC,1521397660642,2018-03-18T18:27:40.642Z,buy,1.106e-05,852.0,0.00942312
MTH/BTC,1521397664079,2018-03-18T18:27:44.079Z,sell,1.103e-05,1.0,1.103e-05
MTH/BTC,1521397673588,2018-03-18T18:27:53.588Z,sell,1.101e-05,847.0,0.0093254699999999
