symbol,timestamp,datetime,side,price,amount,btc_volume
NAS/BTC,1607709658832,2020-12-11T18:00:58.832Z,sell,1.61e-05,333.09,0.0053627489999999
NAS/BTC,1607709692878,2020-12-11T18:01:32.878Z,sell,1.61e-05,219.79,0.0035386189999999
NAS/BTC,1607709746104,2020-12-11T18:02:26.104Z,sell,1.61e-05,195.88,0.0031536679999999
NAS/BTC,1607709821728,2020-12-11T18:03:41.728Z,sell,1.61e-05,180.92,0.0029128119999999
NAS/BTC,1607709911593,2020-12-11T18:05:11.593Z,sell,1.61e-05,211.03,0.0033975829999999
NAS/BTC,1607709948582,2020-12-11T18:05:48.582Z,sell,1.61e-05,330.29,0.005317669
NAS/BTC,1607710028094,2020-12-11T18:07:08.094Z,sell,1.61e-05,362.38,0.0058343179999999
NAS/BTC,1607710091599,2020-12-11T18:08:11.599Z,sell,1.61e-05,185.8,0.00299138
NAS/BTC,1607710121367,2020-12-11T18:08:41.367Z,sell,1.61e-05,254.6,0.00409906
NAS/BTC,1607710209100,2020-12-11T18:10:09.100Z,sell,1.61e-05,134.47,0.002164967
NAS/BTC,1607710256802,2020-12-11T18:10:56.802Z,sell,1.61e-05,251.17,0.004043837
NAS/BTC,1607710316674,2020-12-11T18:11:56.674Z,sell,1.61e-05,356.38,0.0057377179999999
NAS/BTC,1607710389089,2020-12-11T18:13:09.089Z,sell,1.61e-05,206.14,0.0033188539999999
NAS/BTC,1607710452091,2020-12-11T18:14:12.091Z,sell,1.61e-05,156.44,0.0025186839999999
NAS/BTC,1607710533133,2020-12-11T18:15:33.133Z,sell,1.61e-05,371.94,0.0059882339999999
NAS/BTC,1607710584117,2020-12-11T18:16:24.117Z,sell,1.61e-05,143.91,0.002316951
NAS/BTC,1607710657733,2020-12-11T18:17:37.733Z,sell,1.61e-05,280.42,0.0045147619999999
NAS/BTC,1607710661125,2020-12-11T18:17:41.125Z,sell,1.61e-05,5836.91,0.093974251
NAS/BTC,1607710726762,2020-12-11T18:18:46.762Z,sell,1.61e-05,161.44,0.0025991839999999
NAS/BTC,1607710790782,2020-12-11T18:19:50.782Z,sell,1.61e-05,353.11,0.005685071
NAS/BTC,1607710831607,2020-12-11T18:20:31.607Z,sell,1.61e-05,258.59,0.0041632989999999
NAS/BTC,1607710920005,2020-12-11T18:22:00.005Z,sell,1.61e-05,239.27,0.0038522469999999
NAS/BTC,1607710980365,2020-12-11T18:23:00.365Z,buy,1.62e-05,107.31,0.001738422
NAS/BTC,1607711002609,2020-12-11T18:23:22.609Z,sell,1.61e-05,172.91,0.0027838509999999
NAS/BTC,1607711076850,2020-12-11T18:24:36.850Z,sell,1.61e-05,264.17,0.004253137
NAS/BTC,1607711125607,2020-12-11T18:25:25.607Z,sell,1.61e-05,321.27,0.0051724469999999
NAS/BTC,1607711211921,2020-12-11T18:26:51.921Z,sell,1.61e-05,158.78,0.002556358
NAS/BTC,1607711251107,2020-12-11T18:27:31.107Z,sell,1.61e-05,169.85,0.0027345849999999
NAS/BTC,1607711335425,2020-12-11T18:28:55.425Z,sell,1.61e-05,284.81,0.0045854409999999
NAS/BTC,1607711392827,2020-12-11T18:29:52.827Z,sell,1.61e-05,170.99,0.002752939
NAS/BTC,1607711441467,2020-12-11T18:30:41.467Z,sell,1.61e-05,365.07,0.0058776269999999
NAS/BTC,1607711520535,2020-12-11T18:32:00.535Z,sell,1.61e-05,340.73,0.0054857529999999
NAS/BTC,1607711581587,2020-12-11T18:33:01.587Z,sell,1.61e-05,253.76,0.004085536
NAS/BTC,1607711651593,2020-12-11T18:34:11.593Z,sell,1.61e-05,247.21,0.003980081
NAS/BTC,1607711713101,2020-12-11T18:35:13.101Z,sell,1.61e-05,163.78,0.0026368579999999
NAS/BTC,1607711787606,2020-12-11T18:36:27.606Z,sell,1.61e-05,152.83,0.002460563
NAS/BTC,1607711830283,2020-12-11T18:37:10.283Z,sell,1.61e-05,217.07,0.0034948269999999
NAS/BTC,1607711861463,2020-12-11T18:37:41.463Z,sell,1.61e-05,62.65,0.001008665
NAS/BTC,1607711885785,2020-12-11T18:38:05.785Z,sell,1.61e-05,324.62,0.005226382
NAS/BTC,1607711925080,2020-12-11T18:38:45.080Z,sell,1.61e-05,144.41,0.0023250009999999
NAS/BTC,1607711983461,2020-12-11T18:39:43.461Z,sell,1.61e-05,336.52,0.0054179719999999
NAS/BTC,1607712049335,2020-12-11T18:40:49.335Z,sell,1.61e-05,249.09,0.004010349
NAS/BTC,1607712090615,2020-12-11T18:41:30.615Z,sell,1.61e-05,279.37,0.0044978569999999
NAS/BTC,1607712129595,2020-12-11T18:42:09.595Z,sell,1.61e-05,130.81,0.002106041
NAS/BTC,1607712213109,2020-12-11T18:43:33.109Z,sell,1.61e-05,325.09,0.0052339489999999
NAS/BTC,1607712245431,2020-12-11T18:44:05.431Z,buy,1.62e-05,126.0,0.0020412
NAS/BTC,1607712279500,2020-12-11T18:44:39.500Z,buy,1.62e-05,313.64,0.005080968
NAS/BTC,1607712351635,2020-12-11T18:45:51.635Z,sell,1.61e-05,325.46,0.0052399059999999
NAS/BTC,1607712364610,2020-12-11T18:46:04.610Z,buy,1.62e-05,6.22,0.000100764
NAS/BTC,1607712378330,2020-12-11T18:46:18.330Z,buy,1.63e-05,458.09,0.0074668669999999
NAS/BTC,1607712409832,2020-12-11T18:46:49.832Z,buy,1.62e-05,183.59,0.002974158
NAS/BTC,1607712452829,2020-12-11T18:47:32.829Z,sell,1.62e-05,190.62,0.003088044
NAS/BTC,1607712495792,2020-12-11T18:48:15.792Z,sell,1.62e-05,243.59,0.003946158
NAS/BTC,1607712561104,2020-12-11T18:49:21.104Z,sell,1.62e-05,356.33,0.005772546
NAS/BTC,1607712623302,2020-12-11T18:50:23.302Z,sell,1.62e-05,290.88,0.004712256
NAS/BTC,1607712661614,2020-12-11T18:51:01.614Z,sell,1.61e-05,126.76,0.002040836
NAS/BTC,1607712664086,2020-12-11T18:51:04.086Z,sell,1.62e-05,179.05,0.00290061
NAS/BTC,1607712718110,2020-12-11T18:51:58.110Z,buy,1.62e-05,231.82,0.003755484
NAS/BTC,1607712768809,2020-12-11T18:52:48.809Z,buy,1.62e-05,201.95,0.00327159
NAS/BTC,1607712858797,2020-12-11T18:54:18.797Z,sell,1.62e-05,232.25,0.00376245
NAS/BTC,1607712898991,2020-12-11T18:54:58.991Z,buy,1.62e-05,330.16,0.005348592
NAS/BTC,1607712968593,2020-12-11T18:56:08.593Z,sell,1.62e-05,165.21,0.002676402
NAS/BTC,1607713026595,2020-12-11T18:57:06.595Z,buy,1.62e-05,366.97,0.005944914
NAS/BTC,1607713116126,2020-12-11T18:58:36.126Z,sell,1.62e-05,199.1,0.00322542
NAS/BTC,1607713151101,2020-12-11T18:59:11.101Z,buy,1.62e-05,201.41,0.003262842
NAS/BTC,1607713190433,2020-12-11T18:59:50.433Z,sell,1.62e-05,171.56,0.002779272
NAS/BTC,1607713190433,2020-12-11T18:59:50.433Z,sell,1.62e-05,171.56,0.002779272
NAS/BTC,1607713258916,2020-12-11T19:00:58.916Z,sell,1.62e-05,159.47,0.002583414
NAS/BTC,1607713343112,2020-12-11T19:02:23.112Z,sell,1.62e-05,177.23,0.002871126
NAS/BTC,1607713374413,2020-12-11T19:02:54.413Z,buy,1.62e-05,146.13,0.002367306
NAS/BTC,1607713446090,2020-12-11T19:04:06.090Z,sell,1.62e-05,204.57,0.003314034
NAS/BTC,1607713518603,2020-12-11T19:05:18.603Z,buy,1.62e-05,334.38,0.005416956
NAS/BTC,1607713567280,2020-12-11T19:06:07.280Z,sell,1.62e-05,331.87,0.005376294
NAS/BTC,1607713622589,2020-12-11T19:07:02.589Z,buy,1.62e-05,200.39,0.0032463179999999
NAS/BTC,1607713707620,2020-12-11T19:08:27.620Z,buy,1.62e-05,172.71,0.002797902
NAS/BTC,1607713774129,2020-12-11T19:09:34.129Z,buy,1.62e-05,244.41,0.003959442
