symbol,timestamp,datetime,side,price,amount,btc_volume
NAV/BTC,1563652919169,2019-07-20T20:01:59.169Z,sell,1.25e-05,96.91,0.001211375
NAV/BTC,1563652944528,2019-07-20T20:02:24.528Z,sell,1.25e-05,170.06,0.00212575
NAV/BTC,1563654309096,2019-07-20T20:25:09.096Z,buy,1.26e-05,476.19,0.005999994
NAV/BTC,1563655033067,2019-07-20T20:37:13.067Z,sell,1.26e-05,23.29,0.0002934539999999
NAV/BTC,1563655033931,2019-07-20T20:37:13.931Z,sell,1.26e-05,749.0,0.0094374
NAV/BTC,1563655033962,2019-07-20T20:37:13.962Z,sell,1.26e-05,1223.73,0.015418998
NAV/BTC,1563655908119,2019-07-20T20:51:48.119Z,sell,1.25e-05,115.27,0.001440875
NAV/BTC,1563656306322,2019-07-20T20:58:26.322Z,sell,1.25e-05,4500.0,0.05625
NAV/BTC,1563656383652,2019-07-20T20:59:43.652Z,buy,1.26e-05,3197.79,0.040292154
NAV/BTC,1563656384370,2019-07-20T20:59:44.370Z,sell,1.26e-05,1469.12,0.0185109119999999
NAV/BTC,1563656384686,2019-07-20T20:59:44.686Z,sell,1.26e-05,600.0,0.00756
NAV/BTC,1563656384752,2019-07-20T20:59:44.752Z,sell,1.26e-05,653.01,0.008227926
NAV/BTC,1563656384835,2019-07-20T20:59:44.835Z,sell,1.26e-05,1469.12,0.0185109119999999
NAV/BTC,1563656385271,2019-07-20T20:59:45.271Z,sell,1.26e-05,366.75,0.00462105
NAV/BTC,1563656385271,2019-07-20T20:59:45.271Z,sell,1.26e-05,366.75,0.00462105
NAV/BTC,1563657140953,2019-07-20T21:12:20.953Z,sell,1.26e-05,87.98,0.001108548
NAV/BTC,1563657310383,2019-07-20T21:15:10.383Z,sell,1.26e-05,99.8,0.0012574799999999
NAV/BTC,1563657310383,2019-07-20T21:15:10.383Z,sell,1.26e-05,99.8,0.0012574799999999
NAV/BTC,1563660272124,2019-07-20T22:04:32.124Z,buy,1.27e-05,5020.07,0.063754889
NAV/BTC,1563660653344,2019-07-20T22:10:53.344Z,sell,1.26e-05,102.64,0.001293264
NAV/BTC,1563660653344,2019-07-20T22:10:53.344Z,sell,1.26e-05,102.64,0.001293264
NAV/BTC,1563661142509,2019-07-20T22:19:02.509Z,buy,1.27e-05,810.3,0.01029081
NAV/BTC,1563661457366,2019-07-20T22:24:17.366Z,sell,1.26e-05,1850.0,0.02331
NAV/BTC,1563661529575,2019-07-20T22:25:29.575Z,sell,1.27e-05,193.77,0.002460879
NAV/BTC,1563661763697,2019-07-20T22:29:23.697Z,sell,1.26e-05,1024.68,0.012910968
NAV/BTC,1563663041971,2019-07-20T22:50:41.971Z,sell,1.26e-05,74.2,0.00093492
NAV/BTC,1563663233452,2019-07-20T22:53:53.452Z,buy,1.27e-05,8.24,0.000104648
NAV/BTC,1563663252521,2019-07-20T22:54:12.521Z,sell,1.26e-05,14.24,0.000179424
NAV/BTC,1563663912078,2019-07-20T23:05:12.078Z,sell,1.26e-05,9.37,0.0001180619999999
NAV/BTC,1563663930165,2019-07-20T23:05:30.165Z,sell,1.26e-05,189.16,0.0023834159999999
NAV/BTC,1563664030678,2019-07-20T23:07:10.678Z,sell,1.26e-05,122.54,0.001544004
NAV/BTC,1563664030678,2019-07-20T23:07:10.678Z,sell,1.26e-05,122.54,0.001544004
NAV/BTC,1563664314218,2019-07-20T23:11:54.218Z,sell,1.26e-05,111.49,0.001404774
NAV/BTC,1563664628790,2019-07-20T23:17:08.790Z,sell,1.26e-05,1698.43,0.021400218
NAV/BTC,1563664633472,2019-07-20T23:17:13.472Z,sell,1.26e-05,421.91,0.005316066
NAV/BTC,1563664634137,2019-07-20T23:17:14.137Z,sell,1.26e-05,23.29,0.0002934539999999
NAV/BTC,1563664634330,2019-07-20T23:17:14.330Z,sell,1.26e-05,23.29,0.0002934539999999
NAV/BTC,1563665053674,2019-07-20T23:24:13.674Z,buy,1.27e-05,30.13,0.000382651
NAV/BTC,1563665992592,2019-07-20T23:39:52.592Z,sell,1.26e-05,23.29,0.0002934539999999
NAV/BTC,1563666013592,2019-07-20T23:40:13.592Z,sell,1.26e-05,153.1,0.0019290599999999
NAV/BTC,1563666202764,2019-07-20T23:43:22.764Z,sell,1.26e-05,542.94,0.006841044
NAV/BTC,1563666267162,2019-07-20T23:44:27.162Z,sell,1.26e-05,663.87,0.008364762
NAV/BTC,1563666267355,2019-07-20T23:44:27.355Z,sell,1.26e-05,92.36,0.001163736
NAV/BTC,1563666345071,2019-07-20T23:45:45.071Z,buy,1.27e-05,23.29,0.000295783
NAV/BTC,1563666629055,2019-07-20T23:50:29.055Z,buy,1.27e-05,1509.23,0.019167221
NAV/BTC,1563667168210,2019-07-20T23:59:28.210Z,sell,1.26e-05,319.28,0.0040229279999999
NAV/BTC,1563667255643,2019-07-21T00:00:55.643Z,sell,1.26e-05,319.28,0.0040229279999999
NAV/BTC,1563667550485,2019-07-21T00:05:50.485Z,sell,1.26e-05,1077.3,0.01357398
NAV/BTC,1563667556267,2019-07-21T00:05:56.267Z,sell,1.26e-05,295.34,0.0037212839999999
