symbol,timestamp,datetime,side,price,amount,btc_volume
NEBL/BTC,1571932806023,2019-10-24T16:00:06.023Z,sell,5.665e-05,3.0,0.00016995
NEBL/BTC,1571932832415,2019-10-24T16:00:32.415Z,sell,5.665e-05,475.0,0.02690875
NEBL/BTC,1571932832415,2019-10-24T16:00:32.415Z,sell,5.657e-05,681.0,0.03852417
NEBL/BTC,1571932832415,2019-10-24T16:00:32.415Z,sell,5.656e-05,321.0,0.01815576
NEBL/BTC,1571932843613,2019-10-24T16:00:43.613Z,sell,5.656e-05,369.0,0.02087064
NEBL/BTC,1571933214434,2019-10-24T16:06:54.434Z,buy,5.666e-05,39.0,0.00220974
NEBL/BTC,1571933214434,2019-10-24T16:06:54.434Z,buy,5.667e-05,135.0,0.00765045
NEBL/BTC,1571933214493,2019-10-24T16:06:54.493Z,sell,5.667e-05,63.0,0.00357021
NEBL/BTC,1571934597798,2019-10-24T16:29:57.798Z,buy,5.667e-05,11.0,0.0006233699999999
NEBL/BTC,1571934945548,2019-10-24T16:35:45.548Z,sell,5.641e-05,30.0,0.0016922999999999
NEBL/BTC,1571935024586,2019-10-24T16:37:04.586Z,buy,5.667e-05,8.0,0.00045336
NEBL/BTC,1571935386796,2019-10-24T16:43:06.796Z,buy,5.667e-05,2.0,0.00011334
NEBL/BTC,1571935640964,2019-10-24T16:47:20.964Z,buy,5.667e-05,30.0,0.0017001
NEBL/BTC,1571935646454,2019-10-24T16:47:26.454Z,sell,5.647e-05,265.0,0.01496455
NEBL/BTC,1571935808483,2019-10-24T16:50:08.483Z,buy,5.667e-05,12.0,0.00068004
NEBL/BTC,1571935901164,2019-10-24T16:51:41.164Z,buy,5.667e-05,27.0,0.00153009
NEBL/BTC,1571936131383,2019-10-24T16:55:31.383Z,buy,5.667e-05,36.0,0.00204012
NEBL/BTC,1571936389136,2019-10-24T16:59:49.136Z,buy,5.667e-05,4.0,0.00022668
NEBL/BTC,1571936389136,2019-10-24T16:59:49.136Z,buy,5.667e-05,4.0,0.00022668
NEBL/BTC,1571936422738,2019-10-24T17:00:22.738Z,buy,5.667e-05,319.0,0.01807773
NEBL/BTC,1571936422738,2019-10-24T17:00:22.738Z,buy,5.668e-05,74.0,0.00419432
NEBL/BTC,1571936422775,2019-10-24T17:00:22.775Z,sell,5.668e-05,79.0,0.00447772
NEBL/BTC,1571936445510,2019-10-24T17:00:45.510Z,sell,5.65e-05,252.0,0.0142379999999999
NEBL/BTC,1571936445510,2019-10-24T17:00:45.510Z,sell,5.649e-05,1393.0,0.07869057
NEBL/BTC,1571936445535,2019-10-24T17:00:45.535Z,buy,5.649e-05,175.0,0.00988575
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.669e-05,219.0,0.01241511
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.67e-05,209.0,0.0118503
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.671e-05,67.0,0.00379957
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.675e-05,43.0,0.0024402499999999
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.677e-05,35.0,0.00198695
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.678e-05,2.0,0.00011356
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.681e-05,248.0,0.01408888
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.682e-05,81.0,0.00460242
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.684e-05,31.0,0.0017620399999999
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.687e-05,8.0,0.00045496
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.69e-05,38.0,0.0021622
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.691e-05,21.0,0.00119511
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.694e-05,2.0,0.00011388
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.695e-05,34.0,0.0019363
NEBL/BTC,1571936513593,2019-10-24T17:01:53.593Z,buy,5.699e-05,67.0,0.00381833
NEBL/BTC,1571936678152,2019-10-24T17:04:38.152Z,sell,5.657e-05,100.0,0.005657
NEBL/BTC,1571937354536,2019-10-24T17:15:54.536Z,sell,5.659e-05,26.0,0.00147134
NEBL/BTC,1571938120063,2019-10-24T17:28:40.063Z,sell,5.663e-05,12.0,0.00067956
NEBL/BTC,1571938120063,2019-10-24T17:28:40.063Z,sell,5.662e-05,4.0,0.00022648
NEBL/BTC,1571938243397,2019-10-24T17:30:43.397Z,buy,5.699e-05,25.0,0.00142475
NEBL/BTC,1571938373329,2019-10-24T17:32:53.329Z,sell,5.663e-05,25.0,0.00141575
NEBL/BTC,1571938373370,2019-10-24T17:32:53.370Z,buy,5.663e-05,17.0,0.00096271
NEBL/BTC,1571938373418,2019-10-24T17:32:53.418Z,buy,5.663e-05,17.0,0.00096271
NEBL/BTC,1571938387883,2019-10-24T17:33:07.883Z,buy,5.663e-05,289.0,0.01636607
NEBL/BTC,1571938435778,2019-10-24T17:33:55.778Z,buy,5.696e-05,2.0,0.00011392
NEBL/BTC,1571939064403,2019-10-24T17:44:24.403Z,sell,5.659e-05,9.0,0.00050931
NEBL/BTC,1571939064403,2019-10-24T17:44:24.403Z,sell,5.657e-05,7.0,0.00039599
NEBL/BTC,1571939086710,2019-10-24T17:44:46.710Z,sell,5.657e-05,189.0,0.01069173
NEBL/BTC,1571939441358,2019-10-24T17:50:41.358Z,sell,5.658e-05,2.0,0.00011316
NEBL/BTC,1571939442823,2019-10-24T17:50:42.823Z,buy,5.658e-05,19.0,0.0010750199999999
NEBL/BTC,1571939605507,2019-10-24T17:53:25.507Z,sell,5.657e-05,95.0,0.00537415
NEBL/BTC,1571939605529,2019-10-24T17:53:25.529Z,buy,5.657e-05,405.0,0.02291085
NEBL/BTC,1571939646735,2019-10-24T17:54:06.735Z,sell,5.651e-05,12.0,0.0006781199999999
NEBL/BTC,1571939646735,2019-10-24T17:54:06.735Z,sell,5.649e-05,4.0,0.00022596
NEBL/BTC,1571939646735,2019-10-24T17:54:06.735Z,sell,5.645e-05,317.0,0.01789465
NEBL/BTC,1571939646735,2019-10-24T17:54:06.735Z,sell,5.643e-05,88.0,0.00496584
NEBL/BTC,1571939646735,2019-10-24T17:54:06.735Z,sell,5.642e-05,176.0,0.00992992
NEBL/BTC,1571939646753,2019-10-24T17:54:06.753Z,buy,5.642e-05,372.0,0.02098824
NEBL/BTC,1571939646753,2019-10-24T17:54:06.753Z,buy,5.642e-05,372.0,0.02098824
NEBL/BTC,1571940391694,2019-10-24T18:06:31.694Z,buy,5.65e-05,398.0,0.022487
NEBL/BTC,1571940397202,2019-10-24T18:06:37.202Z,buy,5.681e-05,2.0,0.00011362
NEBL/BTC,1571940582117,2019-10-24T18:09:42.117Z,sell,5.643e-05,43.0,0.00242649
NEBL/BTC,1571940582117,2019-10-24T18:09:42.117Z,sell,5.642e-05,72.0,0.00406224
NEBL/BTC,1571940582117,2019-10-24T18:09:42.117Z,sell,5.64e-05,84.0,0.0047376
NEBL/BTC,1571941101516,2019-10-24T18:18:21.516Z,sell,5.64e-05,100.0,0.00564
NEBL/BTC,1571941873597,2019-10-24T18:31:13.597Z,sell,5.639e-05,3.0,0.00016917
NEBL/BTC,1571941873597,2019-10-24T18:31:13.597Z,sell,5.636e-05,31.0,0.00174716
NEBL/BTC,1571941873597,2019-10-24T18:31:13.597Z,sell,5.633e-05,2.0,0.00011266
NEBL/BTC,1571941873597,2019-10-24T18:31:13.597Z,sell,5.629e-05,143.0,0.00804947
NEBL/BTC,1571942394472,2019-10-24T18:39:54.472Z,buy,5.67e-05,327.0,0.0185409
NEBL/BTC,1571942394508,2019-10-24T18:39:54.508Z,sell,5.67e-05,75.0,0.0042525
NEBL/BTC,1571942394508,2019-10-24T18:39:54.508Z,sell,5.67e-05,75.0,0.0042525
NEBL/BTC,1571944547094,2019-10-24T19:15:47.094Z,buy,5.663e-05,9.0,0.0005096699999999
NEBL/BTC,1571945165315,2019-10-24T19:26:05.315Z,sell,5.64e-05,78.0,0.0043992
NEBL/BTC,1571945165315,2019-10-24T19:26:05.315Z,sell,5.639e-05,3.0,0.00016917
NEBL/BTC,1571945165315,2019-10-24T19:26:05.315Z,sell,5.629e-05,755.0,0.04249895
NEBL/BTC,1571945306217,2019-10-24T19:28:26.217Z,sell,5.63e-05,21.0,0.0011823
NEBL/BTC,1571945648231,2019-10-24T19:34:08.231Z,buy,5.661e-05,79.0,0.00447219
NEBL/BTC,1571945648251,2019-10-24T19:34:08.251Z,buy,5.662e-05,337.0,0.0190809399999999
NEBL/BTC,1571945648254,2019-10-24T19:34:08.254Z,buy,5.662e-05,79.0,0.00447298
NEBL/BTC,1571945648302,2019-10-24T19:34:08.302Z,sell,5.661e-05,285.0,0.01613385
NEBL/BTC,1571945650232,2019-10-24T19:34:10.232Z,sell,5.631e-05,115.0,0.00647565
NEBL/BTC,1571945650232,2019-10-24T19:34:10.232Z,sell,5.63e-05,91.0,0.0051233
NEBL/BTC,1571945941058,2019-10-24T19:39:01.058Z,buy,5.661e-05,6.0,0.00033966
NEBL/BTC,1571945941058,2019-10-24T19:39:01.058Z,buy,5.661e-05,6.0,0.00033966
NEBL/BTC,1571946825236,2019-10-24T19:53:45.236Z,buy,5.661e-05,1.0,5.661e-05
NEBL/BTC,1571947368929,2019-10-24T20:02:48.929Z,sell,5.63e-05,88.0,0.0049544
NEBL/BTC,1571947368929,2019-10-24T20:02:48.929Z,sell,5.629e-05,111.0,0.00624819
NEBL/BTC,1571947500293,2019-10-24T20:05:00.293Z,buy,5.66e-05,2.0,0.0001132
NEBL/BTC,1571947529053,2019-10-24T20:05:29.053Z,sell,5.654e-05,707.0,0.03997378
NEBL/BTC,1571947844331,2019-10-24T20:10:44.331Z,buy,5.633e-05,119.0,0.00670327
NEBL/BTC,1571947846128,2019-10-24T20:10:46.128Z,buy,5.649e-05,10.0,0.0005649
NEBL/BTC,1571947901908,2019-10-24T20:11:41.908Z,buy,5.64e-05,67.0,0.0037788
NEBL/BTC,1571947912445,2019-10-24T20:11:52.445Z,buy,5.64e-05,32.0,0.0018048
NEBL/BTC,1571948002891,2019-10-24T20:13:22.891Z,buy,5.637e-05,38.0,0.00214206
NEBL/BTC,1571948199348,2019-10-24T20:16:39.348Z,buy,5.633e-05,189.0,0.0106463699999999
NEBL/BTC,1571948222875,2019-10-24T20:17:02.875Z,buy,5.637e-05,27.0,0.00152199
NEBL/BTC,1571948228379,2019-10-24T20:17:08.379Z,buy,5.638e-05,20.0,0.0011275999999999
NEBL/BTC,1571948232897,2019-10-24T20:17:12.897Z,buy,5.639e-05,30.0,0.0016917
NEBL/BTC,1571948242693,2019-10-24T20:17:22.693Z,buy,5.64e-05,31.0,0.0017484
NEBL/BTC,1571948290638,2019-10-24T20:18:10.638Z,buy,5.64e-05,2.0,0.0001128
NEBL/BTC,1571948301641,2019-10-24T20:18:21.641Z,buy,5.64e-05,2.0,0.0001128
NEBL/BTC,1571948457959,2019-10-24T20:20:57.959Z,buy,5.64e-05,209.0,0.0117876
NEBL/BTC,1571948995272,2019-10-24T20:29:55.272Z,sell,5.64e-05,442.0,0.0249288
NEBL/BTC,1571948995272,2019-10-24T20:29:55.272Z,sell,5.629e-05,337.0,0.01896973
NEBL/BTC,1571949009849,2019-10-24T20:30:09.849Z,buy,5.655e-05,10.0,0.0005655
NEBL/BTC,1571949009849,2019-10-24T20:30:09.849Z,buy,5.655e-05,10.0,0.0005655
NEBL/BTC,1571950092388,2019-10-24T20:48:12.388Z,sell,5.629e-05,476.0,0.0267940399999999
