symbol,timestamp,datetime,side,price,amount,btc_volume
NULS/BTC,1579366828807,2020-01-18T17:00:28.807Z,buy,3.066e-05,240.0,0.0073584
NULS/BTC,1579366830017,2020-01-18T17:00:30.017Z,buy,3.066e-05,166.0,0.00508956
NULS/BTC,1579366830705,2020-01-18T17:00:30.705Z,buy,3.066e-05,100.0,0.003066
NULS/BTC,1579366831714,2020-01-18T17:00:31.714Z,buy,3.066e-05,184.0,0.00564144
NULS/BTC,1579366833007,2020-01-18T17:00:33.007Z,buy,3.066e-05,128.0,0.00392448
NULS/BTC,1579366834016,2020-01-18T17:00:34.016Z,buy,3.066e-05,88.0,0.00269808
NULS/BTC,1579366835577,2020-01-18T17:00:35.577Z,buy,3.066e-05,65.0,0.0019929
NULS/BTC,1579366835587,2020-01-18T17:00:35.587Z,buy,3.066e-05,107.0,0.00328062
NULS/BTC,1579366850924,2020-01-18T17:00:50.924Z,buy,3.066e-05,66.0,0.00202356
NULS/BTC,1579366854316,2020-01-18T17:00:54.316Z,buy,3.066e-05,45.0,0.0013797
NULS/BTC,1579366865155,2020-01-18T17:01:05.155Z,buy,3.065e-05,217.0,0.0066510499999999
NULS/BTC,1579366870024,2020-01-18T17:01:10.024Z,buy,3.066e-05,173.0,0.00530418
NULS/BTC,1579366873226,2020-01-18T17:01:13.226Z,buy,3.066e-05,118.0,0.00361788
NULS/BTC,1579366877923,2020-01-18T17:01:17.923Z,buy,3.066e-05,79.0,0.00242214
NULS/BTC,1579366882423,2020-01-18T17:01:22.423Z,buy,3.066e-05,54.0,0.00165564
NULS/BTC,1579366886836,2020-01-18T17:01:26.836Z,buy,3.066e-05,36.0,0.00110376
NULS/BTC,1579366912334,2020-01-18T17:01:52.334Z,buy,3.066e-05,1295.0,0.0397047
NULS/BTC,1579366912354,2020-01-18T17:01:52.354Z,buy,3.066e-05,927.0,0.02842182
NULS/BTC,1579366922808,2020-01-18T17:02:02.808Z,buy,3.066e-05,32.0,0.00098112
NULS/BTC,1579366922822,2020-01-18T17:02:02.822Z,buy,3.066e-05,617.0,0.01891722
NULS/BTC,1579366930352,2020-01-18T17:02:10.352Z,buy,3.066e-05,406.0,0.01244796
NULS/BTC,1579366942369,2020-01-18T17:02:22.369Z,buy,3.066e-05,257.0,0.00787962
NULS/BTC,1579366943857,2020-01-18T17:02:23.857Z,buy,3.066e-05,177.0,0.00542682
NULS/BTC,1579366945460,2020-01-18T17:02:25.460Z,buy,3.066e-05,123.0,0.00377118
NULS/BTC,1579366947161,2020-01-18T17:02:27.161Z,buy,3.065e-05,85.0,0.00260525
