symbol,timestamp,datetime,side,price,amount,btc_volume
NXS/BTC,1529693990668,2018-06-22T18:59:50.668Z,buy,0.0002264,169.15,0.03829556
NXS/BTC,1529694086868,2018-06-22T19:01:26.868Z,buy,0.0002265,4.88,0.00110532
NXS/BTC,1529694086868,2018-06-22T19:01:26.868Z,buy,0.0002272,95.12,0.021611264
NXS/BTC,1529694128028,2018-06-22T19:02:08.028Z,buy,0.0002266,53.75,0.01217975
NXS/BTC,1529694128028,2018-06-22T19:02:08.028Z,buy,0.0002274,46.25,0.01051725
NXS/BTC,1529694132293,2018-06-22T19:02:12.293Z,sell,0.0002261,13.92,0.0031473119999999
NXS/BTC,1529694132664,2018-06-22T19:02:12.664Z,sell,0.0002261,54.88,0.012408368
NXS/BTC,1529694138136,2018-06-22T19:02:18.136Z,sell,0.000226,192.43,0.04348918
NXS/BTC,1529694138369,2018-06-22T19:02:18.369Z,sell,0.0002261,39.07,0.008833727
NXS/BTC,1529694188665,2018-06-22T19:03:08.665Z,buy,0.000226,208.47,0.04711422
NXS/BTC,1529694188674,2018-06-22T19:03:08.674Z,sell,0.0002254,232.65,0.05243931
NXS/BTC,1529694188685,2018-06-22T19:03:08.685Z,sell,0.0002254,83.4,0.01879836
NXS/BTC,1529694235276,2018-06-22T19:03:55.276Z,sell,0.0002257,46.81,0.010565017
NXS/BTC,1529694399407,2018-06-22T19:06:39.407Z,buy,0.0002262,190.6,0.04311372
NXS/BTC,1529694399427,2018-06-22T19:06:39.427Z,sell,0.0002258,11.02,0.002488316
NXS/BTC,1529694399455,2018-06-22T19:06:39.455Z,sell,0.0002258,119.12,0.026897296
NXS/BTC,1529694419706,2018-06-22T19:06:59.706Z,sell,0.0002258,107.73,0.024325434
NXS/BTC,1529694419725,2018-06-22T19:06:59.725Z,sell,0.0002258,257.12,0.058057696
NXS/BTC,1529694443317,2018-06-22T19:07:23.317Z,sell,0.0002258,119.25,0.02692665
NXS/BTC,1529694443360,2018-06-22T19:07:23.360Z,sell,0.0002258,240.25,0.05424845
NXS/BTC,1529694473291,2018-06-22T19:07:53.291Z,sell,0.0002259,236.15,0.053346285
NXS/BTC,1529694473332,2018-06-22T19:07:53.332Z,sell,0.0002259,243.81,0.0550766789999999
NXS/BTC,1529694558922,2018-06-22T19:09:18.922Z,buy,0.0002262,552.64,0.125007168
NXS/BTC,1529694558929,2018-06-22T19:09:18.929Z,sell,0.0002258,161.87,0.036550246
NXS/BTC,1529694558951,2018-06-22T19:09:18.951Z,sell,0.0002258,281.94,0.063662052
NXS/BTC,1529694579211,2018-06-22T19:09:39.211Z,sell,0.0002258,22.57,0.005096306
NXS/BTC,1529694614392,2018-06-22T19:10:14.392Z,sell,0.0002258,204.87,0.046259646
NXS/BTC,1529694614426,2018-06-22T19:10:14.426Z,sell,0.0002258,201.18,0.045426444
NXS/BTC,1529694658660,2018-06-22T19:10:58.660Z,sell,0.0002259,121.73,0.027498807
NXS/BTC,1529694658682,2018-06-22T19:10:58.682Z,sell,0.0002259,48.78,0.011019402
NXS/BTC,1529694683419,2018-06-22T19:11:23.419Z,sell,0.0002259,281.37,0.063561483
NXS/BTC,1529694720692,2018-06-22T19:12:00.692Z,sell,0.0002258,156.25,0.03528125
NXS/BTC,1529694770332,2018-06-22T19:12:50.332Z,sell,0.0002258,220.37,0.049759546
NXS/BTC,1529694818803,2018-06-22T19:13:38.803Z,buy,0.0002264,609.67,0.138029288
NXS/BTC,1529694818824,2018-06-22T19:13:38.824Z,sell,0.0002258,205.96,0.046505768
NXS/BTC,1529694895136,2018-06-22T19:14:55.136Z,sell,0.0002258,163.9,0.03700862
NXS/BTC,1529694895153,2018-06-22T19:14:55.153Z,sell,0.0002258,245.18,0.055361644
NXS/BTC,1529694904424,2018-06-22T19:15:04.424Z,buy,0.0002261,164.77,0.037254497
NXS/BTC,1529694904436,2018-06-22T19:15:04.436Z,buy,0.0002266,202.75,0.04594315
NXS/BTC,1529694904451,2018-06-22T19:15:04.451Z,buy,0.0002266,72.26,0.016374116
NXS/BTC,1529694938395,2018-06-22T19:15:38.395Z,buy,0.0002262,421.94,0.095442828
NXS/BTC,1529694938408,2018-06-22T19:15:38.408Z,sell,0.0002258,221.65,0.05004857
NXS/BTC,1529694938435,2018-06-22T19:15:38.435Z,sell,0.0002258,151.78,0.034271924
NXS/BTC,1529694959041,2018-06-22T19:15:59.041Z,buy,0.0002265,596.83,0.135181995
NXS/BTC,1529694959057,2018-06-22T19:15:59.057Z,sell,0.0002259,278.05,0.062811495
NXS/BTC,1529694959070,2018-06-22T19:15:59.070Z,sell,0.0002259,227.81,0.051462279
NXS/BTC,1529695060809,2018-06-22T19:17:40.809Z,buy,0.0002264,47.96,0.010858144
NXS/BTC,1529695109650,2018-06-22T19:18:29.650Z,sell,0.0002258,107.94,0.024372852
NXS/BTC,1529695109650,2018-06-22T19:18:29.650Z,sell,0.0002257,26.06,0.005881742
NXS/BTC,1529695164115,2018-06-22T19:19:24.115Z,buy,0.0002263,122.73,0.027773799
NXS/BTC,1529695164122,2018-06-22T19:19:24.122Z,sell,0.0002258,74.84,0.016898872
NXS/BTC,1529695196972,2018-06-22T19:19:56.972Z,sell,0.0002258,140.0,0.031612
NXS/BTC,1529695253397,2018-06-22T19:20:53.397Z,buy,0.0002264,20.84,0.004718176
NXS/BTC,1529695261531,2018-06-22T19:21:01.531Z,sell,0.0002258,154.0,0.0347732
NXS/BTC,1529695261545,2018-06-22T19:21:01.545Z,sell,0.0002258,192.59,0.043486822
NXS/BTC,1529695299271,2018-06-22T19:21:39.271Z,sell,0.0002258,130.43,0.029451094
NXS/BTC,1529695299280,2018-06-22T19:21:39.280Z,sell,0.0002258,169.96,0.038376968
NXS/BTC,1529695302348,2018-06-22T19:21:42.348Z,sell,0.0002257,39.07,0.008818099
NXS/BTC,1529695620569,2018-06-22T19:27:00.569Z,sell,0.0002257,8.73,0.001970361
NXS/BTC,1529695676766,2018-06-22T19:27:56.766Z,sell,0.000225,29.67,0.00667575
NXS/BTC,1529695676783,2018-06-22T19:27:56.783Z,sell,0.000225,70.26,0.0158085
NXS/BTC,1529695679283,2018-06-22T19:27:59.283Z,buy,0.0002255,5.29,0.001192895
NXS/BTC,1529695685043,2018-06-22T19:28:05.043Z,buy,0.0002252,781.14,0.175912728
NXS/BTC,1529695685055,2018-06-22T19:28:05.055Z,sell,0.000225,79.34,0.0178515
NXS/BTC,1529695685062,2018-06-22T19:28:05.062Z,sell,0.000225,275.06,0.0618885
NXS/BTC,1529695702124,2018-06-22T19:28:22.124Z,sell,0.000225,125.98,0.0283455
NXS/BTC,1529695702143,2018-06-22T19:28:22.143Z,buy,0.0002249,140.47,0.031591703
NXS/BTC,1529695720038,2018-06-22T19:28:40.038Z,sell,0.000225,0.02,4.5e-06
NXS/BTC,1529695721354,2018-06-22T19:28:41.354Z,sell,0.0002249,0.02,4.498e-06
NXS/BTC,1529695779220,2018-06-22T19:29:39.220Z,sell,0.0002252,42.53,0.009577756
