symbol,timestamp,datetime,side,price,amount,btc_volume
ONG/BTC,1609344082931,2020-12-30T16:01:22.931Z,sell,6.6e-06,262.0,0.0017292
ONG/BTC,1609344085769,2020-12-30T16:01:25.769Z,sell,6.6e-06,30.0,0.000198
ONG/BTC,1609344085769,2020-12-30T16:01:25.769Z,sell,6.58e-06,139.0,0.00091462
ONG/BTC,1609344191200,2020-12-30T16:03:11.200Z,sell,6.59e-06,200.0,0.001318
ONG/BTC,1609344191202,2020-12-30T16:03:11.202Z,sell,6.59e-06,235.0,0.00154865
ONG/BTC,1609344209136,2020-12-30T16:03:29.136Z,sell,6.59e-06,1972.0,0.0129954799999999
ONG/BTC,1609344209140,2020-12-30T16:03:29.140Z,sell,6.59e-06,228.0,0.0015025199999999
ONG/BTC,1609344209144,2020-12-30T16:03:29.144Z,sell,6.59e-06,1879.0,0.0123826099999999
ONG/BTC,1609344216742,2020-12-30T16:03:36.742Z,sell,6.58e-06,4069.0,0.02677402
ONG/BTC,1609344218152,2020-12-30T16:03:38.152Z,sell,6.58e-06,1063.0,0.00699454
ONG/BTC,1609344218713,2020-12-30T16:03:38.713Z,buy,6.59e-06,229.0,0.00150911
ONG/BTC,1609344220032,2020-12-30T16:03:40.032Z,buy,6.58e-06,208.0,0.00136864
ONG/BTC,1609344226816,2020-12-30T16:03:46.816Z,sell,6.58e-06,3544.0,0.02331952
ONG/BTC,1609344230754,2020-12-30T16:03:50.754Z,sell,6.58e-06,2692.0,0.0177133599999999
ONG/BTC,1609344231840,2020-12-30T16:03:51.840Z,buy,6.58e-06,209.0,0.00137522
ONG/BTC,1609344235378,2020-12-30T16:03:55.378Z,sell,6.57e-06,197.0,0.00129429
ONG/BTC,1609344240600,2020-12-30T16:04:00.600Z,sell,6.57e-06,197.0,0.00129429
ONG/BTC,1609344364592,2020-12-30T16:06:04.592Z,sell,6.58e-06,417.0,0.00274386
ONG/BTC,1609344377154,2020-12-30T16:06:17.154Z,sell,6.58e-06,304.0,0.00200032
ONG/BTC,1609344420735,2020-12-30T16:07:00.735Z,buy,6.59e-06,40.0,0.0002636
ONG/BTC,1609344427614,2020-12-30T16:07:07.614Z,buy,6.59e-06,100.0,0.000659
ONG/BTC,1609344427633,2020-12-30T16:07:07.633Z,buy,6.59e-06,27.0,0.00017793
ONG/BTC,1609344440930,2020-12-30T16:07:20.930Z,sell,6.6e-06,298.0,0.0019668
ONG/BTC,1609344546782,2020-12-30T16:09:06.782Z,buy,6.6e-06,122.0,0.0008052
ONG/BTC,1609344549145,2020-12-30T16:09:09.145Z,buy,6.61e-06,154.0,0.00101794
ONG/BTC,1609344549592,2020-12-30T16:09:09.592Z,sell,6.61e-06,49.0,0.00032389
ONG/BTC,1609345688056,2020-12-30T16:28:08.056Z,sell,6.57e-06,465.0,0.0030550499999999
ONG/BTC,1609345688072,2020-12-30T16:28:08.072Z,buy,6.57e-06,181.0,0.00118917
ONG/BTC,1609346018170,2020-12-30T16:33:38.170Z,sell,6.57e-06,16.0,0.00010512
ONG/BTC,1609346018170,2020-12-30T16:33:38.170Z,sell,6.56e-06,172.0,0.00112832
ONG/BTC,1609346522154,2020-12-30T16:42:02.154Z,buy,6.59e-06,195.0,0.0012850499999999
ONG/BTC,1609346536247,2020-12-30T16:42:16.247Z,sell,6.58e-06,196.0,0.0012896799999999
ONG/BTC,1609346536267,2020-12-30T16:42:16.267Z,sell,6.57e-06,196.0,0.00128772
ONG/BTC,1609346791556,2020-12-30T16:46:31.556Z,buy,6.59e-06,532.0,0.00350588
ONG/BTC,1609346791556,2020-12-30T16:46:31.556Z,buy,6.59e-06,28.0,0.0001845199999999
ONG/BTC,1609347003344,2020-12-30T16:50:03.344Z,sell,6.58e-06,30.0,0.0001974
ONG/BTC,1609347072569,2020-12-30T16:51:12.569Z,sell,6.58e-06,85.0,0.0005593
ONG/BTC,1609347153610,2020-12-30T16:52:33.610Z,buy,6.6e-06,346.0,0.0022836
ONG/BTC,1609347350766,2020-12-30T16:55:50.766Z,sell,6.59e-06,327.0,0.0021549299999999
ONG/BTC,1609347508770,2020-12-30T16:58:28.770Z,sell,6.59e-06,988.0,0.00651092
ONG/BTC,1609347508770,2020-12-30T16:58:28.770Z,sell,6.59e-06,988.0,0.00651092
ONG/BTC,1609347650410,2020-12-30T17:00:50.410Z,sell,6.58e-06,129.0,0.0008488199999999
ONG/BTC,1609347650410,2020-12-30T17:00:50.410Z,sell,6.57e-06,3997.0,0.02626029
ONG/BTC,1609347650410,2020-12-30T17:00:50.410Z,sell,6.56e-06,1174.0,0.0077014399999999
ONG/BTC,1609347762973,2020-12-30T17:02:42.973Z,buy,6.58e-06,379.0,0.00249382
ONG/BTC,1609347762981,2020-12-30T17:02:42.981Z,sell,6.58e-06,221.0,0.00145418
ONG/BTC,1609347762996,2020-12-30T17:02:42.996Z,sell,6.56e-06,100.0,0.000656
ONG/BTC,1609347910746,2020-12-30T17:05:10.746Z,sell,6.57e-06,184.0,0.0012088799999999
ONG/BTC,1609347931874,2020-12-30T17:05:31.874Z,sell,6.57e-06,40.0,0.0002628
ONG/BTC,1609348187831,2020-12-30T17:09:47.831Z,sell,6.57e-06,762.0,0.00500634
