symbol,timestamp,datetime,side,price,amount,btc_volume
OST/BTC,1570730467648,2019-10-10T18:01:07.648Z,sell,1.53e-06,1998.0,0.0030569399999999
OST/BTC,1570730484793,2019-10-10T18:01:24.793Z,sell,1.53e-06,1446.0,0.00221238
OST/BTC,1570730686170,2019-10-10T18:04:46.170Z,buy,1.54e-06,2500.0,0.00385
OST/BTC,1570730697371,2019-10-10T18:04:57.371Z,sell,1.53e-06,46242.0,0.07075026
OST/BTC,1570730697400,2019-10-10T18:04:57.400Z,buy,1.53e-06,980.0,0.0014994
OST/BTC,1570730697407,2019-10-10T18:04:57.407Z,buy,1.53e-06,242.0,0.0003702599999999
OST/BTC,1570730697496,2019-10-10T18:04:57.496Z,buy,1.53e-06,7666.0,0.01172898
OST/BTC,1570730697691,2019-10-10T18:04:57.691Z,buy,1.53e-06,5262.0,0.00805086
OST/BTC,1570730697960,2019-10-10T18:04:57.960Z,buy,1.53e-06,6439.0,0.00985167
OST/BTC,1570730708067,2019-10-10T18:05:08.067Z,buy,1.53e-06,2404.0,0.00367812
OST/BTC,1570730734202,2019-10-10T18:05:34.202Z,sell,1.52e-06,471.0,0.00071592
OST/BTC,1570730776739,2019-10-10T18:06:16.739Z,buy,1.54e-06,582.0,0.00089628
OST/BTC,1570730787376,2019-10-10T18:06:27.376Z,buy,1.54e-06,126.0,0.00019404
OST/BTC,1570730787799,2019-10-10T18:06:27.799Z,buy,1.54e-06,172.0,0.00026488
OST/BTC,1570730788436,2019-10-10T18:06:28.436Z,buy,1.54e-06,363.0,0.00055902
OST/BTC,1570730788531,2019-10-10T18:06:28.531Z,buy,1.54e-06,1468.0,0.00226072
OST/BTC,1570730788676,2019-10-10T18:06:28.676Z,buy,1.54e-06,3921.0,0.00603834
OST/BTC,1570730789325,2019-10-10T18:06:29.325Z,buy,1.54e-06,1079.0,0.00166166
OST/BTC,1570730789327,2019-10-10T18:06:29.327Z,buy,1.54e-06,974.0,0.00149996
OST/BTC,1570730789372,2019-10-10T18:06:29.372Z,buy,1.54e-06,974.0,0.00149996
OST/BTC,1570730791654,2019-10-10T18:06:31.654Z,buy,1.54e-06,147.0,0.00022638
OST/BTC,1570730797763,2019-10-10T18:06:37.763Z,buy,1.54e-06,348.0,0.00053592
OST/BTC,1570730798042,2019-10-10T18:06:38.042Z,buy,1.54e-06,363.0,0.00055902
OST/BTC,1570730798217,2019-10-10T18:06:38.217Z,sell,1.53e-06,1134.0,0.0017350199999999
OST/BTC,1570730798432,2019-10-10T18:06:38.432Z,buy,1.54e-06,4643.0,0.00715022
OST/BTC,1570730799974,2019-10-10T18:06:39.974Z,buy,1.54e-06,2177.0,0.00335258
OST/BTC,1570730800503,2019-10-10T18:06:40.503Z,buy,1.54e-06,180.0,0.0002772
OST/BTC,1570730801282,2019-10-10T18:06:41.282Z,buy,1.54e-06,147.0,0.00022638
OST/BTC,1570730801430,2019-10-10T18:06:41.430Z,buy,1.54e-06,11609.0,0.01787786
OST/BTC,1570730803933,2019-10-10T18:06:43.933Z,buy,1.54e-06,726.0,0.00111804
OST/BTC,1570730803990,2019-10-10T18:06:43.990Z,buy,1.54e-06,147.0,0.00022638
OST/BTC,1570730804896,2019-10-10T18:06:44.896Z,buy,1.54e-06,147.0,0.00022638
OST/BTC,1570730805075,2019-10-10T18:06:45.075Z,buy,1.54e-06,5515.0,0.0084931
OST/BTC,1570730805944,2019-10-10T18:06:45.944Z,buy,1.54e-06,726.0,0.00111804
OST/BTC,1570730806487,2019-10-10T18:06:46.487Z,buy,1.54e-06,211.0,0.00032494
OST/BTC,1570730808839,2019-10-10T18:06:48.839Z,buy,1.54e-06,372.0,0.00057288
OST/BTC,1570730828363,2019-10-10T18:07:08.363Z,buy,1.54e-06,66.0,0.00010164
OST/BTC,1570730828647,2019-10-10T18:07:08.647Z,buy,1.54e-06,325.0,0.0005005
OST/BTC,1570730828721,2019-10-10T18:07:08.721Z,buy,1.54e-06,195.0,0.0003003
OST/BTC,1570730828805,2019-10-10T18:07:08.805Z,buy,1.54e-06,6494.0,0.01000076
OST/BTC,1570730829181,2019-10-10T18:07:09.181Z,buy,1.54e-06,2597.0,0.00399938
OST/BTC,1570730829526,2019-10-10T18:07:09.526Z,buy,1.54e-06,1299.0,0.00200046
OST/BTC,1570730829677,2019-10-10T18:07:09.677Z,buy,1.54e-06,650.0,0.001001
OST/BTC,1570730829826,2019-10-10T18:07:09.826Z,buy,1.54e-06,12988.0,0.02000152
OST/BTC,1570730830043,2019-10-10T18:07:10.043Z,buy,1.54e-06,66.0,0.00010164
OST/BTC,1570730830181,2019-10-10T18:07:10.181Z,buy,1.54e-06,195.0,0.0003003
OST/BTC,1570730830197,2019-10-10T18:07:10.197Z,buy,1.54e-06,143.0,0.00022022
OST/BTC,1570730830835,2019-10-10T18:07:10.835Z,buy,1.54e-06,974.0,0.00149996
OST/BTC,1570730830884,2019-10-10T18:07:10.884Z,buy,1.54e-06,324.0,0.00049896
OST/BTC,1570730831365,2019-10-10T18:07:11.365Z,buy,1.54e-06,641.0,0.00098714
OST/BTC,1570730831465,2019-10-10T18:07:11.465Z,buy,1.54e-06,1948.0,0.00299992
OST/BTC,1570730831509,2019-10-10T18:07:11.509Z,buy,1.54e-06,363.0,0.00055902
OST/BTC,1570730832168,2019-10-10T18:07:12.168Z,buy,1.54e-06,5844.0,0.00899976
OST/BTC,1570730832206,2019-10-10T18:07:12.206Z,buy,1.54e-06,974.0,0.00149996
OST/BTC,1570730832888,2019-10-10T18:07:12.888Z,buy,1.54e-06,867.0,0.00133518
OST/BTC,1570730833194,2019-10-10T18:07:13.194Z,buy,1.54e-06,387.0,0.00059598
OST/BTC,1570730833297,2019-10-10T18:07:13.297Z,buy,1.54e-06,324.0,0.00049896
OST/BTC,1570730833929,2019-10-10T18:07:13.929Z,buy,1.54e-06,1298.0,0.00199892
OST/BTC,1570730834406,2019-10-10T18:07:14.406Z,buy,1.54e-06,1948.0,0.00299992
OST/BTC,1570730834410,2019-10-10T18:07:14.410Z,buy,1.54e-06,650.0,0.001001
OST/BTC,1570730834558,2019-10-10T18:07:14.558Z,buy,1.54e-06,194.0,0.00029876
OST/BTC,1570730834910,2019-10-10T18:07:14.910Z,buy,1.54e-06,129.0,0.00019866
OST/BTC,1570730835203,2019-10-10T18:07:15.203Z,buy,1.54e-06,6494.0,0.01000076
OST/BTC,1570730835337,2019-10-10T18:07:15.337Z,buy,1.54e-06,129.0,0.00019866
OST/BTC,1570730835499,2019-10-10T18:07:15.499Z,buy,1.54e-06,32467.0,0.04999918
OST/BTC,1570730835819,2019-10-10T18:07:15.819Z,buy,1.54e-06,4871.0,0.00750134
OST/BTC,1570730837956,2019-10-10T18:07:17.956Z,buy,1.54e-06,5230.0,0.0080542
OST/BTC,1570730838286,2019-10-10T18:07:18.286Z,buy,1.54e-06,6493.0,0.00999922
OST/BTC,1570730839477,2019-10-10T18:07:19.477Z,buy,1.54e-06,1299.0,0.00200046
OST/BTC,1570730840039,2019-10-10T18:07:20.039Z,buy,1.54e-06,3247.0,0.00500038
OST/BTC,1570730841884,2019-10-10T18:07:21.884Z,buy,1.54e-06,1298.0,0.00199892
OST/BTC,1570730843218,2019-10-10T18:07:23.218Z,buy,1.54e-06,723.0,0.00111342
OST/BTC,1570730844208,2019-10-10T18:07:24.208Z,buy,1.54e-06,66.0,0.00010164
OST/BTC,1570730844674,2019-10-10T18:07:24.674Z,buy,1.54e-06,715.0,0.0011011
OST/BTC,1570730845409,2019-10-10T18:07:25.409Z,buy,1.54e-06,6064.0,0.00933856
OST/BTC,1570730846083,2019-10-10T18:07:26.083Z,buy,1.54e-06,616.0,0.00094864
OST/BTC,1570730846111,2019-10-10T18:07:26.111Z,buy,1.54e-06,2862.0,0.00440748
OST/BTC,1570730846305,2019-10-10T18:07:26.305Z,buy,1.54e-06,1298.0,0.00199892
OST/BTC,1570730847046,2019-10-10T18:07:27.046Z,buy,1.54e-06,650.0,0.001001
OST/BTC,1570730847084,2019-10-10T18:07:27.084Z,buy,1.54e-06,709.0,0.00109186
OST/BTC,1570730847662,2019-10-10T18:07:27.662Z,buy,1.54e-06,975.0,0.0015015
OST/BTC,1570730847945,2019-10-10T18:07:27.945Z,buy,1.54e-06,3246.0,0.00499884
OST/BTC,1570730848512,2019-10-10T18:07:28.512Z,buy,1.54e-06,66.0,0.00010164
OST/BTC,1570730848534,2019-10-10T18:07:28.534Z,buy,1.54e-06,681.0,0.00104874
OST/BTC,1570730848981,2019-10-10T18:07:28.981Z,buy,1.54e-06,3897.0,0.00600138
OST/BTC,1570730849098,2019-10-10T18:07:29.098Z,buy,1.54e-06,12988.0,0.02000152
OST/BTC,1570730849605,2019-10-10T18:07:29.605Z,buy,1.54e-06,1298.0,0.00199892
OST/BTC,1570730849762,2019-10-10T18:07:29.762Z,buy,1.54e-06,974.0,0.00149996
OST/BTC,1570730849865,2019-10-10T18:07:29.865Z,buy,1.54e-06,260.0,0.0004004
OST/BTC,1570730850281,2019-10-10T18:07:30.281Z,buy,1.54e-06,780.0,0.0012012
OST/BTC,1570730850284,2019-10-10T18:07:30.284Z,buy,1.54e-06,77.0,0.00011858
OST/BTC,1570730850722,2019-10-10T18:07:30.722Z,buy,1.54e-06,650.0,0.001001
OST/BTC,1570730850732,2019-10-10T18:07:30.732Z,buy,1.54e-06,3246.0,0.00499884
OST/BTC,1570730850941,2019-10-10T18:07:30.941Z,buy,1.54e-06,650.0,0.001001
OST/BTC,1570730851137,2019-10-10T18:07:31.137Z,buy,1.54e-06,66.0,0.00010164
OST/BTC,1570730851147,2019-10-10T18:07:31.147Z,buy,1.54e-06,324.0,0.00049896
OST/BTC,1570730851437,2019-10-10T18:07:31.437Z,buy,1.54e-06,280.0,0.0004312
OST/BTC,1570730851739,2019-10-10T18:07:31.739Z,buy,1.54e-06,3766.0,0.00579964
OST/BTC,1570730851809,2019-10-10T18:07:31.809Z,buy,1.54e-06,746.0,0.00114884
OST/BTC,1570730855274,2019-10-10T18:07:35.274Z,buy,1.54e-06,2598.0,0.00400092
OST/BTC,1570730855350,2019-10-10T18:07:35.350Z,buy,1.54e-06,650.0,0.001001
OST/BTC,1570730855472,2019-10-10T18:07:35.472Z,buy,1.54e-06,130.0,0.0002002
