symbol,timestamp,datetime,side,price,amount,btc_volume
POWR/BTC,1561150879385,2019-06-21T21:01:19.385Z,sell,1.18e-05,546.0,0.0064428
POWR/BTC,1561150935259,2019-06-21T21:02:15.259Z,buy,1.182e-05,546.0,0.00645372
POWR/BTC,1561150935259,2019-06-21T21:02:15.259Z,buy,1.183e-05,18676.0,0.22093708
POWR/BTC,1561150979378,2019-06-21T21:02:59.378Z,buy,1.182e-05,173.0,0.00204486
POWR/BTC,1561151134311,2019-06-21T21:05:34.311Z,sell,1.178e-05,291.0,0.00342798
POWR/BTC,1561151143515,2019-06-21T21:05:43.515Z,sell,1.178e-05,262.0,0.00308636
POWR/BTC,1561151144386,2019-06-21T21:05:44.386Z,buy,1.178e-05,152.0,0.00179056
POWR/BTC,1561151144423,2019-06-21T21:05:44.423Z,buy,1.178e-05,113.0,0.00133114
POWR/BTC,1561151324853,2019-06-21T21:08:44.853Z,sell,1.177e-05,137.0,0.00161249
POWR/BTC,1561151341748,2019-06-21T21:09:01.748Z,sell,1.177e-05,88.0,0.00103576
POWR/BTC,1561151346423,2019-06-21T21:09:06.423Z,sell,1.177e-05,1363.0,0.01604251
POWR/BTC,1561151352268,2019-06-21T21:09:12.268Z,buy,1.177e-05,375.0,0.00441375
POWR/BTC,1561151360415,2019-06-21T21:09:20.415Z,buy,1.175e-05,171.0,0.0020092499999999
POWR/BTC,1561151360708,2019-06-21T21:09:20.708Z,sell,1.172e-05,330.0,0.0038675999999999
POWR/BTC,1561151360708,2019-06-21T21:09:20.708Z,sell,1.172e-05,152.0,0.00178144
POWR/BTC,1561151360990,2019-06-21T21:09:20.990Z,buy,1.176e-05,167.0,0.00196392
POWR/BTC,1561151396419,2019-06-21T21:09:56.419Z,buy,1.175e-05,482.0,0.0056634999999999
POWR/BTC,1561151401864,2019-06-21T21:10:01.864Z,buy,1.176e-05,90.0,0.0010584
POWR/BTC,1561151422169,2019-06-21T21:10:22.169Z,sell,1.173e-05,549.0,0.00643977
POWR/BTC,1561151422169,2019-06-21T21:10:22.169Z,sell,1.172e-05,417.0,0.00488724
POWR/BTC,1561151428429,2019-06-21T21:10:28.429Z,buy,1.174e-05,1045.0,0.0122683
POWR/BTC,1561151431423,2019-06-21T21:10:31.423Z,buy,1.175e-05,3173.0,0.0372827499999999
POWR/BTC,1561151581217,2019-06-21T21:13:01.217Z,buy,1.175e-05,86.0,0.0010105
POWR/BTC,1561151630442,2019-06-21T21:13:50.442Z,buy,1.175e-05,841.0,0.00988175
POWR/BTC,1561151660451,2019-06-21T21:14:20.451Z,buy,1.175e-05,389.0,0.00457075
POWR/BTC,1561151846223,2019-06-21T21:17:26.223Z,sell,1.176e-05,351.0,0.0041277599999999
POWR/BTC,1561151944338,2019-06-21T21:19:04.338Z,sell,1.176e-05,98.0,0.00115248
POWR/BTC,1561152198215,2019-06-21T21:23:18.215Z,sell,1.176e-05,97.0,0.00114072
POWR/BTC,1561152198215,2019-06-21T21:23:18.215Z,sell,1.175e-05,1640.0,0.01927
POWR/BTC,1561152606233,2019-06-21T21:30:06.233Z,sell,1.175e-05,999.0,0.0117382499999999
POWR/BTC,1561152679644,2019-06-21T21:31:19.644Z,buy,1.183e-05,106.0,0.00125398
POWR/BTC,1561152917529,2019-06-21T21:35:17.529Z,sell,1.18e-05,141.0,0.0016638
POWR/BTC,1561152963036,2019-06-21T21:36:03.036Z,buy,1.183e-05,1419.0,0.01678677
POWR/BTC,1561153111683,2019-06-21T21:38:31.683Z,sell,1.179e-05,548.0,0.00646092
POWR/BTC,1561153157884,2019-06-21T21:39:17.884Z,sell,1.178e-05,9945.0,0.1171521
POWR/BTC,1561153404896,2019-06-21T21:43:24.896Z,buy,1.183e-05,170.0,0.0020111
POWR/BTC,1561153556938,2019-06-21T21:45:56.938Z,buy,1.182e-05,94.0,0.00111108
POWR/BTC,1561153556938,2019-06-21T21:45:56.938Z,buy,1.183e-05,6.0,7.098e-05
POWR/BTC,1561154216058,2019-06-21T21:56:56.058Z,buy,1.18e-05,86.0,0.0010148
POWR/BTC,1561154312684,2019-06-21T21:58:32.684Z,sell,1.176e-05,189.0,0.0022226399999999
POWR/BTC,1561154312684,2019-06-21T21:58:32.684Z,sell,1.175e-05,273.0,0.0032077499999999
POWR/BTC,1561154312684,2019-06-21T21:58:32.684Z,sell,1.173e-05,251.0,0.00294423
POWR/BTC,1561154312684,2019-06-21T21:58:32.684Z,sell,1.172e-05,287.0,0.0033636399999999
POWR/BTC,1561154312684,2019-06-21T21:58:32.684Z,sell,1.176e-05,189.0,0.0022226399999999
POWR/BTC,1561154312684,2019-06-21T21:58:32.684Z,sell,1.175e-05,273.0,0.0032077499999999
POWR/BTC,1561154312684,2019-06-21T21:58:32.684Z,sell,1.173e-05,251.0,0.00294423
POWR/BTC,1561154312684,2019-06-21T21:58:32.684Z,sell,1.172e-05,287.0,0.0033636399999999
POWR/BTC,1561154640489,2019-06-21T22:04:00.489Z,sell,1.176e-05,1553.0,0.01826328
POWR/BTC,1561154849155,2019-06-21T22:07:29.155Z,buy,1.18e-05,132.0,0.0015576
POWR/BTC,1561155015693,2019-06-21T22:10:15.693Z,sell,1.179e-05,218.0,0.00257022
POWR/BTC,1561155064364,2019-06-21T22:11:04.364Z,buy,1.18e-05,548.0,0.0064664
POWR/BTC,1561155354674,2019-06-21T22:15:54.674Z,buy,1.181e-05,171.0,0.00201951
POWR/BTC,1561155357877,2019-06-21T22:15:57.877Z,sell,1.178e-05,98.0,0.00115444
POWR/BTC,1561155462666,2019-06-21T22:17:42.666Z,sell,1.177e-05,109.0,0.00128293
POWR/BTC,1561155521425,2019-06-21T22:18:41.425Z,buy,1.177e-05,699.0,0.00822723
POWR/BTC,1561155521532,2019-06-21T22:18:41.532Z,buy,1.181e-05,98.0,0.00115738
POWR/BTC,1561155521532,2019-06-21T22:18:41.532Z,buy,1.182e-05,34.0,0.00040188
POWR/BTC,1561155591920,2019-06-21T22:19:51.920Z,buy,1.182e-05,1494.0,0.01765908
POWR/BTC,1561155639773,2019-06-21T22:20:39.773Z,sell,1.178e-05,86.0,0.00101308
POWR/BTC,1561155696978,2019-06-21T22:21:36.978Z,buy,1.183e-05,564.0,0.00667212
POWR/BTC,1561155758839,2019-06-21T22:22:38.839Z,sell,1.176e-05,462.0,0.00543312
POWR/BTC,1561155758839,2019-06-21T22:22:38.839Z,sell,1.175e-05,1060.0,0.0124549999999999
POWR/BTC,1561155893748,2019-06-21T22:24:53.748Z,buy,1.175e-05,195.0,0.00229125
POWR/BTC,1561155893918,2019-06-21T22:24:53.918Z,buy,1.181e-05,132.0,0.00155892
POWR/BTC,1561155894094,2019-06-21T22:24:54.094Z,buy,1.181e-05,254.0,0.00299974
POWR/BTC,1561155908429,2019-06-21T22:25:08.429Z,sell,1.173e-05,291.0,0.00341343
POWR/BTC,1561155968293,2019-06-21T22:26:08.293Z,buy,1.181e-05,341.0,0.00402721
POWR/BTC,1561156305219,2019-06-21T22:31:45.219Z,buy,1.182e-05,112.0,0.00132384
POWR/BTC,1561156305219,2019-06-21T22:31:45.219Z,buy,1.183e-05,45.0,0.00053235
POWR/BTC,1561156845950,2019-06-21T22:40:45.950Z,sell,1.176e-05,1465.0,0.0172283999999999
POWR/BTC,1561156845975,2019-06-21T22:40:45.975Z,buy,1.176e-05,535.0,0.0062916
POWR/BTC,1561156928427,2019-06-21T22:42:08.427Z,buy,1.182e-05,158.0,0.00186756
POWR/BTC,1561156942343,2019-06-21T22:42:22.343Z,sell,1.176e-05,94.0,0.0011054399999999
POWR/BTC,1561157011120,2019-06-21T22:43:31.120Z,sell,1.175e-05,94.0,0.0011045
POWR/BTC,1561157012334,2019-06-21T22:43:32.334Z,sell,1.175e-05,94.0,0.0011045
POWR/BTC,1561157023609,2019-06-21T22:43:43.609Z,sell,1.175e-05,1006.0,0.0118205
POWR/BTC,1561157146630,2019-06-21T22:45:46.630Z,sell,1.172e-05,1626.0,0.01905672
POWR/BTC,1561157247282,2019-06-21T22:47:27.282Z,sell,1.172e-05,2015.0,0.0236158
POWR/BTC,1561157256973,2019-06-21T22:47:36.973Z,buy,1.183e-05,104.0,0.00123032
POWR/BTC,1561157432606,2019-06-21T22:50:32.606Z,buy,1.182e-05,486.0,0.00574452
POWR/BTC,1561157432606,2019-06-21T22:50:32.606Z,buy,1.183e-05,699.0,0.00826917
POWR/BTC,1561157433735,2019-06-21T22:50:33.735Z,buy,1.182e-05,1637.0,0.01934934
