symbol,timestamp,datetime,side,price,amount,btc_volume
QLC/BTC,1566576077981,2019-08-23T16:01:17.981Z,sell,1.47e-06,6867.0,0.01009449
QLC/BTC,1566576291403,2019-08-23T16:04:51.403Z,sell,1.47e-06,27000.0,0.0396899999999999
QLC/BTC,1566576317819,2019-08-23T16:05:17.819Z,sell,1.46e-06,102744.0,0.15000624
QLC/BTC,1566576321394,2019-08-23T16:05:21.394Z,buy,1.47e-06,441.0,0.0006482699999999
QLC/BTC,1566576424584,2019-08-23T16:07:04.584Z,sell,1.47e-06,15349.0,0.0225630299999999
QLC/BTC,1566576475085,2019-08-23T16:07:55.085Z,sell,1.47e-06,147.0,0.0002160899999999
QLC/BTC,1566576535870,2019-08-23T16:08:55.870Z,sell,1.46e-06,5554.0,0.00810884
QLC/BTC,1566576651183,2019-08-23T16:10:51.183Z,buy,1.47e-06,22.0,3.234e-05
QLC/BTC,1566576927480,2019-08-23T16:15:27.480Z,buy,1.47e-06,72.0,0.0001058399999999
QLC/BTC,1566577085948,2019-08-23T16:18:05.948Z,buy,1.47e-06,88.0,0.00012936
QLC/BTC,1566577215118,2019-08-23T16:20:15.118Z,buy,1.47e-06,13605.0,0.01999935
QLC/BTC,1566577249693,2019-08-23T16:20:49.693Z,buy,1.47e-06,6802.0,0.00999894
QLC/BTC,1566577321896,2019-08-23T16:22:01.896Z,buy,1.47e-06,3429.0,0.00504063
QLC/BTC,1566577577686,2019-08-23T16:26:17.686Z,sell,1.47e-06,1110.0,0.0016316999999999
QLC/BTC,1566577588488,2019-08-23T16:26:28.488Z,buy,1.47e-06,4275.0,0.00628425
QLC/BTC,1566577671688,2019-08-23T16:27:51.688Z,sell,1.47e-06,7186.0,0.0105634199999999
QLC/BTC,1566577671813,2019-08-23T16:27:51.813Z,sell,1.46e-06,34535.0,0.0504210999999999
QLC/BTC,1566577741802,2019-08-23T16:29:01.802Z,buy,1.47e-06,13605.0,0.01999935
QLC/BTC,1566577839670,2019-08-23T16:30:39.670Z,buy,1.47e-06,460.0,0.0006762
QLC/BTC,1566577848272,2019-08-23T16:30:48.272Z,buy,1.47e-06,25.0,3.675e-05
QLC/BTC,1566577864590,2019-08-23T16:31:04.590Z,sell,1.46e-06,1109.0,0.00161914
QLC/BTC,1566577897114,2019-08-23T16:31:37.114Z,buy,1.47e-06,2296.0,0.0033751199999999
QLC/BTC,1566577897114,2019-08-23T16:31:37.114Z,buy,1.48e-06,13190.0,0.0195212
QLC/BTC,1566577938164,2019-08-23T16:32:18.164Z,sell,1.47e-06,285.0,0.0004189499999999
QLC/BTC,1566577968173,2019-08-23T16:32:48.173Z,buy,1.48e-06,11405.0,0.0168794
QLC/BTC,1566578004948,2019-08-23T16:33:24.948Z,buy,1.48e-06,958.0,0.00141784
QLC/BTC,1566578014863,2019-08-23T16:33:34.863Z,buy,1.48e-06,19.0,2.812e-05
QLC/BTC,1566578037855,2019-08-23T16:33:57.855Z,buy,1.48e-06,24.0,3.552e-05
QLC/BTC,1566578049151,2019-08-23T16:34:09.151Z,buy,1.48e-06,21.0,3.108e-05
QLC/BTC,1566578069027,2019-08-23T16:34:29.027Z,buy,1.48e-06,7454.0,0.01103192
QLC/BTC,1566578075270,2019-08-23T16:34:35.270Z,buy,1.48e-06,24902.0,0.03685496
QLC/BTC,1566578075377,2019-08-23T16:34:35.377Z,sell,1.48e-06,40541.0,0.06000068
QLC/BTC,1566578136579,2019-08-23T16:35:36.579Z,buy,1.49e-06,4450.0,0.0066304999999999
QLC/BTC,1566578209158,2019-08-23T16:36:49.158Z,buy,1.49e-06,126591.0,0.1886205899999999
QLC/BTC,1566578209184,2019-08-23T16:36:49.184Z,sell,1.49e-06,5727.0,0.00853323
QLC/BTC,1566578209192,2019-08-23T16:36:49.192Z,sell,1.49e-06,10401.0,0.01549749
QLC/BTC,1566578209276,2019-08-23T16:36:49.276Z,sell,1.49e-06,1775.0,0.00264475
QLC/BTC,1566578210039,2019-08-23T16:36:50.039Z,sell,1.49e-06,13156.0,0.01960244
QLC/BTC,1566578210928,2019-08-23T16:36:50.928Z,sell,1.49e-06,6732.0,0.01003068
QLC/BTC,1566578238418,2019-08-23T16:37:18.418Z,sell,1.49e-06,316.0,0.00047084
QLC/BTC,1566578270934,2019-08-23T16:37:50.934Z,buy,1.5e-06,310029.0,0.4650435
QLC/BTC,1566578271027,2019-08-23T16:37:51.027Z,sell,1.5e-06,20143.0,0.0302145
QLC/BTC,1566578271121,2019-08-23T16:37:51.121Z,sell,1.5e-06,67.0,0.0001005
QLC/BTC,1566578271595,2019-08-23T16:37:51.595Z,sell,1.5e-06,67.0,0.0001005
QLC/BTC,1566578271910,2019-08-23T16:37:51.910Z,sell,1.5e-06,3027.0,0.0045405
QLC/BTC,1566578274370,2019-08-23T16:37:54.370Z,buy,1.51e-06,13246.0,0.02000146
QLC/BTC,1566578307842,2019-08-23T16:38:27.842Z,sell,1.5e-06,115.0,0.0001725
QLC/BTC,1566578329704,2019-08-23T16:38:49.704Z,sell,1.5e-06,560.0,0.00084
QLC/BTC,1566578398020,2019-08-23T16:39:58.020Z,buy,1.51e-06,20161.0,0.03044311
QLC/BTC,1566578505220,2019-08-23T16:41:45.220Z,buy,1.51e-06,20175.0,0.03046425
QLC/BTC,1566578506263,2019-08-23T16:41:46.263Z,buy,1.51e-06,450.0,0.0006795
QLC/BTC,1566578507906,2019-08-23T16:41:47.906Z,buy,1.51e-06,12723.0,0.01921173
QLC/BTC,1566578509183,2019-08-23T16:41:49.183Z,buy,1.51e-06,450.0,0.0006795
QLC/BTC,1566578509626,2019-08-23T16:41:49.626Z,buy,1.51e-06,5044.0,0.0076164399999999
QLC/BTC,1566578510425,2019-08-23T16:41:50.425Z,buy,1.51e-06,3603.0,0.00544053
QLC/BTC,1566578510527,2019-08-23T16:41:50.527Z,buy,1.51e-06,2449.0,0.00369799
QLC/BTC,1566578511122,2019-08-23T16:41:51.122Z,buy,1.51e-06,2779.0,0.00419629
QLC/BTC,1566578512120,2019-08-23T16:41:52.120Z,buy,1.51e-06,450.0,0.0006795
QLC/BTC,1566578512204,2019-08-23T16:41:52.204Z,buy,1.51e-06,7249.0,0.01094599
QLC/BTC,1566578616094,2019-08-23T16:43:36.094Z,buy,1.51e-06,1000.0,0.0015099999999999
QLC/BTC,1566578645963,2019-08-23T16:44:05.963Z,sell,1.5e-06,3195.0,0.0047925
QLC/BTC,1566578645964,2019-08-23T16:44:05.964Z,sell,1.5e-06,3195.0,0.0047925
QLC/BTC,1566578646009,2019-08-23T16:44:06.009Z,sell,1.5e-06,264.0,0.000396
QLC/BTC,1566578646231,2019-08-23T16:44:06.231Z,buy,1.51e-06,1471.0,0.00222121
QLC/BTC,1566578699508,2019-08-23T16:44:59.508Z,buy,1.51e-06,7086.0,0.01069986
QLC/BTC,1566578740169,2019-08-23T16:45:40.169Z,buy,1.51e-06,6441.0,0.0097259099999999
QLC/BTC,1566578774753,2019-08-23T16:46:14.753Z,buy,1.51e-06,280.0,0.0004228
QLC/BTC,1566578811261,2019-08-23T16:46:51.261Z,buy,1.51e-06,860.0,0.0012986
QLC/BTC,1566578811303,2019-08-23T16:46:51.303Z,buy,1.51e-06,860.0,0.0012986
QLC/BTC,1566578811342,2019-08-23T16:46:51.342Z,sell,1.5e-06,860.0,0.00129
QLC/BTC,1566578812316,2019-08-23T16:46:52.316Z,buy,1.51e-06,1818.0,0.00274518
QLC/BTC,1566578812671,2019-08-23T16:46:52.671Z,buy,1.51e-06,1480.0,0.0022348
QLC/BTC,1566578814475,2019-08-23T16:46:54.475Z,buy,1.51e-06,1221.0,0.00184371
QLC/BTC,1566578815833,2019-08-23T16:46:55.833Z,buy,1.51e-06,1319.0,0.00199169
QLC/BTC,1566578816765,2019-08-23T16:46:56.765Z,buy,1.51e-06,292.0,0.00044092
QLC/BTC,1566578818698,2019-08-23T16:46:58.698Z,buy,1.51e-06,438.0,0.0006613799999999
QLC/BTC,1566578823889,2019-08-23T16:47:03.889Z,buy,1.51e-06,1678.0,0.00253378
QLC/BTC,1566578826677,2019-08-23T16:47:06.677Z,buy,1.51e-06,613.0,0.00092563
QLC/BTC,1566578827976,2019-08-23T16:47:07.976Z,buy,1.51e-06,887.0,0.0013393699999999
QLC/BTC,1566578831561,2019-08-23T16:47:11.561Z,sell,1.5e-06,7377.0,0.0110655
QLC/BTC,1566578832966,2019-08-23T16:47:12.966Z,buy,1.51e-06,2655.0,0.00400905
QLC/BTC,1566578868516,2019-08-23T16:47:48.516Z,sell,1.5e-06,1000.0,0.0015
QLC/BTC,1566579009778,2019-08-23T16:50:09.778Z,buy,1.51e-06,4772.0,0.00720572
QLC/BTC,1566579011862,2019-08-23T16:50:11.862Z,buy,1.51e-06,4422.0,0.0066772199999999
QLC/BTC,1566579011935,2019-08-23T16:50:11.935Z,buy,1.51e-06,4597.0,0.00694147
QLC/BTC,1566579012891,2019-08-23T16:50:12.891Z,buy,1.51e-06,12466.0,0.01882366
QLC/BTC,1566579012892,2019-08-23T16:50:12.892Z,buy,1.51e-06,10779.0,0.01627629
QLC/BTC,1566579012895,2019-08-23T16:50:12.895Z,buy,1.51e-06,11164.0,0.01685764
QLC/BTC,1566579012898,2019-08-23T16:50:12.898Z,buy,1.51e-06,1015.0,0.00153265
QLC/BTC,1566579013098,2019-08-23T16:50:13.098Z,buy,1.51e-06,1000.0,0.0015099999999999
QLC/BTC,1566579013263,2019-08-23T16:50:13.263Z,sell,1.5e-06,6313.0,0.0094695
QLC/BTC,1566579014107,2019-08-23T16:50:14.107Z,buy,1.51e-06,67.0,0.00010117
QLC/BTC,1566579014763,2019-08-23T16:50:14.763Z,buy,1.51e-06,78.0,0.00011778
QLC/BTC,1566579015087,2019-08-23T16:50:15.087Z,buy,1.51e-06,67.0,0.00010117
QLC/BTC,1566579015815,2019-08-23T16:50:15.815Z,buy,1.51e-06,88.0,0.00013288
QLC/BTC,1566579015939,2019-08-23T16:50:15.939Z,buy,1.51e-06,67.0,0.00010117
QLC/BTC,1566579016821,2019-08-23T16:50:16.821Z,buy,1.51e-06,99.0,0.00014949
QLC/BTC,1566579016930,2019-08-23T16:50:16.930Z,buy,1.51e-06,67.0,0.00010117
QLC/BTC,1566579017821,2019-08-23T16:50:17.821Z,buy,1.51e-06,111.0,0.00016761
QLC/BTC,1566579017933,2019-08-23T16:50:17.933Z,buy,1.51e-06,67.0,0.00010117
QLC/BTC,1566579018834,2019-08-23T16:50:18.834Z,buy,1.51e-06,125.0,0.0001887499999999
QLC/BTC,1566579018937,2019-08-23T16:50:18.937Z,buy,1.51e-06,68.0,0.00010268
QLC/BTC,1566579049021,2019-08-23T16:50:49.021Z,buy,1.51e-06,67.0,0.00010117
QLC/BTC,1566579051088,2019-08-23T16:50:51.088Z,buy,1.51e-06,76.0,0.0001147599999999
QLC/BTC,1566579053104,2019-08-23T16:50:53.104Z,buy,1.51e-06,67.0,0.00010117
QLC/BTC,1566579141828,2019-08-23T16:52:21.828Z,sell,1.5e-06,2430.0,0.003645
QLC/BTC,1566579142108,2019-08-23T16:52:22.108Z,sell,1.5e-06,5084.0,0.007626
QLC/BTC,1566579142254,2019-08-23T16:52:22.254Z,sell,1.5e-06,339.0,0.0005085
QLC/BTC,1566579143983,2019-08-23T16:52:23.983Z,sell,1.5e-06,227.0,0.0003405
QLC/BTC,1566579144996,2019-08-23T16:52:24.996Z,sell,1.5e-06,6280.0,0.00942
QLC/BTC,1566579145730,2019-08-23T16:52:25.730Z,sell,1.5e-06,361.0,0.0005415
QLC/BTC,1566579145964,2019-08-23T16:52:25.964Z,sell,1.5e-06,162.0,0.000243
QLC/BTC,1566579187161,2019-08-23T16:53:07.161Z,sell,1.5e-06,3583.0,0.0053745
QLC/BTC,1566579187954,2019-08-23T16:53:07.954Z,sell,1.5e-06,4423.0,0.0066345
QLC/BTC,1566579207215,2019-08-23T16:53:27.215Z,sell,1.5e-06,32121.0,0.0481815
QLC/BTC,1566579305145,2019-08-23T16:55:05.145Z,buy,1.5e-06,1474.0,0.002211
QLC/BTC,1566579305187,2019-08-23T16:55:05.187Z,buy,1.5e-06,216.0,0.000324
QLC/BTC,1566579305380,2019-08-23T16:55:05.380Z,buy,1.5e-06,67.0,0.0001005
QLC/BTC,1566579305963,2019-08-23T16:55:05.963Z,buy,1.5e-06,89.0,0.0001335
QLC/BTC,1566579306380,2019-08-23T16:55:06.380Z,buy,1.5e-06,67.0,0.0001005
QLC/BTC,1566579306962,2019-08-23T16:55:06.962Z,buy,1.5e-06,102.0,0.000153
QLC/BTC,1566579307393,2019-08-23T16:55:07.393Z,buy,1.5e-06,67.0,0.0001005
QLC/BTC,1566579307956,2019-08-23T16:55:07.956Z,buy,1.5e-06,116.0,0.000174
QLC/BTC,1566579308387,2019-08-23T16:55:08.387Z,buy,1.5e-06,67.0,0.0001005
QLC/BTC,1566579308991,2019-08-23T16:55:08.991Z,buy,1.5e-06,67.0,0.0001005
QLC/BTC,1566579309137,2019-08-23T16:55:09.137Z,buy,1.5e-06,67.0,0.0001005
QLC/BTC,1566579312122,2019-08-23T16:55:12.122Z,buy,1.5e-06,1606.0,0.002409
QLC/BTC,1566579313090,2019-08-23T16:55:13.090Z,buy,1.5e-06,1609.0,0.0024135
QLC/BTC,1566579335127,2019-08-23T16:55:35.127Z,buy,1.5e-06,7083.0,0.0106245
QLC/BTC,1566579343768,2019-08-23T16:55:43.768Z,sell,1.49e-06,8650.0,0.0128884999999999
